windc_label,state,year,units,value
col,AL,1997,million metric tons of carbon dioxide,82.10554119797723
col,AK,1997,million metric tons of carbon dioxide,1.112766638012127
col,AZ,1997,million metric tons of carbon dioxide,35.13124574661131
col,AR,1997,million metric tons of carbon dioxide,23.44172950842446
col,CA,1997,million metric tons of carbon dioxide,7.814802671946675
col,CO,1997,million metric tons of carbon dioxide,34.42237410799342
col,CT,1997,million metric tons of carbon dioxide,4.273485993678102
col,DE,1997,million metric tons of carbon dioxide,4.613131594903068
col,DC,1997,million metric tons of carbon dioxide,0.09331932549195315
col,FL,1997,million metric tons of carbon dioxide,71.36009663696714
col,GA,1997,million metric tons of carbon dioxide,72.92846155864927
col,HI,1997,million metric tons of carbon dioxide,1.946592843060525
col,ID,1997,million metric tons of carbon dioxide,0.6055008062563312
col,IL,1997,million metric tons of carbon dioxide,92.36233375405398
col,IN,1997,million metric tons of carbon dioxide,134.68517542577
col,IA,1997,million metric tons of carbon dioxide,37.1735922046612
col,KS,1997,million metric tons of carbon dioxide,29.53559128469003
col,KY,1997,million metric tons of carbon dioxide,92.75042266945987
col,LA,1997,million metric tons of carbon dioxide,21.47632337501918
col,ME,1997,million metric tons of carbon dioxide,0.8489687896612316
col,MD,1997,million metric tons of carbon dioxide,27.50986799526236
col,MA,1997,million metric tons of carbon dioxide,11.67518567200223
col,MI,1997,million metric tons of carbon dioxide,74.06083720590487
col,MN,1997,million metric tons of carbon dioxide,32.4399855611011
col,MS,1997,million metric tons of carbon dioxide,12.55357744592715
col,MO,1997,million metric tons of carbon dioxide,63.6894864708037
col,MT,1997,million metric tons of carbon dioxide,15.44336369749551
col,NE,1997,million metric tons of carbon dioxide,18.36408493696664
col,NV,1997,million metric tons of carbon dioxide,15.83158703679299
col,NH,1997,million metric tons of carbon dioxide,4.230356529491799
col,NJ,1997,million metric tons of carbon dioxide,9.489752868815398
col,NM,1997,million metric tons of carbon dioxide,27.40840190080019
col,NY,1997,million metric tons of carbon dioxide,30.76496946580392
col,NC,1997,million metric tons of carbon dioxide,72.73388233435901
col,ND,1997,million metric tons of carbon dioxide,36.61893469858162
