year,windc_label,units,value
2005,col,btu per kilowatthour,10373
2006,col,btu per kilowatthour,10351
2007,col,btu per kilowatthour,10375
2008,col,btu per kilowatthour,10378
2009,col,btu per kilowatthour,10414
2010,col,btu per kilowatthour,10415
2011,col,btu per kilowatthour,10444
2012,col,btu per kilowatthour,10498
2013,col,btu per kilowatthour,10459
2014,col,btu per kilowatthour,10428
2015,col,btu per kilowatthour,10495
2016,col,btu per kilowatthour,10493
2017,col,btu per kilowatthour,10465
2018,col,btu per kilowatthour,10481
2019,col,btu per kilowatthour,10551
2020,col,btu per kilowatthour,10655
1999,col,btu per kilowatthour,10373
2002,col,btu per kilowatthour,10373
2003,col,btu per kilowatthour,10373
1998,col,btu per kilowatthour,10373
1997,col,btu per kilowatthour,10373
2000,col,btu per kilowatthour,10373
2001,col,btu per kilowatthour,10373
2004,col,btu per kilowatthour,10373
2005,oil,btu per kilowatthour,10631
2006,oil,btu per kilowatthour,10809
2007,oil,btu per kilowatthour,10794
2008,oil,btu per kilowatthour,11015
2009,oil,btu per kilowatthour,10923
2010,oil,btu per kilowatthour,10984
2011,oil,btu per kilowatthour,10829
2012,oil,btu per kilowatthour,10991
2013,oil,btu per kilowatthour,10713
2014,oil,btu per kilowatthour,10814
2015,oil,btu per kilowatthour,10687
2016,oil,btu per kilowatthour,10811
2017,oil,btu per kilowatthour,10465
2018,oil,btu per kilowatthour,10481
2019,oil,btu per kilowatthour,10551
2020,oil,btu per kilowatthour,10655
1999,oil,btu per kilowatthour,10631
2002,oil,btu per kilowatthour,10631
2003,oil,btu per kilowatthour,10631
1998,oil,btu per kilowatthour,10631
1997,oil,btu per kilowatthour,10631
2000,oil,btu per kilowatthour,10631
2001,oil,btu per kilowatthour,10631
2004,oil,btu per kilowatthour,10631
2005,gas,btu per kilowatthour,8551
2006,gas,btu per kilowatthour,8471
2007,gas,btu per kilowatthour,8403
2008,gas,btu per kilowatthour,8305
2009,gas,btu per kilowatthour,8160
2010,gas,btu per kilowatthour,8185
2011,gas,btu per kilowatthour,8152
2012,gas,btu per kilowatthour,8039
2013,gas,btu per kilowatthour,7948
2014,gas,btu per kilowatthour,7907
2015,gas,btu per kilowatthour,7878
2016,gas,btu per kilowatthour,7870
2017,gas,btu per kilowatthour,10465
2018,gas,btu per kilowatthour,10481
2019,gas,btu per kilowatthour,10551
2020,gas,btu per kilowatthour,10655
1999,gas,btu per kilowatthour,8551
2002,gas,btu per kilowatthour,8551
2003,gas,btu per kilowatthour,8551
1998,gas,btu per kilowatthour,8551
1997,gas,btu per kilowatthour,8551
2000,gas,btu per kilowatthour,8551
2001,gas,btu per kilowatthour,8551
2004,gas,btu per kilowatthour,8551
2005,nu,btu per kilowatthour,10436
2006,nu,btu per kilowatthour,10435
2007,nu,btu per kilowatthour,10489
2008,nu,btu per kilowatthour,10452
2009,nu,btu per kilowatthour,10459
2010,nu,btu per kilowatthour,10452
2011,nu,btu per kilowatthour,10464
2012,nu,btu per kilowatthour,10479
2013,nu,btu per kilowatthour,10449
2014,nu,btu per kilowatthour,10459
2015,nu,btu per kilowatthour,10458
2016,nu,btu per kilowatthour,10459
2017,nu,btu per kilowatthour,10465
2018,nu,btu per kilowatthour,10481
2019,nu,btu per kilowatthour,10551
2020,nu,btu per kilowatthour,10655
1999,nu,btu per kilowatthour,10436
2002,nu,btu per kilowatthour,10436
2003,nu,btu per kilowatthour,10436
1998,nu,btu per kilowatthour,10436
1997,nu,btu per kilowatthour,10436
2000,nu,btu per kilowatthour,10436
2001,nu,btu per kilowatthour,10436
2004,nu,btu per kilowatthour,10436
