year,state,windc_label,units,value
1997,US,pce,millions of us dollars (USD),5536790.0
1997,AL,pce,millions of us dollars (USD),77070.9
1997,AK,pce,millions of us dollars (USD),14205.6
1997,AZ,pce,millions of us dollars (USD),96365.6
1997,AR,pce,millions of us dollars (USD),41941.2
1997,CA,pce,millions of us dollars (USD),676652.2
1997,CO,pce,millions of us dollars (USD),89413.4
1997,CT,pce,millions of us dollars (USD),82908.8
1997,DE,pce,millions of us dollars (USD),17384.1
1997,DC,pce,millions of us dollars (USD),19210.5
1997,FL,pce,millions of us dollars (USD),335569.9
1997,GA,pce,millions of us dollars (USD),151783.3
1997,HI,pce,millions of us dollars (USD),26737.4
1997,ID,pce,millions of us dollars (USD),21364.6
1997,IL,pce,millions of us dollars (USD),259106.5
1997,IN,pce,millions of us dollars (USD),111836.4
1997,IA,pce,millions of us dollars (USD),54035.4
1997,KS,pce,millions of us dollars (USD),50588.1
1997,KY,pce,millions of us dollars (USD),69399.4
1997,LA,pce,millions of us dollars (USD),75087.7
1997,ME,pce,millions of us dollars (USD),25469.3
1997,MD,pce,millions of us dollars (USD),113678.5
1997,MA,pce,millions of us dollars (USD),153441.6
1997,MI,pce,millions of us dollars (USD),193173.8
1997,MN,pce,millions of us dollars (USD),108043.5
1997,MS,pce,millions of us dollars (USD),42091.6
1997,MO,pce,millions of us dollars (USD),110300.5
1997,MT,pce,millions of us dollars (USD),16222.7
1997,NE,pce,millions of us dollars (USD),32233.8
1997,NV,pce,millions of us dollars (USD),38853.3
1997,NH,pce,millions of us dollars (USD),27596.3
1997,NJ,pce,millions of us dollars (USD),192898.9
1997,NM,pce,millions of us dollars (USD),30740.2
1997,NY,pce,millions of us dollars (USD),381635.8
1997,NC,pce,millions of us dollars (USD),147629.3
1997,ND,pce,millions of us dollars (USD),12002.4
1997,OH,pce,millions of us dollars (USD),218972.3
1997,OK,pce,millions of us dollars (USD),56738.4
1997,OR,pce,millions of us dollars (USD),66805.9
1997,PA,pce,millions of us dollars (USD),255549.4
1997,RI,pce,millions of us dollars (USD),20710.8
1997,SC,pce,millions of us dollars (USD),70588.3
1997,SD,pce,millions of us dollars (USD),13007.6
1997,TN,pce,millions of us dollars (USD),105743.6
1997,TX,pce,millions of us dollars (USD),376030.3
1997,UT,pce,millions of us dollars (USD),37325.7
1997,VT,pce,millions of us dollars (USD),12821.4
1997,VA,pce,millions of us dollars (USD),141305.6
1997,WA,pce,millions of us dollars (USD),119075.9
1997,WV,pce,millions of us dollars (USD),30313.2
1997,WI,pce,millions of us dollars (USD),103067.5
1997,WY,pce,millions of us dollars (USD),9363.5
1998,US,pce,millions of us dollars (USD),5877248.0
1998,AL,pce,millions of us dollars (USD),80481.0
1998,AK,pce,millions of us dollars (USD),14922.5
1998,AZ,pce,millions of us dollars (USD),103672.5
1998,AR,pce,millions of us dollars (USD),44420.3
1998,CA,pce,millions of us dollars (USD),716811.3
1998,CO,pce,millions of us dollars (USD),96415.9
1998,CT,pce,millions of us dollars (USD),88312.4
1998,DE,pce,millions of us dollars (USD),18576.3
1998,DC,pce,millions of us dollars (USD),19755.8
1998,FL,pce,millions of us dollars (USD),358211.5
1998,GA,pce,millions of us dollars (USD),161348.1
1998,HI,pce,millions of us dollars (USD),27558.7
1998,ID,pce,millions of us dollars (USD),22540.8
1998,IL,pce,millions of us dollars (USD),274083.7
1998,IN,pce,millions of us dollars (USD),118005.0
1998,IA,pce,millions of us dollars (USD),56767.0
1998,KS,pce,millions of us dollars (USD),53713.6
1998,KY,pce,millions of us dollars (USD),73419.1
1998,LA,pce,millions of us dollars (USD),79151.6
1998,ME,pce,millions of us dollars (USD),27079.5
1998,MD,pce,millions of us dollars (USD),120663.0
1998,MA,pce,millions of us dollars (USD),163603.5
1998,MI,pce,millions of us dollars (USD),202963.9
1998,MN,pce,millions of us dollars (USD),114003.3
1998,MS,pce,millions of us dollars (USD),44360.1
1998,MO,pce,millions of us dollars (USD),116459.1
1998,MT,pce,millions of us dollars (USD),17118.3
1998,NE,pce,millions of us dollars (USD),34003.8
1998,NV,pce,millions of us dollars (USD),41657.4
1998,NH,pce,millions of us dollars (USD),29637.2
1998,NJ,pce,millions of us dollars (USD),205456.0
1998,NM,pce,millions of us dollars (USD),32468.8
1998,NY,pce,millions of us dollars (USD),406004.2
1998,NC,pce,millions of us dollars (USD),156200.5
1998,ND,pce,millions of us dollars (USD),12587.8
1998,OH,pce,millions of us dollars (USD),231078.7
1998,OK,pce,millions of us dollars (USD),59763.6
1998,OR,pce,millions of us dollars (USD),70774.4
1998,PA,pce,millions of us dollars (USD),269304.1
1998,RI,pce,millions of us dollars (USD),21955.3
1998,SC,pce,millions of us dollars (USD),74955.5
1998,SD,pce,millions of us dollars (USD),13667.1
1998,TN,pce,millions of us dollars (USD),110964.3
1998,TX,pce,millions of us dollars (USD),404150.0
1998,UT,pce,millions of us dollars (USD),39429.7
1998,VT,pce,millions of us dollars (USD),13629.8
1998,VA,pce,millions of us dollars (USD),150289.6
1998,WA,pce,millions of us dollars (USD),131060.1
1998,WV,pce,millions of us dollars (USD),31658.0
1998,WI,pce,millions of us dollars (USD),109177.9
1998,WY,pce,millions of us dollars (USD),9993.4
1999,US,pce,millions of us dollars (USD),6283758.0
1999,AL,pce,millions of us dollars (USD),85034.2
1999,AK,pce,millions of us dollars (USD),15857.8
1999,AZ,pce,millions of us dollars (USD),111782.8
1999,AR,pce,millions of us dollars (USD),47450.4
1999,CA,pce,millions of us dollars (USD),770478.3
1999,CO,pce,millions of us dollars (USD),105716.3
1999,CT,pce,millions of us dollars (USD),94399.0
1999,DE,pce,millions of us dollars (USD),19892.3
1999,DC,pce,millions of us dollars (USD),21050.0
1999,FL,pce,millions of us dollars (USD),380822.1
1999,GA,pce,millions of us dollars (USD),174370.5
1999,HI,pce,millions of us dollars (USD),28598.4
1999,ID,pce,millions of us dollars (USD),24136.7
1999,IL,pce,millions of us dollars (USD),289255.9
1999,IN,pce,millions of us dollars (USD),125462.2
1999,IA,pce,millions of us dollars (USD),60068.9
1999,KS,pce,millions of us dollars (USD),57433.4
1999,KY,pce,millions of us dollars (USD),78228.8
1999,LA,pce,millions of us dollars (USD),83199.5
1999,ME,pce,millions of us dollars (USD),29050.6
1999,MD,pce,millions of us dollars (USD),128678.1
1999,MA,pce,millions of us dollars (USD),174741.3
1999,MI,pce,millions of us dollars (USD),216244.2
1999,MN,pce,millions of us dollars (USD),122946.8
1999,MS,pce,millions of us dollars (USD),47346.0
1999,MO,pce,millions of us dollars (USD),123770.1
1999,MT,pce,millions of us dollars (USD),18215.3
