year,state,windc_label,units,value
1997,AL,totrev,millions of us dollars (USD),14007.883
1997,AK,totrev,millions of us dollars (USD),9438.512
1997,AZ,totrev,millions of us dollars (USD),13692.375
1997,AR,totrev,millions of us dollars (USD),8843.946
1997,CA,totrev,millions of us dollars (USD),131099.489
1997,CO,totrev,millions of us dollars (USD),12779.639000000001
1997,CT,totrev,millions of us dollars (USD),14519.78
1997,DE,totrev,millions of us dollars (USD),4210.673
1997,FL,totrev,millions of us dollars (USD),41432.077
1997,GA,totrev,millions of us dollars (USD),24028.45
1997,HI,totrev,millions of us dollars (USD),6700.545
1997,ID,totrev,millions of us dollars (USD),4289.173
1997,IL,totrev,millions of us dollars (USD),39038.066
1997,IN,totrev,millions of us dollars (USD),17536.856
1997,IA,totrev,millions of us dollars (USD),9509.064
1997,KS,totrev,millions of us dollars (USD),7949.762
1997,KY,totrev,millions of us dollars (USD),15032.508
1997,LA,totrev,millions of us dollars (USD),15928.979000000001
1997,ME,totrev,millions of us dollars (USD),5215.004
1997,MD,totrev,millions of us dollars (USD),20128.472
1997,MA,totrev,millions of us dollars (USD),26537.977
1997,MI,totrev,millions of us dollars (USD),45509.221
1997,MN,totrev,millions of us dollars (USD),22881.63
1997,MS,totrev,millions of us dollars (USD),9400.4
1997,MO,totrev,millions of us dollars (USD),16600.626
1997,MT,totrev,millions of us dollars (USD),3523.812
1997,NE,totrev,millions of us dollars (USD),5537.331
1997,NV,totrev,millions of us dollars (USD),6494.347
1997,NH,totrev,millions of us dollars (USD),3560.75
1997,NJ,totrev,millions of us dollars (USD),36086.757
1997,NM,totrev,millions of us dollars (USD),8188.1720000000005
1997,NY,totrev,millions of us dollars (USD),95442.41
1997,NC,totrev,millions of us dollars (USD),25526.697
1997,ND,totrev,millions of us dollars (USD),2817.603
1997,OH,totrev,millions of us dollars (USD),45249.896
1997,OK,totrev,millions of us dollars (USD),11327.842
1997,OR,totrev,millions of us dollars (USD),15004.426
1997,PA,totrev,millions of us dollars (USD),49317.529
1997,RI,totrev,millions of us dollars (USD),4229.308
1997,SC,totrev,millions of us dollars (USD),13804.751
1997,SD,totrev,millions of us dollars (USD),2315.652
1997,TN,totrev,millions of us dollars (USD),15696.299
1997,TX,totrev,millions of us dollars (USD),63864.034
1997,UT,totrev,millions of us dollars (USD),7723.664
1997,VT,totrev,millions of us dollars (USD),2369.972
1997,VA,totrev,millions of us dollars (USD),24322.031
1997,WA,totrev,millions of us dollars (USD),26841.468
1997,WV,totrev,millions of us dollars (USD),7466.718
1997,WI,totrev,millions of us dollars (USD),23858.753
1997,WY,totrev,millions of us dollars (USD),2559.063
1998,AL,totrev,millions of us dollars (USD),14843.951000000001
1998,AK,totrev,millions of us dollars (USD),9039.235
1998,AZ,totrev,millions of us dollars (USD),16582.495
1998,AR,totrev,millions of us dollars (USD),9487.169
1998,CA,totrev,millions of us dollars (USD),144984.973
1998,CO,totrev,millions of us dollars (USD),13514.305
1998,CT,totrev,millions of us dollars (USD),16520.398
1998,DE,totrev,millions of us dollars (USD),4593.997
1998,FL,totrev,millions of us dollars (USD),51751.884
1998,GA,totrev,millions of us dollars (USD),25707.202
1998,HI,totrev,millions of us dollars (USD),6760.74
1998,ID,totrev,millions of us dollars (USD),4705.173
1998,IL,totrev,millions of us dollars (USD),40460.377
1998,IN,totrev,millions of us dollars (USD),18507.747
1998,IA,totrev,millions of us dollars (USD),10029.402
1998,KS,totrev,millions of us dollars (USD),8443.997
1998,KY,totrev,millions of us dollars (USD),15989.084
