year,windc_label,windc_label_col,units,value
2007,oil_agr,oil_agr,millions of us dollars (USD),24160.0
2012,oil_agr,oil_agr,millions of us dollars (USD),42263.0
2007,saf_fof,oil_agr,millions of us dollars (USD),222.0
2012,saf_fof,oil_agr,millions of us dollars (USD),238.0
2007,ori_rec,oil_agr,millions of us dollars (USD),130.0
2012,ori_rec,oil_agr,millions of us dollars (USD),154.0
2007,TotalBasic,oil_agr,millions of us dollars (USD),24513.0
2012,TotalBasic,oil_agr,millions of us dollars (USD),42655.0
2007,oil_agr,Output,millions of us dollars (USD),24160.0
2012,oil_agr,Output,millions of us dollars (USD),42263.0
2007,saf_fof,Output,millions of us dollars (USD),23374.0
2012,saf_fof,Output,millions of us dollars (USD),27707.0
2007,ori_rec,Output,millions of us dollars (USD),57686.0
2012,ori_rec,Output,millions of us dollars (USD),63099.0
2007,TotalBasic,Output,millions of us dollars (USD),25720477.0
2012,TotalBasic,Output,millions of us dollars (USD),28614016.0
2007,grn_agr,Output,millions of us dollars (USD),60998.0
2012,grn_agr,Output,millions of us dollars (USD),99521.0
2007,veg_agr,Output,millions of us dollars (USD),18453.0
2012,veg_agr,Output,millions of us dollars (USD),14338.0
2007,nut_agr,Output,millions of us dollars (USD),18684.0
2012,nut_agr,Output,millions of us dollars (USD),25461.0
2007,flo_agr,Output,millions of us dollars (USD),18520.0
2012,flo_agr,Output,millions of us dollars (USD),18550.0
2007,oth_agr,Output,millions of us dollars (USD),20776.0
2012,oth_agr,Output,millions of us dollars (USD),18168.0
2007,log_fof,Output,millions of us dollars (USD),20945.0
2012,log_fof,Output,millions of us dollars (USD),17648.0
2007,fht_fof,Output,millions of us dollars (USD),6684.0
2012,fht_fof,Output,millions of us dollars (USD),8036.0
2007,owp_wpd,Output,millions of us dollars (USD),25468.0
2012,owp_wpd,Output,millions of us dollars (USD),18952.0
2007,dry_agr,Output,millions of us dollars (USD),35638.0
2012,dry_agr,Output,millions of us dollars (USD),36405.0
2007,bef_agr,Output,millions of us dollars (USD),55279.0
2012,bef_agr,Output,millions of us dollars (USD),77602.0
2007,egg_agr,Output,millions of us dollars (USD),32995.0
2012,egg_agr,Output,millions of us dollars (USD),37163.0
2007,ota_agr,Output,millions of us dollars (USD),23123.0
2012,ota_agr,Output,millions of us dollars (USD),39723.0
2007,ons_con,Output,millions of us dollars (USD),127078.0
2012,ons_con,Output,millions of us dollars (USD),93707.0
2007,oil_oil,Output,millions of us dollars (USD),225170.0
2012,oil_oil,Output,millions of us dollars (USD),276018.0
2007,oth_min,Output,millions of us dollars (USD),11753.0
2012,oth_min,Output,millions of us dollars (USD),13930.0
2007,drl_smn,Output,millions of us dollars (USD),52687.0
2012,drl_smn,Output,millions of us dollars (USD),47556.0
2007,oth_smn,Output,millions of us dollars (USD),63047.0
2012,oth_smn,Output,millions of us dollars (USD),126976.0
2007,pwr_con,Output,millions of us dollars (USD),93684.0
2012,pwr_con,Output,millions of us dollars (USD),113571.0
2007,ref_pet,Output,millions of us dollars (USD),551146.0
2012,ref_pet,Output,millions of us dollars (USD),754198.0
2007,igm_che,Output,millions of us dollars (USD),9094.0
2012,igm_che,Output,millions of us dollars (USD),7262.0
2007,obo_che,Output,millions of us dollars (USD),100683.0
2012,obo_che,Output,millions of us dollars (USD),131261.0
2007,fmf_che,Output,millions of us dollars (USD),18018.0
2012,fmf_che,Output,millions of us dollars (USD),26538.0
2007,pet_wht,Output,millions of us dollars (USD),49880.0
2012,pet_wht,Output,millions of us dollars (USD),72640.0
2007,cus_com,Output,millions of us dollars (USD),152420.0
2012,cus_com,Output,millions of us dollars (USD),200996.0
2007,sci_tsv,Output,millions of us dollars (USD),430587.0
2012,sci_tsv,Output,millions of us dollars (USD),475760.0
2007,col_min,Output,millions of us dollars (USD),33769.0
2012,col_min,Output,millions of us dollars (USD),42050.0
2007,odg_wht,Output,millions of us dollars (USD),199160.0
2012,odg_wht,Output,millions of us dollars (USD),225038.0
2007,led_min,Output,millions of us dollars (USD),11095.0
2012,led_min,Output,millions of us dollars (USD),10809.0
2007,ore_min,Output,millions of us dollars (USD),12487.0
2012,ore_min,Output,millions of us dollars (USD),21101.0
2007,stn_min,Output,millions of us dollars (USD),14872.0
2012,stn_min,Output,millions of us dollars (USD),12376.0
2007,cnc_nmp,Output,millions of us dollars (USD),33750.0
2012,cnc_nmp,Output,millions of us dollars (USD),19916.0
2007,lme_nmp,Output,millions of us dollars (USD),7373.0
2012,lme_nmp,Output,millions of us dollars (USD),5913.0
2007,cut_nmp,Output,millions of us dollars (USD),4348.0
2012,cut_nmp,Output,millions of us dollars (USD),3544.0
2007,pav_pet,Output,millions of us dollars (USD),11834.0
2012,pav_pet,Output,millions of us dollars (USD),13064.0
2007,tmn_nmp,Output,millions of us dollars (USD),3003.0
2012,tmn_nmp,Output,millions of us dollars (USD),3230.0
2007,oth_pet,Output,millions of us dollars (USD),21737.0
2012,oth_pet,Output,millions of us dollars (USD),34898.0
2007,obi_che,Output,millions of us dollars (USD),31701.0
2012,obi_che,Output,millions of us dollars (USD),37793.0
2007,mch_fmt,Output,millions of us dollars (USD),36197.0
2012,mch_fmt,Output,millions of us dollars (USD),39901.0
2007,ele_uti,Output,millions of us dollars (USD),311148.0
2012,ele_uti,Output,millions of us dollars (USD),401348.0
2007,gas_uti,Output,millions of us dollars (USD),148349.0
2012,gas_uti,Output,millions of us dollars (USD),90863.0
2007,wat_uti,Output,millions of us dollars (USD),54972.0
2012,wat_uti,Output,millions of us dollars (USD),69003.0
2007,bui_ott,Output,millions of us dollars (USD),103803.0
2012,bui_ott,Output,millions of us dollars (USD),92639.0
2007,oth_ott,Output,millions of us dollars (USD),173543.0
2012,oth_ott,Output,millions of us dollars (USD),158063.0
2007,pip_pip,Output,millions of us dollars (USD),25820.0
2012,pip_pip,Output,millions of us dollars (USD),39674.0
2007,ent_sle,Output,millions of us dollars (USD),68019.0
2012,ent_sle,Output,millions of us dollars (USD),85041.0
2007,hcs_con,Output,millions of us dollars (USD),47403.0
2012,hcs_con,Output,millions of us dollars (USD),46152.0
2007,edu_con,Output,millions of us dollars (USD),89223.0
2012,edu_con,Output,millions of us dollars (USD),81565.0
2007,nmr_con,Output,millions of us dollars (USD),145150.0
2012,nmr_con,Output,millions of us dollars (USD),175694.0
2007,rmr_con,Output,millions of us dollars (USD),70778.0
2012,rmr_con,Output,millions of us dollars (USD),72894.0
2007,off_con,Output,millions of us dollars (USD),153508.0
2012,off_con,Output,millions of us dollars (USD),80889.0
2007,mrs_con,Output,millions of us dollars (USD),54592.0
2012,mrs_con,Output,millions of us dollars (USD),27741.0
2007,ors_con,Output,millions of us dollars (USD),191485.0
2012,ors_con,Output,millions of us dollars (USD),168399.0
2007,mfs_con,Output,millions of us dollars (USD),41822.0
2012,mfs_con,Output,millions of us dollars (USD),48817.0
2007,srs_con,Output,millions of us dollars (USD),307909.0
2012,srs_con,Output,millions of us dollars (USD),132995.0
2007,trn_con,Output,millions of us dollars (USD),111927.0
2012,trn_con,Output,millions of us dollars (USD),122037.0
2007,saw_wpd,Output,millions of us dollars (USD),30840.0
2012,saw_wpd,Output,millions of us dollars (USD),25903.0
2007,ven_wpd,Output,millions of us dollars (USD),21321.0
2012,ven_wpd,Output,millions of us dollars (USD),16901.0
2007,mil_wpd,Output,millions of us dollars (USD),25009.0
2012,mil_wpd,Output,millions of us dollars (USD),17286.0
2007,plt_fmt,Output,millions of us dollars (USD),42957.0
2012,plt_fmt,Output,millions of us dollars (USD),37908.0
2007,shv_fpd,Output,millions of us dollars (USD),8336.0
2012,shv_fpd,Output,millions of us dollars (USD),6650.0
2007,ppm_ppd,Output,millions of us dollars (USD),47495.0
2012,ppm_ppd,Output,millions of us dollars (USD),47742.0
2007,toi_ppd,Output,millions of us dollars (USD),11358.0
2012,toi_ppd,Output,millions of us dollars (USD),10382.0
2007,srp_use,Output,millions of us dollars (USD),9769.0
2012,srp_use,Output,millions of us dollars (USD),8542.0
2007,cab_fpd,Output,millions of us dollars (USD),18605.0
2012,cab_fpd,Output,millions of us dollars (USD),10952.0
2007,pmr_che,Output,millions of us dollars (USD),84663.0
2012,pmr_che,Output,millions of us dollars (USD),86684.0
2007,opm_pla,Output,millions of us dollars (USD),86024.0
2012,opm_pla,Output,millions of us dollars (USD),83483.0
2007,orn_fmt,Output,millions of us dollars (USD),42609.0
2012,orn_fmt,Output,millions of us dollars (USD),35213.0
2007,hdw_fmt,Output,millions of us dollars (USD),8789.0
2012,hdw_fmt,Output,millions of us dollars (USD),7257.0
2007,off_fpd,Output,millions of us dollars (USD),18006.0
2012,off_fpd,Output,millions of us dollars (USD),15720.0
2007,ocp_nmp,Output,millions of us dollars (USD),11956.0
2012,ocp_nmp,Output,millions of us dollars (USD),8410.0
2007,crn_fmt,Output,millions of us dollars (USD),12682.0
2012,crn_fmt,Output,millions of us dollars (USD),11488.0
2007,cut_fmt,Output,millions of us dollars (USD),10713.0
2012,cut_fmt,Output,millions of us dollars (USD),9095.0
2007,mtc_fmt,Output,millions of us dollars (USD),16462.0
2012,mtc_fmt,Output,millions of us dollars (USD),18171.0
2007,omf_fmt,Output,millions of us dollars (USD),18546.0
2012,omf_fmt,Output,millions of us dollars (USD),14463.0
2007,uph_fpd,Output,millions of us dollars (USD),12534.0
2012,uph_fpd,Output,millions of us dollars (USD),8856.0
2007,nup_fpd,Output,millions of us dollars (USD),6938.0
2012,nup_fpd,Output,millions of us dollars (USD),4108.0
2007,ifm_fpd,Output,millions of us dollars (USD),5812.0
2012,ifm_fpd,Output,millions of us dollars (USD),4554.0
2007,ohn_fpd,Output,millions of us dollars (USD),3360.0
2012,ohn_fpd,Output,millions of us dollars (USD),2585.0
2007,ath_mmf,Output,millions of us dollars (USD),12810.0
2012,ath_mmf,Output,millions of us dollars (USD),9615.0
2007,lin_tex,Output,millions of us dollars (USD),4329.0
2012,lin_tex,Output,millions of us dollars (USD),3727.0
2007,pbc_ppd,Output,millions of us dollars (USD),48718.0
2012,pbc_ppd,Output,millions of us dollars (USD),51579.0
2007,mch_wht,Output,millions of us dollars (USD),96457.0
2012,mch_wht,Output,millions of us dollars (USD),153101.0
2007,cly_nmp,Output,millions of us dollars (USD),9402.0
2012,cly_nmp,Output,millions of us dollars (USD),7138.0
2007,gla_nmp,Output,millions of us dollars (USD),23574.0
2012,gla_nmp,Output,millions of us dollars (USD),22930.0
2007,cpb_nmp,Output,millions of us dollars (USD),8737.0
2012,cpb_nmp,Output,millions of us dollars (USD),5340.0
2007,vlv_fmt,Output,millions of us dollars (USD),22888.0
2012,vlv_fmt,Output,millions of us dollars (USD),25768.0
2007,tfl_cep,Output,millions of us dollars (USD),5409.0
2012,tfl_cep,Output,millions of us dollars (USD),6604.0
2007,ric_eec,Output,millions of us dollars (USD),10316.0
2012,ric_eec,Output,millions of us dollars (USD),9719.0
