yr,ir_supply,jc_supply,units,value
1997,agr,agr,millions of us dollars (USD),219681.0
1998,agr,agr,millions of us dollars (USD),212036.0
1999,agr,agr,millions of us dollars (USD),212534.0
2000,agr,agr,millions of us dollars (USD),219834.0
2001,agr,agr,millions of us dollars (USD),227920.0
2002,agr,agr,millions of us dollars (USD),208557.0
2003,agr,agr,millions of us dollars (USD),236697.0
2004,agr,agr,millions of us dollars (USD),268133.0
2005,agr,agr,millions of us dollars (USD),269208.0
2006,agr,agr,millions of us dollars (USD),264308.0
2007,agr,agr,millions of us dollars (USD),309976.0
2008,agr,agr,millions of us dollars (USD),332677.0
2009,agr,agr,millions of us dollars (USD),302045.0
2010,agr,agr,millions of us dollars (USD),325731.0
2011,agr,agr,millions of us dollars (USD),382568.0
2012,agr,agr,millions of us dollars (USD),405592.0
2013,agr,agr,millions of us dollars (USD),437957.0
2014,agr,agr,millions of us dollars (USD),441389.0
2015,agr,agr,millions of us dollars (USD),403519.0
2016,agr,agr,millions of us dollars (USD),383893.0
2017,agr,agr,millions of us dollars (USD),397041.0
2018,agr,agr,millions of us dollars (USD),400188.0
2019,agr,agr,millions of us dollars (USD),405918.0
2020,agr,agr,millions of us dollars (USD),440636.0
1997,fof,agr,millions of us dollars (USD),5215.0
1998,fof,agr,millions of us dollars (USD),5271.0
1999,fof,agr,millions of us dollars (USD),4791.0
2000,fof,agr,millions of us dollars (USD),3434.0
2001,fof,agr,millions of us dollars (USD),3207.0
2002,fof,agr,millions of us dollars (USD),3311.0
2003,fof,agr,millions of us dollars (USD),3945.0
2004,fof,agr,millions of us dollars (USD),4476.0
2005,fof,agr,millions of us dollars (USD),3815.0
2006,fof,agr,millions of us dollars (USD),3691.0
2007,fof,agr,millions of us dollars (USD),3502.0
2008,fof,agr,millions of us dollars (USD),3795.0
2009,fof,agr,millions of us dollars (USD),4566.0
2010,fof,agr,millions of us dollars (USD),4387.0
2011,fof,agr,millions of us dollars (USD),4540.0
2012,fof,agr,millions of us dollars (USD),4531.0
2013,fof,agr,millions of us dollars (USD),5156.0
2014,fof,agr,millions of us dollars (USD),5190.0
2015,fof,agr,millions of us dollars (USD),5523.0
2016,fof,agr,millions of us dollars (USD),4444.0
2017,fof,agr,millions of us dollars (USD),5527.0
2018,fof,agr,millions of us dollars (USD),4702.0
2019,fof,agr,millions of us dollars (USD),4866.0
2020,fof,agr,millions of us dollars (USD),4794.0
1997,wpd,agr,millions of us dollars (USD),45.0
1998,wpd,agr,millions of us dollars (USD),48.0
1999,wpd,agr,millions of us dollars (USD),43.0
2000,wpd,agr,millions of us dollars (USD),19.0
2001,wpd,agr,millions of us dollars (USD),17.0
