uni_0,uni_1,uni_2,uni_3,value
res,IA,2008,million metric tons of carbon dioxide,5.5
res,IA,2009,million metric tons of carbon dioxide,5.2
res,IA,2005,million metric tons of carbon dioxide,4.8
res,IA,2006,million metric tons of carbon dioxide,4.5
res,IA,2012,million metric tons of carbon dioxide,3.9
res,IA,2014,million metric tons of carbon dioxide,5.4
res,IA,2013,million metric tons of carbon dioxide,5.1
res,IA,1999,million metric tons of carbon dioxide,5.5
res,IA,2002,million metric tons of carbon dioxide,5.3
res,IA,2017,million metric tons of carbon dioxide,4.4
res,IA,2016,million metric tons of carbon dioxide,4.4
res,IA,2015,million metric tons of carbon dioxide,4.5
res,IA,1998,million metric tons of carbon dioxide,5.1
res,IA,2004,million metric tons of carbon dioxide,4.9
res,IA,2000,million metric tons of carbon dioxide,5.6
res,IA,1997,million metric tons of carbon dioxide,6.0
res,IA,2007,million metric tons of carbon dioxide,4.8
res,IA,2010,million metric tons of carbon dioxide,4.8
res,IA,2003,million metric tons of carbon dioxide,5.4
res,IA,2011,million metric tons of carbon dioxide,4.8
res,IA,2001,million metric tons of carbon dioxide,4.9
res,FL,2008,million metric tons of carbon dioxide,1.3
res,FL,2009,million metric tons of carbon dioxide,1.4
res,FL,2005,million metric tons of carbon dioxide,1.5
res,FL,2006,million metric tons of carbon dioxide,1.4
res,FL,2012,million metric tons of carbon dioxide,1.1
res,FL,2014,million metric tons of carbon dioxide,1.3
res,FL,2013,million metric tons of carbon dioxide,1.1
res,FL,1999,million metric tons of carbon dioxide,1.4
res,FL,2002,million metric tons of carbon dioxide,1.4
res,FL,2017,million metric tons of carbon dioxide,1.2
res,FL,2016,million metric tons of carbon dioxide,1.2
res,FL,2015,million metric tons of carbon dioxide,1.2
res,FL,1998,million metric tons of carbon dioxide,1.4
res,FL,2004,million metric tons of carbon dioxide,1.5
res,FL,2000,million metric tons of carbon dioxide,1.5
res,FL,1997,million metric tons of carbon dioxide,1.4
res,FL,2007,million metric tons of carbon dioxide,1.3
res,FL,2010,million metric tons of carbon dioxide,1.6
res,FL,2003,million metric tons of carbon dioxide,1.4
res,FL,2011,million metric tons of carbon dioxide,1.3
res,FL,2001,million metric tons of carbon dioxide,1.4
res,MD,2008,million metric tons of carbon dioxide,6.3
res,MD,2009,million metric tons of carbon dioxide,6.5
res,MD,2005,million metric tons of carbon dioxide,7.2
res,MD,2006,million metric tons of carbon dioxide,5.9
res,MD,2012,million metric tons of carbon dioxide,5.2
res,MD,2014,million metric tons of carbon dioxide,7.0
res,MD,2013,million metric tons of carbon dioxide,6.2
res,MD,1999,million metric tons of carbon dioxide,6.6
res,MD,2002,million metric tons of carbon dioxide,6.7
res,MD,2017,million metric tons of carbon dioxide,5.4
res,MD,2016,million metric tons of carbon dioxide,5.5
res,MD,2015,million metric tons of carbon dioxide,6.5
res,MD,1998,million metric tons of carbon dioxide,6.2
res,MD,2004,million metric tons of carbon dioxide,7.1
res,MD,2000,million metric tons of carbon dioxide,7.2
res,MD,1997,million metric tons of carbon dioxide,7.0
res,MD,2007,million metric tons of carbon dioxide,6.5
res,MD,2010,million metric tons of carbon dioxide,6.6
res,MD,2003,million metric tons of carbon dioxide,7.4
res,MD,2011,million metric tons of carbon dioxide,5.9
res,MD,2001,million metric tons of carbon dioxide,6.5
res,OH,2008,million metric tons of carbon dioxide,19.2
res,OH,2009,million metric tons of carbon dioxide,18.4
res,OH,2005,million metric tons of carbon dioxide,20.5
res,OH,2006,million metric tons of carbon dioxide,17.2
res,OH,2012,million metric tons of carbon dioxide,15.3
res,OH,2014,million metric tons of carbon dioxide,19.8
res,OH,2013,million metric tons of carbon dioxide,18.0
res,OH,1999,million metric tons of carbon dioxide,21.3
res,OH,2002,million metric tons of carbon dioxide,20.5
res,OH,2017,million metric tons of carbon dioxide,16.4
res,OH,2016,million metric tons of carbon dioxide,16.2
res,OH,2015,million metric tons of carbon dioxide,17.9
res,OH,1998,million metric tons of carbon dioxide,19.3
res,OH,2004,million metric tons of carbon dioxide,20.7
res,OH,2000,million metric tons of carbon dioxide,22.0
res,OH,1997,million metric tons of carbon dioxide,23.0
res,OH,2007,million metric tons of carbon dioxide,18.9
res,OH,2010,million metric tons of carbon dioxide,17.6
res,OH,2003,million metric tons of carbon dioxide,22.0
res,OH,2011,million metric tons of carbon dioxide,17.6
res,OH,2001,million metric tons of carbon dioxide,19.5
res,TN,2008,million metric tons of carbon dioxide,4.4
res,TN,2009,million metric tons of carbon dioxide,4.3
res,TN,2005,million metric tons of carbon dioxide,4.4
res,TN,2006,million metric tons of carbon dioxide,4.1
res,TN,2012,million metric tons of carbon dioxide,3.2
res,TN,2014,million metric tons of carbon dioxide,4.8
res,TN,2013,million metric tons of carbon dioxide,4.2
res,TN,1999,million metric tons of carbon dioxide,4.3
res,TN,2002,million metric tons of carbon dioxide,4.7
res,TN,2017,million metric tons of carbon dioxide,3.5
res,TN,2016,million metric tons of carbon dioxide,3.6
res,TN,2015,million metric tons of carbon dioxide,4.1
res,TN,1998,million metric tons of carbon dioxide,4.1
res,TN,2004,million metric tons of carbon dioxide,4.4
res,TN,2000,million metric tons of carbon dioxide,4.8
res,TN,1997,million metric tons of carbon dioxide,4.4
res,TN,2007,million metric tons of carbon dioxide,4.0
res,TN,2010,million metric tons of carbon dioxide,4.8
res,TN,2003,million metric tons of carbon dioxide,4.6
res,TN,2011,million metric tons of carbon dioxide,4.1
res,TN,2001,million metric tons of carbon dioxide,4.6
res,WI,2008,million metric tons of carbon dioxide,10.2
res,WI,2009,million metric tons of carbon dioxide,9.3
res,WI,2005,million metric tons of carbon dioxide,9.9
res,WI,2006,million metric tons of carbon dioxide,8.9
res,WI,2012,million metric tons of carbon dioxide,7.6
res,WI,2014,million metric tons of carbon dioxide,10.4
res,WI,2013,million metric tons of carbon dioxide,9.7
res,WI,1999,million metric tons of carbon dioxide,10.1
res,WI,2002,million metric tons of carbon dioxide,10.5
res,WI,2017,million metric tons of carbon dioxide,8.9
res,WI,2016,million metric tons of carbon dioxide,8.7
res,WI,2015,million metric tons of carbon dioxide,8.9
res,WI,1998,million metric tons of carbon dioxide,8.9
res,WI,2004,million metric tons of carbon dioxide,10.2
res,WI,2000,million metric tons of carbon dioxide,10.2
res,WI,1997,million metric tons of carbon dioxide,10.4
res,WI,2007,million metric tons of carbon dioxide,9.4
res,WI,2010,million metric tons of carbon dioxide,8.6
res,WI,2003,million metric tons of carbon dioxide,10.6
res,WI,2011,million metric tons of carbon dioxide,8.9
res,WI,2001,million metric tons of carbon dioxide,9.8
res,RI,2008,million metric tons of carbon dioxide,2.2
res,RI,2009,million metric tons of carbon dioxide,2.3
res,RI,2005,million metric tons of carbon dioxide,2.7
res,RI,2006,million metric tons of carbon dioxide,2.2
res,RI,2012,million metric tons of carbon dioxide,2.0
res,RI,2014,million metric tons of carbon dioxide,2.3
res,RI,2013,million metric tons of carbon dioxide,2.2
res,RI,1999,million metric tons of carbon dioxide,2.3
res,RI,2002,million metric tons of carbon dioxide,2.5
res,RI,2017,million metric tons of carbon dioxide,1.8
res,RI,2016,million metric tons of carbon dioxide,1.8
res,RI,2015,million metric tons of carbon dioxide,2.4
res,RI,1998,million metric tons of carbon dioxide,2.4
res,RI,2004,million metric tons of carbon dioxide,2.8
res,RI,2000,million metric tons of carbon dioxide,2.5
res,RI,1997,million metric tons of carbon dioxide,2.6
res,RI,2007,million metric tons of carbon dioxide,2.3
res,RI,2010,million metric tons of carbon dioxide,2.2
res,RI,2003,million metric tons of carbon dioxide,2.8
res,RI,2011,million metric tons of carbon dioxide,2.1
res,RI,2001,million metric tons of carbon dioxide,2.6
res,AK,2008,million metric tons of carbon dioxide,1.8
res,AK,2009,million metric tons of carbon dioxide,1.7
res,AK,2005,million metric tons of carbon dioxide,1.8
res,AK,2006,million metric tons of carbon dioxide,2.1
res,AK,2012,million metric tons of carbon dioxide,1.8
res,AK,2014,million metric tons of carbon dioxide,1.5
res,AK,2013,million metric tons of carbon dioxide,1.6
res,AK,1999,million metric tons of carbon dioxide,1.9
res,AK,2002,million metric tons of carbon dioxide,1.6
res,AK,2017,million metric tons of carbon dioxide,1.7
res,AK,2016,million metric tons of carbon dioxide,1.5
res,AK,2015,million metric tons of carbon dioxide,1.6
res,AK,1998,million metric tons of carbon dioxide,1.6
res,AK,2004,million metric tons of carbon dioxide,1.8
res,AK,2000,million metric tons of carbon dioxide,1.7
res,AK,1997,million metric tons of carbon dioxide,1.7
res,AK,2007,million metric tons of carbon dioxide,1.8
res,AK,2010,million metric tons of carbon dioxide,1.7
res,AK,2003,million metric tons of carbon dioxide,1.7
res,AK,2011,million metric tons of carbon dioxide,1.7
res,AK,2001,million metric tons of carbon dioxide,1.8
res,WV,2008,million metric tons of carbon dioxide,1.9
res,WV,2009,million metric tons of carbon dioxide,1.8
res,WV,2005,million metric tons of carbon dioxide,2.1
res,WV,2006,million metric tons of carbon dioxide,2.0
res,WV,2012,million metric tons of carbon dioxide,1.5
res,WV,2014,million metric tons of carbon dioxide,1.9
res,WV,2013,million metric tons of carbon dioxide,1.9
res,WV,1999,million metric tons of carbon dioxide,2.4
res,WV,2002,million metric tons of carbon dioxide,2.2
res,WV,2017,million metric tons of carbon dioxide,1.5
res,WV,2016,million metric tons of carbon dioxide,1.6
res,WV,2015,million metric tons of carbon dioxide,1.8
res,WV,1998,million metric tons of carbon dioxide,2.3
res,WV,2004,million metric tons of carbon dioxide,2.3
res,WV,2000,million metric tons of carbon dioxide,2.4
res,WV,1997,million metric tons of carbon dioxide,2.6
res,WV,2007,million metric tons of carbon dioxide,1.9
res,WV,2010,million metric tons of carbon dioxide,1.9
res,WV,2003,million metric tons of carbon dioxide,2.3
res,WV,2011,million metric tons of carbon dioxide,1.7
res,WV,2001,million metric tons of carbon dioxide,2.4
res,AZ,2008,million metric tons of carbon dioxide,2.4
res,AZ,2009,million metric tons of carbon dioxide,2.2
res,AZ,2005,million metric tons of carbon dioxide,2.1
res,AZ,2006,million metric tons of carbon dioxide,2.2
res,AZ,2012,million metric tons of carbon dioxide,2.1
res,AZ,2014,million metric tons of carbon dioxide,2.0
res,AZ,2013,million metric tons of carbon dioxide,2.4
res,AZ,1999,million metric tons of carbon dioxide,2.1
res,AZ,2002,million metric tons of carbon dioxide,2.2
res,AZ,2017,million metric tons of carbon dioxide,2.1
res,AZ,2016,million metric tons of carbon dioxide,2.2
res,AZ,2015,million metric tons of carbon dioxide,2.1
res,AZ,1998,million metric tons of carbon dioxide,2.2
res,AZ,2004,million metric tons of carbon dioxide,2.2
res,AZ,2000,million metric tons of carbon dioxide,2.1
res,AZ,1997,million metric tons of carbon dioxide,1.8
res,AZ,2007,million metric tons of carbon dioxide,2.3
res,AZ,2010,million metric tons of carbon dioxide,2.3
res,AZ,2003,million metric tons of carbon dioxide,2.1
res,AZ,2011,million metric tons of carbon dioxide,2.4
res,AZ,2001,million metric tons of carbon dioxide,2.2
res,NH,2008,million metric tons of carbon dioxide,2.7
res,NH,2009,million metric tons of carbon dioxide,2.5
res,NH,2005,million metric tons of carbon dioxide,3.1
res,NH,2006,million metric tons of carbon dioxide,2.7
res,NH,2012,million metric tons of carbon dioxide,1.9
res,NH,2014,million metric tons of carbon dioxide,2.7
res,NH,2013,million metric tons of carbon dioxide,2.3
res,NH,1999,million metric tons of carbon dioxide,2.8
res,NH,2002,million metric tons of carbon dioxide,2.6
res,NH,2017,million metric tons of carbon dioxide,2.8
res,NH,2016,million metric tons of carbon dioxide,2.5
res,NH,2015,million metric tons of carbon dioxide,2.7
res,NH,1998,million metric tons of carbon dioxide,2.8
res,NH,2004,million metric tons of carbon dioxide,3.3
res,NH,2000,million metric tons of carbon dioxide,2.9
res,NH,1997,million metric tons of carbon dioxide,2.9
res,NH,2007,million metric tons of carbon dioxide,2.7
res,NH,2010,million metric tons of carbon dioxide,2.2
res,NH,2003,million metric tons of carbon dioxide,3.2
res,NH,2011,million metric tons of carbon dioxide,2.3
res,NH,2001,million metric tons of carbon dioxide,2.8
res,OK,2008,million metric tons of carbon dioxide,4.1
res,OK,2009,million metric tons of carbon dioxide,3.9
res,OK,2005,million metric tons of carbon dioxide,3.7
res,OK,2006,million metric tons of carbon dioxide,3.4
res,OK,2012,million metric tons of carbon dioxide,3.0
res,OK,2014,million metric tons of carbon dioxide,4.3
res,OK,2013,million metric tons of carbon dioxide,4.1
res,OK,1999,million metric tons of carbon dioxide,3.9
res,OK,2002,million metric tons of carbon dioxide,4.4
res,OK,2017,million metric tons of carbon dioxide,3.3
res,OK,2016,million metric tons of carbon dioxide,3.2
res,OK,2015,million metric tons of carbon dioxide,3.7
res,OK,1998,million metric tons of carbon dioxide,3.9
res,OK,2004,million metric tons of carbon dioxide,3.7
res,OK,2000,million metric tons of carbon dioxide,4.2
res,OK,1997,million metric tons of carbon dioxide,4.3
res,OK,2007,million metric tons of carbon dioxide,3.9
res,OK,2010,million metric tons of carbon dioxide,4.1
res,OK,2003,million metric tons of carbon dioxide,4.1
res,OK,2011,million metric tons of carbon dioxide,3.8
res,OK,2001,million metric tons of carbon dioxide,4.1
res,NE,2008,million metric tons of carbon dioxide,2.9
res,NE,2009,million metric tons of carbon dioxide,2.7
res,NE,2005,million metric tons of carbon dioxide,2.5
res,NE,2006,million metric tons of carbon dioxide,2.3
res,NE,2012,million metric tons of carbon dioxide,2.1
res,NE,2014,million metric tons of carbon dioxide,2.8
res,NE,2013,million metric tons of carbon dioxide,2.7
res,NE,1999,million metric tons of carbon dioxide,2.6
