uni_0,uni_1,uni_2,value
2008,oil,btu per kilowatthour,11015.0
2008,nu,btu per kilowatthour,10452.0
2008,gas,btu per kilowatthour,8305.0
2008,col,btu per kilowatthour,10378.0
2009,oil,btu per kilowatthour,10923.0
2009,nu,btu per kilowatthour,10459.0
2009,gas,btu per kilowatthour,8160.0
2009,col,btu per kilowatthour,10414.0
2005,oil,btu per kilowatthour,10631.0
2005,nu,btu per kilowatthour,10436.0
2005,gas,btu per kilowatthour,8551.0
2005,col,btu per kilowatthour,10373.0
2006,oil,btu per kilowatthour,10809.0
2006,nu,btu per kilowatthour,10435.0
2006,gas,btu per kilowatthour,8471.0
2006,col,btu per kilowatthour,10351.0
2012,oil,btu per kilowatthour,10991.0
2012,nu,btu per kilowatthour,10479.0
2012,gas,btu per kilowatthour,8039.0
2012,col,btu per kilowatthour,10498.0
2014,oil,btu per kilowatthour,10814.0
2014,nu,btu per kilowatthour,10459.0
2014,gas,btu per kilowatthour,7907.0
2014,col,btu per kilowatthour,10428.0
2013,oil,btu per kilowatthour,10713.0
2013,nu,btu per kilowatthour,10449.0
2013,gas,btu per kilowatthour,7948.0
2013,col,btu per kilowatthour,10459.0
1999,oil,btu per kilowatthour,10631.0
1999,nu,btu per kilowatthour,10436.0
1999,gas,btu per kilowatthour,8551.0
1999,col,btu per kilowatthour,10373.0
2002,oil,btu per kilowatthour,10631.0
2002,nu,btu per kilowatthour,10436.0
2002,gas,btu per kilowatthour,8551.0
2002,col,btu per kilowatthour,10373.0
2017,oil,btu per kilowatthour,10631.0
2017,nu,btu per kilowatthour,10436.0
2017,gas,btu per kilowatthour,8551.0
2017,col,btu per kilowatthour,10373.0
2016,oil,btu per kilowatthour,10811.0
2016,nu,btu per kilowatthour,10459.0
2016,gas,btu per kilowatthour,7870.0
2016,col,btu per kilowatthour,10493.0
2015,oil,btu per kilowatthour,10687.0
2015,nu,btu per kilowatthour,10458.0
2015,gas,btu per kilowatthour,7878.0
2015,col,btu per kilowatthour,10495.0
1998,oil,btu per kilowatthour,10631.0
1998,nu,btu per kilowatthour,10436.0
1998,gas,btu per kilowatthour,8551.0
1998,col,btu per kilowatthour,10373.0
2004,oil,btu per kilowatthour,10631.0
2004,nu,btu per kilowatthour,10436.0
2004,gas,btu per kilowatthour,8551.0
2004,col,btu per kilowatthour,10373.0
2000,oil,btu per kilowatthour,10631.0
2000,nu,btu per kilowatthour,10436.0
2000,gas,btu per kilowatthour,8551.0
2000,col,btu per kilowatthour,10373.0
1997,oil,btu per kilowatthour,10631.0
1997,nu,btu per kilowatthour,10436.0
1997,gas,btu per kilowatthour,8551.0
1997,col,btu per kilowatthour,10373.0
2007,oil,btu per kilowatthour,10794.0
2007,nu,btu per kilowatthour,10489.0
2007,gas,btu per kilowatthour,8403.0
2007,col,btu per kilowatthour,10375.0
2010,oil,btu per kilowatthour,10984.0
2010,nu,btu per kilowatthour,10452.0
2010,gas,btu per kilowatthour,8185.0
2010,col,btu per kilowatthour,10415.0
2003,oil,btu per kilowatthour,10631.0
2003,nu,btu per kilowatthour,10436.0
2003,gas,btu per kilowatthour,8551.0
2003,col,btu per kilowatthour,10373.0
2011,oil,btu per kilowatthour,10829.0
2011,nu,btu per kilowatthour,10464.0
2011,gas,btu per kilowatthour,8152.0
2011,col,btu per kilowatthour,10444.0
2001,oil,btu per kilowatthour,10631.0
2001,nu,btu per kilowatthour,10436.0
2001,gas,btu per kilowatthour,8551.0
2001,col,btu per kilowatthour,10373.0
