uni_0,uni_1,uni_2,uni_3,value
IA,2012,11111,millions of us dollars (USD),861.011
IA,2012,11115,millions of us dollars (USD),12651.557999999999
IA,2012,11119,millions of us dollars (USD),1884.513
IA,2012,1112,millions of us dollars (USD),13.392
IA,2012,1113,millions of us dollars (USD),3.1069999999999998
IA,2012,1114,millions of us dollars (USD),97.92699999999999
IA,2012,1119,millions of us dollars (USD),60.446999999999996
IA,2012,11211,millions of us dollars (USD),655.843
IA,2012,11212,millions of us dollars (USD),99.917
IA,2012,1122,millions of us dollars (USD),847.482
IA,2012,1123,millions of us dollars (USD),44.838
IA,2012,1124,millions of us dollars (USD),3.9829999999999997
IA,2012,1125,millions of us dollars (USD),0.008
IA,2012,1129,millions of us dollars (USD),142.363
IA,2012,11114,millions of us dollars (USD),0.425
IA,2017,11115,millions of us dollars (USD),8773.473
IA,2017,11119,millions of us dollars (USD),1825.7279999999998
IA,2017,1112,millions of us dollars (USD),15.392999999999999
IA,2017,1113,millions of us dollars (USD),8.638
IA,2017,1114,millions of us dollars (USD),144.511
IA,2017,1119,millions of us dollars (USD),61.337999999999994
IA,2017,11211,millions of us dollars (USD),760.78
IA,2017,11212,millions of us dollars (USD),99.46799999999999
IA,2017,1122,millions of us dollars (USD),881.572
IA,2017,1123,millions of us dollars (USD),35.693999999999996
IA,2017,1124,millions of us dollars (USD),5.612
IA,2017,1129,millions of us dollars (USD),100.362
FL,2012,11111,millions of us dollars (USD),2.205
FL,2012,1112,millions of us dollars (USD),1406.984
FL,2012,1113,millions of us dollars (USD),1819.27
FL,2012,1114,millions of us dollars (USD),1690.714
FL,2012,1119,millions of us dollars (USD),986.9309999999999
FL,2012,11211,millions of us dollars (USD),34.719
FL,2012,11212,millions of us dollars (USD),4.754
FL,2012,1122,millions of us dollars (USD),0.026
FL,2012,1123,millions of us dollars (USD),5.297
FL,2012,1124,millions of us dollars (USD),0.03
FL,2012,1125,millions of us dollars (USD),0.209
FL,2012,1129,millions of us dollars (USD),1.244
FL,2017,1112,millions of us dollars (USD),1238.288
FL,2017,1113,millions of us dollars (USD),1305.4199999999998
FL,2017,1114,millions of us dollars (USD),2270.548
FL,2017,1119,millions of us dollars (USD),843.202
FL,2017,11211,millions of us dollars (USD),21.878999999999998
FL,2017,11212,millions of us dollars (USD),2.3409999999999997
FL,2017,1122,millions of us dollars (USD),0.009
FL,2017,1123,millions of us dollars (USD),4.064
FL,2017,1124,millions of us dollars (USD),0.119
FL,2017,1125,millions of us dollars (USD),0.255
FL,2017,1129,millions of us dollars (USD),4.9159999999999995
MD,2012,11111,millions of us dollars (USD),101.493
MD,2012,11115,millions of us dollars (USD),240.48999999999998
MD,2012,11119,millions of us dollars (USD),271.555
MD,2012,1112,millions of us dollars (USD),47.974
MD,2012,1113,millions of us dollars (USD),18.749
MD,2012,1114,millions of us dollars (USD),206.476
MD,2012,1119,millions of us dollars (USD),41.483
MD,2012,11211,millions of us dollars (USD),7.366
MD,2012,11212,millions of us dollars (USD),44.693999999999996
MD,2012,1122,millions of us dollars (USD),0.486
MD,2012,1123,millions of us dollars (USD),62.415
MD,2012,11114,millions of us dollars (USD),4.931
MD,2017,11111,millions of us dollars (USD),91.687
MD,2017,11115,millions of us dollars (USD),195.833
MD,2017,11119,millions of us dollars (USD),200.314
MD,2017,1112,millions of us dollars (USD),61.949
MD,2017,1113,millions of us dollars (USD),22.811
MD,2017,1114,millions of us dollars (USD),229.88199999999998
MD,2017,1119,millions of us dollars (USD),41.647999999999996
MD,2017,11211,millions of us dollars (USD),7.037
MD,2017,11212,millions of us dollars (USD),32.169
MD,2017,1123,millions of us dollars (USD),60.454
MD,2017,1129,millions of us dollars (USD),2.04
MD,2017,11114,millions of us dollars (USD),1.771
OH,2012,11111,millions of us dollars (USD),1696.7459999999999
OH,2012,11115,millions of us dollars (USD),2658.462
OH,2012,11119,millions of us dollars (USD),1122.751
OH,2012,1112,millions of us dollars (USD),108.868
OH,2012,1113,millions of us dollars (USD),22.465
OH,2012,1114,millions of us dollars (USD),435.87699999999995
OH,2012,1119,millions of us dollars (USD),146.23999999999998
OH,2012,11211,millions of us dollars (USD),94.317
OH,2012,11212,millions of us dollars (USD),127.073
OH,2012,1122,millions of us dollars (USD),120.649
OH,2012,1123,millions of us dollars (USD),33.562999999999995
OH,2012,1124,millions of us dollars (USD),1.18
OH,2012,1125,millions of us dollars (USD),0.027
OH,2012,1129,millions of us dollars (USD),22.669
OH,2012,11114,millions of us dollars (USD),7.058999999999999
OH,2017,11111,millions of us dollars (USD),1686.6229999999998
OH,2017,11115,millions of us dollars (USD),1656.413
OH,2017,11119,millions of us dollars (USD),840.0649999999999
OH,2017,1112,millions of us dollars (USD),133.548
OH,2017,1113,millions of us dollars (USD),40.3
OH,2017,1114,millions of us dollars (USD),489.05699999999996
OH,2017,1119,millions of us dollars (USD),143.945
OH,2017,11211,millions of us dollars (USD),106.109
OH,2017,11212,millions of us dollars (USD),130.41
OH,2017,1122,millions of us dollars (USD),127.729
OH,2017,1123,millions of us dollars (USD),39.361
OH,2017,1124,millions of us dollars (USD),1.8519999999999999
OH,2017,1125,millions of us dollars (USD),0.11199999999999999
OH,2017,1129,millions of us dollars (USD),21.767
TN,2012,11111,millions of us dollars (USD),380.234
TN,2012,11115,millions of us dollars (USD),301.08799999999997
TN,2012,11119,millions of us dollars (USD),657.25
TN,2012,1112,millions of us dollars (USD),77.453
TN,2012,1113,millions of us dollars (USD),6.638999999999999
TN,2012,1114,millions of us dollars (USD),291.948
TN,2012,1119,millions of us dollars (USD),314.419
TN,2012,11211,millions of us dollars (USD),27.262999999999998
TN,2012,11212,millions of us dollars (USD),11.399
TN,2012,1123,millions of us dollars (USD),7.284999999999999
TN,2012,1124,millions of us dollars (USD),0.261
TN,2012,1129,millions of us dollars (USD),3.042
TN,2017,11111,millions of us dollars (USD),600.342
TN,2017,11115,millions of us dollars (USD),195.369
TN,2017,11119,millions of us dollars (USD),481.143
