uni_0,uni_1,uni_2,uni_3,value
2008,IA,rec,millions of us dollars (USD),3047.3
2008,IA,trn,millions of us dollars (USD),2464.4
2008,IA,pce,millions of us dollars (USD),90365.0
2008,IA,gds,millions of us dollars (USD),33743.3
2008,IA,dur,millions of us dollars (USD),10527.2
2008,IA,mvp,millions of us dollars (USD),3656.4
2008,IA,hdr,millions of us dollars (USD),2311.6
2008,IA,odg,millions of us dollars (USD),1511.9
2008,IA,ndr,millions of us dollars (USD),23216.1
2008,IA,foo,millions of us dollars (USD),7284.3
2008,IA,clo,millions of us dollars (USD),2557.8
2008,IA,enr,millions of us dollars (USD),5655.9
2008,IA,ong,millions of us dollars (USD),7718.1
2008,IA,ser,millions of us dollars (USD),56621.6
2008,IA,hce,millions of us dollars (USD),53465.3
2008,IA,utl,millions of us dollars (USD),14408.8
2008,IA,hea,millions of us dollars (USD),14795.3
2008,IA,rsr,millions of us dollars (USD),3593.6
2008,IA,htl,millions of us dollars (USD),5033.3
2008,IA,fsr,millions of us dollars (USD),5837.6
2008,IA,osr,millions of us dollars (USD),7332.3
2008,IA,npish,millions of us dollars (USD),3156.4
2008,IA,npi,millions of us dollars (USD),9675.5
2008,IA,nps,millions of us dollars (USD),6519.1
2008,FL,rec,millions of us dollars (USD),22602.2
2008,FL,trn,millions of us dollars (USD),15423.8
2008,FL,pce,millions of us dollars (USD),597531.5
2008,FL,gds,millions of us dollars (USD),203647.0
2008,FL,dur,millions of us dollars (USD),72357.4
2008,FL,mvp,millions of us dollars (USD),22477.1
2008,FL,hdr,millions of us dollars (USD),18995.1
2008,FL,odg,millions of us dollars (USD),8283.1
2008,FL,ndr,millions of us dollars (USD),131289.6
2008,FL,foo,millions of us dollars (USD),49857.9
2008,FL,clo,millions of us dollars (USD),16553.1
2008,FL,enr,millions of us dollars (USD),18648.5
2008,FL,ong,millions of us dollars (USD),46230.1
2008,FL,ser,millions of us dollars (USD),393884.5
2008,FL,hce,millions of us dollars (USD),389318.6
2008,FL,utl,millions of us dollars (USD),111360.4
2008,FL,hea,millions of us dollars (USD),95095.8
2008,FL,rsr,millions of us dollars (USD),20311.7
2008,FL,htl,millions of us dollars (USD),45094.0
2008,FL,fsr,millions of us dollars (USD),52272.9
2008,FL,osr,millions of us dollars (USD),49760.0
2008,FL,npish,millions of us dollars (USD),4565.9
2008,FL,npi,millions of us dollars (USD),40082.4
2008,FL,nps,millions of us dollars (USD),35516.5
2008,MD,rec,millions of us dollars (USD),6357.9
2008,MD,trn,millions of us dollars (USD),6049.5
2008,MD,pce,millions of us dollars (USD),208882.4
2008,MD,gds,millions of us dollars (USD),66134.4
2008,MD,dur,millions of us dollars (USD),22339.6
2008,MD,mvp,millions of us dollars (USD),7215.3
2008,MD,hdr,millions of us dollars (USD),5594.6
2008,MD,odg,millions of us dollars (USD),3171.8
2008,MD,ndr,millions of us dollars (USD),43794.8
2008,MD,foo,millions of us dollars (USD),14517.5
2008,MD,clo,millions of us dollars (USD),6530.9
2008,MD,enr,millions of us dollars (USD),6834.1
2008,MD,ong,millions of us dollars (USD),15912.3
2008,MD,ser,millions of us dollars (USD),142748.0
2008,MD,hce,millions of us dollars (USD),137136.6
2008,MD,utl,millions of us dollars (USD),43660.4
2008,MD,hea,millions of us dollars (USD),32037.6
2008,MD,rsr,millions of us dollars (USD),8258.0
2008,MD,htl,millions of us dollars (USD),12303.0
2008,MD,fsr,millions of us dollars (USD),13901.4
2008,MD,osr,millions of us dollars (USD),20926.7
2008,MD,npish,millions of us dollars (USD),5611.4
2008,MD,npi,millions of us dollars (USD),25391.1
2008,MD,nps,millions of us dollars (USD),19779.7
2008,OH,rec,millions of us dollars (USD),10193.1
2008,OH,trn,millions of us dollars (USD),11568.5
2008,OH,pce,millions of us dollars (USD),357912.7
2008,OH,gds,millions of us dollars (USD),115385.0
2008,OH,dur,millions of us dollars (USD),36511.1
2008,OH,mvp,millions of us dollars (USD),12293.5
2008,OH,hdr,millions of us dollars (USD),8428.3
2008,OH,odg,millions of us dollars (USD),5596.2
2008,OH,ndr,millions of us dollars (USD),78874.0
2008,OH,foo,millions of us dollars (USD),27094.9
