yr,ir_supply,jc_supply,uni_3,value
2008,ppd,ppd,millions of us dollars (USD),172163.0
2008,ppd,fbp,millions of us dollars (USD),574.0
2008,ppd,eec,millions of us dollars (USD),14.0
2008,ppd,tex,millions of us dollars (USD),35.0
2008,ppd,nmp,millions of us dollars (USD),100.0
2008,ppd,mch,millions of us dollars (USD),15.0
2008,ppd,pla,millions of us dollars (USD),1038.0
2008,ppd,fpd,millions of us dollars (USD),36.0
2008,ppd,slg,millions of us dollars (USD),515.0
2008,ppd,pri,millions of us dollars (USD),521.0
2008,ppd,fmt,millions of us dollars (USD),4.0
2008,ppd,pet,millions of us dollars (USD),24.0
2008,ppd,cep,millions of us dollars (USD),29.0
2008,ppd,pmt,millions of us dollars (USD),196.0
2008,ppd,wpd,millions of us dollars (USD),33.0
2008,ppd,che,millions of us dollars (USD),384.0
2008,ppd,mmf,millions of us dollars (USD),181.0
2008,ppd,Tax,millions of us dollars (USD),2700.0
2008,ppd,imports,millions of us dollars (USD),24969.0
2008,ppd,Output,millions of us dollars (USD),175862.0
2008,ppd,BasicSupply,millions of us dollars (USD),200830.0
2008,ppd,Margins,millions of us dollars (USD),34001.0
2008,ppd,TrnCost,millions of us dollars (USD),11004.0
2008,ppd,TrdTrn,millions of us dollars (USD),45006.0
2008,ppd,Duties,millions of us dollars (USD),83.0
2008,ppd,TaxLesSubsidies,millions of us dollars (USD),2783.0
2008,ppd,Supply,millions of us dollars (USD),248619.0
2008,res,res,millions of us dollars (USD),494290.0
2008,res,amb,millions of us dollars (USD),172.0
2008,res,rec,millions of us dollars (USD),12542.0
2008,res,fbt,millions of us dollars (USD),11933.0
2008,res,fen,millions of us dollars (USD),2252.0
2008,res,edu,millions of us dollars (USD),7662.0
2008,res,amd,millions of us dollars (USD),29697.0
2008,res,hos,millions of us dollars (USD),1313.0
2008,res,nrs,millions of us dollars (USD),396.0
2008,res,art,millions of us dollars (USD),2247.0
2008,res,slg,millions of us dollars (USD),15815.0
2008,res,osv,millions of us dollars (USD),3667.0
2008,res,gmt,millions of us dollars (USD),3239.0
2008,res,ott,millions of us dollars (USD),11197.0
2008,res,otr,millions of us dollars (USD),79.0
2008,res,Tax,millions of us dollars (USD),41050.0
2008,res,Output,millions of us dollars (USD),596500.0
2008,res,BasicSupply,millions of us dollars (USD),596500.0
2008,res,TaxLesSubsidies,millions of us dollars (USD),41050.0
2008,res,Supply,millions of us dollars (USD),637550.0
2008,com,ppd,millions of us dollars (USD),77.0
2008,com,res,millions of us dollars (USD),8.0
2008,com,com,millions of us dollars (USD),238889.0
2008,com,amb,millions of us dollars (USD),495.0
2008,com,fbp,millions of us dollars (USD),98.0
2008,com,rec,millions of us dollars (USD),29.0
2008,com,con,millions of us dollars (USD),201.0
2008,com,eec,millions of us dollars (USD),294.0
2008,com,fnd,millions of us dollars (USD),2517.0
2008,com,pub,millions of us dollars (USD),6939.0
2008,com,hou,millions of us dollars (USD),14.0
2008,com,fbt,millions of us dollars (USD),5.0
2008,com,ins,millions of us dollars (USD),1880.0
2008,com,tex,millions of us dollars (USD),17.0
2008,com,leg,millions of us dollars (USD),280.0
2008,com,fen,millions of us dollars (USD),640.0
2008,com,uti,millions of us dollars (USD),516.0
2008,com,nmp,millions of us dollars (USD),31.0
2008,com,brd,millions of us dollars (USD),1363.0
2008,com,bnk,millions of us dollars (USD),2654.0
2008,com,ore,millions of us dollars (USD),110.0
2008,com,edu,millions of us dollars (USD),3299.0
2008,com,ote,millions of us dollars (USD),498.0
2008,com,man,millions of us dollars (USD),7703.0
2008,com,mch,millions of us dollars (USD),647.0
2008,com,dat,millions of us dollars (USD),8380.0
2008,com,amd,millions of us dollars (USD),27.0
2008,com,oil,millions of us dollars (USD),65.0
2008,com,hos,millions of us dollars (USD),1586.0
2008,com,rnt,millions of us dollars (USD),127.0
2008,com,pla,millions of us dollars (USD),156.0
2008,com,fin,millions of us dollars (USD),87.0
2008,com,tsv,millions of us dollars (USD),7470.0
2008,com,nrs,millions of us dollars (USD),15.0
2008,com,sec,millions of us dollars (USD),976.0
2008,com,art,millions of us dollars (USD),21.0
2008,com,mov,millions of us dollars (USD),187.0
2008,com,fpd,millions of us dollars (USD),41.0
2008,com,slg,millions of us dollars (USD),7101.0
2008,com,pri,millions of us dollars (USD),215.0
2008,com,pip,millions of us dollars (USD),15.0
2008,com,osv,millions of us dollars (USD),489.0
2008,com,trn,millions of us dollars (USD),96.0
2008,com,smn,millions of us dollars (USD),52.0
2008,com,fmt,millions of us dollars (USD),275.0
2008,com,pet,millions of us dollars (USD),45.0
2008,com,mvt,millions of us dollars (USD),35.0
2008,com,cep,millions of us dollars (USD),1415.0
2008,com,wst,millions of us dollars (USD),40.0
2008,com,mot,millions of us dollars (USD),296.0
2008,com,adm,millions of us dollars (USD),5790.0
2008,com,soc,millions of us dollars (USD),40.0
2008,com,alt,millions of us dollars (USD),41.0
2008,com,pmt,millions of us dollars (USD),51.0
2008,com,trk,millions of us dollars (USD),89.0
2008,com,fdd,millions of us dollars (USD),2159.0
2008,com,wtt,millions of us dollars (USD),7.0
2008,com,wpd,millions of us dollars (USD),26.0
2008,com,wht,millions of us dollars (USD),11301.0
2008,com,wrh,millions of us dollars (USD),122.0
2008,com,ott,millions of us dollars (USD),1409.0
2008,com,che,millions of us dollars (USD),503.0
2008,com,air,millions of us dollars (USD),167.0
2008,com,mmf,millions of us dollars (USD),297.0
2008,com,otr,millions of us dollars (USD),153.0
2008,com,min,millions of us dollars (USD),10.0
2008,com,Tax,millions of us dollars (USD),2075.0
2008,com,imports,millions of us dollars (USD),15600.0
2008,com,Output,millions of us dollars (USD),320579.0
2008,com,BasicSupply,millions of us dollars (USD),336180.0
2008,com,TaxLesSubsidies,millions of us dollars (USD),2075.0
2008,com,Supply,millions of us dollars (USD),338255.0
2008,amb,amb,millions of us dollars (USD),732673.0
2008,amb,hos,millions of us dollars (USD),2784.0
2008,amb,nrs,millions of us dollars (USD),777.0
2008,amb,slg,millions of us dollars (USD),22378.0
2008,amb,adm,millions of us dollars (USD),6.0
2008,amb,soc,millions of us dollars (USD),119.0
2008,amb,gmt,millions of us dollars (USD),785.0
2008,amb,ott,millions of us dollars (USD),396.0
2008,amb,air,millions of us dollars (USD),66.0
2008,amb,otr,millions of us dollars (USD),5.0
2008,amb,Tax,millions of us dollars (USD),643.0
2008,amb,Output,millions of us dollars (USD),759991.0
2008,amb,BasicSupply,millions of us dollars (USD),759991.0
2008,amb,TaxLesSubsidies,millions of us dollars (USD),643.0
2008,amb,Supply,millions of us dollars (USD),760634.0
2008,fbp,fbp,millions of us dollars (USD),750370.0
2008,fbp,fbt,millions of us dollars (USD),8424.0
2008,fbp,mch,millions of us dollars (USD),68.0
2008,fbp,slg,millions of us dollars (USD),1567.0
2008,fbp,gmt,millions of us dollars (USD),2763.0
2008,fbp,wht,millions of us dollars (USD),3241.0
2008,fbp,ott,millions of us dollars (USD),4.0
2008,fbp,che,millions of us dollars (USD),8330.0
2008,fbp,Tax,millions of us dollars (USD),67042.0
2008,fbp,imports,millions of us dollars (USD),62671.0
2008,fbp,Output,millions of us dollars (USD),774766.0
2008,fbp,BasicSupply,millions of us dollars (USD),837437.0
2008,fbp,Margins,millions of us dollars (USD),320615.0
2008,fbp,TrnCost,millions of us dollars (USD),22084.0
2008,fbp,TrdTrn,millions of us dollars (USD),342699.0
2008,fbp,Duties,millions of us dollars (USD),825.0
2008,fbp,TaxLesSubsidies,millions of us dollars (USD),67867.0
2008,fbp,Supply,millions of us dollars (USD),1248003.0
2008,rec,res,millions of us dollars (USD),860.0
2008,rec,rec,millions of us dollars (USD),92086.0
2008,rec,agr,millions of us dollars (USD),2052.0
2008,rec,fbt,millions of us dollars (USD),22.0
2008,rec,amd,millions of us dollars (USD),29233.0
2008,rec,art,millions of us dollars (USD),2614.0
2008,rec,mov,millions of us dollars (USD),55.0
2008,rec,slg,millions of us dollars (USD),2206.0
2008,rec,sle,millions of us dollars (USD),25997.0
2008,rec,mvt,millions of us dollars (USD),230.0
2008,rec,wtt,millions of us dollars (USD),237.0
2008,rec,ott,millions of us dollars (USD),131.0
2008,rec,Tax,millions of us dollars (USD),5474.0
2008,rec,Output,millions of us dollars (USD),155723.0
2008,rec,BasicSupply,millions of us dollars (USD),155723.0
2008,rec,TaxLesSubsidies,millions of us dollars (USD),5474.0
2008,rec,Supply,millions of us dollars (USD),161197.0
2008,con,ppd,millions of us dollars (USD),68.0
2008,con,res,millions of us dollars (USD),477.0
2008,con,com,millions of us dollars (USD),2.0
2008,con,amb,millions of us dollars (USD),590.0
2008,con,fbp,millions of us dollars (USD),60.0
2008,con,rec,millions of us dollars (USD),337.0
2008,con,con,millions of us dollars (USD),1273879.0
2008,con,eec,millions of us dollars (USD),22.0
2008,con,fnd,millions of us dollars (USD),382.0
2008,con,pub,millions of us dollars (USD),4.0
2008,con,hou,millions of us dollars (USD),24122.0
2008,con,fbt,millions of us dollars (USD),2.0
2008,con,ins,millions of us dollars (USD),4.0
2008,con,tex,millions of us dollars (USD),30.0
2008,con,uti,millions of us dollars (USD),2399.0
2008,con,nmp,millions of us dollars (USD),367.0
2008,con,brd,millions of us dollars (USD),2245.0
2008,con,bnk,millions of us dollars (USD),2.0
2008,con,ore,millions of us dollars (USD),946.0
2008,con,edu,millions of us dollars (USD),886.0
2008,con,ote,millions of us dollars (USD),354.0
2008,con,man,millions of us dollars (USD),80.0
2008,con,mch,millions of us dollars (USD),473.0
2008,con,dat,millions of us dollars (USD),74.0
2008,con,amd,millions of us dollars (USD),1172.0
2008,con,oil,millions of us dollars (USD),447.0
2008,con,hos,millions of us dollars (USD),1612.0
2008,con,rnt,millions of us dollars (USD),62.0
2008,con,pla,millions of us dollars (USD),52.0
2008,con,fof,millions of us dollars (USD),488.0
2008,con,fin,millions of us dollars (USD),5.0
2008,con,tsv,millions of us dollars (USD),552.0
2008,con,nrs,millions of us dollars (USD),24.0
2008,con,sec,millions of us dollars (USD),5.0
2008,con,art,millions of us dollars (USD),469.0
2008,con,mov,millions of us dollars (USD),18.0
2008,con,fpd,millions of us dollars (USD),231.0
2008,con,slg,millions of us dollars (USD),16190.0
2008,con,pri,millions of us dollars (USD),3.0
2008,con,grd,millions of us dollars (USD),10.0
2008,con,pip,millions of us dollars (USD),36.0
2008,con,osv,millions of us dollars (USD),802.0
2008,con,trn,millions of us dollars (USD),1235.0
2008,con,smn,millions of us dollars (USD),3966.0
2008,con,fmt,millions of us dollars (USD),1395.0
2008,con,pet,millions of us dollars (USD),83.0
2008,con,mvt,millions of us dollars (USD),8.0
2008,con,cep,millions of us dollars (USD),15.0
2008,con,wst,millions of us dollars (USD),2.0
2008,con,mot,millions of us dollars (USD),259.0
2008,con,adm,millions of us dollars (USD),1985.0
2008,con,soc,millions of us dollars (USD),201.0
2008,con,pmt,millions of us dollars (USD),111.0
2008,con,trk,millions of us dollars (USD),211.0
2008,con,fdd,millions of us dollars (USD),4.0
2008,con,gmt,millions of us dollars (USD),1898.0
2008,con,wtt,millions of us dollars (USD),4.0
2008,con,wpd,millions of us dollars (USD),110.0
2008,con,wht,millions of us dollars (USD),3815.0
2008,con,wrh,millions of us dollars (USD),40.0
2008,con,ott,millions of us dollars (USD),3844.0
2008,con,che,millions of us dollars (USD),76.0
2008,con,air,millions of us dollars (USD),17.0
2008,con,mmf,millions of us dollars (USD),769.0
2008,con,otr,millions of us dollars (USD),210.0
2008,con,min,millions of us dollars (USD),11197.0
2008,con,Tax,millions of us dollars (USD),1469.0
