uni_0,element_text
log_fof,Forestry and logging (113000)
non_ott,Nonstore retailers (454000)
pkg_mch,Packaging machinery manufacturing (333993)
sop_che,Soap and cleaning compound manufacturing (325610)
amd_amd,Accommodation (721000)
pag_che,Pesticide and other agricultural chemical manufacturing (325320)
mct_mch,Machine tool manufacturing (333517)
spr_art,Spectator sports (711200)
sdp_che,Synthetic dye and pigment manufacturing (325130)
mch_fmt,Machine shops (332710)
leg_leg,Legal services (541100)
pbm_ppd,Paperboard mills (322130)
mch_wht,"Machinery, equipment, and supplies (423800)"
dwe_adm,Services to buildings and dwellings (561700)
ele_uti,"Electric power generation, transmission, and distribution (221100)"
app_alt,Apparel manufacturing (315000)
adv_tsv,"Advertising, public relations, and related services (541800)"
dir_ins,Direct life insurance carriers (524113)
ele_wht,Wholesale electronic markets and agents and brokers (425000)
oti_mch,Other industrial machinery manufacturing (33329A)
dry_osv,Dry-cleaning and laundry services (812300)
mus_art,"Museums, historical sites, zoos, and parks (712000)"
omh_eec,Other major household appliance manufacturing (335228)
gmt_gmt,General merchandise stores (452000)
oth_slg,State and local government (other services) (GSLGO)
oss_adm,Other support services (561900)
des_tsv,Specialized design services (541400)
fom_pla,Polystyrene foam product manufacturing (326140)
cut_fmt,Cutlery and handtool manufacturing (332200)
ipv_cep,Industrial process variable instruments manufacturing (334513)
mlk_fbp,Fluid milk and butter manufacturing (31151A)
res_nrs,"Residential mental health, substance abuse, and other residential care facilities (623B00)"
ppp_pla,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing (326120)"
odg_wht,Other durable goods merchant wholesalers (423A00)
bok_pub,Book publishers (511130)
lea_alt,Leather and allied product manufacturing (316000)
ifs_soc,Individual and family services (624100)
pav_pet,Asphalt paving mixture and block manufacturing (324121)
pcs_osv,Personal care services (812100)
tea_fbp,Coffee and tea manufacturing (311920)
pri_che,Printing ink manufacturing (325910)
mrs_con,Multifamily residential structures (233412)
wtl_brd,Wired telecommunications carriers (517110)
brd_cep,Broadcast and wireless communications equipment (334220)
ltr_mot,Light truck and utility vehicle manufacturing (336112)
min_mch,Mining and oil and gas field machinery manufacturing (333130)
sta_ppd,Stationery product manufacturing (322230)
sys_com,Computer systems design services (541512)
stl_pmt,Steel product manufacturing from purchased steel                     (331200)
mmo_cep,Manufacturing and reproducing magnetic and optical media (334610)
fin_fin,"Funds, trusts, and other financial vehicles (525000)"
mtt_fmt,Metal tank (heavy gauge) manufacturing (332420)
fab_fmt,Fabricated pipe and pipe fitting manufacturing (332996)
veg_agr,Vegetable and melon farming (111200)
mis_ote,Guided missile and space vehicle manufacturing (336414)
trn_sle,State and local government passenger transit (S00201)
wol_nmp,Mineral wool manufacturing (327993)
cas_rec,Gambling industries (except casino hotels) (713200)
lam_pla,"Laminated plastics plate, sheet (except packaging), and shape manufacturing (326130)"
chs_fbp,Cheese manufacturing (311513)
agt_art,Promoters of performing arts and sports and agents for public figures (711A00)
trk_trk,Truck transportation (484000)
fyt_tex,"Fiber, yarn, and thread mills (313100)"
oph_mmf,Ophthalmic goods manufacturing (339115)
toi_che,Toilet preparation manufacturing (325620)
dpr_dat,"Data processing, hosting, and related services (518200)"
oth_smn,Other support activities for mining (21311A)
pwr_con,Power and communication structures (233240)
pet_wht,Petroleum and petroleum products (424700)
plp_ppd,Pulp mills (322110)
cus_com,Custom computer programming services (541511)
hrf_eec,Household refrigerator and home freezer manufacturing (335222)
sem_cep,Semiconductor and related device manufacturing (334413)
new_dat,"News syndicates, libraries, archives and all other information services (5191A0)"
sec_use,Used and secondhand goods (S00402)
env_tsv,Environmental and other technical consulting services (5416A0)
inv_adm,Investigation and security services (561600)
ceh_fmt,"Coating, engraving, heat treating and allied activities (332800)"
pmr_che,Plastics material and resin manufacturing (325211)
mal_pub,"Directory, mailing list, and other publishers (5111A0)"
otp_tex,Other textile product mills (314900)
och_che,All other chemical product and preparation manufacturing (3259A0)
oth_agr,Other crop farming (111900)
pwr_fmt,Power boiler and heat exchanger manufacturing (332410)
ofg_fen,Other federal government enterprises (S00102)
ber_fbp,Breweries (312120)
plt_fmt,Plate work and fabricated structural product manufacturing (332310)
mes_otr,Couriers and messengers (492000)
fac_adm,Facilities support services (561200)
sat_brd,"Satellite, telecommunications resellers, and all other telecommunications (517A00)"
orb_pla,Other rubber product manufacturing (326290)
ogp_mch,Other general purpose machinery manufacturing (33399A)
oth_ott,All other retail (4B0000)
wls_brd,Wireless telecommunications carriers (except satellite) (517210)
gas_mot,Motor vehicle gasoline engine and engine parts manufacturing (336310)
can_fbp,"Fruit and vegetable canning, pickling, and drying (311420)"
sbt_eec,Storage battery manufacturing (335911)
