uni_0,element_text
IA,Iowa
FL,Florida
MD,Maryland
OH,Ohio
TN,Tennessee
WI,Wisconsin
RI,Rhode Island
AK,Alaska
WV,West Virginia
AZ,Arizona
NH,New Hampshire
OK,Oklahoma
NE,Nebraska
KY,Kentucky
NM,New Mexico
IL,Illinois
NC,North Carolina
VA,Virginia
CT,Connecticut
MI,Michigan
DE,Delaware
HI,Hawaii
GA,Georgia
CA,California
ME,Maine
MA,Massachusetts
MS,Mississippi
WA,Washington
TX,Texas
AL,Alabama
NV,Nevada
SD,South Dakota
MN,Minnesota
VT,Vermont
MO,Missouri
IN,Indiana
LA,Louisiana
KS,Kansas
AR,Arkansas
NY,New York
OR,Oregon
ND,North Dakota
SC,South Carolina
ID,Idaho
NJ,New Jersey
UT,Utah
MT,Montana
DC,District of Columbia
PA,Pennsylvania
WY,Wyoming
CO,Colorado
US,USA
