yr,i,fd,value
1997,ppd,changinv,1.412463341344378
1997,ppd,pce,24.34656485742141
1997,ppd,fed_intelprop,3.738144231192115e-12
1997,res,pce,287.7874283175727
1997,res,fed_intelprop,3.731256573671673e-12
1997,com,def_equipment,0.4072022947066234
1997,com,state_equipment,0.20260310402812395
1997,com,def_intelprop,4.093979918316291
1997,com,equipment,5.755724570397381
1997,com,state_intelprop,4.495193942417031
1997,com,intelprop,58.75789363782331
1997,com,state_consume,3.7458538342687914e-12
1997,com,fed_intelprop,6.422418520912863
1997,amb,pce,380.35011569949614
1997,amb,fed_intelprop,3.7239634052509374e-12
1997,fbp,changinv,4.826961626732641
1997,fbp,pce,509.29882283449666
1997,fbp,fed_intelprop,3.724695537416133e-12
1997,rec,pce,73.52418243249589
1997,rec,fed_intelprop,3.71978414435428e-12
1997,con,fed_structures,10.185027230607927
1997,con,def_structures,6.1120148707360045
1997,con,state_invest,133.46879065869615
1997,con,structures,225.43459388640093
1997,con,residential,289.37759278210063
1997,con,fed_intelprop,3.722956379683076e-12
1997,agr,changinv,4.320556918144226
1997,agr,pce,63.942223426704835
1997,agr,fed_intelprop,3.729386908492406e-12
1997,eec,def_equipment,0.3913036049996368
1997,eec,changinv,2.0708990711692974
1997,eec,state_equipment,1.0143793421977656
1997,eec,fed_equipment,0.4545141869768698
1997,eec,residential,4.1618649928781775
1997,eec,equipment,14.498300178620145
1997,eec,pce,41.245406486794266
1997,eec,fed_intelprop,3.737020042085596e-12
1997,fnd,nondefense,146.28054454154164
1997,fnd,fed_intelprop,3.721743428627615e-12
1997,pub,changinv,1.2167524568049266
1997,pub,def_intelprop,1.2117328509658407
1997,pub,state_intelprop,2.2789010524933393
1997,pub,intelprop,37.554683058557835
1997,pub,pce,72.51523381828306
1997,pub,state_consume,3.726079718116863e-12
1997,pub,fed_intelprop,1.1123446553541352
1997,hou,pce,838.2474529681241
1997,hou,fed_intelprop,3.723936139874237e-12
1997,ins,residential,5.054676481623803
1997,ins,pce,169.21031392622115
1997,ins,fed_intelprop,3.733781789797401e-12
1997,tex,changinv,1.302844494729876
1997,tex,def_structures,3.73439244030767e-12
1997,tex,state_equipment,0.02522937129751469
1997,tex,fed_equipment,0.042385340390376364
1997,tex,residential,1.0293581603490136
1997,tex,equipment,2.1878906766101776
1997,tex,pce,38.8189127019798
1997,leg,def_intelprop,3.755349385109048e-12
1997,leg,residential,9.992539670122317
1997,leg,pce,53.67469814494928
1997,fen,pce,8.470754072909523
1997,fen,fed_intelprop,3.778798623215971e-12
1997,uti,pce,146.974281735156
1997,uti,fed_intelprop,3.739506245736998e-12
1997,nmp,changinv,1.0934085772446327
1997,nmp,pce,10.972239597645446
1997,nmp,fed_intelprop,3.744490508275783e-12
1997,brd,equipment,5.494380942194481
1997,brd,intelprop,11.174490234452739
1997,brd,pce,134.99769456931435
1997,brd,fed_intelprop,3.732063962843149e-12
1997,bnk,pce,103.09361346346836
1997,bnk,fed_intelprop,3.733610030071737e-12
1997,ore,structures,2.0163658450477793
1997,ore,residential,52.193584893053185
1997,ore,pce,1.3795661214410637
1997,ore,fed_intelprop,3.729252509156451e-12
1997,edu,pce,126.94604613158548
1997,edu,fed_intelprop,3.725384684610988e-12
1997,ote,def_equipment,11.760984036541263
1997,ote,changinv,1.2388915373240137
1997,ote,state_equipment,0.6449024448986415
1997,ote,fed_equipment,5.616441405155364
1997,ote,equipment,26.591743635805205
1997,ote,pce,15.235071503236188
1997,ote,fed_intelprop,3.7238784840734265e-12
1997,man,fed_intelprop,3.7464127306780355e-12
1997,mch,def_equipment,0.8254123326106665
1997,mch,changinv,4.863104527473731
1997,mch,state_equipment,2.35573884448343
1997,mch,fed_equipment,0.21087176578700564
1997,mch,equipment,180.37970650143694
1997,mch,pce,11.43828694360633
1997,mch,fed_intelprop,3.732773500329306e-12
1997,dat,def_intelprop,0.2751667264576324
1997,dat,state_intelprop,0.5842308008761768
1997,dat,intelprop,3.064719247227713
1997,dat,pce,3.121547157792068
1997,dat,state_consume,3.796565746160679e-12
1997,dat,fed_intelprop,0.18743240879741044
1997,amd,pce,53.69595180332757
1997,amd,fed_intelprop,3.7430822446743256e-12
1997,oil,fed_structures,3.712734628631643e-12
1997,oil,changinv,0.5828882563426112
1997,hos,def_structures,3.724746723972513e-12
1997,hos,pce,337.3789999331
1997,rnt,nondefense,3.750116610768298e-12
1997,rnt,pce,63.149616438380704
1997,pla,changinv,2.3747727499118083
1997,pla,fed_equipment,0.009048674356776745
1997,pla,residential,0.5610174416583336
1997,pla,equipment,0.34485480820430225
1997,pla,state_intelprop,3.7410219316359135e-12
1997,pla,pce,33.053780230589375
1997,fof,changinv,0.2695594359449602
1997,fof,state_invest,3.731198593489711e-12
1997,fof,pce,5.926284271409511
1997,fin,pce,63.263301103098556
1997,fin,fed_intelprop,3.721338434072072e-12
1997,tsv,def_intelprop,33.58386283668099
1997,tsv,residential,0.7777693966176931
1997,tsv,equipment,24.610061392660807
1997,tsv,state_intelprop,6.881112545325568
1997,tsv,intelprop,149.1520082473298
1997,tsv,pce,24.9984468801686
1997,tsv,state_consume,3.721173976077607e-12
1997,tsv,fed_intelprop,37.076336963429675
1997,nrs,pce,92.59029565363053
1997,nrs,fed_intelprop,3.7189844803919095e-12
1997,sec,pce,71.6796240852954
1997,sec,fed_intelprop,3.7335768376182805e-12
1997,art,intelprop,1.8640784756414972
1997,art,pce,23.431566113970298
1997,art,fed_intelprop,3.74794760799548e-12
1997,mov,changinv,0.1147984731190185
