yr,i,m,value
1997,ppd,trn,3.711998729952365e-12
1997,ppd,trd,3.7300807363983584e-12
1997,res,trn,3.711755271649051e-12
1997,res,trd,3.729850724927441e-12
1997,com,trn,3.6994210315508845e-12
1997,com,trd,3.717421564047731e-12
1997,amb,trn,3.711275510709038e-12
1997,amb,trd,3.729365749711437e-12
1997,fbp,trn,3.716001029540765e-12
1997,fbp,trd,3.734126860840724e-12
1997,rec,trn,3.695862756636013e-12
1997,rec,trd,3.713860088183048e-12
1997,con,trn,3.715639041957739e-12
1997,con,trd,3.7337553246814435e-12
1997,agr,trn,3.717488449820467e-12
1997,agr,trd,3.7356192411069305e-12
1997,eec,trn,3.710221961053459e-12
1997,eec,trd,3.728291598396542e-12
1997,fnd,trn,3.707475537418316e-12
1997,fnd,trd,3.725525466757616e-12
1997,pub,trn,3.708922518795393e-12
1997,pub,trd,3.726989711881597e-12
1997,hou,trn,3.714148564562733e-12
1997,hou,trd,3.732243841649377e-12
1997,fbt,trn,3.702153321107371e-12
1997,fbt,trd,107.99749593971559
1997,ins,trn,3.718684426089578e-12
1997,ins,trd,3.736802563934861e-12
1997,tex,trn,3.707849989450467e-12
1997,tex,trd,3.725907687063861e-12
1997,leg,trn,3.721869289530457e-12
1997,leg,trd,3.74000432168393e-12
1997,fen,trn,3.731556963344251e-12
1997,fen,trd,3.749743483969961e-12
1997,uti,trn,3.720584804441045e-12
1997,uti,trd,3.738724775433736e-12
1997,nmp,trn,3.712018093024933e-12
1997,nmp,trd,3.73010757391537e-12
1997,brd,trn,3.7178101861739834e-12
1997,brd,trd,3.735922914474162e-12
1997,bnk,trn,3.714307611429075e-12
1997,bnk,trd,3.732395595453062e-12
1997,ore,trn,3.71903227938953e-12
1997,ore,trd,3.737156285412897e-12
1997,edu,trn,3.710384565437397e-12
1997,edu,trd,3.7284697121807014e-12
1997,ote,trn,3.707951091901103e-12
1997,ote,trd,3.72600522763404e-12
1997,man,trn,3.717469788494636e-12
1997,man,trd,3.7355678989464e-12
1997,mch,trn,3.714961769622898e-12
1997,mch,trd,3.733068942250002e-12
1997,dat,trn,3.724660863238491e-12
1997,dat,trd,3.742824138568527e-12
1997,amd,trn,3.703392803639664e-12
1997,amd,trd,3.721418166827536e-12
1997,oil,trn,3.6955195729894084e-12
1997,oil,trd,3.713492774571414e-12
1997,hos,trn,3.7150943491379305e-12
1997,hos,trd,3.733211098480319e-12
1997,rnt,trn,3.718710677883824e-12
1997,rnt,trd,3.736836690213708e-12
1997,pla,trn,3.711518901233482e-12
1997,pla,trd,3.729593881217957e-12
1997,fof,trn,3.690679331723931e-12
1997,fof,trd,3.708641088284021e-12
1997,fin,trn,3.697436065494808e-12
1997,fin,trd,3.715435958074186e-12
1997,tsv,trn,3.712921212148258e-12
1997,tsv,trd,3.7310823193539495e-12
1997,nrs,trn,3.6952692266358816e-12
1997,nrs,trd,3.713237815932617e-12
1997,sec,trn,3.716650569679216e-12
1997,sec,trd,3.734761461968273e-12
1997,art,trn,3.712688059006496e-12
1997,art,trd,3.730768673419602e-12
1997,mov,trn,3.6940849468001e-12
1997,mov,trd,3.712052320659771e-12
1997,fpd,trn,3.694816885364397e-12
1997,fpd,trd,3.712795210667622e-12
1997,slg,trn,3.711362324202717e-12
1997,slg,trd,3.729441002618728e-12
1997,pri,trn,3.70985742095319e-12
1997,pri,trd,3.727922351517819e-12
1997,grd,trn,3.6992461921081366e-12
1997,grd,trd,3.7172536701349435e-12
1997,pip,trn,22.34611291379958
1997,pip,trd,3.707607080196454e-12
1997,sle,trn,3.7097779269004406e-12
1997,sle,trd,3.727837044431601e-12
1997,osv,trn,3.71374551550921e-12
1997,osv,trd,3.731842274582255e-12
1997,trn,trn,31.955295359861626
1997,trn,trd,3.726938309411431e-12
1997,smn,trn,3.672980401156528e-12
1997,smn,trd,3.6908236493206306e-12
1997,fmt,trn,3.711651055414415e-12
1997,fmt,trd,3.729727443815021e-12
1997,pet,trn,3.709191727202844e-12
1997,pet,trd,3.727252697334853e-12
1997,mvt,trn,3.702495293516197e-12
1997,mvt,trd,95.62122758811022
1997,cep,trn,3.7129209128653166e-12
1997,cep,trd,3.731008226228634e-12
1997,wst,trn,3.712104464200013e-12
1997,wst,trd,3.730191965024481e-12
1997,mot,trn,3.713139166083561e-12
1997,mot,trd,3.73123368693584e-12
1997,adm,trn,3.710963509498951e-12
1997,adm,trd,3.729026827345315e-12
1997,soc,trn,3.69064119208945e-12
1997,soc,trd,3.708587226784979e-12
1997,alt,trn,3.7019592630629744e-12
1997,alt,trd,3.71997686126004e-12
1997,pmt,trn,3.699686576504133e-12
1997,pmt,trd,3.717692005743529e-12
1997,trk,trn,123.31120204232042
1997,trk,trd,3.7354336804756574e-12
1997,fdd,trn,3.709621259423059e-12
1997,fdd,trd,3.727690796518676e-12
1997,gmt,trn,3.701771996923107e-12
1997,gmt,trd,89.16450893293661
1997,wtt,trn,9.354331817202361
1997,wtt,trd,3.7136911502942945e-12
1997,wpd,trn,3.705383091328297e-12
1997,wpd,trd,3.723427738632694e-12
1997,wht,trn,3.706390104013855e-12
1997,wht,trd,541.1462585820553
1997,wrh,trn,3.719580710637538e-12
1997,wrh,trd,3.737699512184937e-12
1997,ott,trn,3.705247976494037e-12
1997,ott,trd,368.8592921778017
1997,che,trn,3.712796623956157e-12
1997,che,trd,3.730886216052445e-12
1997,air,trn,6.171094896123423
1997,air,trd,3.735381095288383e-12
1997,mmf,trn,3.699987239891809e-12
1997,mmf,trd,3.7179969202689025e-12
1997,otr,trn,0.5886184462602223
1997,otr,trd,3.73144505970411e-12
1997,min,trn,3.701417175202212e-12
1997,min,trd,3.719433593698484e-12
1998,ppd,trn,1.3752882310682189e-12
1998,ppd,trd,1.384159755930922e-12
1998,res,trn,1.374857991525603e-12
1998,res,trd,1.3837307824876505e-12
1998,com,trn,1.3715087359827954e-12
1998,com,trd,1.380350263240208e-12
1998,amb,trn,1.3752053382380207e-12
1998,amb,trd,1.3840828693007174e-12
1998,fbp,trn,1.3769426464916462e-12
1998,fbp,trd,1.385834495220929e-12
1998,rec,trn,1.3664902097478718e-12
1998,rec,trd,1.3753054207538682e-12
1998,con,trn,1.3768832975436807e-12
1998,con,trd,1.3857731261891334e-12
1998,agr,trn,1.3768581547449503e-12
1998,agr,trd,1.3857479359852508e-12
1998,eec,trn,1.3739803927047852e-12
1998,eec,trd,1.3828422941307677e-12
1998,fnd,trn,1.3741732243758585e-12
1998,fnd,trd,1.3830360629889965e-12
1998,pub,trn,1.3742687743894022e-12
1998,pub,trd,1.3831355327316175e-12
1998,hou,trn,1.3761631592428025e-12
1998,hou,trd,1.3850448055782123e-12
1998,fbt,trn,1.3716761192027514e-12
1998,fbt,trd,110.96014661085863
1998,ins,trn,1.3785763992251304e-12
1998,ins,trd,1.3874728492109355e-12
1998,tex,trn,1.373320950300522e-12
1998,tex,trd,1.3821820925816008e-12
1998,leg,trn,1.3807492797247585e-12
1998,leg,trd,1.3896623878713545e-12
1998,fen,trn,1.386457840848426e-12
1998,fen,trd,1.3954084819019849e-12
1998,uti,trn,1.379044603665493e-12
1998,uti,trd,1.387952448249421e-12
1998,nmp,trn,1.3744874699498207e-12
1998,nmp,trd,1.383358500442499e-12
1998,brd,trn,1.3783933961093391e-12
1998,brd,trd,1.3872910140536447e-12
1998,bnk,trn,1.3767215987672104e-12
1998,bnk,trd,1.3856036930691051e-12
1998,ore,trn,1.3794778287899712e-12
1998,ore,trd,1.3883846353587521e-12
1998,edu,trn,1.3741932101648296e-12
1998,edu,trd,1.3830647192350005e-12
1998,ote,trn,1.3737503350342276e-12
1998,ote,trd,1.3826112578251022e-12
1998,man,trn,1.379396315554346e-12
1998,man,trd,1.3882941012388341e-12
1998,mch,trn,1.3764914714545076e-12
1998,mch,trd,1.385375588040843e-12
1998,dat,trn,1.382698501124051e-12
1998,dat,trd,1.3916242078446789e-12
1998,amd,trn,1.372110565925808e-12
1998,amd,trd,1.3809536526513713e-12
1998,oil,trn,1.3692106344581414e-12
1998,oil,trd,1.3780380439020077e-12
1998,hos,trn,1.3766844786709879e-12
1998,hos,trd,1.3855748316898572e-12
1998,rnt,trn,1.3783823763305331e-12
1998,rnt,trd,1.3872823260860254e-12
1998,pla,trn,1.3757237102802356e-12
1998,pla,trd,1.3845982252861853e-12
1998,fof,trn,1.3641149008091146e-12
1998,fof,trd,1.3729095657952192e-12
1998,fin,trn,1.370285948248829e-12
1998,fin,trd,1.3791266247051764e-12
1998,tsv,trn,1.375821613264608e-12
1998,tsv,trd,1.3847246874222047e-12
1998,nrs,trn,1.3681691554362202e-12
1998,nrs,trd,1.3769836778121335e-12
1998,sec,trn,1.377541308432226e-12
1998,sec,trd,1.386433868409915e-12
1998,art,trn,1.3765336097219976e-12
1998,art,trd,1.3854139297435538e-12
1998,mov,trn,1.367376483472387e-12
1998,mov,trd,1.3761917485186615e-12
1998,fpd,trn,1.367098025304834e-12
1998,fpd,trd,1.3759102327450275e-12
1998,slg,trn,1.3755809823490525e-12
1998,slg,trd,1.384458230844112e-12
1998,pri,trn,1.3747783294693172e-12
1998,pri,trd,1.3836469607338312e-12
1998,grd,trn,1.36855347831988e-12
1998,grd,trd,1.377376974440459e-12
1998,pip,trn,22.202724464511842
1998,pip,trd,1.3777801045060864e-12
1998,sle,trn,1.3746947117135915e-12
1998,sle,trd,1.3835607412196279e-12
1998,osv,trn,1.376393577692889e-12
1998,osv,trd,1.3852762047244822e-12
1998,trn,trn,31.464239325828046
1998,trn,trd,1.3840292340635937e-12
1998,smn,trn,1.3575770425675668e-12
1998,smn,trd,1.3663152640203768e-12
1998,fmt,trn,1.3756860853878419e-12
1998,fmt,trd,1.3845618273165178e-12
1998,pet,trn,1.3758923127812166e-12
1998,pet,trd,1.3847703689081292e-12
1998,mvt,trn,1.3721012164588542e-12
1998,mvt,trd,91.12562035852766
1998,cep,trn,1.3758684820051404e-12
1998,cep,trd,1.3847441556000123e-12
1998,wst,trn,1.374910898544038e-12
1998,wst,trd,1.3837807961704745e-12
1998,mot,trn,1.3765603195469315e-12
1998,mot,trd,1.3854429465030446e-12
1998,adm,trn,1.3762206902513198e-12
1998,adm,trd,1.3850979864294642e-12
1998,soc,trn,1.3653361364171403e-12
1998,soc,trd,1.3741366407635972e-12
1998,alt,trn,1.370320510254214e-12
1998,alt,trd,1.3791522129689976e-12
1998,pmt,trn,1.368957187476353e-12
1998,pmt,trd,1.3777801654467052e-12
1998,trk,trn,131.25242406592508
1998,trk,trd,1.3879885622568247e-12
1998,fdd,trn,1.3746014469196144e-12
1998,fdd,trd,1.383468448389909e-12
