yr,va,j,value
1997,surplus,ppd,22.55774980817332
1997,surplus,res,32.64305103559203
1997,surplus,com,9.5603100505754
1997,surplus,amb,56.786775023069744
1997,surplus,fbp,56.67562679599434
1997,surplus,rec,17.096870894948125
1997,surplus,con,107.24285188474018
1997,surplus,agr,72.56092192628206
1997,surplus,eec,19.118849291900776
1997,surplus,fnd,50.03740699897441
1997,surplus,pub,43.57744841186215
1997,surplus,hou,660.8447746304477
1997,surplus,fbt,21.02821440228258
1997,surplus,ins,89.0383613543646
1997,surplus,tex,6.354768871283544
1997,surplus,leg,40.00960341985161
1997,surplus,fen,10.865024684623966
1997,surplus,uti,97.69795503533274
1997,surplus,nmp,16.799717158975646
1997,surplus,brd,123.5010084970049
1997,surplus,bnk,115.86277333587665
1997,surplus,ore,116.73444828138427
1997,surplus,edu,14.648058395456792
1997,surplus,ote,14.864252517440981
1997,surplus,man,14.587354660460036
1997,surplus,mch,27.866025291740616
1997,surplus,dat,9.262101396764168
1997,surplus,amd,22.297443554984593
1997,surplus,oil,33.4418656353035
1997,surplus,hos,21.266430155418256
1997,surplus,rnt,79.61198707682307
1997,surplus,pla,21.642113939483437
1997,surplus,fof,10.166003966611104
1997,surplus,fin,4.788717033587865
1997,surplus,tsv,113.31448436301166
1997,surplus,nrs,3.2526072879696173
1997,surplus,sec,27.035969038830817
1997,surplus,art,14.496063267309104
1997,surplus,mov,19.87443029870014
1997,surplus,fpd,7.9760544287506345
1997,surplus,slg,75.70118354359916
1997,surplus,pri,4.73356844213215
1997,surplus,grd,5.863455021827938
1997,surplus,pip,2.535076333049476
1997,surplus,sle,32.93651862974265
1997,surplus,osv,78.71124465933367
1997,surplus,trn,4.976103059769732
1997,surplus,smn,3.862995879830114
1997,surplus,fmt,37.461127974554806
1997,surplus,pet,35.07592525287232
1997,surplus,mvt,31.168962282688387
1997,surplus,cep,81.88604975132932
1997,surplus,wst,7.4520089886365275
1997,surplus,mot,46.93796787861734
1997,surplus,adm,43.19031849461137
1997,surplus,soc,6.86991229135281
1997,surplus,alt,6.754074393914405
1997,surplus,pmt,15.075346504682887
1997,surplus,trk,25.091311335656393
1997,surplus,fdd,102.77565800266545
1997,surplus,gmt,10.883098603557771
1997,surplus,wtt,2.9106606405579876
1997,surplus,wpd,7.0201238045859515
1997,surplus,wht,137.13625401092577
1997,surplus,wrh,3.3205527815934874
1997,surplus,ott,70.2234278058783
1997,surplus,che,104.53362233783034
1997,surplus,air,17.405671331210506
1997,surplus,mmf,19.83702242879833
1997,surplus,otr,14.104352966442162
1997,surplus,min,9.563916859179342
1997,compen,ppd,32.401112932703015
1997,compen,res,98.04729806284826
1997,compen,com,64.32876200269578
1997,compen,amb,189.44684673772153
1997,compen,fbp,62.211404182656395
1997,compen,rec,21.797355604095472
1997,compen,con,229.73418371191073
1997,compen,agr,17.05875778209274
1997,compen,eec,27.03265151694858
1997,compen,fnd,72.59051374185123
1997,compen,pub,52.06997673141189
1997,compen,hou,8.827103074754056
1997,compen,fbt,57.17530861216707
1997,compen,ins,112.74745300624446
1997,compen,tex,20.1404774385497
1997,compen,leg,60.57034448911832
1997,compen,fen,47.52607081065627
1997,compen,uti,42.14937746019208
1997,compen,nmp,22.06292917155292
1997,compen,brd,79.05610594988744
1997,compen,bnk,110.29299802200495
1997,compen,ore,33.544485409118735
1997,compen,edu,59.4841951699047
1997,compen,ote,46.61624228389421
1997,compen,man,106.25063572741112
1997,compen,mch,72.265892255986
1997,compen,dat,20.4835321186024
