yr,i,value
1997,ppd,16.473
1997,res,2.0340000000000003
1997,com,5.066
1997,amb,0.041
1997,fbp,37.986000000000004
1997,con,0.11
1997,agr,27.508
1997,eec,17.363
1997,pub,16.463
1997,ins,2.574
1997,tex,8.24
1997,leg,4.537
1997,fen,0.273
1997,uti,2.559
1997,nmp,6.863
1997,brd,7.611
1997,bnk,10.513
1997,ore,2.049
1997,edu,1.175
1997,ote,53.188
1997,man,2.439
1997,mch,74.358
1997,dat,1.542
1997,oil,1.76
1997,hos,0.46
1997,rnt,20.717
1997,pla,12.837
1997,fof,4.471
1997,tsv,29.352
1997,sec,10.176
1997,art,0.5760000000000001
1997,mov,6.2940000000000005
1997,fpd,2.781
1997,pri,1.341
1997,pip,0.356
1997,osv,0.14100000000000001
1997,trn,0.848
1997,smn,1.6280000000000001
1997,fmt,17.852
1997,pet,14.152000000000001
1997,cep,134.639
1997,wst,0.03
1997,mot,67.624
1997,adm,0.9480000000000001
1997,alt,11.075000000000001
1997,pmt,18.669
1997,trk,1.203
1997,wtt,5.317
1997,wpd,5.615
1997,wht,1.0030000000000001
1997,wrh,0.09
1997,che,79.037
1997,air,22.76
1997,mmf,16.734
1997,otr,3.986
1997,min,6.0
1998,ppd,14.873000000000001
1998,res,2.073
1998,com,5.203
1998,amb,0.042
1998,fbp,35.805
1998,con,0.11900000000000001
1998,agr,23.511
1998,eec,20.34
1998,pub,17.008
1998,ins,3.4450000000000003
1998,tex,8.321
1998,leg,4.509
1998,fen,0.276
1998,uti,2.549
1998,nmp,6.667
1998,brd,7.706
1998,bnk,10.465
1998,ore,2.177
1998,edu,1.176
1998,ote,66.21600000000001
1998,man,2.36
1998,mch,73.479
1998,dat,1.813
1998,oil,1.3960000000000001
1998,hos,0.459
1998,rnt,21.217
1998,pla,14.882
1998,fof,3.516
1998,tsv,33.012
1998,sec,11.484
1998,art,0.589
1998,mov,7.665
1998,fpd,2.852
1998,pri,1.5230000000000001
1998,pip,0.343
1998,osv,0.138
1998,trn,0.8160000000000001
1998,smn,1.627
1998,fmt,19.076
1998,pet,11.26
1998,cep,132.699
1998,wst,0.031
1998,mot,63.664
1998,adm,0.973
1998,alt,11.245000000000001
1998,pmt,15.624
1998,trk,1.157
1998,wtt,4.534
1998,wpd,4.753
1998,wht,1.002
1998,wrh,0.084
1998,che,71.837
1998,air,22.051000000000002
1998,mmf,16.469
1998,otr,4.08
1998,min,5.319
1999,ppd,14.466000000000001
1999,res,1.342
1999,com,5.034
1999,amb,0.045
1999,fbp,32.822
1999,con,0.07200000000000001
1999,agr,21.286
1999,eec,22.559
1999,pub,20.193
1999,ins,3.434
1999,tex,8.764
1999,leg,4.19
