yr,j,i,value
1997,ppd,ppd,142.51666009391624
1997,ppd,com,0.30852794271946754
1997,ppd,con,0.15390082944532027
1997,ppd,tex,0.29351336254614635
1997,ppd,nmp,0.004853263614881057
1997,ppd,pla,1.02218474585867
1997,ppd,tsv,0.5795878880544941
1997,ppd,fpd,0.04538299522476634
1997,ppd,pri,0.5877502994423769
1997,ppd,fmt,0.12788701925941756
1997,ppd,cep,0.1330603563220727
1997,ppd,pmt,0.07239296426522669
1997,ppd,wpd,0.16381057505247978
1997,ppd,wht,0.5480123401503255
1997,ppd,che,0.3990798425711226
1997,ppd,mmf,0.23561037920005218
1997,res,res,286.8490168914467
1997,res,com,0.042064044890476826
1997,res,rec,0.6918327062696396
1997,res,con,0.6434965249455254
1997,res,fbt,0.22951948572329028
1997,res,brd,0.002025058973746797
1997,res,amd,0.33821750249877863
1997,res,tsv,0.001001142587438885
1997,res,ott,0.42489800997020116
1997,com,com,102.13827648992223
1997,com,con,0.006004216188554931
1997,com,pub,0.7885094397832573
1997,com,brd,0.10614337861130695
1997,com,edu,0.3866386571525281
1997,com,dat,6.842485530953748
1997,com,rnt,0.0019977609597151016
1997,com,tsv,2.370754303842489
1997,com,osv,2.692038949922216
1997,com,adm,1.6290968800887609
1997,com,wht,5.2929530855362845
1997,com,ott,0.42321513157807356
1997,amb,res,0.07511217577152375
1997,amb,com,0.24377290618214933
1997,amb,amb,382.7953652641441
1997,amb,con,0.2068213112468385
1997,amb,rnt,0.6103123708392217
1997,amb,tsv,0.1183257407228921
1997,amb,nrs,0.2101268245060369
1997,amb,ott,3.4176346151996118
1997,fbp,ppd,0.0010191328030478442
1997,fbp,com,0.5427588414536183
1997,fbp,fbp,507.83042424949485
1997,fbp,con,0.11510029570317015
1997,fbp,tex,0.003979596404559678
1997,fbp,pla,0.002997634571923292
1997,fbp,tsv,1.6588595197417106
1997,fbp,alt,0.0009917109103511703
1997,fbp,wht,5.720844688552225
1997,fbp,che,1.7854793160021896
1997,rec,res,9.664722073562107
1997,rec,com,0.016977307403721397
1997,rec,rec,50.53623097365262
1997,rec,con,0.2158857603169269
1997,rec,ore,0.001995418321019655
1997,rec,edu,2.3958045062934783
1997,rec,amd,0.30232842090399575
1997,rec,rnt,0.09178280319786548
1997,rec,tsv,0.0988262243291013
1997,rec,art,0.12689548016724586
1997,rec,osv,0.41295955963576136
1997,rec,mvt,0.2544692940831129
1997,rec,soc,0.027867963492617956
1997,rec,ott,0.8579603506503389
1997,con,com,0.614639939396203
1997,con,con,705.9241653920983
1997,con,tsv,0.9275558859020944
1997,agr,rec,0.8017171120944896
1997,agr,agr,218.62491456314103
1997,agr,fof,5.204301592463449
1997,agr,wpd,0.04488037419826498
1997,eec,ppd,0.07084089872510718
1997,eec,com,0.20636269854614453
1997,eec,con,0.0852181921903258
1997,eec,eec,98.34337422026292
1997,eec,nmp,0.2214295010169485
1997,eec,ote,0.19878961980996843
1997,eec,mch,1.454281565791705
1997,eec,pla,0.1398891527918588
1997,eec,tsv,1.5640938201234027
1997,eec,fpd,0.023709662993319506
1997,eec,fmt,1.410942169640093
1997,eec,pet,0.05050041211733247
1997,eec,cep,2.2305204996674495
1997,eec,mot,0.9828700763825848
1997,eec,pmt,1.898662960639754
1997,eec,wht,1.207510311431464
1997,eec,che,0.24080018919539734
1997,eec,mmf,0.27365472284849074
1997,fnd,com,2.341568063915538
1997,fnd,fbp,0.0972755442613082
1997,fnd,con,0.15935165230162715
1997,fnd,agr,1.6600035678883247
1997,fnd,fnd,146.28054454154235
1997,fnd,pub,0.15516804253483107
1997,fnd,fen,0.38833725765520716
