yr,i,value
2008,ppd,0.083
2009,ppd,0.061
2005,ppd,0.056
2006,ppd,0.066
2012,ppd,0.095
2014,ppd,0.106
2013,ppd,0.098
1999,ppd,0.058
2002,ppd,0.051000000000000004
2017,ppd,0.117
2016,ppd,0.11
2015,ppd,0.107
1998,ppd,0.061
2004,ppd,0.046
2000,ppd,0.065
1997,ppd,0.062
2007,ppd,0.076
2010,ppd,0.074
2003,ppd,0.051000000000000004
2011,ppd,0.084
2001,ppd,0.057
2008,res,1.0
2009,res,1.0
2005,res,1.0
2006,res,1.0
2012,res,1.0
2014,res,1.0
2013,res,1.0
1999,res,1.0
2002,res,1.0
2017,res,1.0
2016,res,1.0
2015,res,1.0
1998,res,1.0
2004,res,1.0
2000,res,1.0
1997,res,1.0
2007,res,1.0
2010,res,1.0
2003,res,1.0
2011,res,1.0
2001,res,1.0
2008,com,0.0
2009,com,0.0
2005,com,0.0
2006,com,0.0
2012,com,0.0
2014,com,0.0
2013,com,0.0
1999,com,0.0
2002,com,0.0
2017,com,0.0
2016,com,0.0
2015,com,0.0
1998,com,0.0
2004,com,0.0
2000,com,0.0
1997,com,0.0
2007,com,0.0
2010,com,0.0
2003,com,0.0
2011,com,0.0
2001,com,0.0
2008,amb,1.0
2009,amb,1.0
2005,amb,1.0
2006,amb,1.0
2012,amb,1.0
2014,amb,1.0
2013,amb,1.0
1999,amb,1.0
2002,amb,1.0
2017,amb,1.0
2016,amb,1.0
2015,amb,1.0
1998,amb,1.0
2004,amb,1.0
2000,amb,1.0
1997,amb,1.0
2007,amb,1.0
2010,amb,1.0
2003,amb,1.0
2011,amb,1.0
2001,amb,1.0
2008,fbp,0.8250000000000001
2009,fbp,0.715
2005,fbp,0.835
2006,fbp,0.797
2012,fbp,0.876
2014,fbp,1.025
2013,fbp,0.9530000000000001
1999,fbp,0.603
2002,fbp,0.592
2017,fbp,1.09
2016,fbp,1.102
2015,fbp,1.045
1998,fbp,0.56
2004,fbp,0.79
2000,fbp,0.556
1997,fbp,0.551
2007,fbp,0.903
2010,fbp,0.79
2003,fbp,0.668
2011,fbp,0.843
2001,fbp,0.628
2008,rec,1.0
2009,rec,1.0
2005,rec,1.0
2006,rec,1.0
2012,rec,1.0
2014,rec,1.0
2013,rec,1.0
1999,rec,1.0
2002,rec,1.0
2017,rec,1.0
2016,rec,1.0
2015,rec,1.0
1998,rec,1.0
2004,rec,1.0
2000,rec,1.0
1997,rec,1.0
2007,rec,1.0
2010,rec,1.0
2003,rec,1.0
2011,rec,1.0
2001,rec,1.0
2008,con,1.0
2009,con,1.0
2005,con,1.0
2006,con,1.0
2012,con,1.0
2014,con,1.0
2013,con,1.0
1999,con,1.0
2002,con,1.0
2017,con,1.0
2016,con,1.0
2015,con,1.0
1998,con,1.0
2004,con,1.0
2000,con,1.0
1997,con,1.0
2007,con,1.0
2010,con,1.0
2003,con,1.0
2011,con,1.0
2001,con,1.0
2008,agr,0.025
2009,agr,0.027
2005,agr,0.038
2006,agr,0.032
2012,agr,0.028
2014,agr,0.037
2013,agr,0.028
1999,agr,0.07100000000000001
2002,agr,0.076
2017,agr,0.044
2016,agr,0.044
2015,agr,0.041
1998,agr,0.07200000000000001
2004,agr,0.038
2000,agr,0.079
1997,agr,0.07200000000000001
2007,agr,0.036000000000000004
2010,agr,0.023
2003,agr,0.055
2011,agr,0.051000000000000004
2001,agr,0.076
2008,eec,1.324
2009,eec,1.032
2005,eec,1.05
2006,eec,1.168
2012,eec,1.6500000000000001
2014,eec,1.9100000000000001
2013,eec,1.803
1999,eec,0.7020000000000001
2002,eec,0.755
2017,eec,2.068
2016,eec,1.945
2015,eec,1.94
1998,eec,0.6950000000000001
2004,eec,0.964
2000,eec,0.805
1997,eec,0.687
2007,eec,1.258
2010,eec,1.348
2003,eec,0.8170000000000001
2011,eec,1.494
2001,eec,0.765
2008,fnd,1.0
2009,fnd,1.0
2005,fnd,1.0
2006,fnd,1.0
2012,fnd,1.0
2014,fnd,1.0
2013,fnd,1.0
1999,fnd,1.0
2002,fnd,1.0
2017,fnd,1.0
2016,fnd,1.0
2015,fnd,1.0
1998,fnd,1.0
2004,fnd,1.0
2000,fnd,1.0
1997,fnd,1.0
2007,fnd,1.0
2010,fnd,1.0
2003,fnd,1.0
2011,fnd,1.0
2001,fnd,1.0
2008,pub,0.0
2009,pub,0.0
2005,pub,0.0
2006,pub,0.0
2012,pub,0.0
2014,pub,0.0
2013,pub,0.0
1999,pub,0.002
2002,pub,0.001
2017,pub,0.0
2016,pub,0.0
2015,pub,0.0
1998,pub,0.002
2004,pub,0.0
2000,pub,0.002
1997,pub,0.003
2007,pub,0.0
2010,pub,0.0
2003,pub,0.001
2011,pub,0.0
2001,pub,0.001
2008,hou,1.0
2009,hou,1.0
2005,hou,1.0
2006,hou,1.0
2012,hou,1.0
2014,hou,1.0
2013,hou,1.0
1999,hou,1.0
2002,hou,1.0
2017,hou,1.0
2016,hou,1.0
2015,hou,1.0
1998,hou,1.0
2004,hou,1.0
2000,hou,1.0
1997,hou,1.0
2007,hou,1.0
2010,hou,1.0
2003,hou,1.0
2011,hou,1.0
2001,hou,1.0
2008,fbt,1.0
2009,fbt,1.0
2005,fbt,1.0
2006,fbt,1.0
2012,fbt,1.0
2014,fbt,1.0
2013,fbt,1.0
1999,fbt,1.0
2002,fbt,1.0
2017,fbt,1.0
2016,fbt,1.0
2015,fbt,1.0
1998,fbt,1.0
2004,fbt,1.0
2000,fbt,1.0
1997,fbt,1.0
2007,fbt,1.0
2010,fbt,1.0
2003,fbt,1.0
2011,fbt,1.0
2001,fbt,1.0
2008,ins,0.0
2009,ins,0.0
2005,ins,0.0
2006,ins,0.0
2012,ins,0.0
2014,ins,0.0
2013,ins,0.0
1999,ins,0.0
2002,ins,0.0
2017,ins,0.0
2016,ins,0.0
2015,ins,0.0
1998,ins,0.0
2004,ins,0.0
2000,ins,0.0
1997,ins,0.0
2007,ins,0.0
2010,ins,0.0
2003,ins,0.0
2011,ins,0.0
2001,ins,0.0
2008,tex,1.442
2009,tex,1.188
2005,tex,1.352
2006,tex,1.375
2012,tex,1.631
2014,tex,1.825
2013,tex,1.745
1999,tex,0.8210000000000001
2002,tex,0.972
2017,tex,1.923
2016,tex,1.86
2015,tex,1.8860000000000001
1998,tex,0.859
2004,tex,1.216
2000,tex,0.9390000000000001
1997,tex,0.872
2007,tex,1.458
2010,tex,1.462
2003,tex,1.074
2011,tex,1.604
2001,tex,0.9410000000000001
2008,leg,0.0
2009,leg,0.0
2005,leg,0.0
2006,leg,0.0
2012,leg,0.0
2014,leg,0.0
2013,leg,0.0
1999,leg,0.0
2002,leg,0.0
2017,leg,0.0
2016,leg,0.0
2015,leg,0.0
1998,leg,0.0
2004,leg,0.0
2000,leg,0.0
1997,leg,0.0
2007,leg,0.0
2010,leg,0.0
2003,leg,0.0
2011,leg,0.0
2001,leg,0.0
2008,fen,0.0
2009,fen,0.0
2005,fen,0.0
2006,fen,0.0
2012,fen,0.0
2014,fen,0.0
2013,fen,0.0
1999,fen,0.0
2002,fen,0.0
2017,fen,0.0
2016,fen,0.0
2015,fen,0.0
1998,fen,0.0
2004,fen,0.0
2000,fen,0.0
1997,fen,0.0
2007,fen,0.0
2010,fen,0.0
2003,fen,0.0
2011,fen,0.0
2001,fen,0.0
2008,uti,0.0
2009,uti,0.0
2005,uti,0.0
2006,uti,0.0
2012,uti,0.0
2014,uti,0.0
2013,uti,0.0
1999,uti,0.0
2002,uti,0.0
2017,uti,0.0
2016,uti,0.0
2015,uti,0.0
1998,uti,0.0
2004,uti,0.0
2000,uti,0.0
1997,uti,0.0
2007,uti,0.0
2010,uti,0.0
2003,uti,0.0
2011,uti,0.0
2001,uti,0.0
2008,nmp,0.596
2009,nmp,0.428
2005,nmp,0.608
2006,nmp,0.64
2012,nmp,0.625
2014,nmp,0.756
2013,nmp,0.68
1999,nmp,0.486
2002,nmp,0.484
2017,nmp,0.8300000000000001
2016,nmp,0.795
2015,nmp,0.779
1998,nmp,0.47600000000000003
2004,nmp,0.5720000000000001
2000,nmp,0.552
1997,nmp,0.47500000000000003
2007,nmp,0.655
2010,nmp,0.545
2003,nmp,0.516
2011,nmp,0.589
2001,nmp,0.509
2008,brd,0.0
2009,brd,0.0
2005,brd,0.0
2006,brd,0.0
2012,brd,0.0
2014,brd,0.0
2013,brd,0.0
1999,brd,0.0
2002,brd,0.0
2017,brd,0.0
2016,brd,0.0
2015,brd,0.0
1998,brd,0.0
2004,brd,0.0
2000,brd,0.0
1997,brd,0.0
2007,brd,0.0
2010,brd,0.0
2003,brd,0.0
2011,brd,0.0
2001,brd,0.0
2008,bnk,0.0
2009,bnk,0.0
2005,bnk,0.0
2006,bnk,0.0
2012,bnk,0.0
2014,bnk,0.0
2013,bnk,0.0
1999,bnk,0.0
2002,bnk,0.0
2017,bnk,0.0
2016,bnk,0.0
2015,bnk,0.0
1998,bnk,0.0
2004,bnk,0.0
2000,bnk,0.0
1997,bnk,0.0
2007,bnk,0.0
2010,bnk,0.0
2003,bnk,0.0
2011,bnk,0.0
2001,bnk,0.0
2008,ore,1.0
2009,ore,1.0
2005,ore,1.0
2006,ore,1.0
2012,ore,1.0
2014,ore,1.0
2013,ore,1.0
1999,ore,1.0
2002,ore,1.0
2017,ore,1.0
2016,ore,1.0
2015,ore,1.0
1998,ore,1.0
2004,ore,1.0
2000,ore,1.0
1997,ore,1.0
2007,ore,1.0
2010,ore,1.0
2003,ore,1.0
2011,ore,1.0
2001,ore,1.0
2008,edu,0.0
2009,edu,0.0
2005,edu,0.0
2006,edu,0.0
2012,edu,0.0
2014,edu,0.0
2013,edu,0.0
1999,edu,0.0
2002,edu,0.0
2017,edu,0.0
2016,edu,0.0
2015,edu,0.0
1998,edu,0.0
2004,edu,0.0
2000,edu,0.0
1997,edu,0.0
2007,edu,0.0
2010,edu,0.0
2003,edu,0.0
2011,edu,0.0
2001,edu,0.0
2008,ote,0.226
2009,ote,0.164
2005,ote,0.188
2006,ote,0.191
2012,ote,0.253
2014,ote,0.254
2013,ote,0.24
1999,ote,0.148
2002,ote,0.157
2017,ote,0.243
2016,ote,0.241
2015,ote,0.269
1998,ote,0.151
2004,ote,0.17500000000000002
2000,ote,0.179
1997,ote,0.145
2007,ote,0.198
2010,ote,0.20400000000000001
2003,ote,0.151
2011,ote,0.223
2001,ote,0.154
2008,man,1.0
2009,man,1.0
2005,man,1.0
2006,man,1.0
2012,man,1.0
2014,man,1.0
2013,man,1.0
1999,man,1.0
2002,man,1.0
2017,man,1.0
2016,man,1.0
2015,man,1.0
1998,man,1.0
2004,man,1.0
2000,man,1.0
1997,man,1.0
2007,man,1.0
2010,man,1.0
2003,man,1.0
2011,man,1.0
2001,man,1.0
2008,mch,1.182
2009,mch,0.788
2005,mch,0.894
2006,mch,0.964
2012,mch,1.349
2014,mch,1.427
2013,mch,1.323
1999,mch,0.77
2002,mch,0.627
2017,mch,1.439
2016,mch,1.348
2015,mch,1.418
1998,mch,0.9590000000000001
2004,mch,0.801
2000,mch,0.864
1997,mch,1.062
2007,mch,1.084
2010,mch,0.936
2003,mch,0.671
2011,mch,1.243
2001,mch,0.772
2008,dat,0.0
2009,dat,0.0
2005,dat,0.0
2006,dat,0.0
2012,dat,0.0
2014,dat,0.0
2013,dat,0.0
1999,dat,0.0
2002,dat,0.0
2017,dat,0.0
2016,dat,0.0
2015,dat,0.0
1998,dat,0.0
2004,dat,0.0
2000,dat,0.0
1997,dat,0.0
2007,dat,0.0
2010,dat,0.0
2003,dat,0.0
2011,dat,0.0
2001,dat,0.0
2008,amd,1.0
2009,amd,1.0
2005,amd,1.0
2006,amd,1.0
2012,amd,1.0
2014,amd,1.0
2013,amd,1.0
1999,amd,1.0
2002,amd,1.0
2017,amd,1.0
2016,amd,1.0
2015,amd,1.0
1998,amd,1.0
2004,amd,1.0
2000,amd,1.0
1997,amd,1.0
2007,amd,1.0
2010,amd,1.0
2003,amd,1.0
2011,amd,1.0
2001,amd,1.0
2008,oil,0.095
2009,oil,0.078
2005,oil,0.079
2006,oil,0.076
2012,oil,0.08700000000000001
2014,oil,0.074
2013,oil,0.073
1999,oil,0.115
2002,oil,0.081
2017,oil,0.138
2016,oil,0.106
2015,oil,0.091
1998,oil,0.132
2004,oil,0.08
2000,oil,0.112
1997,oil,0.152
2007,oil,0.085
2010,oil,0.075
2003,oil,0.085
2011,oil,0.082
2001,oil,0.091
2008,hos,0.0
2009,hos,0.0
2005,hos,0.0
2006,hos,0.0
2012,hos,0.0
2014,hos,0.0
2013,hos,0.0
1999,hos,0.0
2002,hos,0.0
2017,hos,0.0
2016,hos,0.0
2015,hos,0.0
1998,hos,0.0
2004,hos,0.0
2000,hos,0.0
1997,hos,0.0
2007,hos,0.0
2010,hos,0.0
2003,hos,0.0
2011,hos,0.0
2001,hos,0.0
2008,rnt,1.0
2009,rnt,1.0
2005,rnt,1.0
2006,rnt,1.0
2012,rnt,1.0
2014,rnt,1.0
2013,rnt,1.0
1999,rnt,1.0
2002,rnt,1.0
2017,rnt,1.0
2016,rnt,1.0
2015,rnt,1.0
1998,rnt,1.0
2004,rnt,1.0
2000,rnt,1.0
