yr,i,fd,value
2008,ppd,fed_structures,-9.97494100374655e-9
2009,ppd,fed_structures,-9.97494161318796e-9
2005,ppd,fed_structures,-9.974940920729662e-9
2006,ppd,fed_structures,-9.974940904075927e-9
2012,ppd,fed_structures,-9.990909086752968e-9
2014,ppd,fed_structures,-9.990909097182724e-9
2013,ppd,fed_structures,-9.990909085398987e-9
1999,ppd,fed_structures,-9.974941088543184e-9
2002,ppd,fed_structures,-9.990909089903274e-9
2017,ppd,fed_structures,-9.990909115501241e-9
2016,ppd,fed_structures,-9.974940951511084e-9
2015,ppd,fed_structures,-9.974940861553468e-9
1998,ppd,fed_structures,-9.974941125788976e-9
2004,ppd,fed_structures,-9.974941014540126e-9
2000,ppd,fed_structures,-9.990909129919562e-9
1997,ppd,fed_structures,-9.974941160090477e-9
2007,ppd,fed_structures,-9.974940864505094e-9
2010,ppd,fed_structures,-9.974940867490661e-9
2003,ppd,fed_structures,-9.990909159529817e-9
2011,ppd,fed_structures,-9.974940864937565e-9
2001,ppd,fed_structures,-9.990909162779482e-9
2008,res,fed_structures,-9.97494092291423e-9
2009,res,fed_structures,-9.974941094516331e-9
2005,res,fed_structures,-9.974941029485473e-9
2006,res,fed_structures,-9.974941027389261e-9
2012,res,fed_structures,-9.990909116421634e-9
2014,res,fed_structures,-9.990909113887268e-9
2013,res,fed_structures,-9.990909113422053e-9
1999,res,fed_structures,-9.974941008844358e-9
2002,res,fed_structures,-9.990909094977666e-9
2017,res,fed_structures,-9.990909116965371e-9
2016,res,fed_structures,-9.974941023130835e-9
2015,res,fed_structures,-9.974941017307711e-9
1998,res,fed_structures,-9.974941029669436e-9
2004,res,fed_structures,-9.974941035176646e-9
2000,res,fed_structures,-9.990909088682755e-9
1997,res,fed_structures,-9.974941027986454e-9
2007,res,fed_structures,-9.974941002353072e-9
2010,res,fed_structures,-9.974941031840092e-9
2003,res,fed_structures,-9.990909114541176e-9
2011,res,fed_structures,-9.974941008438517e-9
2001,res,fed_structures,-9.990909112314794e-9
2008,com,fed_structures,-9.97494078672394e-9
2009,com,fed_structures,-9.974941198261582e-9
2005,com,fed_structures,-9.974941112976205e-9
2006,com,fed_structures,-9.974941109522135e-9
2012,com,fed_structures,-9.990909135676152e-9
2014,com,fed_structures,-9.99090913115625e-9
2013,com,fed_structures,-9.990909131293989e-9
1999,com,fed_structures,-9.97494088570934e-9
2002,com,fed_structures,-9.990909134158e-9
2017,com,fed_structures,-9.990909127475597e-9
2016,com,fed_structures,-9.974941066250413e-9
2015,com,fed_structures,-9.974941051881414e-9
1998,com,fed_structures,-9.974941061516624e-9
2004,com,fed_structures,-9.974941128979081e-9
2000,com,fed_structures,-9.990908792456077e-9
1997,com,fed_structures,-9.974941062391915e-9
2007,com,fed_structures,-9.974941042250074e-9
2010,com,fed_structures,-9.974941100669941e-9
2003,com,fed_structures,-9.990909146768642e-9
2011,com,fed_structures,-9.974941021183211e-9
2001,com,fed_structures,-9.99090907455122e-9
2008,amb,fed_structures,-9.974940944570693e-9
2009,amb,fed_structures,-9.974940988375086e-9
2005,amb,fed_structures,-9.974940959743008e-9
2006,amb,fed_structures,-9.974940959294997e-9
2012,amb,fed_structures,-9.99090909045262e-9
2014,amb,fed_structures,-9.990909090166231e-9
2013,amb,fed_structures,-9.990909089911332e-9
1999,amb,fed_structures,-9.974940951787938e-9
2002,amb,fed_structures,-9.99090908734315e-9
2017,amb,fed_structures,-9.990909089989818e-9
2016,amb,fed_structures,-9.974940961694724e-9
2015,amb,fed_structures,-9.974940959271395e-9
1998,amb,fed_structures,-9.974940956750095e-9
2004,amb,fed_structures,-9.974940959529525e-9
2000,amb,fed_structures,-9.990909083551627e-9
1997,amb,fed_structures,-9.974940957007816e-9
2007,amb,fed_structures,-9.974940954286046e-9
2010,amb,fed_structures,-9.974940962328742e-9
2003,amb,fed_structures,-9.99090908910607e-9
2011,amb,fed_structures,-9.974940956276106e-9
2001,amb,fed_structures,-9.990909091236173e-9
2008,fbp,fed_structures,-9.974940661250725e-9
2009,fbp,fed_structures,-9.9749409771724e-9
2005,fbp,fed_structures,-9.974940676842884e-9
2006,fbp,fed_structures,-9.974940669056478e-9
2012,fbp,fed_structures,-9.990909029339199e-9
2014,fbp,fed_structures,-9.990908988471709e-9
2013,fbp,fed_structures,-9.990908986692782e-9
1999,fbp,fed_structures,-9.974940611033695e-9
2002,fbp,fed_structures,-9.990908976230704e-9
2017,fbp,fed_structures,-9.990908979004105e-9
2016,fbp,fed_structures,-9.974940666719959e-9
2015,fbp,fed_structures,-9.97494063562615e-9
1998,fbp,fed_structures,-9.974940619104508e-9
2004,fbp,fed_structures,-9.974940657751807e-9
2000,fbp,fed_structures,-9.990908973416181e-9
1997,fbp,fed_structures,-9.97494061980663e-9
2007,fbp,fed_structures,-9.974940613403368e-9
2010,fbp,fed_structures,-9.974940739459542e-9
2003,fbp,fed_structures,-9.990908999012359e-9
2011,fbp,fed_structures,-9.974940688163392e-9
2001,fbp,fed_structures,-9.990909007299926e-9
2008,rec,fed_structures,-9.974940948226032e-9
2009,rec,fed_structures,-9.974941071630093e-9
2005,rec,fed_structures,-9.97494101788201e-9
2006,rec,fed_structures,-9.974941005440669e-9
2012,rec,fed_structures,-9.990909118124228e-9
2014,rec,fed_structures,-9.990909117652538e-9
2013,rec,fed_structures,-9.990909118518467e-9
1999,rec,fed_structures,-9.97494099774953e-9
2002,rec,fed_structures,-9.990909104082139e-9
2017,rec,fed_structures,-9.990909116177036e-9
2016,rec,fed_structures,-9.974941034208972e-9
2015,rec,fed_structures,-9.974941022783184e-9
1998,rec,fed_structures,-9.97494100010578e-9
2004,rec,fed_structures,-9.974941008743427e-9
2000,rec,fed_structures,-9.990909092656806e-9
1997,rec,fed_structures,-9.974941018071848e-9
2007,rec,fed_structures,-9.97494099293356e-9
2010,rec,fed_structures,-9.974941021534614e-9
