yr,i,j,value
2008,ppd,ppd,52.69360435792646
2009,ppd,ppd,43.52763981360139
2005,ppd,ppd,46.33355572754456
2006,ppd,ppd,47.523451914137226
2012,ppd,ppd,48.9167805014897
2014,ppd,ppd,51.22493264812463
2013,ppd,ppd,51.447335760504494
1999,ppd,ppd,41.45173149535862
2002,ppd,ppd,41.93657031653654
2017,ppd,ppd,43.56226453238256
2016,ppd,ppd,47.71242199252259
2015,ppd,ppd,49.40541495411672
1998,ppd,ppd,41.54507512998762
2004,ppd,ppd,43.90885611657629
2000,ppd,ppd,44.24426111640503
1997,ppd,ppd,39.76875578667073
2007,ppd,ppd,50.46934735130776
2010,ppd,ppd,46.712055323986654
2003,ppd,ppd,40.958595787133504
2011,ppd,ppd,49.341285818979834
2001,ppd,ppd,41.650844087470084
2008,res,ppd,0.2520260991379803
2009,res,ppd,0.21767320883760036
2005,res,ppd,0.2727863439822878
2006,res,ppd,0.3047894280670955
2012,res,ppd,0.2560696938330044
2014,res,ppd,0.2529179630471381
2013,res,ppd,0.2483785337391298
1999,res,ppd,0.19801800876132958
2002,res,ppd,0.2526949859173465
2017,res,ppd,0.2098189507269183
2016,res,ppd,0.2346850785988558
2015,res,ppd,0.22057388163401148
1998,res,ppd,0.20513638985984528
2004,res,ppd,0.24286827500789135
2000,res,ppd,0.21614273516072385
1997,res,ppd,0.1840084555654646
2007,res,ppd,0.2856744764504279
2010,res,ppd,0.20188037332232525
2003,res,ppd,0.27233505730891877
2011,res,ppd,0.15520343781474488
2001,res,ppd,0.23361744738316603
2008,com,ppd,0.19485511425741212
2009,com,ppd,0.15226417538999734
2005,com,ppd,0.2239211672533465
2006,com,ppd,0.2166335120756093
2012,com,ppd,0.24975816984304802
2014,com,ppd,0.2536912348990857
2013,com,ppd,0.23905855205464863
1999,com,ppd,0.23123602956801345
2002,com,ppd,0.3098814165070341
2017,com,ppd,0.2697595390987386
2016,com,ppd,0.26177473026966036
2015,com,ppd,0.2204228047344863
1998,com,ppd,0.19888900363998946
2004,com,ppd,0.2008340956093603
2000,com,ppd,0.2879616093340888
1997,com,ppd,0.14915107701781688
2007,com,ppd,0.19769626248949732
2010,com,ppd,0.15747203893723197
2003,com,ppd,0.259687183604343
2011,com,ppd,0.15617183664649686
2001,com,ppd,0.295427510124071
2008,amb,ppd,0.0
2009,amb,ppd,0.0
2005,amb,ppd,0.0
2006,amb,ppd,0.0
2012,amb,ppd,0.0
2014,amb,ppd,0.0
2013,amb,ppd,0.0
1999,amb,ppd,0.0
2002,amb,ppd,0.0
2017,amb,ppd,0.0
2016,amb,ppd,0.0
2015,amb,ppd,0.0
1998,amb,ppd,0.0
2004,amb,ppd,0.0
2000,amb,ppd,0.0
1997,amb,ppd,0.0
2007,amb,ppd,0.0
2010,amb,ppd,0.0
2003,amb,ppd,0.0
2011,amb,ppd,0.0
2001,amb,ppd,0.0
2008,fbp,ppd,1.4578967143189492
2009,fbp,ppd,1.2886553911766705
2005,fbp,ppd,1.2076014941035704
2006,fbp,ppd,1.1119264981206018
2012,fbp,ppd,1.7493437579461897
2014,fbp,ppd,1.5553558320135628
2013,fbp,ppd,1.7933509664761418
1999,fbp,ppd,0.7807443744438542
2002,fbp,ppd,1.0959303238071016
2017,fbp,ppd,1.5740778625534415
2016,fbp,ppd,1.6125782446658965
2015,fbp,ppd,1.6409351470067433
1998,fbp,ppd,0.8394770339854535
2004,fbp,ppd,1.0861625251379632
2000,fbp,ppd,0.8689210107621197
1997,fbp,ppd,0.9036725709394913
2007,fbp,ppd,1.3101677511782361
2010,fbp,ppd,1.3900540749944257
2003,fbp,ppd,1.0654758575542063
2011,fbp,ppd,1.6267845289052218
2001,fbp,ppd,0.8115179801854113
2008,rec,ppd,0.020232969549103894
2009,rec,ppd,0.0162819490623322
2005,rec,ppd,0.02021103662791224
2006,rec,ppd,0.023222522785580384
2012,rec,ppd,0.011088606178380348
2014,rec,ppd,0.010114651455506708
2013,rec,ppd,0.010093889162211813
1999,rec,ppd,0.013272136139410947
2002,rec,ppd,0.026372805870741835
2017,rec,ppd,0.005092913660648979
2016,rec,ppd,0.005056773753526914
2015,rec,ppd,0.006042475403516828
1998,rec,ppd,0.012254037577692918
2004,rec,ppd,0.02033426357376817
2000,rec,ppd,0.01630916571556614
1997,rec,ppd,0.009202213642315557
2007,rec,ppd,0.03230843848064032
2010,rec,ppd,0.014064208709071388
2003,rec,ppd,0.022362174284886467
2011,rec,ppd,0.011082838105529106
2001,rec,ppd,0.02245312116373784
2008,con,ppd,0.5178550603335346
2009,con,ppd,0.562357592085217
2005,con,ppd,0.4065259898526616
2006,con,ppd,0.3646857788568117
2012,con,ppd,0.6243533642005807
2014,con,ppd,0.6436650092438054
2013,con,ppd,0.6838325456971628
1999,con,ppd,0.7745580823676688
2002,con,ppd,0.8574199617139286
2017,con,ppd,0.6074049755608131
2016,con,ppd,0.6041580015509693
2015,con,ppd,0.628777905129531
1998,con,ppd,1.1267045391740582
2004,con,ppd,0.49130330834050706
2000,con,ppd,0.6438922102888011
1997,con,ppd,1.0557982076026406
2007,con,ppd,0.5798400326234929
2010,con,ppd,0.6321377953723171
2003,con,ppd,0.6732584147370072
2011,con,ppd,0.6765046600487062
2001,con,ppd,0.8344699896632466
2008,agr,ppd,0.0
2009,agr,ppd,0.0
2005,agr,ppd,0.0
2006,agr,ppd,0.0
2012,agr,ppd,0.0
2014,agr,ppd,0.0
2013,agr,ppd,0.0
1999,agr,ppd,0.0
2002,agr,ppd,0.0
2017,agr,ppd,0.0
2016,agr,ppd,0.0
2015,agr,ppd,0.0
1998,agr,ppd,0.0
2004,agr,ppd,0.0
2000,agr,ppd,0.0
