yr,i,value
2008,ppd,24.969
2009,ppd,19.279
2005,ppd,23.107
2006,ppd,24.647000000000002
2012,ppd,21.509
2014,ppd,23.856
2013,ppd,22.481
1999,ppd,17.856
2002,ppd,18.237000000000002
2017,ppd,23.076
2016,ppd,22.822
2015,ppd,23.434
1998,ppd,17.382
2004,ppd,21.686
2000,ppd,20.121
1997,ppd,16.546
2007,ppd,24.497
2010,ppd,21.7
2003,ppd,19.244
2011,ppd,22.498
2001,ppd,18.580000000000002
2008,res,0.0
2009,res,0.0
2005,res,0.0
2006,res,0.0
2012,res,0.0
2014,res,0.0
2013,res,0.0
1999,res,0.0
2002,res,0.0
2017,res,0.0
2016,res,0.0
2015,res,0.0
1998,res,0.0
2004,res,0.0
2000,res,0.0
1997,res,0.0
2007,res,0.0
2010,res,0.0
2003,res,0.0
2011,res,0.0
2001,res,0.0
2008,com,15.6
2009,com,16.602
2005,com,9.811
2006,com,12.527000000000001
2012,com,23.466
2014,com,26.968
2013,com,25.273
1999,com,5.6160000000000005
2002,com,6.015000000000001
2017,com,31.297
2016,com,29.109
2015,com,27.605
1998,com,5.15
2004,com,8.002
2000,com,5.7940000000000005
1997,com,4.849
2007,com,14.006
2010,com,19.143
2003,com,7.086
2011,com,23.507
2001,com,6.01
2008,amb,0.0
2009,amb,0.0
2005,amb,0.0
2006,amb,0.0
2012,amb,0.0
2014,amb,0.0
2013,amb,0.0
1999,amb,0.0
2002,amb,0.0
2017,amb,0.0
2016,amb,0.0
2015,amb,0.0
1998,amb,0.0
2004,amb,0.0
2000,amb,0.0
1997,amb,0.0
2007,amb,0.0
2010,amb,0.0
2003,amb,0.0
2011,amb,0.0
2001,amb,0.0
2008,fbp,62.671
2009,fbp,56.099000000000004
2005,fbp,48.745000000000005
2006,fbp,52.552
2012,fbp,80.142
2014,fbp,83.322
2013,fbp,78.683
1999,fbp,31.315
2002,fbp,35.641
2017,fbp,91.616
2016,fbp,86.879
2015,fbp,86.255
1998,fbp,29.238
2004,fbp,45.035000000000004
2000,fbp,31.627
1997,fbp,31.661
2007,fbp,57.28
2010,fbp,62.781
2003,fbp,38.776
2011,fbp,72.485
2001,fbp,33.122
2008,rec,0.0
2009,rec,0.0
2005,rec,0.0
2006,rec,0.0
2012,rec,0.0
2014,rec,0.0
2013,rec,0.0
1999,rec,0.0
2002,rec,0.0
2017,rec,0.0
2016,rec,0.0
2015,rec,0.0
1998,rec,0.0
2004,rec,0.0
2000,rec,0.0
1997,rec,0.0
2007,rec,0.0
2010,rec,0.0
2003,rec,0.0
2011,rec,0.0
2001,rec,0.0
2008,con,0.0
2009,con,0.0
2005,con,0.0
2006,con,0.0
2012,con,0.0
2014,con,0.0
2013,con,0.0
1999,con,0.0
2002,con,0.0
2017,con,0.0
2016,con,0.0
2015,con,0.0
1998,con,0.0
2004,con,0.0
2000,con,0.0
1997,con,0.0
2007,con,0.0
2010,con,0.0
2003,con,0.0
2011,con,0.0
2001,con,0.0
2008,agr,24.999
2009,agr,23.432000000000002
2005,agr,17.953
2006,agr,20.059
2012,agr,32.525
2014,agr,38.799
2013,agr,34.565
1999,agr,14.238
2002,agr,14.264000000000001
2017,agr,42.307
2016,agr,39.948
2015,agr,38.423
1998,agr,13.762
2004,agr,15.610000000000001
2000,agr,14.051
1997,agr,15.297
2007,agr,22.958000000000002
2010,agr,26.042
2003,agr,15.040000000000001
2011,agr,30.826
2001,agr,13.998000000000001
2008,eec,66.59
2009,eec,53.473
2005,eec,54.378
2006,eec,61.556000000000004
2012,eec,78.288
2014,eec,88.52
2013,eec,80.936
1999,eec,34.734
2002,eec,39.872
2017,eec,100.69500000000001
2016,eec,90.279
2015,eec,91.895
1998,eec,30.216
2004,eec,48.714
2000,eec,39.789
1997,eec,25.695
