yr,m,i,value
2008,trn,ppd,12.272577772308502
2009,trn,ppd,9.602496345885982
2005,trn,ppd,9.423831413186685
2006,trn,ppd,10.123942712140375
2012,trn,ppd,12.399974257128967
2014,trn,ppd,13.04760421325875
2013,trn,ppd,12.78131813375518
1999,trn,ppd,6.192902969464669
2002,trn,ppd,8.268722210909496
2017,trn,ppd,12.27905429865401
2016,trn,ppd,11.0808990558392
2015,trn,ppd,11.355158732416156
1998,trn,ppd,6.209706808043615
2004,trn,ppd,8.83786099740627
2000,trn,ppd,4.099364460998569
1997,trn,ppd,6.935311106020097
2007,trn,ppd,11.218119107942377
2010,trn,ppd,10.760691496895348
2003,trn,ppd,8.627565207183874
2011,trn,ppd,12.07983296274243
2001,trn,ppd,8.678646589916841
2008,trd,ppd,34.903781125672126
2009,trd,ppd,34.00556095080194
2005,trd,ppd,31.13335728587928
2006,trd,ppd,32.24198436312276
2012,trd,ppd,39.87366492993971
2014,trd,ppd,42.49755110881155
2013,trd,ppd,41.64590490936943
1999,trd,ppd,24.380339342633278
2002,trd,ppd,27.637776381485235
2017,trd,ppd,45.32435562378297
2016,trd,ppd,43.83021097042142
2015,trd,ppd,43.63973939033523
1998,trd,ppd,22.873380016437544
2004,trd,ppd,29.29566111480476
2000,trd,ppd,26.091319678939374
1997,trd,ppd,22.1181545416505
2007,trd,ppd,34.774781329452
2010,trd,ppd,36.71427056511151
2003,trd,ppd,27.717752755022943
2011,trd,ppd,38.690809944232015
2001,trd,ppd,26.04071815920684
2008,trn,res,-9.974935060845233e-9
2009,trn,res,-9.974935746425311e-9
2005,trn,res,-9.974934802002248e-9
2006,trn,res,-9.974934848004402e-9
2012,trn,res,-9.990907399445417e-9
2014,trn,res,-9.990907511650452e-9
2013,trn,res,-9.990907561760306e-9
1999,trn,res,-9.974934491982278e-9
2002,trn,res,-9.990906746312107e-9
2017,trn,res,-9.990907450130596e-9
2016,trn,res,-9.974936454588816e-9
2015,trn,res,-9.974936459082695e-9
1998,trn,res,-9.974935276126374e-9
2004,trn,res,-9.97493449908427e-9
2000,trn,res,-9.99090696239519e-9
1997,trn,res,-9.974936504100948e-9
2007,trn,res,-9.974934616265604e-9
2010,trn,res,-9.974935044058143e-9
2003,trn,res,-9.990906837076095e-9
2011,trn,res,-9.974935028661356e-9
2001,trn,res,-9.990906910082198e-9
2008,trd,res,-9.97493950921412e-9
2009,trd,res,-9.97494006747065e-9
2005,trd,res,-9.974939308641834e-9
2006,trd,res,-9.974939259484484e-9
2012,trd,res,-9.990908496738247e-9
2014,trd,res,-9.99090848475277e-9
2013,trd,res,-9.990908493076527e-9
1999,trd,res,-9.974938864890523e-9
2002,trd,res,-9.990908412514436e-9
2017,trd,res,-9.990908412884813e-9
2016,trd,res,-9.974939159020295e-9
2015,trd,res,-9.974939173153232e-9
1998,trd,res,-9.974938898209745e-9
2004,trd,res,-9.974939177909745e-9
2000,trd,res,-9.990908404404401e-9
1997,trd,res,-9.97493882552817e-9
2007,trd,res,-9.974939139161368e-9
2010,trd,res,-9.97493929026642e-9
2003,trd,res,-9.990908435834064e-9
2011,trd,res,-9.974939285137578e-9
2001,trd,res,-9.99090856305554e-9
2008,trn,com,-9.97493515203073e-9
2009,trn,com,-9.974935666049835e-9
2005,trn,com,-9.974934724006867e-9
2006,trn,com,-9.974934768934765e-9
2012,trn,com,-9.990907381785228e-9
2014,trn,com,-9.990907494286497e-9
2013,trn,com,-9.990907543066545e-9
1999,trn,com,-9.974934696591183e-9
2002,trn,com,-9.990906712326321e-9
2017,trn,com,-9.990907438434287e-9
2016,trn,com,-9.974936409134811e-9
2015,trn,com,-9.974936418226481e-9
1998,trn,com,-9.974935225338323e-9
2004,trn,com,-9.974934410326262e-9
2000,trn,com,-9.990907511528765e-9
1997,trn,com,-9.974936446018843e-9
2007,trn,com,-9.97493456987942e-9
2010,trn,com,-9.974934979781637e-9
2003,trn,com,-9.990906807639223e-9
2011,trn,com,-9.974935007333614e-9
2001,trn,com,-9.990906996200803e-9
2008,trd,com,-9.974939600367254e-9
2009,trd,com,-9.974939987122886e-9
2005,trd,com,-9.974939230674498e-9
2006,trd,com,-9.974939180442678e-9
2012,trd,com,-9.99090847908232e-9
2014,trd,com,-9.990908467392533e-9
2013,trd,com,-9.990908474386594e-9
1999,trd,com,-9.974939069428042e-9
2002,trd,com,-9.990908378541104e-9
2017,trd,com,-9.99090840119098e-9
2016,trd,com,-9.974939113576097e-9
2015,trd,com,-9.974939132305865e-9
1998,trd,com,-9.974938847436373e-9
2004,trd,com,-9.974939089184869e-9
2000,trd,com,-9.990908953363827e-9
1997,trd,com,-9.974938767456826e-9
2007,trd,com,-9.97493909279192e-9
2010,trd,com,-9.974939226011689e-9
2003,trd,com,-9.990908406407542e-9
2011,trd,com,-9.974939263817079e-9
2001,trd,com,-9.990908649142839e-9
2008,trn,amb,-9.97493505661733e-9
2009,trn,amb,-9.974935871168118e-9
2005,trn,amb,-9.974934890276327e-9
2006,trn,amb,-9.974934930765152e-9
2012,trn,amb,-9.990907430398173e-9
2014,trn,amb,-9.990907539578819e-9
2013,trn,amb,-9.990907588850047e-9
1999,trn,amb,-9.974934565931196e-9
2002,trn,amb,-9.990906764025278e-9
2017,trn,amb,-9.990907479992366e-9
2016,trn,amb,-9.974936526455186e-9
2015,trn,amb,-9.974936524079388e-9
1998,trn,amb,-9.974935350405947e-9
2004,trn,amb,-9.974934590602056e-9
2000,trn,amb,-9.990906976298486e-9
1997,trn,amb,-9.974936577319354e-9
2007,trn,amb,-9.97493467714072e-9
2010,trn,amb,-9.9749351286359e-9
2003,trn,amb,-9.990906867924432e-9
2011,trn,amb,-9.974935095719058e-9
2001,trn,amb,-9.990906938650461e-9
2008,trd,amb,-9.974939504987718e-9
2009,trd,amb,-9.974940192170448e-9
2005,trd,amb,-9.974939396884173e-9
2006,trd,amb,-9.974939342216106e-9
2012,trd,amb,-9.990908527683532e-9
2014,trd,amb,-9.99090851267516e-9
2013,trd,amb,-9.990908520160718e-9
1999,trd,amb,-9.97493893881364e-9
2002,trd,amb,-9.990908430221117e-9
2017,trd,amb,-9.990908442740259e-9
2016,trd,amb,-9.974939230871157e-9
2015,trd,amb,-9.974939238135847e-9
1998,trd,amb,-9.974938972467853e-9
2004,trd,amb,-9.974939269393368e-9
2000,trd,amb,-9.990908418303287e-9
1997,trd,amb,-9.974938898733014e-9
2007,trd,amb,-9.974939200014517e-9
2010,trd,amb,-9.974939374815524e-9
2003,trd,amb,-9.990908466671555e-9
2011,trd,amb,-9.974939352172508e-9
