yr,i,value
2008,ppd,34.001
2009,ppd,33.232
2005,ppd,30.301000000000002
2006,ppd,31.365000000000002
2012,ppd,38.829
2014,ppd,41.303000000000004
2013,ppd,40.518
1999,ppd,23.392
2002,ppd,26.733
2017,ppd,43.818
2016,ppd,42.511
2015,ppd,42.416000000000004
1998,ppd,21.943
2004,ppd,28.377
2000,ppd,25.099
1997,ppd,21.169
2007,ppd,33.772
2010,ppd,35.803
2003,ppd,26.787
2011,ppd,37.692
2001,ppd,25.287
2008,res,0.0
2009,res,0.0
2005,res,0.0
2006,res,0.0
2012,res,0.0
2014,res,0.0
2013,res,0.0
1999,res,0.0
2002,res,0.0
2017,res,0.0
2016,res,0.0
2015,res,0.0
1998,res,0.0
2004,res,0.0
2000,res,0.0
1997,res,0.0
2007,res,0.0
2010,res,0.0
2003,res,0.0
2011,res,0.0
2001,res,0.0
2008,com,0.0
2009,com,0.0
2005,com,0.0
2006,com,0.0
2012,com,0.0
2014,com,0.0
2013,com,0.0
1999,com,0.0
2002,com,0.0
2017,com,0.0
2016,com,0.0
2015,com,0.0
1998,com,0.0
2004,com,0.0
2000,com,0.0
1997,com,0.0
2007,com,0.0
2010,com,0.0
2003,com,0.0
2011,com,0.0
2001,com,0.0
2008,amb,0.0
2009,amb,0.0
2005,amb,0.0
2006,amb,0.0
2012,amb,0.0
2014,amb,0.0
2013,amb,0.0
1999,amb,0.0
2002,amb,0.0
2017,amb,0.0
2016,amb,0.0
2015,amb,0.0
1998,amb,0.0
2004,amb,0.0
2000,amb,0.0
1997,amb,0.0
2007,amb,0.0
2010,amb,0.0
2003,amb,0.0
2011,amb,0.0
2001,amb,0.0
2008,fbp,320.615
2009,fbp,316.548
2005,fbp,278.234
2006,fbp,292.596
2012,fbp,371.809
2014,fbp,399.232
2013,fbp,388.06600000000003
1999,fbp,209.085
2002,fbp,237.894
2017,fbp,445.958
2016,fbp,422.43600000000004
2015,fbp,418.342
1998,fbp,197.279
2004,fbp,264.71500000000003
2000,fbp,218.132
1997,fbp,193.435
2007,fbp,309.945
2010,fbp,336.462
2003,fbp,257.06
2011,fbp,350.334
2001,fbp,229.475
2008,rec,0.0
2009,rec,0.0
2005,rec,0.0
2006,rec,0.0
2012,rec,0.0
2014,rec,0.0
2013,rec,0.0
1999,rec,0.0
2002,rec,0.0
2017,rec,0.0
2016,rec,0.0
2015,rec,0.0
1998,rec,0.0
2004,rec,0.0
2000,rec,0.0
1997,rec,0.0
2007,rec,0.0
2010,rec,0.0
2003,rec,0.0
2011,rec,0.0
2001,rec,0.0
2008,con,0.0
2009,con,0.0
2005,con,0.0
2006,con,0.0
2012,con,0.0
2014,con,0.0
2013,con,0.0
1999,con,0.0
2002,con,0.0
2017,con,0.0
2016,con,0.0
2015,con,0.0
1998,con,0.0
2004,con,0.0
2000,con,0.0
1997,con,0.0
2007,con,0.0
2010,con,0.0
2003,con,0.0
2011,con,0.0
2001,con,0.0
2008,agr,62.576
2009,agr,58.099000000000004
2005,agr,51.983000000000004
2006,agr,55.967
2012,agr,71.907
2014,agr,83.282
2013,agr,80.124
1999,agr,40.621
2002,agr,45.907000000000004
2017,agr,88.245
2016,agr,83.523
2015,agr,83.69
1998,agr,37.437
2004,agr,50.519
2000,agr,42.852000000000004
1997,agr,37.066
2007,agr,61.27
2010,agr,65.543
2003,agr,48.617000000000004
2011,agr,71.749
2001,agr,44.696
2008,eec,63.827
2009,eec,55.524
2005,eec,57.513
2006,eec,63.985
2012,eec,78.264
2014,eec,90.436
2013,eec,84.536
1999,eec,40.426
2002,eec,44.036
