yr,i,m,value
2008,ppd,trn,-9.974947100948518e-9
2009,ppd,trn,-9.974946720566835e-9
2005,ppd,trn,-9.97494722506387e-9
2006,ppd,trn,-9.974947144162332e-9
2012,ppd,trn,-9.990910798500124e-9
2014,ppd,trn,-9.990910729912583e-9
2013,ppd,trn,-9.990910656794745e-9
1999,ppd,trn,-9.974947936994202e-9
2002,ppd,trn,-9.990911529441657e-9
2017,ppd,trn,-9.990910865876351e-9
2016,ppd,trn,-9.974945622060436e-9
2015,ppd,trn,-9.974945465648702e-9
1998,ppd,trn,-9.974947176528176e-9
2004,ppd,trn,-9.974947729095717e-9
2000,ppd,trn,-9.990911404562007e-9
1997,ppd,trn,-9.974946014086872e-9
2007,ppd,trn,-9.974947367780005e-9
2010,ppd,trn,-9.974946792698433e-9
2003,ppd,trn,-9.990911471718754e-9
2011,ppd,trn,-9.974946916688193e-9
2001,ppd,trn,-9.990911451663826e-9
2008,res,trn,-9.974946867685979e-9
2009,res,trn,-9.974946208570555e-9
2005,res,trn,-9.974947133707304e-9
2006,res,trn,-9.974947083093796e-9
2012,res,trn,-9.990910784532826e-9
2014,res,trn,-9.990910671591285e-9
2013,res,trn,-9.990910620707627e-9
1999,res,trn,-9.97494743722575e-9
2002,res,trn,-9.990911440571842e-9
2017,res,trn,-9.990910731363979e-9
2016,res,trn,-9.974945476639687e-9
2015,res,trn,-9.974945467396055e-9
1998,res,trn,-9.97494664181887e-9
2004,res,trn,-9.97494743317706e-9
2000,res,trn,-9.990911221363213e-9
1997,res,trn,-9.974945416045649e-9
2007,res,trn,-9.97494731085872e-9
2010,res,trn,-9.974946890205562e-9
2003,res,trn,-9.990911345887588e-9
2011,res,trn,-9.974946902428915e-9
2001,res,trn,-9.990911276878426e-9
2008,com,trn,-9.974946821410114e-9
2009,com,trn,-9.97494627516381e-9
2005,com,trn,-9.97494721000644e-9
2006,com,trn,-9.97494716341129e-9
2012,com,trn,-9.990910802153521e-9
2014,com,trn,-9.99091069040681e-9
2013,com,trn,-9.990910641436745e-9
1999,com,trn,-9.974947154722338e-9
2002,com,trn,-9.99091146951571e-9
2017,com,trn,-9.990910745827139e-9
2016,com,trn,-9.974945527565356e-9
2015,com,trn,-9.974945517258888e-9
1998,com,trn,-9.974946713655046e-9
2004,com,trn,-9.974947520440311e-9
2000,com,trn,-9.990910422117653e-9
1997,com,trn,-9.974945500466742e-9
2007,com,trn,-9.974947365568557e-9
2010,com,trn,-9.974946953862297e-9
2003,com,trn,-9.990911374045087e-9
2011,com,trn,-9.97494693450248e-9
2001,com,trn,-9.990911143827564e-9
2008,amb,trn,-9.974946851887448e-9
2009,amb,trn,-9.974946076388127e-9
2005,amb,trn,-9.974947031560542e-9
2006,amb,trn,-9.974946990835398e-9
2012,amb,trn,-9.990910750415111e-9
2014,amb,trn,-9.990910641102447e-9
2013,amb,trn,-9.990910591616494e-9
1999,amb,trn,-9.974947349521578e-9
2002,amb,trn,-9.990911413646802e-9
2017,amb,trn,-9.990910700457639e-9
2016,amb,trn,-9.974945398589355e-9
2015,amb,trn,-9.974945398888983e-9
1998,amb,trn,-9.974946570007056e-9
2004,amb,trn,-9.974947330734546e-9
2000,amb,trn,-9.990911198446748e-9
1997,amb,trn,-9.974945344303424e-9
2007,amb,trn,-9.974947239451029e-9
2010,amb,trn,-9.974946795862986e-9
2003,amb,trn,-9.99091131124402e-9
2011,amb,trn,-9.974946823691733e-9
2001,amb,trn,-9.990911242522692e-9
2008,fbp,trn,-9.9749464910918e-9
2009,fbp,trn,-9.9749461110199e-9
2005,fbp,trn,-9.974946641558837e-9
2006,fbp,trn,-9.974946607569261e-9
2012,fbp,trn,-9.990910705140368e-9
2014,fbp,trn,-9.990910501772519e-9
2013,fbp,trn,-9.990910448458046e-9
1999,fbp,trn,-9.974946893695146e-9
2002,fbp,trn,-9.990911273296919e-9
2017,fbp,trn,-9.990910551368096e-9
2016,fbp,trn,-9.974945008206066e-9
2015,fbp,trn,-9.974944940044152e-9
1998,fbp,trn,-9.974946096251984e-9
2004,fbp,trn,-9.974946915031736e-9
2000,fbp,trn,-9.990911058753052e-9
1997,fbp,trn,-9.974944871179364e-9
2007,fbp,trn,-9.974946770374968e-9
2010,fbp,trn,-9.974946562424673e-9
2003,fbp,trn,-9.99091116939241e-9
2011,fbp,trn,-9.974946456959302e-9
2001,fbp,trn,-9.990911133145509e-9
2008,rec,trn,-9.974946901003186e-9
2009,rec,trn,-9.974946286828726e-9
2005,rec,trn,-9.974947164112287e-9
2006,rec,trn,-9.974947086309676e-9
2012,rec,trn,-9.990910831158836e-9
2014,rec,trn,-9.990910721122839e-9
2013,rec,trn,-9.990910675058044e-9
1999,rec,trn,-9.974947459474006e-9
2002,rec,trn,-9.990911446196272e-9
2017,rec,trn,-9.990910778590224e-9
2016,rec,trn,-9.974945614499192e-9
2015,rec,trn,-9.974945588171958e-9
1998,rec,trn,-9.97494665464575e-9
2004,rec,trn,-9.974947428008893e-9
2000,rec,trn,-9.990911225068183e-9
1997,rec,trn,-9.974945484449806e-9
2007,rec,trn,-9.974947342650317e-9
2010,rec,trn,-9.974946949381286e-9
2003,rec,trn,-9.990911353260972e-9
2011,rec,trn,-9.974947019413689e-9
2001,rec,trn,-9.990911272198734e-9
2008,con,trn,-9.974946932717223e-9
2009,con,trn,-9.97494634654057e-9
2005,con,trn,-9.97494706940778e-9
2006,con,trn,-9.974947020605151e-9
2012,con,trn,-9.990910780825592e-9
2014,con,trn,-9.990910671079658e-9
2013,con,trn,-9.990910620485635e-9
1999,con,trn,-9.974947513505341e-9
2002,con,trn,-9.990911432751243e-9
2017,con,trn,-9.990910728824116e-9
2016,con,trn,-9.974945471997293e-9
2015,con,trn,-9.974945460752206e-9
1998,con,trn,-9.974946745757087e-9
2004,con,trn,-9.97494737317714e-9
2000,con,trn,-9.99091124656329e-9
1997,con,trn,-9.974945540860447e-9
2007,con,trn,-9.974947260606759e-9
2010,con,trn,-9.974946867671108e-9
2003,con,trn,-9.990911329755409e-9
2011,con,trn,-9.97494689390516e-9
2001,con,trn,-9.99091129093174e-9
2008,agr,trn,-9.974946344743868e-9
2009,agr,trn,-9.974946337072135e-9
2005,agr,trn,-9.974946512405594e-9
2006,agr,trn,-9.974946560845784e-9
2012,agr,trn,-9.99091086923018e-9
2014,agr,trn,-9.990910495451926e-9
2013,agr,trn,-9.990910432075435e-9
1999,agr,trn,-9.97494685137645e-9
2002,agr,trn,-9.990911316385442e-9
2017,agr,trn,-9.990910555076466e-9
2016,agr,trn,-9.97494502167394e-9
2015,agr,trn,-9.974944831992433e-9
1998,agr,trn,-9.97494604867725e-9
2004,agr,trn,-9.974946794732566e-9
2000,agr,trn,-9.990911064114221e-9
1997,agr,trn,-9.97494488375364e-9
2007,agr,trn,-9.974946651517486e-9
2010,agr,trn,-9.974946851337944e-9
2003,agr,trn,-9.99091113356206e-9
2011,agr,trn,-9.974946423785902e-9
2001,agr,trn,-9.990911099350605e-9
2008,eec,trn,-9.974946840451338e-9
2009,eec,trn,-9.974946911491684e-9
2005,eec,trn,-9.974946770534202e-9
2006,eec,trn,-9.974946767730655e-9
2012,eec,trn,-9.990910713322005e-9
2014,eec,trn,-9.99091059986577e-9
2013,eec,trn,-9.990910551090337e-9
1999,eec,trn,-9.974947092620986e-9
2002,eec,trn,-9.99091131761048e-9
2017,eec,trn,-9.990910615062345e-9
2016,eec,trn,-9.974945176577798e-9
2015,eec,trn,-9.974945148108072e-9
1998,eec,trn,-9.97494637520882e-9
2004,eec,trn,-9.974947068528274e-9
2000,eec,trn,-9.99091110632061e-9
1997,eec,trn,-9.97494516455913e-9
2007,eec,trn,-9.974947023177093e-9
2010,eec,trn,-9.974946733681707e-9
2003,eec,trn,-9.990911226551735e-9
2011,eec,trn,-9.974946740156033e-9
2001,eec,trn,-9.990911320966615e-9
2008,fnd,trn,-9.974946979836824e-9
2009,fnd,trn,-9.974946192559333e-9
2005,fnd,trn,-9.974947202918273e-9
2006,fnd,trn,-9.974947145446795e-9
2012,fnd,trn,-9.990910769405899e-9
2014,fnd,trn,-9.990910654008102e-9
2013,fnd,trn,-9.990910608849236e-9
1999,fnd,trn,-9.974947652370735e-9
2002,fnd,trn,-9.990911524588663e-9
2017,fnd,trn,-9.990910720177911e-9
2016,fnd,trn,-9.9749454236572e-9
2015,fnd,trn,-9.974945412502523e-9
1998,fnd,trn,-9.974946882797766e-9
2004,fnd,trn,-9.974947543325689e-9
2000,fnd,trn,-9.990911306086085e-9
1997,fnd,trn,-9.97494564868647e-9
2007,fnd,trn,-9.974947422172738e-9
2010,fnd,trn,-9.974946930150849e-9
2003,fnd,trn,-9.990911389588e-9
2011,fnd,trn,-9.974946922507281e-9
2001,fnd,trn,-9.990911348001602e-9
2008,pub,trn,-9.974946660169035e-9
2009,pub,trn,-9.974946214809472e-9
2005,pub,trn,-9.974946895760836e-9
2006,pub,trn,-9.974946850777686e-9
2012,pub,trn,-9.990910684926185e-9
2014,pub,trn,-9.990910571272852e-9
2013,pub,trn,-9.990910523739347e-9
1999,pub,trn,-9.97494702110141e-9
2002,pub,trn,-9.990911360900487e-9
2017,pub,trn,-9.990910617246904e-9
2016,pub,trn,-9.974945190872413e-9
2015,pub,trn,-9.97494517643782e-9
1998,pub,trn,-9.974946390302658e-9
2004,pub,trn,-9.974947190913953e-9
2000,pub,trn,-9.99091102653414e-9
1997,pub,trn,-9.974945159277431e-9
2007,pub,trn,-9.97494705792364e-9
2010,pub,trn,-9.974946624361484e-9
2003,pub,trn,-9.990911259845065e-9
2011,pub,trn,-9.974946622594906e-9
2001,pub,trn,-9.990911146930499e-9
2008,hou,trn,-9.974946910997147e-9
2009,hou,trn,-9.974946052944012e-9
2005,hou,trn,-9.974947076351207e-9
2006,hou,trn,-9.974947024925129e-9
2012,hou,trn,-9.990910764575164e-9
2014,hou,trn,-9.99091065565899e-9
2013,hou,trn,-9.990910606950866e-9
1999,hou,trn,-9.974947413779906e-9
2002,hou,trn,-9.990911432692844e-9
2017,hou,trn,-9.990910715082488e-9
2016,hou,trn,-9.974945438553875e-9
2015,hou,trn,-9.974945442651433e-9
1998,hou,trn,-9.974946616215994e-9
2004,hou,trn,-9.97494736941731e-9
2000,hou,trn,-9.990911227469852e-9
1997,hou,trn,-9.974945388789571e-9
2007,hou,trn,-9.974947290048109e-9
2010,hou,trn,-9.974946834078658e-9
2003,hou,trn,-9.990911326900749e-9
2011,hou,trn,-9.97494687095105e-9
2001,hou,trn,-9.990911264426459e-9
2008,fbt,trn,-9.974945962414175e-9
2009,fbt,trn,-9.974945632065113e-9
2005,fbt,trn,-9.974946086096293e-9
2006,fbt,trn,-9.974946008024229e-9
2012,fbt,trn,-9.9909104137786e-9
2014,fbt,trn,-9.990910291991707e-9
2013,fbt,trn,-9.990910247215245e-9
1999,fbt,trn,-9.974946098840729e-9
2002,fbt,trn,-9.990911010844028e-9
2017,fbt,trn,-9.990910308911676e-9
2016,fbt,trn,-9.974944349146501e-9
2015,fbt,trn,-9.974944346137184e-9
1998,fbt,trn,-9.974945325465816e-9
2004,fbt,trn,-9.974946303798496e-9
2000,fbt,trn,-9.990910788382716e-9
1997,fbt,trn,-9.974944048256834e-9
2007,fbt,trn,-9.97494616386846e-9
2010,fbt,trn,-9.974945837498422e-9
2003,fbt,trn,-9.99091093068941e-9
2011,fbt,trn,-9.97494584640603e-9
2001,fbt,trn,-9.990910939363866e-9
2008,ins,trn,-9.97494672665548e-9
2009,ins,trn,-9.974946209706884e-9
2005,ins,trn,-9.974947166970903e-9
2006,ins,trn,-9.974947126013098e-9
2012,ins,trn,-9.990910794935489e-9
2014,ins,trn,-9.990910689356882e-9
