yr,i,value
2008,ppd,175.55326074283508
2009,ppd,159.27598331777781
2005,ppd,158.32125275339675
2006,ppd,165.7872112513375
2012,ppd,177.26705009064838
2014,ppd,182.6146735283671
2013,ppd,181.93384303123352
1999,ppd,153.49797486299872
2002,ppd,150.7118082383484
2017,ppd,179.06083509897832
2016,ppd,176.91400628720498
2015,ppd,181.10788040288378
1998,ppd,151.21193777235538
2004,ppd,151.00323827825773
2000,ppd,161.64881700875378
1997,ppd,147.19221504763945
2007,ppd,172.3103136593527
2010,ppd,167.96798355478597
2003,ppd,146.98561252249362
2011,ppd,173.74356358271902
2001,ppd,153.01921931040712
2008,res,497.347911579683
2009,res,494.1408247911891
2005,res,445.6484257628353
2006,res,469.78572785396636
2012,res,577.4126988275931
2014,res,638.4936329652342
2013,res,600.1764040556395
1999,res,321.9952551767789
2002,res,381.4093750894389
2017,res,759.6293237933697
2016,res,722.8464149878671
2015,res,690.1999517633287
1998,res,306.52582993819334
2004,res,424.5678626982587
2000,res,346.87597875146065
1997,res,289.22207145720176
2007,res,487.5184618502049
2010,res,510.38088022057417
2003,res,400.6362990136916
2011,res,544.3004297251866
2001,res,361.4056195184791
2008,com,279.03928891379803
2009,com,277.4091464094509
2005,com,215.96458304902686
2006,com,228.35777271328226
2012,com,350.7181547547004
2014,com,373.5975361637558
2013,com,354.93590482633397
1999,com,183.46838090068604
2002,com,198.07840712379175
2017,com,429.26225445502774
2016,com,401.7343975003101
2015,com,377.25281963615015
1998,com,152.1423285586502
2004,com,199.8544853297694
2000,com,213.63128060928884
1997,com,122.6781138407885
2007,com,254.48479595784312
2010,com,302.33063027226785
2003,com,196.12127377349597
2011,com,327.7167214853511
2001,com,202.15037982317355
2008,amb,744.6372405850219
2009,amb,772.0640642684508
2005,amb,642.0504838831458
2006,amb,670.8297152940977
2012,amb,867.5349472516261
2014,amb,907.635843537788
2013,amb,873.4411951694785
1999,amb,425.31261523343983
2002,amb,528.8887276158241
2017,amb,1043.9430493451266
2016,amb,1003.2599977860565
2015,amb,956.1033390150099
1998,amb,407.48260034887255
2004,amb,606.5173047017923
2000,amb,452.08087551950575
1997,amb,387.67747129671505
2007,amb,706.9184238285048
2010,amb,802.0302723518981
2003,amb,566.0429915909474
2011,amb,832.5980438172116
2001,amb,491.78782451630116
2008,fbp,760.0422378901482
2009,fbp,744.9013965418166
2005,fbp,642.6949758539752
2006,fbp,648.6791286457425
2012,fbp,864.9949554099917
2014,fbp,921.0108311115102
2013,fbp,892.0146393923243
1999,fbp,523.8605485677422
2002,fbp,551.9193318741327
2017,fbp,934.365809810395
2016,fbp,909.2713700414929
2015,fbp,919.1844592764538
1998,fbp,526.2525657820094
2004,fbp,612.6279752043242
2000,fbp,541.3121666647378
1997,fbp,517.6624550585569
2007,fbp,701.5021425696139
2010,fbp,769.9639505483633
2003,fbp,582.6873096122398
2011,fbp,827.325789356815
2001,fbp,560.7366720469029
2008,rec,110.20118090645907
2009,rec,105.1831281093336
2005,rec,90.89267604214035
2006,rec,101.32538396269716
2012,rec,112.05944051939906
2014,rec,120.98669217702093
2013,rec,116.31907924572477
1999,rec,69.90734204751914
2002,rec,72.54923379221997
2017,rec,142.80399335695168
2016,rec,133.22730284946124
2015,rec,127.28698022434081
1998,rec,65.79864592916857
2004,rec,86.44556313548397
2000,rec,71.83540541867303
1997,rec,65.00470633570949
2007,rec,109.45469868671901
2010,rec,105.83468755302923
2003,rec,78.94753122869221
2011,rec,108.97050701639722
2001,rec,73.35105596747952
2008,con,1273.7082530016257
2009,con,1095.4477093618611
2005,con,1285.8095938344263
2006,con,1352.11769204598
2012,con,1072.692398504875
2014,con,1256.7006417976097
2013,con,1153.805012263692
1999,con,840.0149962224458
2002,con,968.70604639784
2017,con,1544.941792050003
2016,con,1470.9309649938841
2015,con,1368.8671511817656
1998,con,777.9999861985965
2004,con,1156.8823518795973
2000,con,912.4262025301533
1997,con,707.4663611183983
2007,con,1337.7073139547585
2010,con,1015.1240671727329
2003,con,1038.3736637532998
2011,con,1018.8262861644159
2001,con,955.164316445859
2008,agr,338.5098993553463
2009,agr,309.2270454571552
2005,agr,271.2920305664304
2006,agr,266.6142912187042
2012,agr,414.7884571365712
2014,agr,450.86228007046185
2013,agr,446.1776840708294
1999,agr,217.47998977468043
2002,agr,211.93928992126612
2017,agr,399.4925508394805
2016,agr,384.6523048435342
2015,agr,409.23006893330296
1998,agr,217.21345659150703
2004,agr,271.4223105720928
2000,agr,223.32348785562354
1997,agr,224.67581369895512
2007,agr,311.30798321067755
2010,agr,333.2699041245165
2003,agr,239.84086419876994
2011,agr,390.4987173827651
2001,agr,231.32905720468077
2008,eec,126.29799909925696
2009,eec,102.75600596902633
2005,eec,108.15052720130616
2006,eec,116.48498375965802
2012,eec,122.8952124334259
2014,eec,125.90394495344435
2013,eec,123.13207263212318
1999,eec,116.34356097673255
2002,eec,100.33329645500172
2017,eec,128.26631323747014
2016,eec,123.71412145568961
2015,eec,125.44727150111281
1998,eec,114.24171175752947
2004,eec,101.86503588188525
2000,eec,124.51476195859499
1997,eec,110.60345085380912
2007,eec,125.46517511972681
2010,eec,108.83063232989922
2003,eec,97.42366398957904
2011,eec,118.17145923864543
2001,eec,110.17428754030594
2008,fnd,313.5505241088103
2009,fnd,339.5825975475467
2005,fnd,266.44854070011297
2006,fnd,281.3100160261013
2012,fnd,367.256202528086
2014,fnd,372.03684035486486
2013,fnd,363.6028468377493
1999,fnd,169.4601273697891
2002,fnd,217.6095971589253
2017,fnd,414.39793754993457
2016,fnd,401.63599291302427
2015,fnd,388.7471541095231
1998,fnd,163.87935723792697
2004,fnd,250.96430462918477
2000,fnd,183.4734450296586
1997,fnd,160.56188471858187
2007,fnd,289.14994734819186
2010,fnd,368.9741360710985
2003,fnd,236.0264236645766
2011,fnd,363.50268987666016
2001,fnd,196.14647424286485
2008,pub,311.1794759945786
2009,pub,287.2463885627664
2005,pub,290.45031269756123
2006,pub,302.9610055584821
2012,pub,294.37977529006224
2014,pub,319.0736541514506
2013,pub,306.7582647564981
1999,pub,237.012174989713
2002,pub,263.6091724306793
2017,pub,340.0783477447548
2016,pub,331.14867436947395
2015,pub,319.125036100266
1998,pub,213.00018266834212
2004,pub,278.3619645365408
2000,pub,257.3757405583638
1997,pub,189.73981676902986
2007,pub,309.4574085072345
2010,pub,287.5585364349803
2003,pub,260.63860312385924
2011,pub,296.3192040960939
2001,pub,260.3362505421684
2008,hou,1573.4514427788254
2009,hou,1610.9465769127567
2005,hou,1374.9177507404702
2006,hou,1460.8534682999568
2012,hou,1724.1665788465677
2014,hou,1848.8948049800488
2013,hou,1769.1686005998115
1999,hou,978.0642082885871
2002,hou,1164.017490457222
2017,hou,2159.17972355839
2016,hou,2066.2693085169544
2015,hou,1962.4617782113803
1998,hou,922.093744803263
2004,hou,1280.9257494655706
2000,hou,1037.9242516412955
1997,hou,868.7323962804095
2007,hou,1525.6577081768
2010,hou,1622.7367431373589
2003,hou,1209.2418071117886
2011,hou,1674.89122384819
2001,hou,1113.2849373279728
2008,fbt,175.88012633742716
2009,fbt,173.1581158842228
2005,fbt,159.45781452560172
2006,fbt,167.88530580598987
2012,fbt,187.39357832700733
2014,fbt,196.2046222038801
2013,fbt,189.49519558144027
1999,fbt,127.35948796777787
2002,fbt,141.2925916135185
2017,fbt,217.4757657608717
2016,fbt,208.9511536889895
2015,fbt,205.19669302734818
1998,fbt,120.4963689597755
2004,fbt,153.7742932710017
2000,fbt,128.57848652665993
1997,fbt,116.65590829887701
2007,fbt,170.1668622777334
2010,fbt,178.00499627017584
2003,fbt,145.49340317328603
2011,fbt,184.0017768423793
2001,fbt,139.10791112742635
2008,ins,697.8896128505784
2009,ins,628.9895243634417
2005,ins,590.0623464491892
2006,ins,619.7675168794981
2012,ins,777.8136370636352
2014,ins,912.348789350681
2013,ins,829.7853078611793
1999,ins,380.05862156589876
2002,ins,449.94414425342353
2017,ins,1116.4876349488447
2016,ins,1033.4900179808603
2015,ins,985.2998266213831
1998,ins,363.86706517377394
2004,ins,541.3195332588897
2000,ins,409.9063507887113
1997,ins,340.42526090954516
2007,ins,674.928815372735
2010,ins,643.3696973672979
2003,ins,493.3043041381216
2011,ins,707.0126313200209
2001,ins,428.8052046562931
2008,tex,56.27435614994533
2009,tex,46.182825031507896
2005,tex,76.68958205289015
2006,tex,71.34218373939075
2012,tex,51.42291750037995
2014,tex,55.532453789830186
2013,tex,53.73541693225281
1999,tex,86.1031537144643
2002,tex,75.00687629341284
2017,tex,53.675990108050314
2016,tex,51.9970813475112
2015,tex,53.274667686822404
1998,tex,87.21774294202322
2004,tex,73.35149233025282
2000,tex,84.66765595734829
1997,tex,88.64792991447332
2007,tex,64.05810685905553
2010,tex,49.55210417396093
2003,tex,71.97179882716695
2011,tex,52.589652925969354
2001,tex,76.3439370619037
2008,leg,276.7546433695311
2009,leg,272.85160739256526
2005,leg,245.22820204020684
2006,leg,257.6117165201121
2012,leg,297.1841682171986
2014,leg,304.65816706904474
2013,leg,297.0425145706788
