yr,i,value
2008,ppd,-0.0
2009,ppd,-0.0
2005,ppd,-0.0
2006,ppd,-0.0
2012,ppd,-0.0
2014,ppd,-0.0
2013,ppd,-0.0
1999,ppd,-0.0
2002,ppd,-0.0
2017,ppd,-0.0
2016,ppd,-0.0
2015,ppd,-0.0
1998,ppd,-0.0
2004,ppd,-0.0
2000,ppd,-0.0
1997,ppd,-0.0
2007,ppd,-0.0
2010,ppd,-0.0
2003,ppd,-0.0
2011,ppd,-0.0
2001,ppd,-0.0
2008,res,-0.0
2009,res,-0.0
2005,res,-0.0
2006,res,-0.0
2012,res,-0.0
2014,res,-0.0
2013,res,-0.0
1999,res,-0.0
2002,res,-0.0
2017,res,-0.0
2016,res,-0.0
2015,res,-0.0
1998,res,-0.0
2004,res,-0.0
2000,res,-0.0
1997,res,-0.0
2007,res,-0.0
2010,res,-0.0
2003,res,-0.0
2011,res,-0.0
2001,res,-0.0
2008,com,-0.0
2009,com,-0.0
2005,com,-0.0
2006,com,-0.0
2012,com,-0.0
2014,com,-0.0
2013,com,-0.0
1999,com,-0.0
2002,com,0.002
2017,com,-0.0
2016,com,-0.0
2015,com,-0.0
1998,com,-0.0
2004,com,-0.0
2000,com,-0.0
1997,com,-0.0
2007,com,-0.0
2010,com,-0.0
2003,com,-0.001
2011,com,-0.0
2001,com,0.018000000000000002
2008,amb,-0.0
2009,amb,-0.0
2005,amb,-0.0
2006,amb,-0.0
2012,amb,-0.0
2014,amb,-0.0
2013,amb,-0.0
1999,amb,-0.0
2002,amb,-0.0
2017,amb,-0.0
2016,amb,-0.0
2015,amb,-0.0
1998,amb,-0.0
2004,amb,-0.0
2000,amb,-0.0
1997,amb,-0.0
2007,amb,-0.0
2010,amb,-0.0
2003,amb,-0.0
2011,amb,-0.0
2001,amb,-0.0
2008,fbp,-0.0
2009,fbp,-0.0
2005,fbp,-0.0
2006,fbp,-0.0
2012,fbp,-0.0
2014,fbp,-0.0
2013,fbp,-0.0
1999,fbp,-0.0
2002,fbp,-0.0
2017,fbp,-0.0
2016,fbp,-0.0
2015,fbp,-0.0
1998,fbp,-0.0
2004,fbp,-0.0
2000,fbp,-0.0
1997,fbp,-0.0
2007,fbp,-0.0
2010,fbp,-0.0
2003,fbp,-0.0
2011,fbp,-0.0
2001,fbp,-0.0
2008,rec,-0.0
2009,rec,-0.0
2005,rec,-0.0
2006,rec,-0.0
2012,rec,-0.0
2014,rec,-0.0
2013,rec,-0.0
1999,rec,-0.0
2002,rec,-0.0
2017,rec,-0.0
2016,rec,-0.0
2015,rec,-0.0
1998,rec,-0.0
2004,rec,-0.0
2000,rec,-0.0
1997,rec,-0.0
2007,rec,-0.0
2010,rec,-0.0
2003,rec,-0.0
2011,rec,-0.0
2001,rec,-0.0
2008,con,-0.0
2009,con,-0.0
2005,con,-0.0
2006,con,-0.0
2012,con,-0.0
2014,con,-0.0
2013,con,-0.0
1999,con,-0.0
2002,con,0.001
2017,con,-0.0
2016,con,-0.0
2015,con,-0.0
1998,con,-0.0
2004,con,-0.0
2000,con,-0.0
1997,con,-0.0
2007,con,-0.0
2010,con,-0.0
2003,con,-0.0
2011,con,-0.0
2001,con,0.011
2008,agr,10.346
2009,agr,10.361
2005,agr,20.914
2006,agr,13.489
2012,agr,8.759
2014,agr,7.463
2013,agr,8.913
1999,agr,18.577
2002,agr,10.763
2017,agr,9.759
2016,agr,11.157
2015,agr,8.926
1998,agr,10.53
2004,agr,11.068
2000,agr,19.96
1997,agr,6.357
2007,agr,10.620000000000001
2010,agr,10.516
2003,agr,14.167
2011,agr,8.825000000000001
2001,agr,19.987000000000002
2008,eec,0.12
2009,eec,0.327
2005,eec,-0.0
2006,eec,-0.0
2012,eec,0.842
2014,eec,0.293
2013,eec,0.394
1999,eec,-0.0
2002,eec,-0.0
2017,eec,0.264
2016,eec,0.261
2015,eec,0.278
1998,eec,-0.0
2004,eec,-0.0
2000,eec,-0.0
1997,eec,-0.0
2007,eec,-0.0
2010,eec,0.9410000000000001
2003,eec,-0.0
2011,eec,1.16
2001,eec,-0.0
2008,fnd,-0.0
2009,fnd,-0.0
2005,fnd,-0.0
2006,fnd,-0.0
2012,fnd,-0.0
2014,fnd,-0.0
2013,fnd,-0.0
1999,fnd,-0.0
2002,fnd,-0.0
2017,fnd,-0.0
2016,fnd,-0.0
2015,fnd,-0.0
1998,fnd,-0.0
2004,fnd,-0.0
2000,fnd,-0.0
1997,fnd,-0.0
2007,fnd,-0.0
2010,fnd,-0.0
2003,fnd,-0.0
2011,fnd,-0.0
2001,fnd,-0.0
2008,pub,-0.0
2009,pub,-0.0
2005,pub,-0.0
2006,pub,-0.0
2012,pub,-0.0
2014,pub,-0.0
2013,pub,-0.0
1999,pub,-0.0
2002,pub,-0.0
2017,pub,-0.0
2016,pub,-0.0
2015,pub,-0.0
1998,pub,-0.0
2004,pub,-0.0
2000,pub,-0.0
1997,pub,-0.0
2007,pub,-0.0
2010,pub,-0.0
2003,pub,-0.0
2011,pub,-0.0
2001,pub,-0.0
2008,hou,33.458
2009,hou,34.841
2005,hou,31.779
2006,hou,30.741
2012,hou,34.148
2014,hou,34.410000000000004
2013,hou,34.359
1999,hou,21.568
2002,hou,24.53
2017,hou,38.158
2016,hou,38.38
2015,hou,35.374
1998,hou,22.049
2004,hou,28.69
2000,hou,20.155
1997,hou,24.049
