yr,i,value
2008,ppd,0.011951133144475918
2009,ppd,0.013532025630324317
2005,ppd,0.011999356916316302
2006,ppd,0.011916968047425529
2012,ppd,0.014410403350231428
2014,ppd,0.014298465806467837
2013,ppd,0.014491279808816801
1999,ppd,0.010703518389527248
2002,ppd,0.011664404701394383
2017,ppd,0.015171437240821276
2016,ppd,0.015319677751114159
2015,ppd,0.015046218203899878
1998,ppd,0.010567375886524824
2004,ppd,0.01180777375013459
2000,ppd,0.010882795160020048
1997,ppd,0.010363920040103865
2007,ppd,0.012082588255329828
2010,ppd,0.013680620041005084
2003,ppd,0.011868220724434915
2011,ppd,0.013922817076208413
2001,ppd,0.011272217761614634
2008,res,0.06458098660239509
2009,res,0.06380122057541412
2005,res,0.06057337003695161
2006,res,0.06237336610883565
2012,res,0.05986410802190851
2014,res,0.06153170951254294
2013,res,0.0617509745083912
1999,res,0.0567581216108883
2002,res,0.05702003220504434
2017,res,0.061111163646412205
2016,res,0.06137281232704237
2015,res,0.060757152636919755
1998,res,0.05610802997609062
2004,res,0.058568633454561744
2000,res,0.05672210687952316
1997,res,0.05670266093618097
2007,res,0.06312685884973414
2010,res,0.06600950994840998
2003,res,0.05793717450049538
2011,res,0.06001910114316567
2001,res,0.058948358127641626
2008,com,0.0063163213744315315
2009,com,0.0058545775042478255
2005,com,0.005457914363462985
2006,com,0.006101762731455755
2012,com,0.006537360710979101
2014,com,0.00740941439187521
2013,com,0.006990404744891321
1999,com,0.005868270882810679
2002,com,0.004961761023315624
2017,com,0.007718315892540237
2016,com,0.00785482455245055
2015,com,0.007976840313790364
1998,com,0.006252109198770892
2004,com,0.00520273732581781
2000,com,0.006068866630820339
1997,com,0.006287953830914338
2007,com,0.006481314437294953
2010,com,0.00592011156709322
2003,com,0.004982276234798299
2011,com,0.006294631049986776
2001,com,0.005616154146381545
2008,amb,0.0008454230139133224
2009,amb,0.0007217843621815333
2005,amb,0.0007643075950598074
2006,amb,0.0008440073293071704
2012,amb,0.0004532406707961928
2014,amb,0.0004621081974999091
2013,amb,0.0004676476875935295
1999,amb,0.000494373933507845
2002,amb,0.0004971859640015428
2017,amb,0.00046281409557018136
2016,amb,0.00046239195941011167
2015,amb,0.00046187688493986976
1998,amb,0.00047058487996520527
2004,amb,0.0006734082312932805
2000,amb,0.0005026866999794647
1997,amb,0.0004371502797761791
2007,amb,0.0009444245666880238
2010,amb,0.0006613386759124407
2003,amb,0.0005824640628238887
2011,amb,0.0005647577154322676
2001,amb,0.0005125818216097426
2008,fbp,0.056411671751755675
2009,fbp,0.06413440306135021
2005,fbp,0.05991907710778661
2006,fbp,0.061594571899085904
2012,fbp,0.05929014110911516
2014,fbp,0.05751065948233483
2013,fbp,0.05842786157903358
1999,fbp,0.055196703528452025
2002,fbp,0.05771137011028912
2017,fbp,0.0569529319110456
2016,fbp,0.05777812541447174
2015,fbp,0.056834762875573694
1998,fbp,0.05511174592288842
2004,fbp,0.058514082227258006
2000,fbp,0.05640985436019056
1997,fbp,0.0546101351510535
2007,fbp,0.059371363091883705
2010,fbp,0.06486416571489931
2003,fbp,0.058677111327618416
2011,fbp,0.06113868804626925
2001,fbp,0.05631598149869949
2008,rec,0.03395739506954008
2009,rec,0.03399648578545269
2005,rec,0.03306299772156165
2006,rec,0.03277121411020229
2012,rec,0.04119196810025634
2014,rec,0.04175674704324411
2013,rec,0.04202208802070538
1999,rec,0.03765231923677133
2002,rec,0.03227514702193484
