yr,i,value
2008,ppd,11.004
2009,ppd,8.655
2005,ppd,8.434000000000001
2006,ppd,9.072000000000001
2012,ppd,11.405
2014,ppd,12.054
2013,ppd,11.845
1999,ppd,5.4830000000000005
2002,ppd,7.347
2017,ppd,11.293000000000001
2016,ppd,10.213000000000001
2015,ppd,10.485
1998,ppd,5.571
2004,ppd,7.851
2000,ppd,3.664
1997,ppd,6.356
2007,ppd,10.017
2010,ppd,9.693
2003,ppd,7.6850000000000005
2011,ppd,10.869
2001,ppd,7.744
2008,res,0.0
2009,res,0.0
2005,res,0.0
2006,res,0.0
2012,res,0.0
2014,res,0.0
2013,res,0.0
1999,res,0.0
2002,res,0.0
2017,res,0.0
2016,res,0.0
2015,res,0.0
1998,res,0.0
2004,res,0.0
2000,res,0.0
1997,res,0.0
2007,res,0.0
2010,res,0.0
2003,res,0.0
2011,res,0.0
2001,res,0.0
2008,com,0.0
2009,com,0.0
2005,com,0.0
2006,com,0.0
2012,com,0.0
2014,com,0.0
2013,com,0.0
1999,com,0.0
2002,com,0.0
2017,com,0.0
2016,com,0.0
2015,com,0.0
1998,com,0.0
2004,com,0.0
2000,com,0.0
1997,com,0.0
2007,com,0.0
2010,com,0.0
2003,com,0.0
2011,com,0.0
2001,com,0.0
2008,amb,0.0
2009,amb,0.0
2005,amb,0.0
2006,amb,0.0
2012,amb,0.0
2014,amb,0.0
2013,amb,0.0
1999,amb,0.0
2002,amb,0.0
2017,amb,0.0
2016,amb,0.0
2015,amb,0.0
1998,amb,0.0
2004,amb,0.0
2000,amb,0.0
1997,amb,0.0
2007,amb,0.0
2010,amb,0.0
2003,amb,0.0
2011,amb,0.0
2001,amb,0.0
2008,fbp,22.084
2009,fbp,19.623
2005,fbp,14.674
2006,fbp,18.371
2012,fbp,24.392
2014,fbp,26.957
2013,fbp,25.135
1999,fbp,10.785
2002,fbp,13.972
2017,fbp,24.716
2016,fbp,24.01
2015,fbp,23.878
1998,fbp,10.113
2004,fbp,12.927
2000,fbp,11.286
1997,fbp,9.757
2007,fbp,20.543
2010,fbp,21.202
2003,fbp,13.994
2011,fbp,23.163
2001,fbp,12.429
2008,rec,0.0
