yr,ts,j,value
2008,taxes,ppd,0.111
2009,taxes,ppd,0.098
2005,taxes,ppd,0.105
2006,taxes,ppd,0.108
2012,taxes,ppd,0.099
2014,taxes,ppd,0.10200000000000001
2013,taxes,ppd,0.10200000000000001
1999,taxes,ppd,0.092
2002,taxes,ppd,0.092
2017,taxes,ppd,0.105
2016,taxes,ppd,0.10400000000000001
2015,taxes,ppd,0.10400000000000001
1998,taxes,ppd,0.091
2004,taxes,ppd,0.099
2000,taxes,ppd,0.093
1997,taxes,ppd,0.091
2007,taxes,ppd,0.114
2010,taxes,ppd,0.10400000000000001
2003,taxes,ppd,0.095
2011,taxes,ppd,0.105
2001,taxes,ppd,0.095
2008,subsidies,ppd,-0.0
2009,subsidies,ppd,-0.0
2005,subsidies,ppd,-0.0
2006,subsidies,ppd,-0.0
2012,subsidies,ppd,-0.0
2014,subsidies,ppd,-0.0
2013,subsidies,ppd,-0.0
1999,subsidies,ppd,-0.0
2002,subsidies,ppd,-0.0
2017,subsidies,ppd,-0.0
2016,subsidies,ppd,-0.0
2015,subsidies,ppd,-0.0
1998,subsidies,ppd,-0.0
2004,subsidies,ppd,-0.0
2000,subsidies,ppd,-0.0
1997,subsidies,ppd,-0.0
2007,subsidies,ppd,-0.0
2010,subsidies,ppd,-0.0
2003,subsidies,ppd,-0.0
2011,subsidies,ppd,-0.0
2001,subsidies,ppd,-0.0
2008,taxes,res,35.198
2009,taxes,res,34.499
2005,taxes,res,29.513
2006,taxes,res,32.122
2012,taxes,res,36.049
2014,taxes,res,41.112
2013,taxes,res,38.749
1999,taxes,res,19.834
2002,taxes,res,23.712
2017,taxes,res,48.223
2016,taxes,res,46.224000000000004
2015,taxes,res,43.719
1998,taxes,res,18.589
2004,taxes,res,27.203
2000,taxes,res,21.195
1997,taxes,res,17.582
2007,taxes,res,33.68
2010,taxes,res,36.817
2003,taxes,res,25.305
2011,taxes,res,34.448
2001,taxes,res,23.181
2008,subsidies,res,-0.0
2009,subsidies,res,-0.0
2005,subsidies,res,-0.0
2006,subsidies,res,-0.0
2012,subsidies,res,-0.0
2014,subsidies,res,-0.0
2013,subsidies,res,-0.0
1999,subsidies,res,-0.0
2002,subsidies,res,-0.0
2017,subsidies,res,-0.0
2016,subsidies,res,-0.0
2015,subsidies,res,-0.0
1998,subsidies,res,-0.0
2004,subsidies,res,-0.0
2000,subsidies,res,-0.0
1997,subsidies,res,-0.0
2007,subsidies,res,-0.0
2010,subsidies,res,-0.0
2003,subsidies,res,-0.0
2011,subsidies,res,-0.0
2001,subsidies,res,-0.0
2008,taxes,com,2.345
2009,taxes,com,2.191
2005,taxes,com,1.616
2006,taxes,com,1.851
2012,taxes,com,3.249
2014,taxes,com,3.978
2013,taxes,com,3.584
1999,taxes,com,1.5130000000000001
2002,taxes,com,1.436
2017,taxes,com,4.732
2016,taxes,com,4.5120000000000005
2015,taxes,com,4.331
1998,taxes,com,1.2570000000000001
2004,taxes,com,1.489
2000,taxes,com,1.814
1997,taxes,com,1.018
2007,taxes,com,2.146
2010,taxes,com,2.459
2003,taxes,com,1.399
2011,taxes,com,2.875
2001,taxes,com,1.718
2008,subsidies,com,-0.0
2009,subsidies,com,-0.0
2005,subsidies,com,-0.0
2006,subsidies,com,-0.0
2012,subsidies,com,-0.0
2014,subsidies,com,-0.0
2013,subsidies,com,-0.0
1999,subsidies,com,-0.0
2002,subsidies,com,-0.0
2017,subsidies,com,-0.0
2016,subsidies,com,-0.0
2015,subsidies,com,-0.0
1998,subsidies,com,-0.0
2004,subsidies,com,-0.0
2000,subsidies,com,-0.0
1997,subsidies,com,-0.0
2007,subsidies,com,-0.0
2010,subsidies,com,-0.0
2003,subsidies,com,-0.0
2011,subsidies,com,-0.0
2001,subsidies,com,-0.0
2008,taxes,amb,0.971
2009,taxes,amb,0.988
2005,taxes,amb,0.791
2006,taxes,amb,0.84
2012,taxes,amb,1.1380000000000001
2014,taxes,amb,1.222
2013,taxes,amb,1.183
1999,taxes,amb,0.483
2002,taxes,amb,0.615
2017,taxes,amb,1.365
2016,taxes,amb,1.32
2015,taxes,amb,1.2750000000000001
1998,taxes,amb,0.466
2004,taxes,amb,0.744
2000,taxes,amb,0.511
1997,taxes,amb,0.452
2007,taxes,amb,0.921
2010,taxes,amb,1.064
2003,taxes,amb,0.661
2011,taxes,amb,1.092
2001,taxes,amb,0.578
2008,subsidies,amb,-0.0
2009,subsidies,amb,-0.0
2005,subsidies,amb,-0.0
2006,subsidies,amb,-0.0
2012,subsidies,amb,-0.0
2014,subsidies,amb,-0.0
2013,subsidies,amb,-0.0
1999,subsidies,amb,-0.0
2002,subsidies,amb,-0.0
2017,subsidies,amb,-0.0
2016,subsidies,amb,-0.0
2015,subsidies,amb,-0.0
1998,subsidies,amb,-0.0
2004,subsidies,amb,-0.0
2000,subsidies,amb,-0.0
1997,subsidies,amb,-0.0
2007,subsidies,amb,-0.0
2010,subsidies,amb,-0.0
2003,subsidies,amb,-0.0
2011,subsidies,amb,-0.0
2001,subsidies,amb,-0.0
2008,taxes,fbp,15.965
2009,taxes,fbp,24.379
2005,taxes,fbp,16.047
2006,taxes,fbp,16.157
2012,taxes,fbp,25.715
2014,taxes,fbp,24.409
2013,taxes,fbp,24.944
1999,taxes,fbp,11.959
2002,taxes,fbp,14.126
2017,taxes,fbp,23.252
2016,taxes,fbp,23.561
2015,taxes,fbp,23.795
1998,taxes,fbp,11.98
2004,taxes,fbp,15.034
2000,taxes,fbp,13.425
1997,taxes,fbp,12.195
2007,taxes,fbp,16.241
2010,taxes,fbp,26.123
2003,taxes,fbp,14.834
2011,taxes,fbp,25.429000000000002
2001,taxes,fbp,13.634
2008,subsidies,fbp,-0.0
2009,subsidies,fbp,-0.0
2005,subsidies,fbp,-0.0
2006,subsidies,fbp,-0.0
2012,subsidies,fbp,-0.0
2014,subsidies,fbp,-0.0
2013,subsidies,fbp,-0.0
1999,subsidies,fbp,-0.0
2002,subsidies,fbp,-0.0
2017,subsidies,fbp,-0.0
2016,subsidies,fbp,-0.0
2015,subsidies,fbp,-0.0
1998,subsidies,fbp,-0.0
2004,subsidies,fbp,-0.0
2000,subsidies,fbp,-0.0
1997,subsidies,fbp,-0.0
2007,subsidies,fbp,-0.0
2010,subsidies,fbp,-0.0
2003,subsidies,fbp,-0.0
2011,subsidies,fbp,-0.0
2001,subsidies,fbp,-0.0
2008,taxes,rec,5.423
2009,taxes,rec,5.259
2005,taxes,rec,4.509
2006,taxes,rec,4.807
2012,taxes,rec,7.2540000000000004
2014,taxes,rec,7.889
2013,taxes,rec,7.692
1999,taxes,rec,3.317
2002,taxes,rec,3.673
2017,taxes,rec,9.133000000000001
2016,taxes,rec,8.74
2015,taxes,rec,8.365
1998,taxes,rec,3.0700000000000003
2004,taxes,rec,4.214
2000,taxes,rec,3.685
