yr,j,value
2008,ppd,0.009683601191653901
2009,ppd,0.011125192755514211
2005,ppd,0.010116955767291222
2006,ppd,0.009915861788325972
2012,ppd,0.009264134245930837
2014,ppd,0.008514705243494505
2013,ppd,0.009071074019527626
1999,ppd,0.010431768245929422
2002,ppd,0.01002957607624055
2017,ppd,0.009486052521147606
2016,ppd,0.00922345874099228
2015,ppd,0.008752891139684523
1998,ppd,0.010653125593021812
2004,ppd,0.010362999960671726
2000,ppd,0.010065366684432682
1997,ppd,0.010630720227935543
2007,ppd,0.009915747795861053
2010,ppd,0.010208610741233911
2003,ppd,0.01046132276416188
2011,ppd,0.00956423866032098
2001,ppd,0.009463681585603305
2008,res,0.0071122669019335165
2009,res,0.007447415142336017
2005,res,0.007547525192051556
2006,res,0.00718562874251497
2012,res,0.006459038240206302
2014,res,0.005886303542271018
2013,res,0.0063764273688452664
1999,res,0.00994428839677835
2002,res,0.007795494015858172
2017,res,0.0055598908813841675
2016,res,0.005599022072509341
2015,res,0.005634218972689247
1998,res,0.009865728253815017
2004,res,0.007665729927179097
2000,res,0.009783078385619221
1997,res,0.009647958407654764
2007,res,0.00728746433139821
2010,res,0.00725439326447697
2003,res,0.007458237610969347
2011,res,0.00675376662963541
2001,res,0.007979010171440896
2008,com,0.0049858900028255755
2009,com,0.005305078026453309
2005,com,0.006063268892794375
2006,com,0.005809197604580868
2012,com,0.004151564886366227
2014,com,0.00459275110338371
2013,com,0.0042116998544486075
1999,com,0.006227088375921205
2002,com,0.006409318978341444
2017,com,0.004537517751961446
2016,com,0.004664202309464226
2015,com,0.004722916076191788
1998,com,0.006124699673086771
2004,com,0.006376970938804069
2000,com,0.006410655380593763
1997,com,0.006438379579511139
2007,com,0.005498538040385407
2010,com,0.005040172654832452
2003,com,0.006198841728340982
2011,com,0.004487038798253956
2001,com,0.006274629271120982
2008,amb,0.0085112612703363
2009,amb,0.008632273933587934
2005,amb,0.009038611878517568
2006,amb,0.00886553100029363
2012,amb,0.007794482893743552
2014,amb,0.007796983213022437
2013,amb,0.007960447314407905
1999,amb,0.010854386187634886
2002,amb,0.008545279583776823
2017,amb,0.007752962551131721
2016,amb,0.007725501529752947
2015,amb,0.00774289894387444
1998,amb,0.01074952214803964
2004,amb,0.008657965839610027
2000,amb,0.010881347083781285
1997,amb,0.010584384937367986
2007,amb,0.008791224335353736
2010,amb,0.008416026727834846
2003,amb,0.00812886063472942
2011,amb,0.008111344232526803
2001,amb,0.008540319006631403
2008,fbp,0.0067080214352491065
2009,fbp,0.007370826762182247
2005,fbp,0.007843362211707212
2006,fbp,0.0081589232370432
2012,fbp,0.006188189922845855
2014,fbp,0.006548264920751174
2013,fbp,0.00697271691283266
1999,fbp,0.006721893761010735
2002,fbp,0.007277684412483863
2017,fbp,0.007287804888445117
2016,fbp,0.007171869712676218
2015,fbp,0.006822552911917189
1998,fbp,0.006657681226361162
2004,fbp,0.0073321007468693435
2000,fbp,0.007042719825191932
1997,fbp,0.006516024493786108
2007,fbp,0.0075478770530907095
2010,fbp,0.006914564503857716
2003,fbp,0.0070949994785602785
2011,fbp,0.006471700907482973
2001,fbp,0.006572693205018631
2008,rec,0.02765114782624457
2009,rec,0.028271061230288393
2005,rec,0.02400684969099551
2006,rec,0.024512847807445524
2012,rec,0.025381026438569203
2014,rec,0.02515925139499284
2013,rec,0.023849050145473213
1999,rec,0.022120039413369128
2002,rec,0.023258375907131743
2017,rec,0.027020804554397433
2016,rec,0.025692009837266494
2015,rec,0.025585636353675046
1998,rec,0.021462940756819107
2004,rec,0.023477487261845616
2000,rec,0.022834415719868172
1997,rec,0.02065652767759856
2007,rec,0.02789531278497173
2010,rec,0.026712774076831033
2003,rec,0.02191257728830276
2011,rec,0.025240571339797308
2001,rec,0.02088214460851088
2008,con,0.005035480638471008
2009,con,0.005645780557855587
2005,con,0.005295621663991639
2006,con,0.005079017622741693
2012,con,0.005796099535268534
2014,con,0.005527832437479817
2013,con,0.0057011574709765955
1999,con,0.005301614031081873
2002,con,0.005366266527667392
2017,con,0.005392488950056389
2016,con,0.005339739843144717
2015,con,0.005415341739832814
1998,con,0.005234230868481765
2004,con,0.005337730738449465
2000,con,0.005226352997869812
1997,con,0.0050983752104914746
2007,con,0.005105881631759033
2010,con,0.006038071755767285
2003,con,0.005200404786182579
2011,con,0.0059208170433195815
2001,con,0.005006066691770219
2008,agr,0.02101099624446808
2009,agr,0.023498888544251452
2005,agr,0.01959447322210858
2006,agr,0.021914157419123663
2012,agr,0.019826679405151364
2014,agr,0.021938497091436915
2013,agr,0.01904689634238883
1999,agr,0.021709484628549984
2002,agr,0.023008774652258552
2017,agr,0.023969632317754033
2016,agr,0.02270720649576279
2015,agr,0.02272379141572673
1998,agr,0.019271723051417215
2004,agr,0.01942928758057364
2000,agr,0.020626646988268764
1997,agr,0.019646757066852136
2007,agr,0.02153611283223997
2010,agr,0.022522954474624216
2003,agr,0.021667420448368717
2011,agr,0.020156426518553653
2001,agr,0.019920627405067108
2008,eec,0.008191233804591814
2009,eec,0.010549117507066745
2005,eec,0.010543554263423252
2006,eec,0.00891271684196148
2012,eec,0.008359160685240782
2014,eec,0.008133098552624306
2013,eec,0.008422973802371031
1999,eec,0.006333013829932904
2002,eec,0.0098902843084737
2017,eec,0.008842836217653121
2016,eec,0.008782643631980714
2015,eec,0.008396032696165099
1998,eec,0.006235664512528017
2004,eec,0.009609374999999998
2000,eec,0.006366726654669067
1997,eec,0.006250394027000982
2007,eec,0.008303752535496959
2010,eec,0.009686734656577845
2003,eec,0.01044943820224719
2011,eec,0.008724549890627629
2001,eec,0.008554203780143385
2008,fnd,0.0
2009,fnd,0.0
2005,fnd,0.0
2006,fnd,0.0
2012,fnd,0.0
2014,fnd,0.0
2013,fnd,0.0
1999,fnd,0.0
2002,fnd,0.0
2017,fnd,0.0
2016,fnd,0.0
2015,fnd,0.0
1998,fnd,0.0
2004,fnd,0.0
2000,fnd,0.0
1997,fnd,0.0
2007,fnd,0.0
2010,fnd,0.0
2003,fnd,0.0
2011,fnd,0.0
2001,fnd,0.0
2008,pub,0.008167021522201985
2009,pub,0.009753364789065654
2005,pub,0.007698229407236337
2006,pub,0.007709515980772336
2012,pub,0.009068366745482755
2014,pub,0.013204115308648148
2013,pub,0.008744526544026576
1999,pub,0.0041190835459424925
2002,pub,0.00739245530253396
2017,pub,0.014361962488898792
2016,pub,0.013845195124227438
2015,pub,0.013698844111215244
1998,pub,0.004156825254002175
2004,pub,0.007831662291836997
2000,pub,0.004100895162412456
1997,pub,0.004392517464859861
2007,pub,0.008136111370884783
2010,pub,0.009640033717570254
2003,pub,0.007962161541112943
2011,pub,0.00923772761996426
2001,pub,0.006831071617184451
2008,hou,0.12435876251970104
2009,hou,0.12753165715746875
2005,hou,0.12173626608552623
2006,hou,0.12200602439737203
2012,hou,0.12110308899943695
2014,hou,0.12056130105041166
2013,hou,0.12115035220918371
1999,hou,0.12041409018840961
2002,hou,0.11893344190285263
2017,hou,0.11847894638869931
2016,hou,0.11650615095186853
2015,hou,0.11722288028734094
1998,hou,0.12338419265747651
2004,hou,0.12148148148148147
2000,hou,0.11738878303371715
1997,hou,0.12851480043184713
2007,hou,0.12553844460041563
2010,hou,0.12658085909029018
2003,hou,0.12127869088299419
2011,hou,0.12382967800475173
2001,hou,0.11549515818394859
2008,fbt,0.015789028822584737
2009,fbt,0.016778099439389762
2005,fbt,0.015367611904155778
2006,fbt,0.015424528301886791
2012,fbt,0.015164644714038129
2014,fbt,0.014869044435586818
2013,fbt,0.015323688761409174
1999,fbt,0.0047207106646202516
2002,fbt,0.013811053040320717
2017,fbt,0.015306192050420398
2016,fbt,0.015112133736702317
2015,fbt,0.014710491169365921
1998,fbt,0.004638735903488067
2004,fbt,0.015035126997606738
2000,fbt,0.004850227138212258
1997,fbt,0.004746714951729039
2007,fbt,0.015980421222743468
2010,fbt,0.01597365903579612
2003,fbt,0.014237633860275364
2011,fbt,0.015376007402864307
2001,fbt,0.012959532630379026
2008,ins,0.007328554463378689
2009,ins,0.008854594801721629
2005,ins,0.007844692040772067
2006,ins,0.007667489393279453
2012,ins,0.0072102130547269305
2014,ins,0.0062492807628024205
2013,ins,0.0057878735316508135
1999,ins,0.01077022211117394
2002,ins,0.007765027383108011
2017,ins,0.005626531577363464
2016,ins,0.005882973339874271
2015,ins,0.0059561745710214695
1998,ins,0.010485360063307832
2004,ins,0.007904802536924476
2000,ins,0.00926652786784532
1997,ins,0.013973855556501892
2007,ins,0.007352385860317997
2010,ins,0.008868893602803485
2003,ins,0.007194565367186296
2011,ins,0.007848707782983865
2001,ins,0.008015349931340298
2008,tex,0.0114541656339624
2009,tex,0.014462988585264612
2005,tex,0.008221206296430987
2006,tex,0.008890191481047284
2012,tex,0.011260956213842079
2014,tex,0.010161290322580646
2013,tex,0.010669235186248544
1999,tex,0.00811898593634345
2002,tex,0.008004566452503584
2017,tex,0.010949107953387553
2016,tex,0.010999100943053354
2015,tex,0.010645649291223877
1998,tex,0.00790441596417883
2004,tex,0.008334803914914412
2000,tex,0.008342157900929521
1997,tex,0.007529528112111303
2007,tex,0.010130201050309188
2010,tex,0.012691272741877183
2003,tex,0.008398594238592027
2011,tex,0.011355248963833532
2001,tex,0.007718528386161499
2008,leg,0.003718222898627034
2009,leg,0.0039010797631487287
2005,leg,0.00396731551778972
2006,leg,0.003772720744918277
2012,leg,0.00357019075788319
2014,leg,0.003614256123061974
2013,leg,0.003992808904031187
1999,leg,0.0038522547020167688
2002,leg,0.0036141283113229664
2017,leg,0.0035324462262325295
2016,leg,0.003640915130607426
