yr,va,j,value
2008,othtax,ppd,0.0
2009,othtax,ppd,0.0
2005,othtax,ppd,0.0
2006,othtax,ppd,0.0
2012,othtax,ppd,0.0
2014,othtax,ppd,0.0
2013,othtax,ppd,0.0
1999,othtax,ppd,0.0
2002,othtax,ppd,0.0
2017,othtax,ppd,0.0
2016,othtax,ppd,0.0
2015,othtax,ppd,0.0
1998,othtax,ppd,0.0
2004,othtax,ppd,0.0
2000,othtax,ppd,0.0
1997,othtax,ppd,0.0
2007,othtax,ppd,0.0
2010,othtax,ppd,0.0
2003,othtax,ppd,0.0
2011,othtax,ppd,0.0
2001,othtax,ppd,0.0
2008,surplus,ppd,18.548714418507426
2009,surplus,ppd,29.493516697718903
2005,surplus,ppd,18.8828678269704
2006,surplus,ppd,25.40784195085698
2012,surplus,ppd,22.315128114049674
2014,surplus,ppd,25.599922422012373
2013,surplus,ppd,25.47384641694447
1999,surplus,ppd,25.505217163193116
2002,surplus,ppd,20.8301090041513
2017,surplus,ppd,23.517486943772937
2016,surplus,ppd,26.82661172201113
2015,surplus,ppd,27.822444151392126
1998,surplus,ppd,22.73174846709699
2004,surplus,ppd,20.095512341841605
2000,surplus,ppd,27.74144210151259
1997,surplus,ppd,22.557749783826097
2007,surplus,ppd,22.738763283477613
2010,surplus,ppd,25.718411859132168
2003,surplus,ppd,17.86381456470044
2011,surplus,ppd,22.91851575133777
2001,surplus,ppd,19.746603527614234
2008,compen,ppd,31.5695256062903
2009,compen,ppd,29.034624418173312
2005,compen,ppd,31.67781651093779
2006,compen,ppd,31.40714029623408
2012,compen,ppd,29.401170649524914
2014,compen,ppd,30.170288027597493
2013,compen,ppd,29.67214333955291
1999,compen,ppd,33.41238614332808
2002,compen,ppd,32.46273164152486
2017,compen,ppd,31.079556951645518
2016,compen,ppd,30.336787122744045
2015,compen,ppd,30.419676117517977
1998,compen,ppd,32.5908587887221
2004,compen,ppd,31.867078406390483
2000,compen,ppd,33.88649824981761
1997,compen,ppd,32.40111289311383
2007,compen,ppd,31.696274231803976
2010,compen,ppd,29.070494867469034
2003,compen,ppd,32.38013525373799
2011,compen,ppd,29.447786134957333
2001,compen,ppd,33.305924329293084
2008,othtax,res,0.0
2009,othtax,res,0.0
2005,othtax,res,0.0
2006,othtax,res,0.0
2012,othtax,res,0.0
2014,othtax,res,0.0
2013,othtax,res,0.0
1999,othtax,res,0.0
2002,othtax,res,0.0
2017,othtax,res,0.0
2016,othtax,res,0.0
2015,othtax,res,0.0
1998,othtax,res,0.0
2004,othtax,res,0.0
2000,othtax,res,0.0
1997,othtax,res,0.0
2007,othtax,res,0.0
2010,othtax,res,0.0
2003,othtax,res,0.0
2011,othtax,res,0.0
2001,othtax,res,0.0
2008,surplus,res,50.323088513832715
2009,surplus,res,60.350069939118214
2005,surplus,res,52.41567512646626
2006,surplus,res,55.67621861792927
2012,surplus,res,66.71119589312208
2014,surplus,res,72.21269943201014
2013,surplus,res,68.6803784846829
1999,surplus,res,38.693035428252195
2002,surplus,res,52.29305345609619
2017,surplus,res,88.95471741228958
2016,surplus,res,86.66130488129741
2015,surplus,res,81.53366817687696
1998,surplus,res,34.02281031964176
2004,surplus,res,53.17485047251824
2000,surplus,res,44.472813846822355
1997,surplus,res,32.643050999895195
2007,surplus,res,49.86304448616629
2010,surplus,res,63.60511104702157
2003,surplus,res,51.62272250026117
2011,surplus,res,64.65976631992554
2001,surplus,res,45.49440070535087
2008,compen,res,186.9434612230945
2009,compen,res,183.833356281261
2005,compen,res,165.32184822023152
2006,compen,res,174.39970412313946
2012,compen,res,215.7132331484149
2014,compen,res,242.7539825506837
2013,compen,res,226.56068599854058
1999,compen,res,118.03634541432933
2002,compen,res,138.42496894574504
2017,compen,res,293.39858431553176
2016,compen,res,278.21759101310505
2015,compen,res,260.7619402452777
1998,compen,res,108.11521722950577
2004,compen,res,157.79833605916141
2000,compen,res,125.28852892186966
1997,compen,res,98.04729793368617
2007,compen,res,184.85166803113884
2010,compen,res,187.9464722643535
2003,compen,res,147.46170792816002
2011,compen,res,198.4154180428909
2001,compen,res,132.8423264616482
2008,othtax,com,0.0
2009,othtax,com,0.0
2005,othtax,com,0.0
2006,othtax,com,0.0
2012,othtax,com,0.0
2014,othtax,com,0.0
2013,othtax,com,0.0
1999,othtax,com,0.0
2002,othtax,com,0.0
2017,othtax,com,0.0
2016,othtax,com,0.0
2015,othtax,com,0.0
1998,othtax,com,0.0
2004,othtax,com,0.0
2000,othtax,com,0.0
1997,othtax,com,0.0
2007,othtax,com,0.0
2010,othtax,com,0.0
2003,othtax,com,0.0
2011,othtax,com,0.0
2001,othtax,com,0.0
2008,surplus,com,27.990772549474528
2009,surplus,com,38.019102901211
2005,surplus,com,17.54369574065735
2006,surplus,com,18.414554210280926
2012,surplus,com,55.18720406528309
2014,surplus,com,46.71526567572881
2013,surplus,com,52.59892056122537
1999,surplus,com,6.798136053190093
2002,surplus,com,8.329715615568187
2017,surplus,com,53.765705024446014
2016,surplus,com,51.984335338236406
2015,surplus,com,44.06519380615366
1998,surplus,com,8.474198049326903
2004,surplus,com,15.927233703790844
2000,surplus,com,16.334013125215364
1997,surplus,com,9.560310033784814
2007,surplus,com,23.03658400954385
2010,surplus,com,42.5013045713867
2003,surplus,com,15.55829854272544
2011,surplus,com,48.065066940631674
2001,surplus,com,3.12830259470719
2008,compen,com,149.61947478498897
2009,compen,com,148.24262849878403
2005,compen,com,114.98479939898054
2006,compen,com,127.92619411268981
2012,compen,com,193.18731846733073
2014,compen,com,214.34293195711854
2013,compen,com,198.00382836606346
1999,compen,com,93.22559749509162
2002,compen,com,99.48017374594001
2017,compen,com,265.3538502347123
2016,compen,com,247.02839009760072
2015,compen,com,235.23660952003482
1998,compen,com,78.55878359842896
2004,compen,com,104.72894176736311
2000,compen,com,106.26289480899177
1997,compen,com,64.3287618277563
2007,compen,com,140.94903787320743
2010,compen,com,157.0085617691104
2003,compen,com,97.99158782620624
2011,compen,com,172.65406755213414
2001,compen,com,111.80663224255896
2008,othtax,amb,0.0
2009,othtax,amb,0.0
2005,othtax,amb,0.0
2006,othtax,amb,0.0
2012,othtax,amb,0.0
2014,othtax,amb,0.0
2013,othtax,amb,0.0
1999,othtax,amb,0.0
2002,othtax,amb,0.0
2017,othtax,amb,0.0
2016,othtax,amb,0.0
2015,othtax,amb,0.0
1998,othtax,amb,0.0
2004,othtax,amb,0.0
2000,othtax,amb,0.0
1997,othtax,amb,0.0
2007,othtax,amb,0.0
2010,othtax,amb,0.0
2003,othtax,amb,0.0
2011,othtax,amb,0.0
2001,othtax,amb,0.0
2008,surplus,amb,106.52468527090178
2009,surplus,amb,118.3957743046857
2005,surplus,amb,84.34988128132746
2006,surplus,amb,88.84794552706906
2012,surplus,amb,129.88709398878606
2014,surplus,amb,133.7432602114692
2013,surplus,amb,132.0742335853605
1999,surplus,amb,59.92272504619715
2002,surplus,amb,77.17654858922332
2017,surplus,amb,158.3048969765841
2016,surplus,amb,153.03982754345103
2015,surplus,amb,139.83618004052866
1998,surplus,amb,56.472555783749755
2004,surplus,amb,80.42485107784844
2000,surplus,amb,63.990139630680986
1997,surplus,amb,56.786774980860166
2007,surplus,amb,88.73503704835002
2010,surplus,amb,124.82457105694066
2003,surplus,amb,77.77189016138783
2011,surplus,amb,130.68684609751006
2001,surplus,amb,71.33823180104096
2008,compen,amb,366.38899621344757
2009,compen,amb,382.2011862053095
2005,compen,amb,305.9358947126907
2006,compen,amb,327.3739442877401
2012,compen,amb,435.7091245791231
2014,compen,amb,469.2007977870363
2013,compen,amb,453.2197389365904
1999,compen,amb,205.9556409407653
2002,compen,amb,251.58853297770247
2017,compen,amb,545.0305723716527
2016,compen,amb,519.4123533855129
2015,compen,amb,494.727431113138
1998,compen,amb,197.14168508940017
2004,compen,amb,288.61574957035043
2000,compen,amb,218.56889837688433
1997,compen,amb,189.44684657117702
2007,compen,amb,346.16737298279196
2010,compen,amb,398.9382771779826
2003,compen,amb,267.3616782023418
2011,compen,amb,416.0450302246482
2001,compen,amb,234.8993980598426
2008,othtax,fbp,0.0
2009,othtax,fbp,0.0
2005,othtax,fbp,0.0
2006,othtax,fbp,0.0
2012,othtax,fbp,0.0
2014,othtax,fbp,0.0
2013,othtax,fbp,0.0
1999,othtax,fbp,0.0
2002,othtax,fbp,0.0
2017,othtax,fbp,0.0
2016,othtax,fbp,0.0
2015,othtax,fbp,0.0
1998,othtax,fbp,0.0
2004,othtax,fbp,0.0
2000,othtax,fbp,0.0
1997,othtax,fbp,0.0
2007,othtax,fbp,0.0
2010,othtax,fbp,0.0
2003,othtax,fbp,0.0
2011,othtax,fbp,0.0
2001,othtax,fbp,0.0
2008,surplus,fbp,91.53124508529262
2009,surplus,fbp,123.20477535575638
2005,surplus,fbp,77.2891609937537
2006,surplus,fbp,90.88353213865116
2012,surplus,fbp,96.59047243805412
2014,surplus,fbp,107.53179154887218
2013,surplus,fbp,101.8427373430631
1999,surplus,fbp,76.44906075404262
2002,surplus,fbp,82.2979721403661
2017,surplus,fbp,119.6502409829562
2016,surplus,fbp,125.24294733633576
2015,surplus,fbp,126.59417237218103
1998,surplus,fbp,57.52082748111758
2004,surplus,fbp,76.97823769180424
2000,surplus,fbp,73.74323844772123
1997,surplus,fbp,56.67562674413207
2007,surplus,fbp,87.69747623327343
2010,surplus,fbp,103.60677814394145
2003,surplus,fbp,81.9790400057988
2011,surplus,fbp,89.95530928542871
2001,surplus,fbp,83.11318968169772
2008,compen,fbp,85.62651705062497
2009,compen,fbp,86.05393010436516
2005,compen,fbp,79.5817246874534
2006,compen,fbp,80.84757056270074
2012,compen,fbp,92.19388523325809
2014,compen,fbp,99.63223232114447
2013,compen,fbp,93.92806080582935
1999,compen,fbp,69.00812890097792
2002,compen,fbp,74.56777784255841
2017,compen,fbp,113.32628511190498
2016,compen,fbp,107.12124975178203
2015,compen,fbp,102.72712097791064
1998,compen,fbp,66.21767368074066
2004,compen,fbp,78.55555863247308
2000,compen,fbp,71.56231631298289
1997,compen,fbp,62.211404124653775
2007,compen,fbp,83.7683796175115
2010,compen,fbp,88.19873943201422
2003,compen,fbp,77.28951672455258
2011,compen,fbp,87.71720868043353
2001,compen,fbp,73.36961396624969
2008,othtax,rec,0.0
2009,othtax,rec,0.0
2005,othtax,rec,0.0
2006,othtax,rec,0.0
2012,othtax,rec,0.0
2014,othtax,rec,0.0
2013,othtax,rec,0.0
1999,othtax,rec,0.0
2002,othtax,rec,0.0
2017,othtax,rec,0.0
2016,othtax,rec,0.0
2015,othtax,rec,0.0
1998,othtax,rec,0.0
2004,othtax,rec,0.0
2000,othtax,rec,0.0
1997,othtax,rec,0.0
2007,othtax,rec,0.0
2010,othtax,rec,0.0
2003,othtax,rec,0.0
2011,othtax,rec,0.0
2001,othtax,rec,0.0
2008,surplus,rec,13.403345240938098
2009,surplus,rec,13.276597390004433
2005,surplus,rec,13.156059547355904
2006,surplus,rec,13.23364182745285
2012,surplus,rec,17.99011923970953
2014,surplus,rec,18.94533938088881
2013,surplus,rec,19.307165520936977
1999,surplus,rec,15.043336287549218
2002,surplus,rec,9.78374008235571
2017,surplus,rec,20.316852391015114
2016,surplus,rec,21.250620527723658
2015,surplus,rec,20.489015262009985
1998,surplus,rec,13.489628915328478
2004,surplus,rec,12.139397469638729
2000,surplus,rec,15.558419798345364
1997,surplus,rec,17.09687083102005
2007,surplus,rec,15.429463850001152
2010,surplus,rec,17.196907773810285
2003,surplus,rec,10.600219270941732
2011,surplus,rec,17.12732150142353
2001,surplus,rec,9.707662553988621
2008,compen,rec,39.8928145238218
2009,compen,rec,38.71676585685599
2005,compen,rec,35.47044768205581
2006,compen,rec,36.577986500992644
2012,compen,rec,42.26725442610773
2014,compen,rec,47.38653365449548
2013,compen,rec,43.88487256474273
1999,compen,rec,26.103993653681727
2002,compen,rec,31.772362838398276
2017,compen,rec,54.042283394809054
2016,compen,rec,52.09868555299381
2015,compen,rec,48.87282500955195
1998,compen,rec,24.333839582396788
2004,compen,rec,34.51442528978826
2000,compen,rec,28.839875614998387
1997,compen,rec,21.79735551958634
2007,compen,rec,38.29636050179824
2010,compen,rec,39.051437053097224
2003,compen,rec,32.95449142104926
2011,compen,rec,39.993292753608934
2001,compen,rec,30.179344904238306
2008,othtax,con,0.0
2009,othtax,con,0.0
2005,othtax,con,0.0
2006,othtax,con,0.0
2012,othtax,con,0.0
2014,othtax,con,0.0
2013,othtax,con,0.0
1999,othtax,con,0.0
2002,othtax,con,0.0
2017,othtax,con,0.0
2016,othtax,con,0.0
2015,othtax,con,0.0
1998,othtax,con,0.0
2004,othtax,con,0.0
2000,othtax,con,0.0
1997,othtax,con,0.0
