yr,i,value
2008,ppd,22.701
2009,ppd,19.939
2005,ppd,17.309
2006,ppd,18.739
2012,ppd,24.993000000000002
2014,ppd,25.529
2013,ppd,25.219
1999,ppd,14.466000000000001
2002,ppd,14.079
2017,ppd,24.91
2016,ppd,23.596
2015,ppd,24.777
1998,ppd,14.873000000000001
2004,ppd,15.828000000000001
2000,ppd,15.933
1997,ppd,16.473
2007,ppd,20.621
2010,ppd,23.736
2003,ppd,14.357000000000001
2011,ppd,25.348
2001,ppd,14.416
2008,res,1.917
2009,res,1.802
2005,res,1.612
2006,res,1.687
2012,res,2.052
2014,res,2.197
2013,res,2.183
1999,res,1.342
2002,res,1.3920000000000001
2017,res,2.39
2016,res,2.267
2015,res,2.246
1998,res,2.073
2004,res,1.591
2000,res,1.339
1997,res,2.0340000000000003
2007,res,1.989
2010,res,1.95
2003,res,1.379
2011,res,1.999
2001,res,1.326
2008,com,9.738
2009,com,10.141
2005,com,6.51
2006,com,6.992
2012,com,14.135
2014,com,15.8
2013,com,14.907
1999,com,5.034
2002,com,5.188
2017,com,24.671
2016,com,20.900000000000002
2015,com,18.446
1998,com,5.203
2004,com,6.152
2000,com,5.125
1997,com,5.066
2007,com,8.528
2010,com,10.391
2003,com,5.909
2011,com,12.734
2001,com,4.995
2008,amb,0.068
2009,amb,0.069
2005,amb,0.063
2006,amb,0.065
2012,amb,0.078
2014,amb,0.079
2013,amb,0.082
1999,amb,0.045
2002,amb,0.054
2017,amb,0.08700000000000001
2016,amb,0.08600000000000001
2015,amb,0.083
1998,amb,0.042
2004,amb,0.058
2000,amb,0.047
1997,amb,0.041
2007,amb,0.068
2010,amb,0.08600000000000001
2003,amb,0.056
2011,amb,0.069
2001,amb,0.05
2008,fbp,59.564
2009,fbp,54.620000000000005
2005,fbp,38.37
2006,fbp,42.315
2012,fbp,77.482
2014,fbp,83.066
2013,fbp,83.095
1999,fbp,32.822
2002,fbp,32.903
2017,fbp,76.046
2016,fbp,73.568
2015,fbp,76.265
1998,fbp,35.805
2004,fbp,34.728
2000,fbp,34.078
1997,fbp,37.986000000000004
2007,fbp,49.449
2010,fbp,62.568
2003,fbp,34.851
2011,fbp,71.892
2001,fbp,34.723
2008,rec,0.0
2009,rec,0.0
2005,rec,0.0
2006,rec,0.0
2012,rec,0.0
2014,rec,0.0
2013,rec,0.0
1999,rec,0.0
2002,rec,0.0
2017,rec,0.0
2016,rec,0.0
2015,rec,0.0
1998,rec,0.0
2004,rec,0.0
2000,rec,0.0
1997,rec,0.0
2007,rec,0.0
2010,rec,0.0
2003,rec,0.0
2011,rec,0.0
2001,rec,0.0
2008,con,0.08700000000000001
2009,con,0.092
2005,con,0.083
2006,con,0.085
2012,con,0.099
2014,con,0.098
2013,con,0.101
1999,con,0.07200000000000001
2002,con,0.078
2017,con,0.099
2016,con,0.097
2015,con,0.098
1998,con,0.11900000000000001
2004,con,0.081
2000,con,0.073
1997,con,0.11
2007,con,0.08600000000000001
2010,con,0.10200000000000001
2003,con,0.08
2011,con,0.093
2001,con,0.076
2008,agr,59.122
2009,agr,47.123
2005,agr,28.769000000000002
2006,agr,32.812
2012,agr,65.757
2014,agr,66.618
2013,agr,63.059000000000005
1999,agr,21.286
2002,agr,23.984
2017,agr,62.056000000000004
2016,agr,61.057
2015,agr,55.854
1998,agr,23.511
2004,agr,30.295
2000,agr,22.973
1997,agr,27.508
2007,agr,44.281
2010,agr,55.369
2003,agr,28.166
2011,agr,65.715
2001,agr,23.471
2008,eec,33.639
2009,eec,27.414
2005,eec,26.437
2006,eec,30.885
2012,eec,38.277
2014,eec,41.203
2013,eec,39.987
1999,eec,22.559
2002,eec,20.768
2017,eec,38.143
2016,eec,37.247
2015,eec,40.82
1998,eec,20.34
2004,eec,23.549
2000,eec,25.345
1997,eec,17.363
2007,eec,32.493
2010,eec,32.45
2003,eec,20.656
2011,eec,35.79
2001,eec,23.071
2008,fnd,0.0
2009,fnd,0.0
2005,fnd,0.0
2006,fnd,0.0
2012,fnd,0.0
2014,fnd,0.0
2013,fnd,0.0
1999,fnd,0.0
2002,fnd,0.0
2017,fnd,0.0
2016,fnd,0.0
2015,fnd,0.0
1998,fnd,0.0
2004,fnd,0.0
2000,fnd,0.0
1997,fnd,0.0
2007,fnd,0.0
2010,fnd,0.0
2003,fnd,0.0
2011,fnd,0.0
2001,fnd,0.0
2008,pub,39.38
2009,pub,38.562
2005,pub,27.544
2006,pub,30.066
2012,pub,48.289
2014,pub,46.455
2013,pub,50.079
1999,pub,20.193
2002,pub,20.669
2017,pub,43.35
2016,pub,43.503
2015,pub,43.64
1998,pub,17.008
2004,pub,24.676000000000002
2000,pub,21.429000000000002
1997,pub,16.463
2007,pub,37.379
2010,pub,43.845
2003,pub,21.557000000000002
2011,pub,47.375
2001,pub,20.338
2008,hou,0.0
2009,hou,0.0
2005,hou,0.0
2006,hou,0.0
2012,hou,0.0
2014,hou,0.0
2013,hou,0.0
1999,hou,0.0
2002,hou,0.0
2017,hou,0.0
2016,hou,0.0
2015,hou,0.0
1998,hou,0.0
2004,hou,0.0
2000,hou,0.0
1997,hou,0.0
2007,hou,0.0
2010,hou,0.0
2003,hou,0.0
2011,hou,0.0
2001,hou,0.0
2008,fbt,0.0
2009,fbt,0.0
2005,fbt,0.0
2006,fbt,0.0
2012,fbt,0.0
2014,fbt,0.0
2013,fbt,0.0
1999,fbt,0.0
2002,fbt,0.0
2017,fbt,0.0
2016,fbt,0.0
2015,fbt,0.0
1998,fbt,0.0
2004,fbt,0.0
2000,fbt,0.0
1997,fbt,0.0
2007,fbt,0.0
2010,fbt,0.0
2003,fbt,0.0
2011,fbt,0.0
2001,fbt,0.0
2008,ins,13.979000000000001
2009,ins,15.074
2005,ins,8.055
2006,ins,9.987
2012,ins,17.362000000000002
2014,ins,17.933
2013,ins,17.289
1999,ins,3.434
2002,ins,4.832
2017,ins,18.581
2016,ins,17.389
2015,ins,16.837
1998,ins,3.4450000000000003
2004,ins,7.769
2000,ins,4.034
1997,ins,2.574
2007,ins,11.41
2010,ins,14.907
2003,ins,6.38
2011,ins,15.664
2001,ins,3.8280000000000003
2008,tex,11.735
2009,tex,9.689
2005,tex,11.533
2006,tex,11.823
2012,tex,11.614
2014,tex,12.173
2013,tex,11.904
1999,tex,8.764
2002,tex,9.872
2017,tex,11.194
2016,tex,10.971
2015,tex,11.705
1998,tex,8.321
2004,tex,11.111
2000,tex,9.884
1997,tex,8.24
2007,tex,11.775
2010,tex,11.631
2003,tex,10.034
2011,tex,14.093
2001,tex,9.712
2008,leg,9.870000000000001
2009,leg,9.404
2005,leg,6.598
2006,leg,7.548
2012,leg,10.851
2014,leg,11.871
2013,leg,11.73
1999,leg,4.19
2002,leg,5.042
2017,leg,12.885
2016,leg,12.021
2015,leg,11.862
1998,leg,4.509
2004,leg,5.839
2000,leg,4.599
1997,leg,4.537
2007,leg,8.941
2010,leg,9.581
2003,leg,5.039
2011,leg,10.172
2001,leg,4.728
2008,fen,0.328
2009,fen,0.266
2005,fen,0.332
2006,fen,0.343
2012,fen,0.375
2014,fen,0.47600000000000003
2013,fen,0.38
1999,fen,0.256
2002,fen,0.266
2017,fen,0.711
2016,fen,0.548
2015,fen,0.521
1998,fen,0.276
2004,fen,0.32
2000,fen,0.271
1997,fen,0.273
2007,fen,0.34600000000000003
2010,fen,0.274
2003,fen,0.274
2011,fen,0.41000000000000003
2001,fen,0.28600000000000003
2008,uti,4.125
2009,uti,3.04
2005,uti,3.223
2006,uti,3.536
2012,uti,3.248
2014,uti,3.774
2013,uti,3.504
1999,uti,2.0380000000000003
2002,uti,2.165
2017,uti,3.845
2016,uti,3.549
2015,uti,3.5500000000000003
1998,uti,2.549
2004,uti,2.888
2000,uti,2.202
1997,uti,2.559
2007,uti,3.8240000000000003
2010,uti,3.3850000000000002
2003,uti,2.531
2011,uti,3.223
2001,uti,2.997
2008,nmp,9.75
2009,nmp,8.186
2005,nmp,7.714
2006,nmp,8.749
2012,nmp,11.095
2014,nmp,12.172
2013,nmp,11.569
1999,nmp,6.865
2002,nmp,6.548
2017,nmp,11.478
2016,nmp,11.229000000000001
2015,nmp,11.716000000000001
1998,nmp,6.667
2004,nmp,7.167
2000,nmp,8.413
1997,nmp,6.863
2007,nmp,9.267
