yr,i,value
2008,ppd,174.59782818412074
2009,ppd,158.76328893801474
2005,ppd,157.00661856846807
2006,ppd,164.3779479455597
2012,ppd,175.55275787270548
2014,ppd,182.0027837227162
2013,ppd,181.56333878896075
1999,ppd,152.24156857047544
2002,ppd,149.01721944403693
2017,ppd,178.43215233346595
2016,ppd,176.30535460328954
2015,ppd,180.65912148280702
1998,ppd,149.86626836221635
2004,ppd,149.2024457085643
2000,ppd,159.03589466728073
1997,ppd,146.6120860894587
2007,ppd,171.33335650599776
2010,ppd,169.9711855795999
2003,ppd,145.12512448400986
2011,ppd,178.52171456800573
2001,ppd,149.7690406902786
2008,res,596.4711705464862
2009,res,592.064623260968
2005,res,531.835526788193
2006,res,561.5678465535042
2012,res,686.9935538093349
2014,res,756.9418625750325
2013,res,713.1583255119552
1999,res,386.0851457472353
2002,res,453.3244240149888
2017,res,895.9537667458391
2016,res,853.5460844955426
2015,res,815.8475328113387
1998,res,366.51356843705156
2004,res,505.7784389065448
2000,res,416.54168378918706
1997,res,345.1297145551221
2007,res,584.1031285388236
2010,res,612.1411286463299
2003,res,475.78875778134204
2011,res,649.5479349512668
2001,res,429.5596777530557
2008,com,320.278115012805
2009,com,321.67892327522935
2005,com,253.22296829642968
2006,com,262.70637431907966
2012,com,413.3791488782505
2014,com,443.0182396972847
2013,com,424.5229652954314
1999,com,208.60619906926576
2002,com,234.3876462170468
2017,com,512.1672143485694
2016,com,477.73992289992736
2015,com,448.919365613145
1998,com,167.8550510948964
2004,com,238.85131174868263
2000,com,241.02348308637448
1997,com,138.6015637927986
2007,com,291.84628992266016
2010,com,351.87394235431486
2003,com,232.0760698103051
2011,com,383.6055061968539
2001,com,241.55741804612015
2008,amb,760.2547577594802
2009,amb,790.2624492203438
2005,amb,657.7228605090854
2006,amb,685.5578659554269
2012,amb,880.0252954270899
2014,amb,934.5242416361152
2013,amb,897.8142538027757
1999,amb,438.8573605673173
2002,amb,546.9529411460437
2017,amb,1075.6651942802162
2016,amb,1033.4091809278743
2015,amb,984.8228297115515
1998,amb,420.64836051064617
2004,amb,623.3816246653903
2000,amb,467.45658622237784
1997,amb,400.2321149543067
2007,amb,720.5893237574401
2010,amb,822.1431054052362
2003,amb,583.4921833605005
2011,amb,854.9354436463096
2001,amb,508.9655374259009
2008,fbp,772.148270991904
2009,fbp,759.9128390995811
2005,fbp,645.7360103301506
2006,fbp,651.9932149619783
2012,fbp,879.8611081936504
2014,fbp,930.398506055006
2013,fbp,903.6136278996219
1999,fbp,526.9649150324503
2002,fbp,555.0087243407345
2017,fbp,946.7574191496296
2016,fbp,920.6015853798956
2015,fbp,930.0467119523248
1998,fbp,529.6585799891502
2004,fbp,616.33837774588
2000,fbp,540.5327502694264
1997,fbp,522.9771849449555
2007,fbp,707.9105524531133
2010,fbp,786.7992901499191
2003,fbp,585.9310249461511
2011,fbp,852.9367557676429
2001,fbp,558.9098331837411
2008,rec,155.7090876658613
2009,rec,149.8442377692726
2005,rec,131.90019050419255
2006,rec,143.62150987498725
2012,rec,161.36453078786806
2014,rec,173.06850308063082
2013,rec,167.4364898918337
1999,rec,86.91597731711533
2002,rec,104.13954924797957
2017,rec,195.01676799815382
2016,rec,185.50034885747772
2015,rec,179.1491862426433
1998,rec,77.77380926213742
2004,rec,124.68802449107456
2000,rec,94.56847387462024
1997,rec,74.20722059242304
2007,rec,152.66375787984103
2010,rec,152.48850060655033
2003,rec,112.82676781181566
2011,rec,157.07738093016962
2001,rec,98.6951363396345
2008,con,1361.0061723996732
2009,con,1181.453205819441
2005,con,1357.0808600401353
2006,con,1439.6065208614264
2012,con,1164.05419105104
2014,con,1344.7615204125439
2013,con,1229.939715278561
1999,con,898.8166600251527
2002,con,1029.711173435718
2017,con,1638.1977843698157
2016,con,1568.0800264779903
2015,con,1466.437904607293
1998,con,833.5128298395366
2004,con,1222.1344724568025
2000,con,974.2520173447629
1997,con,760.819416669134
2007,con,1434.6825307337022
2010,con,1087.2101054323634
2003,con,1096.6890400345483
2011,con,1086.6579807739543
2001,con,1018.9826601146264
2008,agr,333.78268086833253
2009,agr,303.82273948390554
2005,agr,267.5780088644107
2006,agr,262.720405319635
2012,agr,409.8929340525122
2014,agr,443.62150115039185
2013,agr,439.06749725692504
1999,agr,213.75568287176677
2002,agr,208.97899927224097
2017,agr,391.79233587088834
2016,agr,378.73009903430443
2015,agr,401.9336503604028
1998,agr,213.1098267256248
2004,agr,266.78686229384647
2000,agr,221.0004701109604
1997,agr,220.77376103408994
2007,agr,307.38328876222573
2010,agr,327.8811303420773
2003,agr,235.9846054891017
2011,agr,384.3678649034507
2001,agr,228.6645029328335
2008,eec,122.65931384433698
2009,eec,99.76729657448364
2005,eec,104.95032301236672
2006,eec,113.55826734218618
2012,eec,118.58934455628719
2014,eec,121.33933333103991
2013,eec,118.64956216236973
1999,eec,110.31136015323787
2002,eec,96.90948121807885
2017,eec,123.68898815552805
2016,eec,118.96147396075756
2015,eec,120.95688555804131
1998,eec,108.00873464026218
2004,eec,98.76001723085011
2000,eec,117.68977145281607
1997,eec,103.2568780931972
2007,eec,121.03341628899909
2010,eec,106.6628004769877
2003,eec,94.51029260191518
2011,eec,115.23039055777338
2001,eec,104.87474376383567
2008,fnd,295.5509908855527
2009,fnd,320.86910848201285
2005,fnd,247.21550513701385
2006,fnd,263.53469466292205
2012,fnd,348.79949920504
2014,fnd,352.45822435592265
2013,fnd,345.632658511122
1999,fnd,154.4451904713496
2002,fnd,201.93783703751305
2017,fnd,392.5044726196786
2016,fnd,380.2346389065996
2015,fnd,368.91512541582625
1998,fnd,148.05265229288358
2004,fnd,234.09194834563507
2000,fnd,166.88888557293075
1997,fnd,146.2805445928579
2007,fnd,272.0728002505414
2010,fnd,348.6035802950189
2003,fnd,219.62273468478554
2011,fnd,341.10552613460067
2001,fnd,180.36080785786714
2008,pub,211.39931078707724
2009,pub,199.33077665251528
2005,pub,194.95106059266024
2006,pub,204.81253688119884
2012,pub,207.0452043079195
2014,pub,227.33438292049235
2013,pub,216.36438218384703
1999,pub,161.5423122650282
2002,pub,178.5556612644819
2017,pub,254.70133829309853
2016,pub,244.4233258611511
2015,pub,231.87295867259334
1998,pub,144.58088353296466
2004,pub,186.84944581249164
2000,pub,171.94123783999626
1997,pub,128.25757555384953
2007,pub,208.78957328675295
2010,pub,201.99416774426265
2003,pub,172.7026152581553
2011,pub,208.9605247121933
2001,pub,176.30905560071272
2008,hou,1571.5075100171146
2009,hou,1620.4439706705116
2005,hou,1362.964716079941
2006,hou,1445.6271864898542
2012,hou,1735.9715329084984
2014,hou,1859.1339947510514
2013,hou,1779.5078305737195
1999,hou,969.0405209917297
2002,hou,1156.7845339397034
2017,hou,2166.0218090119292
2016,hou,2075.6169358167604
2015,hou,1971.4883485475923
1998,hou,915.1816179705786
2004,hou,1269.7474815499957
2000,hou,1029.5325385603646
1997,hou,862.292278032184
2007,hou,1516.013362001962
2010,hou,1636.392661966698
2003,hou,1202.5641146850107
2011,hou,1688.9329131869697
2001,hou,1105.2909270950329
2008,fbt,0.0
2009,fbt,0.0
2005,fbt,0.0
2006,fbt,0.0
2012,fbt,0.0
2014,fbt,0.0
2013,fbt,0.0
1999,fbt,0.0
2002,fbt,0.0
2017,fbt,0.0
2016,fbt,0.0
2015,fbt,0.0
1998,fbt,0.0
2004,fbt,0.0
2000,fbt,0.0
1997,fbt,0.0
2007,fbt,0.0
2010,fbt,0.0
2003,fbt,0.0
2011,fbt,0.0
2001,fbt,0.0
2008,ins,705.2827322799418
2009,ins,637.480486982536
2005,ins,591.8709282153912
2006,ins,623.7189380920498
2012,ins,788.2448383844259
2014,ins,925.1730060211513
2013,ins,843.0379168073831
1999,ins,379.9880714127336
2002,ins,450.91238092070756
2017,ins,1127.3090851640843
2016,ins,1043.6567522870907
2015,ins,996.1515120636801
1998,ins,364.18490759624416
2004,ins,542.9572536006856
2000,ins,410.7094024371448
1997,ins,341.9851285973156
2007,ins,680.9106303635729
2010,ins,651.0466321309101
2003,ins,495.8098486085336
2011,ins,716.8057853229112
2001,ins,430.3413738243934
2008,tex,52.43733471404461
2009,tex,43.89343175621562
2005,tex,70.55430446157612
2006,tex,66.1045939146582
2012,tex,48.64513533030643
2014,tex,52.68222159498087
2013,tex,50.72989090575597
1999,tex,81.68629472590992
2002,tex,68.45271499133769
2017,tex,51.05776686175502
2016,tex,49.45411996387598
2015,tex,50.59204711399296
1998,tex,84.00735460537541
2004,tex,67.41950095231644
2000,tex,79.90238139789037
1997,tex,83.99161361070131
2007,tex,59.29595874496346
2010,tex,45.508657517126146
2003,tex,66.05871947909029
2011,tex,48.57313063800618
2001,tex,72.03766405972299
2008,leg,276.514509271329
2009,leg,272.4811900715761
2005,leg,245.09971109545637
2006,leg,257.44227580300895
2012,leg,297.09766773017896
2014,leg,304.5986448983659
2013,leg,296.9480584148744
1999,leg,176.3312782814411
2002,leg,204.59972130293752
2017,leg,346.22203899798575
2016,leg,324.36002136852596
2015,leg,316.49960635176046
1998,leg,166.04997964062545
2004,leg,233.80504847098695
2000,leg,183.04549357970765
1997,leg,152.55427875123544
2007,leg,269.696380774861
2010,leg,278.31083917345353
2003,leg,225.2769133488405
2011,leg,288.98733504402463
2001,leg,195.47520657222478
2008,fen,77.80449862406101
2009,fen,75.82746898686187
2005,fen,70.3212356736263
2006,fen,74.76811888464972
2012,fen,76.2830826833883
2014,fen,72.93843275025927
2013,fen,72.1708716782515
1999,fen,65.05673382494335
2002,fen,69.29766211719677
2017,fen,71.02020211856986
2016,fen,73.47376309496794
2015,fen,73.39778522109413
1998,fen,62.983676857167005
2004,fen,70.12721217117382
2000,fen,66.57206278894832
1997,fen,60.776633194362304
2007,fen,77.44762622175293
2010,fen,74.95068716006787
2003,fen,68.82482375058214
2011,fen,72.22627888287852
2001,fen,66.63324870842006
2008,uti,597.111054784494
2009,uti,515.9796406003426
2005,uti,472.8043229998567
2006,uti,482.69768023537375
2012,uti,560.1069556669923
2014,uti,644.9325980199278
2013,uti,595.3744355945569
1999,uti,360.1266850789842
2002,uti,373.29081925886305
2017,uti,597.284714979639
2016,uti,586.3298213731981
2015,uti,622.8064240006908
1998,uti,313.02937926169005
2004,uti,404.7881444018503
2000,uti,419.1479170239947
1997,uti,305.0878445707212
2007,uti,514.2753194815491
2010,uti,581.291724846283
2003,uti,392.52007142292797
2011,uti,577.5111008378765
2001,uti,500.64067061305855
2008,nmp,111.94693419702058
2009,nmp,87.17727938829333
2005,nmp,110.80127618394351
2006,nmp,122.71250255642599
2012,nmp,95.20898497576836
2014,nmp,109.04078933484455
2013,nmp,102.43601847398722
1999,nmp,91.83260734559185
2002,nmp,92.3252523958752
2017,nmp,124.60295409955182
2016,nmp,120.02771737307367
2015,nmp,113.98028195863083
1998,nmp,88.6314957187166
2004,nmp,99.97716780488639
2000,nmp,93.91325562973331
1997,nmp,83.46932738547508
2007,nmp,124.70758380213154
2010,nmp,89.8290401131779
2003,nmp,94.11807911196306
2011,nmp,93.37866802835485
2001,nmp,90.90814667394137
2008,brd,542.1282176752263
2009,brd,542.1960980760473
2005,brd,492.3458148096493
2006,brd,504.4535272376421
2012,brd,594.9713650354734
2014,brd,642.4246336887611
2013,brd,610.4337716653243
1999,brd,411.4769519750678
2002,brd,470.1704884922494
2017,brd,680.7257697865005
2016,brd,688.9770760306072
2015,brd,660.5397017248379
1998,brd,363.704269996577
2004,brd,473.4510519568996
2000,brd,456.75471926059834
1997,brd,328.19997861209487
2007,brd,524.372011213477
2010,brd,558.5858100080419
2003,brd,466.48103955655233
2011,brd,577.7873146315707
2001,brd,475.72888275646335
2008,bnk,619.4498824312583
2009,bnk,614.5713905050243
2005,bnk,586.7493730908025
2006,bnk,613.3622632114497
2012,bnk,687.1953253776994
2014,bnk,735.7879692821108
2013,bnk,695.4920708088029
1999,bnk,394.9757628309173
2002,bnk,492.5362239611765
2017,bnk,830.8091234379933
2016,bnk,775.7483637616352
2015,bnk,736.7455482063637
1998,bnk,356.1844273070073
2004,bnk,547.1153736276987
2000,bnk,436.8906061765886
1997,bnk,324.24538757128886
2007,bnk,636.488984531229
2010,bnk,620.3893090807125
2003,bnk,525.2032353357787
2011,bnk,618.0099254173381
2001,bnk,461.13415272956786
2008,ore,834.7282749261916
2009,ore,780.0231871132763
2005,ore,906.1774162682642
2006,ore,917.272757489868
2012,ore,918.7873508759765
2014,ore,1063.2677817875779
2013,ore,994.6264509972729
1999,ore,453.02442320366794
2002,ore,596.2719930798758
2017,ore,1310.756621083922
2016,ore,1224.4252356681968
2015,ore,1129.190102202105
1998,ore,424.0563898517504
2004,ore,771.6193364844596
2000,ore,506.93869414118643
1997,ore,404.98753570714337
2007,ore,901.7586801250378
2010,ore,829.7482663570563
2003,ore,661.9669259091194
2011,ore,852.5244360219265
2001,ore,530.9050202339325
2008,edu,286.4473150737738
2009,edu,300.4332462401303
2005,edu,227.60099812651026
2006,edu,248.0515412730404
2012,edu,334.8458814825243
2014,edu,356.03015119901494
2013,edu,344.5316167033071
1999,edu,154.30111368844052
2002,edu,193.58181817803916
2017,edu,394.60774430804196
2016,edu,380.0166919580818
2015,edu,367.5612077206087
1998,edu,144.08753474099566
2004,edu,215.05573934684512
2000,edu,167.46776709226071
1997,edu,133.95400185495654
2007,edu,267.93670832886835
2010,edu,316.9871901740124
2003,edu,205.76843426836288
2011,edu,330.4248411918563
2001,edu,182.7901186961549
2008,ote,243.10894449016675
2009,ote,223.1688345867056
2005,ote,176.70559965553815
2006,ote,184.33621722965492
2012,ote,264.5553774028195
2014,ote,300.5545696265508
2013,ote,281.030409823185
1999,ote,162.05868763574986
2002,ote,156.481983881026
2017,ote,299.87144326602925
2016,ote,295.3812702640136
2015,ote,308.82868475101736
1998,ote,167.60628610824378
2004,ote,153.54412762338163
2000,ote,145.21953257186726
1997,ote,140.3800324573292
2007,ote,231.14114353598077
2010,ote,229.4092660003015
2003,ote,148.84995405519112
2011,ote,238.64191558713628
2001,ote,163.9959601758587
2008,man,418.14002536712496
2009,man,387.2088798505152
2005,man,343.5972386122821
2006,man,374.01163972225766
2012,man,464.050496131879
2014,man,514.9106393530705
2013,man,483.34595021217166
1999,man,231.57973326695083
2002,man,254.68459273611592
2017,man,582.8210810482042
2016,man,547.7911408368386
2015,man,543.9049628184615
1998,man,214.3550666554864
2004,man,310.1119688353864
2000,man,251.18535980609107
1997,man,188.8390983548498
2007,man,419.8429834563076
2010,man,408.4071370704832
2003,man,272.731030554675
2011,man,432.3207848648581
2001,man,251.08533160328713
2008,mch,342.5055107791049
2009,mch,273.76433575045183
2005,mch,289.52674415922905
2006,mch,313.70117467996323
2012,mch,388.2246242229297
2014,mch,391.77102836111914
2013,mch,379.7443749148598
1999,mch,261.18871219117096
2002,mch,241.96440862673379
2017,mch,361.7223383803259
2016,mch,332.71977702245135
2015,mch,360.5572541743343
1998,mch,266.96072089205046
2004,mch,258.46473450234066
2000,mch,279.24689860370415
1997,mch,259.8162713923973
2007,mch,334.1733310587925
2010,mch,304.9864552609329
2003,mch,244.91508557695823
2011,mch,352.77905464103753
2001,mch,251.6563112767786
2008,dat,122.55232340408686
2009,dat,125.872861796173
2005,dat,91.04308851513566
2006,dat,102.03388818905708
2012,dat,169.46599970236488
2014,dat,190.42521129795162
2013,dat,179.91773818005512
1999,dat,67.03205899887871
2002,dat,73.55457553068064
2017,dat,250.9982485387887
2016,dat,225.98155727596438
2015,dat,206.97623358775888
1998,dat,51.88349733823255
2004,dat,84.15414561577899
2000,dat,71.9923012270803
1997,dat,47.83256180393547
2007,dat,111.55637952024412
2010,dat,136.73990233393417
2003,dat,76.32622381253617
2011,dat,151.10980284167627
2001,dat,70.46959788380782
2008,amd,139.3592338754546
2009,amd,132.26706527384064
2005,amd,121.03998886004244
2006,amd,128.8636613119619
2012,amd,161.29811985288922
2014,amd,183.21856220714338
2013,amd,169.33690573209216
1999,amd,92.18164047166665
2002,amd,98.417924460007
2017,amd,206.6725892383038
2016,amd,200.97591782295726
2015,amd,194.40531742326385
1998,amd,86.73226449685073
2004,amd,111.63881457454029
2000,amd,101.79081319027316
1997,amd,82.41214453587259
2007,amd,133.70541472687958
2010,amd,138.4455885584606
2003,amd,102.82214503283201
2011,amd,148.35015462992936
2001,amd,96.73104071379115
2008,oil,311.6223248638555
2009,oil,178.08337081066463
2005,oil,203.88468715952425
2006,oil,205.54201149201734
2012,oil,274.7089975163985
2014,oil,364.36855396065
2013,oil,324.6198632180952
1999,oil,67.84325933348948
2002,oil,88.2465374079971
2017,oil,232.73789847169135
2016,oil,176.3270111947275
2015,oil,207.58209356158912
1998,oil,58.3139274099191
2004,oil,154.42327287038077
2000,oil,113.36991006309945
1997,oil,81.41428240082509
2007,oil,224.1036994812839
2010,oil,238.79249885482847
2003,oil,129.823652804782
2011,oil,280.70544504997383
2001,oil,108.29405768343331
2008,hos,693.6745153663418
2009,hos,742.8195823816001
2005,hos,571.9539579603829
2006,hos,612.951139971781
2012,hos,852.9843608787752
2014,hos,922.6019243125367
2013,hos,887.9946643017887
1999,hos,377.3948169741839
2002,hos,472.31867906529095
2017,hos,1090.471118355838
2016,hos,1040.9276956914107
2015,hos,982.6125311936427
1998,hos,362.5251327004274
2004,hos,535.1724331233387
2000,hos,400.1052848794389
1997,hos,340.8498851571179
2007,hos,647.724938306185
2010,hos,774.5424216855565
2003,hos,503.47533404371234
2011,hos,815.1854224058626
2001,hos,434.3766985239588
2008,rnt,366.46058762382785
2009,rnt,319.74546193899494
2005,rnt,311.49623431829804
2006,rnt,337.89105768393273
2012,rnt,360.87072290976107
2014,rnt,414.5546750017132
2013,rnt,386.29577755416835
1999,rnt,263.17441880433597
2002,rnt,270.01035066804417
2017,rnt,430.4191513792745
2016,rnt,419.45927561291404
2015,rnt,415.8155855048146
1998,rnt,238.417498452751
2004,rnt,290.5177199289214
2000,rnt,290.2781014646527
1997,rnt,216.78012806152728
2007,rnt,346.56052624146145
2010,rnt,332.15760258281074
2003,rnt,279.8069057028619
2011,rnt,346.10799981609455
2001,rnt,287.6655823664709
2008,pla,197.3098362208437
2009,pla,165.95124633813592
2005,pla,195.39724831392564
2006,pla,207.10773935292858
2012,pla,213.2665219875863
2014,pla,226.51106883488634
2013,pla,220.05329131982342
1999,pla,169.0014580336887
2002,pla,170.44729516397982
2017,pla,224.57116054036993
2016,pla,226.86424352306324
2015,pla,228.89586330273772
1998,pla,159.94477512423174
2004,pla,180.95596336293977
2000,pla,175.868929669891
1997,pla,154.96659403741359
2007,pla,203.39709615233548
2010,pla,185.2303174428477
2003,pla,173.81778795775375
2011,pla,199.19247762874843
2001,pla,167.42264887504462
2008,fof,50.93939839555254
2009,fof,48.81565613101302
2005,fof,52.993667595439945
2006,fof,53.815965134744005
2012,fof,53.20823454511686
2014,fof,63.565920548472455
2013,fof,56.650357620444304
1999,fof,51.629303475446406
2002,fof,44.25480471067322
2017,fof,65.46117042752311
2016,fof,60.80407706054882
2015,fof,62.120747283169614
1998,fof,48.77594400837605
2004,fof,51.90010425056927
2000,fof,44.4124749101823
1997,fof,45.09725419772404
2007,fof,50.892388905105506
2010,fof,52.767070487213225
2003,fof,46.98798135232735
2011,fof,56.22577890880964
2001,fof,43.85372285922416
2008,fin,139.51918638469857
2009,fin,117.908300091994
2005,fin,107.38905323933074
2006,fin,118.39951845111077
2012,fin,139.54282602881912
2014,fin,168.0131375542024
2013,fin,160.16575234793302
1999,fin,87.2401824418776
2002,fin,87.62093561320746
2017,fin,183.39278128354738
2016,fin,181.58681066896696
2015,fin,188.16172513298145
1998,fin,77.04753170692628
2004,fin,98.69103264089895
2000,fin,104.86205891696231
1997,fin,67.54300134903725
2007,fin,136.2579194561277
2010,fin,127.70698126296332
2003,fin,87.01035736203677
2011,fin,134.12474117350996
2001,fin,96.70307290132465
2008,tsv,1531.0539693044568
2009,tsv,1449.0495213472175
2005,tsv,1278.873199752907
2006,tsv,1366.1206568920247
2012,tsv,1622.562401228277
2014,tsv,1772.3234740933374
2013,tsv,1673.5775178249703
1999,tsv,933.995341703206
2002,tsv,1069.737438310621
2017,tsv,2039.1912015360979
2016,tsv,1950.6298627561441
2015,tsv,1853.798447267463
1998,tsv,866.1532112674771
2004,tsv,1184.0027816558202
2000,tsv,1031.5783269741444
1997,tsv,799.8231554371051
2007,tsv,1468.1186094209943
2010,tsv,1488.318527634475
2003,tsv,1105.7063328459897
2011,tsv,1561.9656386684146
2001,tsv,1058.9339152218247
2008,nrs,180.3381632630771
2009,nrs,185.6394356625457
2005,nrs,153.340480944389
2006,nrs,161.8864679839559
2012,nrs,207.14553021199066
2014,nrs,219.14550674209906
2013,nrs,211.95428152919501
1999,nrs,104.2553542139843
2002,nrs,126.71794392414003
2017,nrs,245.82041549985647
2016,nrs,238.50692242927792
2015,nrs,228.9485273520419
1998,nrs,100.4605983707638
2004,nrs,143.2024803310247
2000,nrs,110.88942696624046
1997,nrs,93.84425032513893
2007,nrs,171.52326865469303
2010,nrs,194.5433046838326
2003,nrs,135.77993031637956
2011,nrs,200.56075096899974
2001,nrs,119.59037886514895
2008,sec,493.8829108760276
2009,sec,452.4620901776345
2005,sec,411.72875902308
2006,sec,469.76509385100786
2012,sec,481.34633755241293
2014,sec,558.2107455173965
2013,sec,519.5980645295481
1999,sec,314.7815373006928
2002,sec,321.1341615302362
2017,sec,612.9339567649032
2016,sec,574.3099103939417
2015,sec,568.5134591368179
1998,sec,262.83914749082726
2004,sec,377.70455069684573
2000,sec,381.72403706180415
1997,sec,221.29455690963343
2007,sec,523.0802268526088
2010,sec,464.2225222767212
2003,sec,345.35043349534914
2011,sec,461.6905943607334
2001,sec,340.7520259661058
2008,art,117.03628787439938
2009,art,119.16489516996268
2005,art,93.68002878879393
2006,art,102.85722460659457
2012,art,129.4507016389146
