yr,j,i,value
2008,ppd,ppd,170.89988898509736
2009,ppd,ppd,154.90776248441853
2005,ppd,ppd,153.19288658854933
2006,ppd,ppd,160.83195409628303
2012,ppd,ppd,172.45417318112348
2014,ppd,ppd,178.00596887744246
2013,ppd,ppd,177.50030530184037
1999,ppd,ppd,148.22874732389312
2002,ppd,ppd,145.72065903382392
2017,ppd,ppd,174.2941601459199
2016,ppd,ppd,172.17527059631152
2015,ppd,ppd,176.155511660098
1998,ppd,ppd,146.00222380102844
2004,ppd,ppd,145.7585221420053
2000,ppd,ppd,155.36090817967852
1997,ppd,ppd,142.5166601174732
2007,ppd,ppd,167.88404162267838
2010,ppd,ppd,164.59969632814372
2003,ppd,ppd,141.7870755742352
2011,ppd,ppd,171.05829018124638
2001,ppd,ppd,146.66070613143202
2008,res,ppd,0.0
2009,res,ppd,0.0
2005,res,ppd,0.0
2006,res,ppd,0.0
2012,res,ppd,0.0
2014,res,ppd,0.0
2013,res,ppd,0.0
1999,res,ppd,0.0
2002,res,ppd,0.0
2017,res,ppd,0.0
2016,res,ppd,0.0
2015,res,ppd,0.0
1998,res,ppd,0.0
2004,res,ppd,0.0
2000,res,ppd,0.0
1997,res,ppd,0.0
2007,res,ppd,0.0
2010,res,ppd,0.0
2003,res,ppd,0.0
2011,res,ppd,0.0
2001,res,ppd,0.0
2008,com,ppd,0.0
2009,com,ppd,0.0
2005,com,ppd,0.0
2006,com,ppd,0.0
2012,com,ppd,0.0
2014,com,ppd,0.0
2013,com,ppd,0.0
1999,com,ppd,0.0
2002,com,ppd,0.0
2017,com,ppd,0.0
2016,com,ppd,0.0
2015,com,ppd,0.0
1998,com,ppd,0.0
2004,com,ppd,0.0
2000,com,ppd,0.0
1997,com,ppd,0.0
2007,com,ppd,0.0
2010,com,ppd,0.0
2003,com,ppd,0.0
2011,com,ppd,0.0
2001,com,ppd,0.0
2008,amb,ppd,0.0
2009,amb,ppd,0.0
2005,amb,ppd,0.0
2006,amb,ppd,0.0
