yr,m,i,value
2008,trn,ppd,0.0
2009,trn,ppd,0.0
2005,trn,ppd,0.0
2006,trn,ppd,0.0
2012,trn,ppd,0.0
2014,trn,ppd,0.0
2013,trn,ppd,0.0
1999,trn,ppd,0.0
2002,trn,ppd,0.0
2017,trn,ppd,0.0
2016,trn,ppd,0.0
2015,trn,ppd,0.0
1998,trn,ppd,0.0
2004,trn,ppd,0.0
2000,trn,ppd,0.0
1997,trn,ppd,0.0
2007,trn,ppd,0.0
2010,trn,ppd,0.0
2003,trn,ppd,0.0
2011,trn,ppd,0.0
2001,trn,ppd,0.0
2008,trd,ppd,0.0
2009,trd,ppd,0.0
2005,trd,ppd,0.0
2006,trd,ppd,0.0
2012,trd,ppd,0.0
2014,trd,ppd,0.0
2013,trd,ppd,0.0
1999,trd,ppd,0.0
2002,trd,ppd,0.0
2017,trd,ppd,0.0
2016,trd,ppd,0.0
2015,trd,ppd,0.0
1998,trd,ppd,0.0
2004,trd,ppd,0.0
2000,trd,ppd,0.0
1997,trd,ppd,0.0
2007,trd,ppd,0.0
2010,trd,ppd,0.0
2003,trd,ppd,0.0
2011,trd,ppd,0.0
2001,trd,ppd,0.0
2008,trn,res,0.0
2009,trn,res,0.0
2005,trn,res,0.0
2006,trn,res,0.0
2012,trn,res,0.0
2014,trn,res,0.0
2013,trn,res,0.0
1999,trn,res,0.0
2002,trn,res,0.0
2017,trn,res,0.0
2016,trn,res,0.0
2015,trn,res,0.0
1998,trn,res,0.0
2004,trn,res,0.0
2000,trn,res,0.0
1997,trn,res,0.0
2007,trn,res,0.0
2010,trn,res,0.0
2003,trn,res,0.0
2011,trn,res,0.0
2001,trn,res,0.0
2008,trd,res,0.0
2009,trd,res,0.0
2005,trd,res,0.0
2006,trd,res,0.0
2012,trd,res,0.0
2014,trd,res,0.0
2013,trd,res,0.0
1999,trd,res,0.0
2002,trd,res,0.0
2017,trd,res,0.0
2016,trd,res,0.0
2015,trd,res,0.0
1998,trd,res,0.0
2004,trd,res,0.0
2000,trd,res,0.0
1997,trd,res,0.0
2007,trd,res,0.0
2010,trd,res,0.0
2003,trd,res,0.0
2011,trd,res,0.0
2001,trd,res,0.0
2008,trn,com,0.0
2009,trn,com,0.0
2005,trn,com,0.0
2006,trn,com,0.0
2012,trn,com,0.0
2014,trn,com,0.0
2013,trn,com,0.0
1999,trn,com,0.0
2002,trn,com,0.0
2017,trn,com,0.0
2016,trn,com,0.0
2015,trn,com,0.0
1998,trn,com,0.0
2004,trn,com,0.0
2000,trn,com,0.0
1997,trn,com,0.0
2007,trn,com,0.0
2010,trn,com,0.0
2003,trn,com,0.0
2011,trn,com,0.0
2001,trn,com,0.0
2008,trd,com,0.0
2009,trd,com,0.0
2005,trd,com,0.0
2006,trd,com,0.0
2012,trd,com,0.0
2014,trd,com,0.0
2013,trd,com,0.0
1999,trd,com,0.0
2002,trd,com,0.0
2017,trd,com,0.0
2016,trd,com,0.0
2015,trd,com,0.0
1998,trd,com,0.0
2004,trd,com,0.0
2000,trd,com,0.0
1997,trd,com,0.0
2007,trd,com,0.0
2010,trd,com,0.0
2003,trd,com,0.0
2011,trd,com,0.0
2001,trd,com,0.0
2008,trn,amb,0.0
2009,trn,amb,0.0
2005,trn,amb,0.0
2006,trn,amb,0.0
2012,trn,amb,0.0
2014,trn,amb,0.0
2013,trn,amb,0.0
1999,trn,amb,0.0
2002,trn,amb,0.0
2017,trn,amb,0.0
2016,trn,amb,0.0
2015,trn,amb,0.0
1998,trn,amb,0.0
2004,trn,amb,0.0
2000,trn,amb,0.0
1997,trn,amb,0.0
2007,trn,amb,0.0
2010,trn,amb,0.0
2003,trn,amb,0.0
2011,trn,amb,0.0
2001,trn,amb,0.0
2008,trd,amb,0.0
2009,trd,amb,0.0
2005,trd,amb,0.0
2006,trd,amb,0.0
2012,trd,amb,0.0
2014,trd,amb,0.0
2013,trd,amb,0.0
1999,trd,amb,0.0
2002,trd,amb,0.0
2017,trd,amb,0.0
2016,trd,amb,0.0
2015,trd,amb,0.0
1998,trd,amb,0.0
2004,trd,amb,0.0
2000,trd,amb,0.0
1997,trd,amb,0.0
2007,trd,amb,0.0
2010,trd,amb,0.0
2003,trd,amb,0.0
2011,trd,amb,0.0
2001,trd,amb,0.0
2008,trn,fbp,0.0
2009,trn,fbp,0.0
2005,trn,fbp,0.0
2006,trn,fbp,0.0
2012,trn,fbp,0.0
2014,trn,fbp,0.0
2013,trn,fbp,0.0
1999,trn,fbp,0.0
2002,trn,fbp,0.0
2017,trn,fbp,0.0
2016,trn,fbp,0.0
2015,trn,fbp,0.0
1998,trn,fbp,0.0
2004,trn,fbp,0.0
2000,trn,fbp,0.0
1997,trn,fbp,0.0
2007,trn,fbp,0.0
2010,trn,fbp,0.0
2003,trn,fbp,0.0
2011,trn,fbp,0.0
2001,trn,fbp,0.0
2008,trd,fbp,0.0
2009,trd,fbp,0.0
2005,trd,fbp,0.0
2006,trd,fbp,0.0
2012,trd,fbp,0.0
2014,trd,fbp,0.0
2013,trd,fbp,0.0
1999,trd,fbp,0.0
2002,trd,fbp,0.0
2017,trd,fbp,0.0
2016,trd,fbp,0.0
2015,trd,fbp,0.0
1998,trd,fbp,0.0
2004,trd,fbp,0.0
2000,trd,fbp,0.0
1997,trd,fbp,0.0
2007,trd,fbp,0.0
2010,trd,fbp,0.0
2003,trd,fbp,0.0
2011,trd,fbp,0.0
2001,trd,fbp,0.0
2008,trn,rec,0.0
2009,trn,rec,0.0
2005,trn,rec,0.0
2006,trn,rec,0.0
2012,trn,rec,0.0
2014,trn,rec,0.0
2013,trn,rec,0.0
1999,trn,rec,0.0
2002,trn,rec,0.0
2017,trn,rec,0.0
2016,trn,rec,0.0
2015,trn,rec,0.0
1998,trn,rec,0.0
2004,trn,rec,0.0
2000,trn,rec,0.0
1997,trn,rec,0.0
2007,trn,rec,0.0
2010,trn,rec,0.0
2003,trn,rec,0.0
2011,trn,rec,0.0
2001,trn,rec,0.0
2008,trd,rec,0.0
2009,trd,rec,0.0
2005,trd,rec,0.0
2006,trd,rec,0.0
2012,trd,rec,0.0
2014,trd,rec,0.0
2013,trd,rec,0.0
1999,trd,rec,0.0
2002,trd,rec,0.0
2017,trd,rec,0.0
2016,trd,rec,0.0
2015,trd,rec,0.0
1998,trd,rec,0.0
2004,trd,rec,0.0
2000,trd,rec,0.0
1997,trd,rec,0.0
2007,trd,rec,0.0
2010,trd,rec,0.0
2003,trd,rec,0.0
2011,trd,rec,0.0
2001,trd,rec,0.0
2008,trn,con,0.0
2009,trn,con,0.0
2005,trn,con,0.0
2006,trn,con,0.0
2012,trn,con,0.0
2014,trn,con,0.0
2013,trn,con,0.0
1999,trn,con,0.0
2002,trn,con,0.0
2017,trn,con,0.0
2016,trn,con,0.0
2015,trn,con,0.0
1998,trn,con,0.0
2004,trn,con,0.0
2000,trn,con,0.0
1997,trn,con,0.0
2007,trn,con,0.0
2010,trn,con,0.0
2003,trn,con,0.0
2011,trn,con,0.0
2001,trn,con,0.0
2008,trd,con,0.0
2009,trd,con,0.0
2005,trd,con,0.0
2006,trd,con,0.0
2012,trd,con,0.0
2014,trd,con,0.0
2013,trd,con,0.0
1999,trd,con,0.0
2002,trd,con,0.0
2017,trd,con,0.0
2016,trd,con,0.0
2015,trd,con,0.0
1998,trd,con,0.0
2004,trd,con,0.0
2000,trd,con,0.0
1997,trd,con,0.0
2007,trd,con,0.0
2010,trd,con,0.0
2003,trd,con,0.0
2011,trd,con,0.0
2001,trd,con,0.0
2008,trn,agr,0.0
2009,trn,agr,0.0
2005,trn,agr,0.0
2006,trn,agr,0.0
2012,trn,agr,0.0
2014,trn,agr,0.0
2013,trn,agr,0.0
1999,trn,agr,0.0
2002,trn,agr,0.0
2017,trn,agr,0.0
2016,trn,agr,0.0
2015,trn,agr,0.0
1998,trn,agr,0.0
2004,trn,agr,0.0
2000,trn,agr,0.0
1997,trn,agr,0.0
2007,trn,agr,0.0
2010,trn,agr,0.0
2003,trn,agr,0.0
2011,trn,agr,0.0
2001,trn,agr,0.0
2008,trd,agr,0.0
2009,trd,agr,0.0
2005,trd,agr,0.0
2006,trd,agr,0.0
2012,trd,agr,0.0
2014,trd,agr,0.0
2013,trd,agr,0.0
1999,trd,agr,0.0
2002,trd,agr,0.0
2017,trd,agr,0.0
2016,trd,agr,0.0
2015,trd,agr,0.0
1998,trd,agr,0.0
2004,trd,agr,0.0
2000,trd,agr,0.0
1997,trd,agr,0.0
2007,trd,agr,0.0
2010,trd,agr,0.0
2003,trd,agr,0.0
2011,trd,agr,0.0
2001,trd,agr,0.0
2008,trn,eec,0.0
2009,trn,eec,0.0
2005,trn,eec,0.0
2006,trn,eec,0.0
2012,trn,eec,0.0
2014,trn,eec,0.0
2013,trn,eec,0.0
1999,trn,eec,0.0
2002,trn,eec,0.0
2017,trn,eec,0.0
2016,trn,eec,0.0
2015,trn,eec,0.0
1998,trn,eec,0.0
2004,trn,eec,0.0
2000,trn,eec,0.0
1997,trn,eec,0.0
2007,trn,eec,0.0
2010,trn,eec,0.0
2003,trn,eec,0.0
2011,trn,eec,0.0
2001,trn,eec,0.0
2008,trd,eec,0.0
2009,trd,eec,0.0
2005,trd,eec,0.0
2006,trd,eec,0.0
2012,trd,eec,0.0
2014,trd,eec,0.0
2013,trd,eec,0.0
1999,trd,eec,0.0
2002,trd,eec,0.0
2017,trd,eec,0.0
2016,trd,eec,0.0
2015,trd,eec,0.0
1998,trd,eec,0.0
2004,trd,eec,0.0
2000,trd,eec,0.0
1997,trd,eec,0.0
2007,trd,eec,0.0
2010,trd,eec,0.0
2003,trd,eec,0.0
2011,trd,eec,0.0
2001,trd,eec,0.0
2008,trn,use,0.0
2009,trn,use,0.0
2005,trn,use,0.0
2006,trn,use,0.0
2012,trn,use,0.0
2014,trn,use,0.0
2013,trn,use,0.0
1999,trn,use,0.0
2002,trn,use,0.0
2017,trn,use,0.0
2016,trn,use,0.0
2015,trn,use,0.0
1998,trn,use,0.0
2004,trn,use,0.0
2000,trn,use,0.0
1997,trn,use,0.0
2007,trn,use,0.0
2010,trn,use,0.0
2003,trn,use,0.0
2011,trn,use,0.0
2001,trn,use,0.0
2008,trd,use,0.0
2009,trd,use,0.0
2005,trd,use,0.0
2006,trd,use,0.0
2012,trd,use,0.0
2014,trd,use,0.0
2013,trd,use,0.0
1999,trd,use,0.0
2002,trd,use,0.0
2017,trd,use,0.0
2016,trd,use,0.0
2015,trd,use,0.0
1998,trd,use,0.0
2004,trd,use,0.0
2000,trd,use,0.0
1997,trd,use,0.0
2007,trd,use,0.0
2010,trd,use,0.0
2003,trd,use,0.0
2011,trd,use,0.0
2001,trd,use,0.0
2008,trn,fnd,0.0
2009,trn,fnd,0.0
2005,trn,fnd,0.0
2006,trn,fnd,0.0
2012,trn,fnd,0.0
2014,trn,fnd,0.0
2013,trn,fnd,0.0
1999,trn,fnd,0.0
2002,trn,fnd,0.0
2017,trn,fnd,0.0
2016,trn,fnd,0.0
2015,trn,fnd,0.0
1998,trn,fnd,0.0
2004,trn,fnd,0.0
2000,trn,fnd,0.0
1997,trn,fnd,0.0
2007,trn,fnd,0.0
2010,trn,fnd,0.0
2003,trn,fnd,0.0
2011,trn,fnd,0.0
2001,trn,fnd,0.0
2008,trd,fnd,0.0
2009,trd,fnd,0.0
2005,trd,fnd,0.0
2006,trd,fnd,0.0
2012,trd,fnd,0.0
2014,trd,fnd,0.0
2013,trd,fnd,0.0
1999,trd,fnd,0.0
2002,trd,fnd,0.0
2017,trd,fnd,0.0
2016,trd,fnd,0.0
2015,trd,fnd,0.0
1998,trd,fnd,0.0
2004,trd,fnd,0.0
2000,trd,fnd,0.0
1997,trd,fnd,0.0
2007,trd,fnd,0.0
2010,trd,fnd,0.0
2003,trd,fnd,0.0
2011,trd,fnd,0.0
2001,trd,fnd,0.0
2008,trn,pub,0.0
2009,trn,pub,0.0
2005,trn,pub,0.0
2006,trn,pub,0.0
