yr,ir_supply,jc_supply,value
2008,ppd,ppd,172.163
2009,ppd,ppd,155.744
2005,ppd,ppd,154.411
2006,ppd,ppd,162.064
2012,ppd,ppd,173.65
2014,ppd,ppd,179.45000000000002
2013,ppd,ppd,178.818
1999,ppd,ppd,149.772
2002,ppd,ppd,147.054
2017,ppd,ppd,176.201
2016,ppd,ppd,173.618
2015,ppd,ppd,177.417
1998,ppd,ppd,147.467
2004,ppd,ppd,147.19
2000,ppd,ppd,156.76500000000001
1997,ppd,ppd,143.999
2007,ppd,ppd,169.256
2010,ppd,ppd,165.566
2003,ppd,ppd,143.036
2011,ppd,ppd,172.296
2001,ppd,ppd,148.078
2008,res,ppd,0.0
2009,res,ppd,0.0
2005,res,ppd,0.0
2006,res,ppd,0.0
2012,res,ppd,0.0
2014,res,ppd,0.0
2013,res,ppd,0.0
1999,res,ppd,0.0
2002,res,ppd,0.0
2017,res,ppd,0.0
2016,res,ppd,0.0
2015,res,ppd,0.0
1998,res,ppd,0.0
2004,res,ppd,0.0
2000,res,ppd,0.0
1997,res,ppd,0.0
2007,res,ppd,0.0
2010,res,ppd,0.0
2003,res,ppd,0.0
2011,res,ppd,0.0
2001,res,ppd,0.0
2008,com,ppd,0.077
2009,com,ppd,0.058
2005,com,ppd,0.083
2006,com,ppd,0.034
2012,com,ppd,0.067
2014,com,ppd,0.068
2013,com,ppd,0.064
1999,com,ppd,0.214
2002,com,ppd,0.078
2017,com,ppd,0.052000000000000005
2016,com,ppd,0.059000000000000004
2015,com,ppd,0.067
1998,com,ppd,0.261
2004,com,ppd,0.10400000000000001
2000,com,ppd,0.127
1997,com,ppd,0.315
2007,com,ppd,0.075
2010,com,ppd,0.067
2003,com,ppd,0.058
2011,com,ppd,0.065
2001,com,ppd,0.169
2008,amb,ppd,0.0
2009,amb,ppd,0.0
2005,amb,ppd,0.0
2006,amb,ppd,0.0
2012,amb,ppd,0.0
2014,amb,ppd,0.0
2013,amb,ppd,0.0
1999,amb,ppd,0.0
2002,amb,ppd,0.0
2017,amb,ppd,0.0
2016,amb,ppd,0.0
2015,amb,ppd,0.0
1998,amb,ppd,0.0
2004,amb,ppd,0.0
2000,amb,ppd,0.0
1997,amb,ppd,0.0
2007,amb,ppd,0.0
2010,amb,ppd,0.0
2003,amb,ppd,0.0
2011,amb,ppd,0.0
2001,amb,ppd,0.0
2008,fbp,ppd,0.0
2009,fbp,ppd,0.0
2005,fbp,ppd,0.0
2006,fbp,ppd,0.0
2012,fbp,ppd,0.0
2014,fbp,ppd,0.0
2013,fbp,ppd,0.0
1999,fbp,ppd,0.0
2002,fbp,ppd,0.0
2017,fbp,ppd,0.0
2016,fbp,ppd,0.0
2015,fbp,ppd,0.0
1998,fbp,ppd,0.0
2004,fbp,ppd,0.0
2000,fbp,ppd,0.0
1997,fbp,ppd,0.0
2007,fbp,ppd,0.0
2010,fbp,ppd,0.0
2003,fbp,ppd,0.0
2011,fbp,ppd,0.0
2001,fbp,ppd,0.0
2008,rec,ppd,0.0
2009,rec,ppd,0.0
2005,rec,ppd,0.0
2006,rec,ppd,0.0
2012,rec,ppd,0.0
2014,rec,ppd,0.0
2013,rec,ppd,0.0
1999,rec,ppd,0.0
2002,rec,ppd,0.0
2017,rec,ppd,0.0
2016,rec,ppd,0.0
2015,rec,ppd,0.0
1998,rec,ppd,0.0
2004,rec,ppd,0.0
2000,rec,ppd,0.0
1997,rec,ppd,0.0
2007,rec,ppd,0.0
2010,rec,ppd,0.0
2003,rec,ppd,0.0
2011,rec,ppd,0.0
2001,rec,ppd,0.0
2008,con,ppd,0.068
2009,con,ppd,0.463
2005,con,ppd,0.061
2006,con,ppd,0.069
2012,con,ppd,0.21
2014,con,ppd,0.146
2013,con,ppd,0.067
1999,con,ppd,0.095
2002,con,ppd,0.133
2017,con,ppd,0.105
2016,con,ppd,0.159
2015,con,ppd,0.203
1998,con,ppd,0.156
2004,con,ppd,0.06
2000,con,ppd,0.109
1997,con,ppd,0.157
2007,con,ppd,0.123
2010,con,ppd,0.296
2003,con,ppd,0.042
2011,con,ppd,0.081
2001,con,ppd,0.105
2008,agr,ppd,0.0
2009,agr,ppd,0.0
2005,agr,ppd,0.0
2006,agr,ppd,0.0
2012,agr,ppd,0.0
2014,agr,ppd,0.0
2013,agr,ppd,0.0
1999,agr,ppd,0.0
2002,agr,ppd,0.0
2017,agr,ppd,0.0
2016,agr,ppd,0.0
2015,agr,ppd,0.0
1998,agr,ppd,0.0
2004,agr,ppd,0.0
2000,agr,ppd,0.0
1997,agr,ppd,0.0
2007,agr,ppd,0.0
2010,agr,ppd,0.0
2003,agr,ppd,0.0
2011,agr,ppd,0.0
2001,agr,ppd,0.0
2008,eec,ppd,0.0
2009,eec,ppd,0.0
2005,eec,ppd,0.0
2006,eec,ppd,0.0
2012,eec,ppd,0.0
2014,eec,ppd,0.0
2013,eec,ppd,0.0
1999,eec,ppd,0.0
2002,eec,ppd,0.0
2017,eec,ppd,0.0
2016,eec,ppd,0.0
2015,eec,ppd,0.0
1998,eec,ppd,0.0
2004,eec,ppd,0.0
2000,eec,ppd,0.0
1997,eec,ppd,0.0
2007,eec,ppd,0.0
2010,eec,ppd,0.0
2003,eec,ppd,0.0
