yr,ir_use,jc_use,value
2008,ppd,ppd,52.144
2009,ppd,ppd,43.233000000000004
2005,ppd,ppd,45.762
2006,ppd,ppd,46.974000000000004
2012,ppd,ppd,48.443
2014,ppd,ppd,50.588
2013,ppd,ppd,50.877
1999,ppd,ppd,40.674
2002,ppd,ppd,41.312
2017,ppd,ppd,42.766
2016,ppd,ppd,47.1
2015,ppd,ppd,48.902
1998,ppd,ppd,40.784
2004,ppd,ppd,43.192
2000,ppd,ppd,43.493
1997,ppd,ppd,39.003
2007,ppd,ppd,49.861000000000004
2010,ppd,ppd,46.357
2003,ppd,ppd,40.405
2011,ppd,ppd,48.82
2001,ppd,ppd,40.939
2008,res,ppd,0.249
2009,res,ppd,0.214
2005,res,ppd,0.27
2006,res,ppd,0.302
2012,res,ppd,0.254
2014,res,ppd,0.25
2013,res,ppd,0.246
1999,res,ppd,0.194
2002,res,ppd,0.249
2017,res,ppd,0.20600000000000002
2016,res,ppd,0.232
2015,res,ppd,0.219
1998,res,ppd,0.201
2004,res,ppd,0.23900000000000002
2000,res,ppd,0.212
1997,res,ppd,0.18
2007,res,ppd,0.28300000000000003
2010,res,ppd,0.201
2003,res,ppd,0.268
2011,res,ppd,0.154
2001,res,ppd,0.229
2008,com,ppd,0.192
2009,com,ppd,0.15
2005,com,ppd,0.222
2006,com,ppd,0.215
2012,com,ppd,0.248
2014,com,ppd,0.251
2013,com,ppd,0.23700000000000002
1999,com,ppd,0.226
2002,com,ppd,0.306
2017,com,ppd,0.265
2016,com,ppd,0.259
2015,com,ppd,0.219
1998,com,ppd,0.195
2004,com,ppd,0.198
2000,com,ppd,0.278
1997,com,ppd,0.146
2007,com,ppd,0.196
2010,com,ppd,0.157
2003,com,ppd,0.256
2011,com,ppd,0.155
2001,com,ppd,0.289
2008,amb,ppd,0.0
2009,amb,ppd,0.0
2005,amb,ppd,0.0
2006,amb,ppd,0.0
2012,amb,ppd,0.0
2014,amb,ppd,0.0
2013,amb,ppd,0.0
1999,amb,ppd,0.0
2002,amb,ppd,0.0
2017,amb,ppd,0.0
2016,amb,ppd,0.0
2015,amb,ppd,0.0
1998,amb,ppd,0.0
2004,amb,ppd,0.0
2000,amb,ppd,0.0
1997,amb,ppd,0.0
2007,amb,ppd,0.0
2010,amb,ppd,0.0
2003,amb,ppd,0.0
2011,amb,ppd,0.0
2001,amb,ppd,0.0
2008,fbp,ppd,1.433
2009,fbp,ppd,1.264
2005,fbp,ppd,1.187
2006,fbp,ppd,1.094
2012,fbp,ppd,1.727
2014,fbp,ppd,1.5270000000000001
2013,fbp,ppd,1.764
1999,fbp,ppd,0.759
2002,fbp,ppd,1.073
2017,fbp,ppd,1.534
2016,fbp,ppd,1.583
2015,fbp,ppd,1.617
1998,fbp,ppd,0.8160000000000001
2004,fbp,ppd,1.061
2000,fbp,ppd,0.847
1997,fbp,ppd,0.877
2007,fbp,ppd,1.288
2010,fbp,ppd,1.3760000000000001
2003,fbp,ppd,1.042
2011,fbp,ppd,1.604
2001,fbp,ppd,0.791
2008,rec,ppd,0.02
2009,rec,ppd,0.016
2005,rec,ppd,0.02
2006,rec,ppd,0.023
2012,rec,ppd,0.011
2014,rec,ppd,0.01
2013,rec,ppd,0.01
1999,rec,ppd,0.013000000000000001
2002,rec,ppd,0.026000000000000002
2017,rec,ppd,0.005
2016,rec,ppd,0.005
2015,rec,ppd,0.006
1998,rec,ppd,0.012
2004,rec,ppd,0.02
2000,rec,ppd,0.016
1997,rec,ppd,0.009000000000000001
2007,rec,ppd,0.032
2010,rec,ppd,0.014
2003,rec,ppd,0.022
2011,rec,ppd,0.011
2001,rec,ppd,0.022
2008,con,ppd,0.512
2009,con,ppd,0.553
2005,con,ppd,0.402
2006,con,ppd,0.361
2012,con,ppd,0.619
2014,con,ppd,0.636
2013,con,ppd,0.677
1999,con,ppd,0.759
2002,con,ppd,0.845
2017,con,ppd,0.596
2016,con,ppd,0.597
2015,con,ppd,0.624
1998,con,ppd,1.104
2004,con,ppd,0.483
2000,con,ppd,0.632
1997,con,ppd,1.033
