yr,va,j,value
2008,othtax,ppd,0.0
2009,othtax,ppd,0.0
2005,othtax,ppd,0.0
2006,othtax,ppd,0.0
2012,othtax,ppd,0.0
2014,othtax,ppd,0.0
2013,othtax,ppd,0.0
1999,othtax,ppd,0.0
2002,othtax,ppd,0.0
2017,othtax,ppd,0.0
2016,othtax,ppd,0.0
2015,othtax,ppd,0.0
1998,othtax,ppd,0.0
2004,othtax,ppd,0.0
2000,othtax,ppd,0.0
1997,othtax,ppd,0.0
2007,othtax,ppd,0.0
2010,othtax,ppd,0.0
2003,othtax,ppd,0.0
2011,othtax,ppd,0.0
2001,othtax,ppd,0.0
2008,surplus,ppd,0.0
2009,surplus,ppd,0.0
2005,surplus,ppd,0.0
2006,surplus,ppd,0.0
2012,surplus,ppd,0.0
2014,surplus,ppd,0.0
2013,surplus,ppd,0.0
1999,surplus,ppd,0.0
2002,surplus,ppd,0.0
2017,surplus,ppd,0.0
2016,surplus,ppd,0.0
2015,surplus,ppd,0.0
1998,surplus,ppd,0.0
2004,surplus,ppd,0.0
2000,surplus,ppd,0.0
1997,surplus,ppd,0.0
2007,surplus,ppd,0.0
2010,surplus,ppd,0.0
2003,surplus,ppd,0.0
2011,surplus,ppd,0.0
2001,surplus,ppd,0.0
2008,compen,ppd,0.0
2009,compen,ppd,0.0
2005,compen,ppd,0.0
2006,compen,ppd,0.0
2012,compen,ppd,0.0
2014,compen,ppd,0.0
2013,compen,ppd,0.0
1999,compen,ppd,0.0
2002,compen,ppd,0.0
2017,compen,ppd,0.0
2016,compen,ppd,0.0
2015,compen,ppd,0.0
1998,compen,ppd,0.0
2004,compen,ppd,0.0
2000,compen,ppd,0.0
1997,compen,ppd,0.0
2007,compen,ppd,0.0
2010,compen,ppd,0.0
2003,compen,ppd,0.0
2011,compen,ppd,0.0
2001,compen,ppd,0.0
2008,othtax,res,0.0
2009,othtax,res,0.0
2005,othtax,res,0.0
2006,othtax,res,0.0
2012,othtax,res,0.0
2014,othtax,res,0.0
2013,othtax,res,0.0
1999,othtax,res,0.0
2002,othtax,res,0.0
2017,othtax,res,0.0
2016,othtax,res,0.0
2015,othtax,res,0.0
1998,othtax,res,0.0
2004,othtax,res,0.0
2000,othtax,res,0.0
1997,othtax,res,0.0
2007,othtax,res,0.0
2010,othtax,res,0.0
2003,othtax,res,0.0
2011,othtax,res,0.0
2001,othtax,res,0.0
2008,surplus,res,0.0
2009,surplus,res,0.0
2005,surplus,res,0.0
2006,surplus,res,0.0
2012,surplus,res,0.0
2014,surplus,res,0.0
2013,surplus,res,0.0
1999,surplus,res,0.0
2002,surplus,res,0.0
2017,surplus,res,0.0
2016,surplus,res,0.0
2015,surplus,res,0.0
1998,surplus,res,0.0
2004,surplus,res,0.0
2000,surplus,res,0.0
1997,surplus,res,0.0
2007,surplus,res,0.0
2010,surplus,res,0.0
2003,surplus,res,0.0
2011,surplus,res,0.0
2001,surplus,res,0.0
2008,compen,res,0.0
2009,compen,res,0.0
2005,compen,res,0.0
2006,compen,res,0.0
2012,compen,res,0.0
2014,compen,res,0.0
2013,compen,res,0.0
1999,compen,res,0.0
2002,compen,res,0.0
2017,compen,res,0.0
2016,compen,res,0.0
2015,compen,res,0.0
1998,compen,res,0.0
2004,compen,res,0.0
2000,compen,res,0.0
1997,compen,res,0.0
2007,compen,res,0.0
2010,compen,res,0.0
2003,compen,res,0.0
2011,compen,res,0.0
2001,compen,res,0.0
2008,othtax,com,0.0
2009,othtax,com,0.0
2005,othtax,com,0.0
2006,othtax,com,0.0
2012,othtax,com,0.0
2014,othtax,com,0.0
2013,othtax,com,0.0
1999,othtax,com,0.0
2002,othtax,com,0.0
2017,othtax,com,0.0
2016,othtax,com,0.0
2015,othtax,com,0.0
1998,othtax,com,0.0
2004,othtax,com,0.0
2000,othtax,com,0.0
1997,othtax,com,0.0
2007,othtax,com,0.0
2010,othtax,com,0.0
2003,othtax,com,0.0
2011,othtax,com,0.0
2001,othtax,com,0.0
2008,surplus,com,0.0
2009,surplus,com,0.0
2005,surplus,com,0.0
2006,surplus,com,0.0
2012,surplus,com,0.0
2014,surplus,com,0.0
2013,surplus,com,0.0
1999,surplus,com,0.0
2002,surplus,com,0.0
2017,surplus,com,0.0
2016,surplus,com,0.0
2015,surplus,com,0.0
1998,surplus,com,0.0
2004,surplus,com,0.0
2000,surplus,com,0.0
1997,surplus,com,0.0
2007,surplus,com,0.0
2010,surplus,com,0.0
2003,surplus,com,0.0
2011,surplus,com,0.0
2001,surplus,com,0.0
2008,compen,com,0.0
2009,compen,com,0.0
2005,compen,com,0.0
2006,compen,com,0.0
2012,compen,com,0.0
2014,compen,com,0.0
2013,compen,com,0.0
1999,compen,com,0.0
2002,compen,com,0.0
2017,compen,com,0.0
2016,compen,com,0.0
2015,compen,com,0.0
1998,compen,com,0.0
2004,compen,com,0.0
2000,compen,com,0.0
1997,compen,com,0.0
2007,compen,com,0.0
2010,compen,com,0.0
2003,compen,com,0.0
2011,compen,com,0.0
2001,compen,com,0.0
2008,othtax,amb,0.0
2009,othtax,amb,0.0
2005,othtax,amb,0.0
2006,othtax,amb,0.0
2012,othtax,amb,0.0
2014,othtax,amb,0.0
2013,othtax,amb,0.0
1999,othtax,amb,0.0
2002,othtax,amb,0.0
2017,othtax,amb,0.0
2016,othtax,amb,0.0
2015,othtax,amb,0.0
1998,othtax,amb,0.0
2004,othtax,amb,0.0
2000,othtax,amb,0.0
1997,othtax,amb,0.0
2007,othtax,amb,0.0
2010,othtax,amb,0.0
2003,othtax,amb,0.0
2011,othtax,amb,0.0
2001,othtax,amb,0.0
2008,surplus,amb,0.0
2009,surplus,amb,0.0
2005,surplus,amb,0.0
2006,surplus,amb,0.0
2012,surplus,amb,0.0
2014,surplus,amb,0.0
2013,surplus,amb,0.0
1999,surplus,amb,0.0
2002,surplus,amb,0.0
2017,surplus,amb,0.0
2016,surplus,amb,0.0
2015,surplus,amb,0.0
1998,surplus,amb,0.0
2004,surplus,amb,0.0
2000,surplus,amb,0.0
1997,surplus,amb,0.0
2007,surplus,amb,0.0
2010,surplus,amb,0.0
2003,surplus,amb,0.0
2011,surplus,amb,0.0
2001,surplus,amb,0.0
2008,compen,amb,0.0
2009,compen,amb,0.0
2005,compen,amb,0.0
2006,compen,amb,0.0
2012,compen,amb,0.0
2014,compen,amb,0.0
2013,compen,amb,0.0
1999,compen,amb,0.0
2002,compen,amb,0.0
2017,compen,amb,0.0
2016,compen,amb,0.0
2015,compen,amb,0.0
1998,compen,amb,0.0
2004,compen,amb,0.0
2000,compen,amb,0.0
1997,compen,amb,0.0
2007,compen,amb,0.0
2010,compen,amb,0.0
2003,compen,amb,0.0
2011,compen,amb,0.0
2001,compen,amb,0.0
2008,othtax,fbp,0.0
2009,othtax,fbp,0.0
2005,othtax,fbp,0.0
2006,othtax,fbp,0.0
2012,othtax,fbp,0.0
2014,othtax,fbp,0.0
2013,othtax,fbp,0.0
1999,othtax,fbp,0.0
2002,othtax,fbp,0.0
2017,othtax,fbp,0.0
2016,othtax,fbp,0.0
2015,othtax,fbp,0.0
1998,othtax,fbp,0.0
2004,othtax,fbp,0.0
2000,othtax,fbp,0.0
1997,othtax,fbp,0.0
2007,othtax,fbp,0.0
2010,othtax,fbp,0.0
2003,othtax,fbp,0.0
2011,othtax,fbp,0.0
2001,othtax,fbp,0.0
2008,surplus,fbp,0.0
2009,surplus,fbp,0.0
2005,surplus,fbp,0.0
2006,surplus,fbp,0.0
2012,surplus,fbp,0.0
2014,surplus,fbp,0.0
2013,surplus,fbp,0.0
1999,surplus,fbp,0.0
2002,surplus,fbp,0.0
2017,surplus,fbp,0.0
2016,surplus,fbp,0.0
2015,surplus,fbp,0.0
1998,surplus,fbp,0.0
2004,surplus,fbp,0.0
2000,surplus,fbp,0.0
1997,surplus,fbp,0.0
2007,surplus,fbp,0.0
2010,surplus,fbp,0.0
2003,surplus,fbp,0.0
2011,surplus,fbp,0.0
2001,surplus,fbp,0.0
2008,compen,fbp,0.0
2009,compen,fbp,0.0
2005,compen,fbp,0.0
2006,compen,fbp,0.0
2012,compen,fbp,0.0
2014,compen,fbp,0.0
2013,compen,fbp,0.0
1999,compen,fbp,0.0
2002,compen,fbp,0.0
2017,compen,fbp,0.0
2016,compen,fbp,0.0
2015,compen,fbp,0.0
1998,compen,fbp,0.0
2004,compen,fbp,0.0
2000,compen,fbp,0.0
1997,compen,fbp,0.0
2007,compen,fbp,0.0
2010,compen,fbp,0.0
2003,compen,fbp,0.0
2011,compen,fbp,0.0
2001,compen,fbp,0.0
2008,othtax,rec,0.0
2009,othtax,rec,0.0
2005,othtax,rec,0.0
2006,othtax,rec,0.0
2012,othtax,rec,0.0
2014,othtax,rec,0.0
2013,othtax,rec,0.0
1999,othtax,rec,0.0
2002,othtax,rec,0.0
2017,othtax,rec,0.0
2016,othtax,rec,0.0
2015,othtax,rec,0.0
1998,othtax,rec,0.0
2004,othtax,rec,0.0
2000,othtax,rec,0.0
1997,othtax,rec,0.0
2007,othtax,rec,0.0
2010,othtax,rec,0.0
2003,othtax,rec,0.0
2011,othtax,rec,0.0
2001,othtax,rec,0.0
2008,surplus,rec,0.0
2009,surplus,rec,0.0
2005,surplus,rec,0.0
2006,surplus,rec,0.0
2012,surplus,rec,0.0
2014,surplus,rec,0.0
2013,surplus,rec,0.0
1999,surplus,rec,0.0
2002,surplus,rec,0.0
2017,surplus,rec,0.0
2016,surplus,rec,0.0
2015,surplus,rec,0.0
1998,surplus,rec,0.0
2004,surplus,rec,0.0
2000,surplus,rec,0.0
1997,surplus,rec,0.0
2007,surplus,rec,0.0
2010,surplus,rec,0.0
2003,surplus,rec,0.0
2011,surplus,rec,0.0
2001,surplus,rec,0.0
2008,compen,rec,0.0
2009,compen,rec,0.0
2005,compen,rec,0.0
2006,compen,rec,0.0
2012,compen,rec,0.0
2014,compen,rec,0.0
2013,compen,rec,0.0
1999,compen,rec,0.0
2002,compen,rec,0.0
2017,compen,rec,0.0
2016,compen,rec,0.0
2015,compen,rec,0.0
1998,compen,rec,0.0
2004,compen,rec,0.0
2000,compen,rec,0.0
1997,compen,rec,0.0
2007,compen,rec,0.0
2010,compen,rec,0.0
2003,compen,rec,0.0
2011,compen,rec,0.0
2001,compen,rec,0.0
2008,othtax,con,0.0
2009,othtax,con,0.0
2005,othtax,con,0.0
2006,othtax,con,0.0
2012,othtax,con,0.0
2014,othtax,con,0.0
2013,othtax,con,0.0
1999,othtax,con,0.0
2002,othtax,con,0.0
2017,othtax,con,0.0
2016,othtax,con,0.0
2015,othtax,con,0.0
1998,othtax,con,0.0
2004,othtax,con,0.0
2000,othtax,con,0.0
1997,othtax,con,0.0
2007,othtax,con,0.0
2010,othtax,con,0.0
2003,othtax,con,0.0
2011,othtax,con,0.0
2001,othtax,con,0.0
2008,surplus,con,0.0
2009,surplus,con,0.0
2005,surplus,con,0.0
2006,surplus,con,0.0
2012,surplus,con,0.0
2014,surplus,con,0.0
2013,surplus,con,0.0
1999,surplus,con,0.0
2002,surplus,con,0.0
2017,surplus,con,0.0
2016,surplus,con,0.0
2015,surplus,con,0.0
1998,surplus,con,0.0
2004,surplus,con,0.0
2000,surplus,con,0.0
1997,surplus,con,0.0
2007,surplus,con,0.0
2010,surplus,con,0.0
2003,surplus,con,0.0
2011,surplus,con,0.0
2001,surplus,con,0.0
2008,compen,con,0.0
2009,compen,con,0.0
2005,compen,con,0.0
2006,compen,con,0.0
2012,compen,con,0.0
2014,compen,con,0.0
2013,compen,con,0.0
1999,compen,con,0.0
2002,compen,con,0.0
2017,compen,con,0.0
2016,compen,con,0.0
2015,compen,con,0.0
1998,compen,con,0.0
2004,compen,con,0.0
2000,compen,con,0.0
1997,compen,con,0.0
2007,compen,con,0.0
2010,compen,con,0.0
2003,compen,con,0.0
2011,compen,con,0.0
2001,compen,con,0.0
2008,othtax,agr,0.0
2009,othtax,agr,0.0
2005,othtax,agr,0.0
2006,othtax,agr,0.0
2012,othtax,agr,0.0
2014,othtax,agr,0.0
2013,othtax,agr,0.0
1999,othtax,agr,0.0
2002,othtax,agr,0.0
2017,othtax,agr,0.0
2016,othtax,agr,0.0
2015,othtax,agr,0.0
1998,othtax,agr,0.0
2004,othtax,agr,0.0
2000,othtax,agr,0.0
1997,othtax,agr,0.0
2007,othtax,agr,0.0
2010,othtax,agr,0.0
2003,othtax,agr,0.0
2011,othtax,agr,0.0
2001,othtax,agr,0.0
2008,surplus,agr,0.0
2009,surplus,agr,0.0
2005,surplus,agr,0.0
2006,surplus,agr,0.0
2012,surplus,agr,0.0
2014,surplus,agr,0.0
2013,surplus,agr,0.0
1999,surplus,agr,0.0
