yr,i,value
2008,ppd,225.92000000000007
2008,res,635.6360000000001
2008,com,328.514
2008,amb,760.566
2008,fbp,1188.4419999999998
2008,rec,161.202
2008,con,1362.8149999999998
2008,agr,394.6309999999999
2008,eec,233.69400000000002
2008,use,80.82300000000001
2008,fnd,295.695
2008,pub,239.92100000000002
2008,hou,1538.1100000000001
2008,ins,762.539
2008,tex,125.29200000000003
2008,leg,284.339
2008,fen,78.513
2008,uti,626.3900000000001
2008,nmp,174.80899999999997
2008,brd,559.418
2008,bnk,592.317
2008,ore,831.6219999999998
2008,edu,285.961
2008,ote,219.75900000000001
2008,man,417.0340000000002
2008,mch,455.986
2008,dat,120.68699999999998
2008,amd,150.163
2008,oil,757.4219999999999
2008,hos,696.0010000000001
2008,rnt,316.1599999999999
2008,pla,286.401
2008,fof,71.131
2008,fin,138.745
2008,tsv,1511.8360000000002
2008,nrs,181.77700000000002
2008,sec,436.7170000000001
2008,art,120.911
2008,mov,128.899
2008,fpd,175.272
2008,slg,1473.499
2008,pri,91.22800000000001
2008,grd,57.633
2008,pip,0.354
2008,sle,71.74800000000002
2008,osv,685.035
2008,trn,5.752
2008,smn,135.101
2008,fmt,454.3960000000001
2008,pet,1002.519
2008,cep,669.5469999999999
2008,wst,91.45300000000003
2008,mot,661.511
2008,adm,597.2960000000003
2008,soc,146.568
2008,alt,343.796
2008,pmt,376.3400000000001
2008,trk,35.495
2008,fdd,583.2
2008,wtt,18.677
2008,wpd,130.79000000000002
2008,wht,75.208
2008,oth,62.23400000000002
2008,wrh,80.054
2008,ott,3.429
2008,che,1076.29
2008,air,155.033
2008,mmf,377.9530000000001
2008,otr,179.66000000000005
2008,min,119.56000000000002
2009,ppd,203.66499999999988
2009,res,630.85
2009,com,330.169
2009,amb,791.0949999999999
2009,fbp,1176.9969999999998
2009,rec,155.36900000000003
2009,con,1184.841
2009,agr,368.01300000000015
2009,eec,192.253
2009,use,65.29599999999999
2009,fnd,321.258
2009,pub,224.828
2009,hou,1586.078
2009,ins,697.3960000000003
2009,tex,107.79899999999999
2009,leg,272.057
2009,fen,75.99999999999999
2009,uti,544.8100000000001
2009,nmp,135.542
2009,brd,558.6310000000001
2009,bnk,584.9560000000001
2009,ore,776.1740000000002
2009,edu,300.32399999999996
2009,ote,187.88400000000001
2009,man,385.586
2009,mch,358.903
2009,dat,123.83099999999999
2009,amd,142.47899999999998
2009,oil,429.3159999999999
2009,hos,745.7280000000001
2009,rnt,271.90599999999995
2009,pla,244.28700000000003
2009,fof,64.944
2009,fin,118.114
2009,tsv,1424.248
2009,nrs,187.1
2009,sec,413.302
