yr,i,value
2008,ppd,0.083
2008,fbp,0.8250000000000001
2008,agr,0.025
2008,eec,1.324
2008,use,0.017
2008,tex,1.442
2008,nmp,0.596
2008,ote,0.226
2008,mch,1.182
2008,oil,0.095
2008,pla,0.902
2008,fof,0.005
2008,mov,0.002
2008,fpd,0.04
2008,pri,0.003
2008,fmt,1.191
2008,pet,0.17500000000000002
2008,cep,1.199
2008,mot,3.112
2008,alt,13.788
2008,pmt,0.376
2008,wpd,0.152
2008,che,1.412
2008,mmf,1.068
2008,min,0.004
2009,ppd,0.061
2009,fbp,0.715
2009,agr,0.027
2009,eec,1.032
2009,use,0.011
2009,tex,1.188
2009,nmp,0.428
2009,ote,0.164
2009,mch,0.788
2009,oil,0.078
2009,pla,0.798
2009,fof,0.005
2009,mov,0.001
2009,fpd,0.035
2009,pri,0.002
2009,fmt,0.852
2009,pet,0.14300000000000002
2009,cep,0.9540000000000001
2009,mot,1.922
2009,alt,11.769
2009,pmt,0.213
2009,wpd,0.123
2009,che,0.919
2009,mmf,0.852
2009,min,0.001
2005,ppd,0.056
2005,fbp,0.835
2005,agr,0.038
2005,eec,1.05
2005,use,0.012
2005,tex,1.352
2005,nmp,0.608
2005,ote,0.188
2005,mch,0.894
2005,oil,0.079
2005,pla,0.705
2005,fof,0.004
2005,mov,0.002
2005,fpd,0.036000000000000004
2005,pri,0.003
2005,fmt,0.916
2005,pet,0.189
2005,cep,1.077
2005,mot,2.981
2005,alt,11.897
2005,pmt,0.214
2005,wpd,0.17
2005,che,1.122
2005,mmf,0.904
2005,min,0.004
2006,ppd,0.066
2006,fbp,0.797
2006,agr,0.032
2006,eec,1.168
2006,use,0.011
2006,tex,1.375
2006,nmp,0.64
2006,ote,0.191
2006,mch,0.964
2006,oil,0.076
2006,pla,0.754
2006,fof,0.004
2006,mov,0.002
2006,fpd,0.04
2006,pri,0.003
2006,fmt,0.992
2006,pet,0.192
2006,cep,1.103
2006,mot,3.123
2006,alt,12.427
2006,pmt,0.28800000000000003
2006,wpd,0.191
2006,che,1.312
2006,mmf,0.932
2006,min,0.004
2012,ppd,0.095
2012,fbp,0.876
2012,agr,0.028
2012,eec,1.6500000000000001
2012,use,0.023
2012,tex,1.631
2012,nmp,0.625
2012,ote,0.253
2012,mch,1.349
2012,oil,0.08700000000000001
2012,pla,1.374
2012,fof,0.007
2012,mov,0.002
2012,fpd,0.045
2012,pri,0.002
2012,osv,0.003
2012,fmt,1.405
2012,pet,0.131
2012,cep,1.208
2012,mot,3.601
2012,alt,15.766
2012,pmt,0.34600000000000003
2012,wpd,0.136
2012,che,1.627
2012,mmf,1.232
2012,min,0.002
2014,ppd,0.106
2014,fbp,1.025
2014,agr,0.037
2014,eec,1.9100000000000001
2014,use,0.03
2014,tex,1.825
2014,nmp,0.756
2014,ote,0.254
2014,mch,1.427
2014,oil,0.074
2014,pla,1.354
2014,fof,0.009000000000000001
2014,mov,0.001
2014,fpd,0.052000000000000005
2014,pri,0.002
2014,osv,0.005
2014,fmt,1.559
2014,pet,0.12
2014,cep,1.245
2014,mot,4.07
2014,alt,17.552
2014,pmt,0.337
2014,wpd,0.177
2014,che,1.987
2014,mmf,1.352
2014,min,0.002
2013,ppd,0.098
2013,fbp,0.9530000000000001
2013,agr,0.028
2013,eec,1.803
2013,use,0.025
2013,tex,1.745
2013,nmp,0.68
2013,ote,0.24
2013,mch,1.323
2013,oil,0.073
2013,pla,1.281
2013,fof,0.009000000000000001
2013,mov,0.001
2013,fpd,0.051000000000000004
2013,pri,0.002
2013,osv,0.005
2013,fmt,1.458
2013,pet,0.126
2013,cep,1.162
2013,mot,3.856
2013,alt,16.854
2013,pmt,0.31
2013,wpd,0.161
2013,che,1.9080000000000001
2013,mmf,1.313
2013,min,0.001
1999,ppd,0.058
1999,fbp,0.603
1999,agr,0.07100000000000001
1999,eec,0.7020000000000001
1999,use,0.012
1999,pub,0.002
1999,tex,0.8210000000000001
1999,nmp,0.486
1999,ote,0.148
1999,mch,0.77
1999,oil,0.115
1999,pla,0.343
1999,fof,0.004
1999,mov,0.003
1999,fpd,0.017
1999,pri,0.014
1999,fmt,0.528
1999,pet,0.145
1999,cep,0.889
1999,mot,2.258
1999,alt,9.144
1999,pmt,0.384
1999,wpd,0.078
1999,che,0.926
1999,mmf,0.659
1999,min,0.002
2002,ppd,0.051000000000000004
2002,fbp,0.592
2002,agr,0.076
2002,eec,0.755
2002,use,0.013000000000000001
2002,pub,0.001
2002,tex,0.972
2002,nmp,0.484
2002,ote,0.157
2002,mch,0.627
2002,oil,0.081
2002,pla,0.428
2002,fof,0.003
2002,mov,0.004
2002,fpd,0.019
2002,pri,0.007
2002,osv,0.003
2002,fmt,0.618
2002,pet,0.152
2002,cep,0.736
2002,mot,2.403
2002,alt,9.663
2002,pmt,0.47700000000000004
2002,wpd,0.097
2002,che,0.782
2002,mmf,0.733
2002,min,0.002
2017,ppd,0.117
2017,fbp,1.09
2017,agr,0.044
2017,eec,2.068
2017,use,0.029
2017,tex,1.923
2017,nmp,0.8300000000000001
2017,ote,0.243
2017,mch,1.439
2017,oil,0.138
2017,pla,1.491
2017,fof,0.01
2017,fpd,0.075
2017,pri,0.001
2017,fmt,1.6460000000000001
2017,pet,0.138
2017,cep,0.916
2017,mot,4.095
2017,alt,18.025000000000002
2017,pmt,0.371
2017,wpd,0.231
2017,che,2.069
2017,mmf,1.452
2017,min,0.003
2016,ppd,0.11
2016,fbp,1.102
2016,agr,0.044
2016,eec,1.945
2016,use,0.028
2016,tex,1.86
2016,nmp,0.795
2016,ote,0.241
2016,mch,1.348
