yr,i,fd,value
2008,ppd,changinv,-0.682
2008,ppd,pce,43.481
2008,res,pce,505.08500000000004
2008,com,def_equipment,1.191
2008,com,state_equipment,0.672
2008,com,def_intelprop,5.468
2008,com,equipment,13.71
2008,com,state_intelprop,8.371
2008,com,intelprop,136.893
2008,com,fed_intelprop,13.481
2008,amb,pce,737.596
2008,fbp,changinv,0.016
2008,fbp,pce,818.268
2008,rec,pce,151.123
2008,con,fed_structures,10.317
2008,con,def_structures,13.671000000000001
2008,con,state_invest,278.33
2008,con,structures,434.34700000000004
2008,con,residential,397.349
2008,agr,changinv,-0.156
2008,agr,pce,109.604
2008,eec,def_equipment,0.6930000000000001
2008,eec,changinv,-0.676
2008,eec,state_equipment,3.548
2008,eec,fed_equipment,1.558
2008,eec,residential,6.140000000000001
2008,eec,equipment,29.88
2008,eec,pce,66.324
2008,use,fed_structures,1.07
2008,use,changinv,-2.086
2008,use,def_structures,-0.004
2008,use,state_equipment,-2.914
2008,use,fed_equipment,-0.037
2008,use,state_invest,6.1850000000000005
2008,use,structures,-2.653
2008,use,residential,-4.413
2008,use,equipment,-88.505
2008,use,pce,131.163
2008,fnd,nondefense,295.695
2008,pub,changinv,-0.164
2008,pub,def_intelprop,1.45
2008,pub,state_intelprop,3.36
2008,pub,intelprop,77.311
2008,pub,pce,109.249
2008,pub,fed_intelprop,2.064
2008,hou,pce,1538.1100000000001
2008,ins,residential,9.644
2008,ins,pce,286.117
2008,tex,changinv,-1.289
2008,tex,state_equipment,0.054
2008,tex,fed_equipment,0.045
2008,tex,residential,2.211
2008,tex,equipment,4.632
2008,tex,pce,58.968
2008,leg,residential,19.606
2008,leg,pce,90.79
2008,fen,pce,10.846
2008,uti,pce,254.25300000000001
2008,nmp,changinv,-1.6520000000000001
2008,nmp,pce,19.035
2008,brd,equipment,8.219
2008,brd,intelprop,19.187
2008,brd,pce,255.177
2008,bnk,pce,186.227
2008,ore,structures,18.786
2008,ore,residential,74.018
2008,ore,pce,5.94
2008,edu,pce,264.634
2008,ote,def_equipment,41.452
2008,ote,changinv,-1.922
2008,ote,state_equipment,1.979
2008,ote,fed_equipment,5.04
2008,ote,equipment,51.646
2008,ote,pce,32.883
2008,mch,def_equipment,1.282
2008,mch,changinv,1.326
2008,mch,state_equipment,6.691
2008,mch,fed_equipment,0.644
2008,mch,equipment,249.482
2008,mch,pce,18.296
2008,dat,def_intelprop,0.481
2008,dat,state_intelprop,1.452
2008,dat,intelprop,13.114
2008,dat,pce,18.533
2008,dat,fed_intelprop,0.507
2008,amd,pce,105.14
2008,oil,changinv,-0.581
2008,hos,pce,694.791
2008,rnt,pce,74.82600000000001
2008,pla,changinv,-2.402
2008,pla,fed_equipment,0.022
2008,pla,residential,0.182
2008,pla,equipment,0.165
2008,pla,pce,54.214
2008,fof,changinv,-0.34500000000000003
2008,fof,pce,7.732
2008,fin,pce,119.625
2008,tsv,def_intelprop,63.428000000000004
2008,tsv,residential,2.062
2008,tsv,equipment,46.969
2008,tsv,state_intelprop,15.092
2008,tsv,intelprop,285.495
2008,tsv,pce,55.373000000000005
2008,tsv,fed_intelprop,59.606
2008,nrs,pce,179.8
2008,sec,pce,164.52
2008,art,intelprop,4.38
2008,art,pce,59.284
2008,mov,changinv,-0.05
2008,mov,intelprop,31.900000000000002
2008,mov,pce,37.359
2008,fpd,def_equipment,0.001
2008,fpd,changinv,0.395
2008,fpd,state_equipment,2.843
2008,fpd,fed_equipment,0.037
2008,fpd,residential,0.5750000000000001
2008,fpd,equipment,36.633
2008,fpd,pce,91.459
2008,slg,state_consume,1473.499
2008,pri,changinv,-0.552
2008,pri,pce,7.982
2008,grd,pce,29.509
2008,sle,pce,52.364000000000004
2008,osv,pce,484.434
2008,trn,pce,1.091
2008,smn,changinv,-0.001
2008,smn,structures,120.348
2008,smn,equipment,1.843
2008,fmt,def_equipment,2.797
2008,fmt,changinv,-1.804
2008,fmt,state_equipment,1.569
2008,fmt,fed_equipment,1.099
2008,fmt,equipment,16.546
2008,fmt,pce,26.457
2008,pet,changinv,-0.665
2008,pet,pce,390.342
2008,cep,def_equipment,28.809
2008,cep,changinv,3.9370000000000003
2008,cep,state_equipment,16.183
2008,cep,fed_equipment,8.555
2008,cep,residential,0.45
2008,cep,equipment,231.883
2008,cep,pce,144.616
2008,wst,pce,17.922
2008,mot,def_equipment,6.336
2008,mot,changinv,-6.9750000000000005
2008,mot,state_equipment,13.455
2008,mot,fed_equipment,0.397
2008,mot,equipment,174.514
2008,mot,pce,221.044
2008,adm,pce,47.217
2008,soc,pce,146.096
2008,alt,changinv,-3.431
2008,alt,pce,323.972
2008,pmt,changinv,-1.326
2008,pmt,pce,2.145
2008,trk,pce,8.883000000000001
2008,fdd,defense,583.2
2008,wtt,pce,12.929
2008,wpd,changinv,-2.012
2008,wpd,fed_equipment,0.013000000000000001
2008,wpd,structures,0.278
2008,wpd,residential,8.157
2008,wpd,pce,8.129
2008,oth,intelprop,6.104
2008,oth,pce,-56.64
2008,wrh,pce,0.115
