yr,i,j,value
2008,ppd,ppd,52.144
2008,ppd,res,2.485
2008,ppd,com,0.306
2008,ppd,amb,1.784
2008,ppd,fbp,26.945
2008,ppd,rec,0.203
2008,ppd,con,2.688
2008,ppd,agr,0.377
2008,ppd,eec,1.256
2008,ppd,fnd,1.516
2008,ppd,pub,4.039
2008,ppd,fbt,1.411
2008,ppd,ins,0.369
2008,ppd,tex,0.661
2008,ppd,leg,0.292
2008,ppd,fen,0.063
2008,ppd,uti,0.024
2008,ppd,nmp,1.8940000000000001
2008,ppd,brd,0.393
2008,ppd,bnk,1.858
2008,ppd,ore,0.596
2008,ppd,edu,0.34700000000000003
2008,ppd,ote,0.713
2008,ppd,man,0.673
2008,ppd,mch,2.468
2008,ppd,dat,0.179
2008,ppd,amd,2.166
2008,ppd,oil,0.04
2008,ppd,hos,1.348
2008,ppd,rnt,0.558
2008,ppd,pla,5.229
2008,ppd,fof,0.001
2008,ppd,fin,0.004
2008,ppd,tsv,3.109
2008,ppd,nrs,0.711
2008,ppd,sec,0.433
2008,ppd,art,0.116
2008,ppd,mov,0.185
2008,ppd,fpd,1.346
2008,ppd,slg,12.651
2008,ppd,pri,13.437000000000001
2008,ppd,grd,0.534
2008,ppd,pip,0.20500000000000002
2008,ppd,sle,0.012
2008,ppd,osv,1.2590000000000001
2008,ppd,trn,0.049
2008,ppd,smn,0.114
2008,ppd,fmt,2.466
2008,ppd,pet,0.116
2008,ppd,mvt,0.067
2008,ppd,cep,1.6300000000000001
2008,ppd,wst,0.25
2008,ppd,mot,2.141
2008,ppd,adm,3.464
2008,ppd,soc,0.544
2008,ppd,alt,0.097
2008,ppd,pmt,1.713
2008,ppd,trk,0.189
2008,ppd,fdd,0.195
2008,ppd,gmt,0.375
2008,ppd,wtt,0.016
2008,ppd,wpd,0.672
2008,ppd,wht,4.841
2008,ppd,wrh,0.218
2008,ppd,ott,1.647
2008,ppd,che,7.327
2008,ppd,air,0.024
2008,ppd,mmf,3.156
2008,ppd,otr,2.544
2008,ppd,min,0.23800000000000002
2008,res,ppd,0.249
2008,res,res,2.888
2008,res,com,3.3160000000000003
2008,res,amb,11.709
