yr,i,value
2008,ppd,24.969
2008,com,15.6
2008,fbp,62.671
2008,agr,24.999
2008,eec,66.59
2008,use,12.24
2008,pub,4.444
2008,ins,58.341
2008,tex,23.011
2008,leg,2.219
2008,fen,0.513
2008,uti,3.924
2008,nmp,20.124
2008,brd,0.166
2008,bnk,0.047
2008,edu,0.969
2008,ote,43.155
2008,mch,121.488
2008,dat,0.596
2008,oil,388.622
2008,hos,2.183
2008,pla,34.562
2008,fof,15.335
2008,tsv,59.777
2008,sec,0.06
2008,art,0.294
2008,mov,4.724
2008,fpd,28.657
2008,pri,2.465
2008,osv,2.588
2008,smn,1.371
2008,fmt,49.692
2008,pet,127.97500000000001
2008,cep,263.887
2008,wst,0.115
2008,mot,208.93800000000002
2008,adm,0.9460000000000001
2008,alt,108.313
2008,pmt,100.288
2008,wpd,14.589
2008,oth,201.204
2008,che,200.28300000000002
2008,air,26.638
2008,mmf,82.921
2008,otr,0.077
2008,min,4.657
2009,ppd,19.279
2009,com,16.602
2009,fbp,56.099000000000004
2009,agr,23.432000000000002
2009,eec,53.473
2009,use,9.093
2009,pub,3.673
2009,ins,63.434000000000005
2009,tex,19.217
2009,leg,1.9140000000000001
2009,fen,0.393
2009,uti,2.246
2009,nmp,14.078000000000001
2009,brd,0.152
2009,bnk,0.043000000000000003
2009,edu,1.313
2009,ote,34.485
2009,mch,84.389
2009,dat,0.726
2009,oil,212.71200000000002
2009,hos,2.297
2009,pla,28.855
2009,fof,12.696
2009,tsv,59.883
2009,sec,0.055
2009,art,0.369
2009,mov,4.195
2009,fpd,22.493000000000002
2009,pri,2.019
2009,osv,2.578
2009,smn,1.641
2009,fmt,37.452
2009,pet,75.82600000000001
2009,cep,231.334
2009,wst,0.121
2009,mot,142.101
2009,adm,1.006
2009,alt,93.405
2009,pmt,52.777
2009,wpd,9.992
2009,oth,189.776
2009,che,166.779
2009,air,21.122
2009,mmf,67.261
2009,otr,0.059000000000000004
2009,min,0.482
2005,ppd,23.107
2005,com,9.811
2005,fbp,48.745000000000005
2005,agr,17.953
2005,eec,54.378
2005,use,7.341
2005,pub,3.724
2005,ins,28.178
2005,tex,20.865000000000002
2005,leg,1.26
2005,fen,0.549
2005,uti,3.374
2005,nmp,20.740000000000002
2005,brd,0.159
2005,bnk,0.045
2005,edu,0.498
2005,ote,33.686
2005,mch,102.41
2005,dat,0.41200000000000003
2005,oil,218.654
2005,hos,1.443
2005,pla,29.336000000000002
2005,fof,12.814
2005,tsv,33.972
2005,sec,0.057
2005,art,0.114
2005,mov,6.075
2005,fpd,27.843
2005,pri,2.086
2005,osv,2.207
2005,smn,1.094
2005,fmt,40.035000000000004
2005,pet,92.15
2005,cep,245.817
2005,wst,0.076
2005,mot,212.276
2005,adm,0.624
2005,alt,104.382
2005,pmt,65.694
2005,wpd,24.740000000000002
2005,oth,166.929
2005,che,145.65
2005,air,20.85
2005,mmf,74.536
2005,otr,0.083
2005,min,3.4130000000000003
2006,ppd,24.647000000000002
2006,com,12.527000000000001
2006,fbp,52.552
2006,agr,20.059
2006,eec,61.556000000000004
2006,use,10.494
2006,pub,3.855
2006,ins,38.824999999999996
2006,tex,22.088
2006,leg,1.518
2006,fen,0.525
2006,uti,2.431
2006,nmp,22.849
2006,brd,0.163
2006,bnk,0.046
2006,edu,0.8150000000000001
2006,ote,36.4
2006,mch,113.747
2006,dat,0.423
2006,oil,253.55
2006,hos,2.365
2006,pla,31.952
2006,fof,14.391
2006,tsv,42.582
2006,sec,0.058
2006,art,0.186
2006,mov,5.73
2006,fpd,29.892
2006,pri,2.219
2006,osv,2.359
2006,smn,1.792
2006,fmt,45.147
2006,pet,100.19
2006,cep,265.452
2006,wst,0.125
2006,mot,232.06300000000002
2006,adm,1.0110000000000001
2006,alt,108.849
2006,pmt,90.386
2006,wpd,23.741
2006,oth,176.834
2006,che,160.437
2006,air,22.112000000000002
2006,mmf,79.671
2006,otr,0.079
2006,min,2.848
2012,ppd,21.509
2012,com,23.466
2012,fbp,80.142
2012,agr,32.525
2012,eec,78.288
2012,use,12.797
2012,pub,3.713
2012,ins,54.985
2012,tex,26.093
2012,leg,2.315
2012,fen,0.45
2012,uti,2.115
2012,nmp,19.916
2012,brd,0.156
2012,bnk,0.044
2012,edu,1.489
2012,ote,46.161
2012,mch,143.049
2012,dat,0.885
2012,oil,337.586
2012,hos,3.078
2012,pla,44.398
2012,fof,16.266000000000002
2012,tsv,73.155
2012,sec,0.056
2012,art,0.8190000000000001
2012,mov,5.789
2012,fpd,30.21
2012,pri,2.481
2012,osv,3.357
2012,smn,1.47
2012,fmt,56.685
2012,pet,100.87
2012,cep,299.486
2012,wst,0.163
2012,mot,264.599
2012,adm,1.346
2012,alt,120.011
2012,pmt,84.386
2012,wpd,13.589
2012,oth,217.862
2012,che,208.028
2012,air,29.013
2012,mmf,79.312
2012,otr,0.068
2012,min,-5.039
2014,ppd,23.856
2014,com,26.968
2014,fbp,83.322
2014,agr,38.799
2014,eec,88.52
2014,use,14.552
2014,pub,4.07
2014,ins,50.461
2014,tex,29.067
2014,leg,2.418
2014,fen,0.41400000000000003
2014,uti,2.995
2014,nmp,23.384
2014,brd,0.17
2014,bnk,0.048
2014,edu,1.241
2014,ote,58.274
2014,mch,154.113
2014,dat,1.193
2014,oil,277.219
2014,hos,3.166
2014,pla,48.032000000000004
2014,fof,18.012
2014,tsv,81.984
2014,sec,0.061
2014,art,0.9390000000000001
2014,mov,5.846
2014,fpd,35.448
2014,pri,2.45
2014,osv,3.3280000000000003
2014,smn,1.68
2014,fmt,62.461
2014,pet,93.278
2014,cep,318.108
2014,wst,0.167
2014,mot,298.939
2014,adm,1.4040000000000001
2014,alt,130.1
2014,pmt,88.874
2014,wpd,17.669
2014,oth,231.029
2014,che,190.913
2014,air,34.297000000000004
2014,mmf,79.783
2014,otr,0.062
2014,min,1.166
2013,ppd,22.481
