yr,m,i,value
2008,trn,ppd,11.004
2008,trn,fbp,22.084
2008,trn,agr,36.916000000000004
2008,trn,eec,6.627
2008,trn,use,32.156
2008,trn,pub,4.546
2008,trn,tex,3.584
2008,trn,nmp,16.839
2008,trn,ote,3.5740000000000003
2008,trn,mch,9.758000000000001
2008,trn,oil,32.278
2008,trn,pla,4.5760000000000005
2008,trn,fof,2.714
2008,trn,mov,0.251
2008,trn,fpd,14.279
2008,trn,pri,3.267
2008,trn,fmt,8.131
2008,trn,pet,17.489
2008,trn,cep,8.983
2008,trn,mot,11.113
2008,trn,alt,6.628
2008,trn,pmt,10.766
2008,trn,wpd,6.174
2008,trn,che,26.94
2008,trn,mmf,16.54
2008,trn,min,28.677
2008,trd,ppd,34.001
2008,trd,fbp,320.615
2008,trd,agr,62.576
2008,trd,eec,63.827
2008,trd,use,68.022
2008,trd,pub,53.054
2008,trd,tex,51.314
2008,trd,nmp,31.194
2008,trd,ote,15.948
2008,trd,mch,109.245
2008,trd,oil,10.15
2008,trd,pla,66.45100000000001
2008,trd,fof,6.824
2008,trd,mov,8.132
2008,trd,fpd,55.557
2008,trd,pri,11.096
2008,trd,fmt,74.273
2008,trd,pet,124.37700000000001
2008,trd,cep,148.348
2008,trd,mot,104.59400000000001
2008,trd,alt,175.923
2008,trd,pmt,31.448
2008,trd,wpd,23.398
2008,trd,che,279.69
2008,trd,mmf,148.291
2008,trd,min,5.07
2009,trn,ppd,8.655
2009,trn,fbp,19.623
2009,trn,agr,36.016
2009,trn,eec,4.743
2009,trn,use,27.819
2009,trn,pub,3.535
2009,trn,tex,2.636
2009,trn,nmp,13.711
2009,trn,ote,2.113
2009,trn,mch,7.79
2009,trn,oil,27.084
2009,trn,pla,3.719
2009,trn,fof,2.47
2009,trn,mov,0.178
2009,trn,fpd,10.612
2009,trn,pri,2.533
2009,trn,fmt,6.424
2009,trn,pet,16.122
2009,trn,cep,6.407
2009,trn,mot,6.376
2009,trn,alt,5.2010000000000005
2009,trn,pmt,6.075
2009,trn,wpd,4.0440000000000005
2009,trn,che,23.044
2009,trn,mmf,12.879
2009,trn,min,24.048000000000002
2009,trd,ppd,33.232
2009,trd,fbp,316.548
2009,trd,agr,58.099000000000004
2009,trd,eec,55.524
2009,trd,use,49.682
2009,trd,pub,51.54
2009,trd,tex,45.871
2009,trd,nmp,25.315
2009,trd,ote,11.537
2009,trd,mch,91.262
2009,trd,oil,7.425
2009,trd,pla,60.429
2009,trd,fof,5.471
2009,trd,mov,7.205
2009,trd,fpd,43.386
2009,trd,pri,10.661
