yr,i,value
2008,ppd,34.001
2008,fbp,320.615
2008,agr,62.576
2008,eec,63.827
2008,use,68.022
2008,pub,53.054
2008,fbt,-159.371
2008,tex,51.314
2008,nmp,31.194
2008,ote,15.948
2008,mch,109.245
2008,oil,10.15
2008,pla,66.45100000000001
2008,fof,6.824
2008,mov,8.132
2008,fpd,55.557
2008,pri,11.096
2008,fmt,74.273
2008,pet,124.37700000000001
2008,mvt,-91.161
2008,cep,148.348
2008,mot,104.59400000000001
2008,alt,175.923
2008,pmt,31.448
2008,gmt,-159.632
2008,wpd,23.398
2008,wht,-1076.08
2008,ott,-597.1750000000001
2008,che,279.69
2008,mmf,148.291
2008,min,5.07
2009,ppd,33.232
2009,fbp,316.548
2009,agr,58.099000000000004
2009,eec,55.524
2009,use,49.682
2009,pub,51.54
2009,fbt,-156.919
2009,tex,45.871
2009,nmp,25.315
2009,ote,11.537
2009,mch,91.262
2009,oil,7.425
2009,pla,60.429
2009,fof,5.471
2009,mov,7.205
2009,fpd,43.386
2009,pri,10.661
2009,fmt,61.82
2009,pet,96.84700000000001
2009,mvt,-63.043
2009,cep,136.56
2009,mot,77.055
2009,alt,173.94400000000002
2009,pmt,18.004
2009,gmt,-166.263
2009,wpd,19.648
2009,wht,-921.191
2009,ott,-569.047
2009,che,283.051
2009,mmf,132.473
2009,min,3.872
2005,ppd,30.301000000000002
2005,fbp,278.234
2005,agr,51.983000000000004
2005,eec,57.513
2005,use,60.942
2005,pub,44.434
2005,fbt,-144.691
2005,tex,53.624
2005,nmp,32.978
2005,ote,15.537
2005,mch,95.772
2005,oil,5.655
2005,pla,58.087
2005,fof,7.203
2005,mov,8.613
2005,fpd,52.655
2005,pri,9.678
2005,fmt,63.058
2005,pet,95.249
2005,mvt,-109.227
2005,cep,124.799
2005,mot,111.833
2005,alt,164.18200000000002
2005,pmt,27.604
2005,gmt,-144.306
2005,wpd,29.898
2005,wht,-875.8480000000001
2005,ott,-577.828
2005,che,237.471
2005,mmf,128.636
2005,min,5.963
2006,ppd,31.365000000000002
2006,fbp,292.596
2006,agr,55.967
2006,eec,63.985
2006,use,67.787
2006,pub,45.373
2006,fbt,-152.18
2006,tex,54.35
2006,nmp,35.778
2006,ote,15.889000000000001
2006,mch,100.19200000000001
2006,oil,6.896
2006,pla,63.347
2006,fof,7.243
2006,mov,8.105
2006,fpd,55.842
2006,pri,10.695
2006,fmt,69.336
2006,pet,103.20100000000001
2006,mvt,-112.776
