yr,i,m,value
2008,fbt,trd,159.371
2008,pip,trn,31.481
2008,trn,trn,59.831
2008,mvt,trd,91.161
2008,trk,trn,240.45100000000002
2008,gmt,trd,159.632
2008,wtt,trn,28.129
2008,wht,trd,1076.08
2008,ott,trd,597.1750000000001
2008,air,trn,4.572
2008,otr,trn,2.593
2009,fbt,trd,156.919
2009,pip,trn,28.031000000000002
2009,trn,trn,46.834
2009,mvt,trd,63.043
2009,trk,trn,197.215
2009,gmt,trd,166.263
2009,wtt,trn,21.141
2009,wht,trd,921.191
2009,ott,trd,569.047
2009,air,trn,3.2039999999999997
2009,otr,trn,2.0020000000000002
2005,fbt,trd,144.691
2005,pip,trn,22.418
2005,trn,trn,44.894999999999996
2005,mvt,trd,109.227
2005,trk,trn,209.602
2005,gmt,trd,144.306
2005,wtt,trn,17.688
2005,wht,trd,875.8480000000001
2005,ott,trd,577.828
2005,air,trn,3.35
2005,otr,trn,2.166
2006,fbt,trd,152.18
2006,pip,trn,23.678
2006,trn,trn,50.929
2006,mvt,trd,112.776
2006,trk,trn,226.133
2006,gmt,trd,146.63400000000001
2006,wtt,trn,21.303
2006,wht,trd,950.514
2006,ott,trd,614.493
2006,air,trn,3.7090000000000005
2006,otr,trn,2.211
2012,fbt,trd,171.974
2012,pip,trn,39.213
2012,trn,trn,69.1
2012,mvt,trd,122.617
2012,trk,trn,260.675
2012,gmt,trd,164.814
2012,wtt,trn,20.573
2012,wht,trd,1387.463
2012,ott,trd,649.114
2012,air,trn,4.639
2012,otr,trn,2.8930000000000002
2014,fbt,trd,179.579
2014,pip,trn,45.39
2014,trn,trn,76.879
2014,mvt,trd,139.887
2014,trk,trn,291.721
2014,gmt,trd,172.8
2014,wtt,trn,20.387
2014,wht,trd,1517.451
2014,ott,trd,729.938
2014,air,trn,3.624
2014,otr,trn,3.008
2013,fbt,trd,173.513
2013,pip,trn,41.937
2013,trn,trn,72.09
2013,mvt,trd,129.922
2013,trk,trn,268.94
2013,gmt,trd,168.939
2013,wtt,trn,17.471
2013,wht,trd,1448.25
2013,ott,trd,695.898
2013,air,trn,3.6710000000000003
2013,otr,trn,2.5580000000000003
1999,fbt,trd,118.62400000000001
1999,pip,trn,23.541
1999,trn,trn,33.143
1999,mvt,trd,105.955
1999,trk,trn,146.98399999999998
1999,gmt,trd,103.505
1999,wtt,trn,9.896
1999,wht,trd,621.462
1999,ott,trd,414.71500000000003
1999,air,trn,3.019
1999,otr,trn,1.1340000000000001
2002,fbt,trd,129.611
2002,pip,trn,21.602
2002,trn,trn,34.234
2002,mvt,trd,110.426
2002,trk,trn,160.526
2002,gmt,trd,110.175
2002,wtt,trn,8.771
2002,wht,trd,693.015
2002,ott,trd,468.40500000000003
2002,air,trn,1.778
2002,otr,trn,1.9000000000000001
2017,fbt,trd,197.987
2017,pip,trn,49.11
2017,trn,trn,69.08800000000001
2017,mvt,trd,182.81300000000002
2017,trk,trn,300.402
2017,gmt,trd,178.127
2017,wtt,trn,18.073
2017,wht,trd,1595.594
2017,ott,trd,854.6510000000001
2017,air,trn,3.793
2017,otr,trn,3.323
2016,fbt,trd,190.53300000000002
2016,pip,trn,46.516
2016,trn,trn,64.82300000000001
2016,mvt,trd,175.308
2016,trk,trn,286.688
2016,gmt,trd,177.189
2016,wtt,trn,18.315
2016,wht,trd,1508.3690000000001
2016,ott,trd,812.577
2016,air,trn,3.6719999999999997
2016,otr,trn,3.0060000000000002
2015,fbt,trd,187.655
2015,pip,trn,46.177
2015,trn,trn,70.843
2015,mvt,trd,161.361
2015,trk,trn,291.349
2015,gmt,trd,178.209
2015,wtt,trn,20.233
2015,wht,trd,1528.729
2015,ott,trd,780.009
2015,air,trn,3.3240000000000003
2015,otr,trn,3.105
1998,fbt,trd,112.625
1998,pip,trn,23.542
1998,trn,trn,32.941
1998,mvt,trd,92.644
1998,trk,trn,137.98999999999998
1998,gmt,trd,95.75
1998,wtt,trn,10.309999999999999
1998,wht,trd,574.9300000000001
1998,ott,trd,393.476
1998,air,trn,2.8209999999999997
1998,otr,trn,0.774
2004,fbt,trd,140.053
2004,pip,trn,22.484
2004,trn,trn,39.3
2004,mvt,trd,115.48100000000001
2004,trk,trn,186.996
2004,gmt,trd,138.281
2004,wtt,trn,15.161999999999999
2004,wht,trd,796.5740000000001
2004,ott,trd,546.149
