yr,i,value
2008,ppd,175.86199999999997
2008,res,596.501
2008,com,320.581
2008,amb,759.989
2008,fbp,774.767
2008,rec,155.72400000000002
2008,con,1361.4379999999992
2008,agr,335.60200000000003
2008,eec,123.42600000000002
2008,use,10.273
2008,fnd,295.695
2008,pub,212.132
2008,hou,1571.553
2008,fbt,159.37200000000004
2008,ins,705.7710000000001
2008,tex,52.645999999999994
2008,leg,277.043
2008,fen,78.328
2008,uti,597.144
2008,nmp,112.467
2008,brd,543.905
2008,bnk,619.3570000000001
2008,ore,835.9040000000001
2008,edu,286.43399999999997
2008,ote,243.12299999999996
2008,man,419.22200000000004
2008,mch,344.21400000000006
2008,dat,122.72500000000001
2008,amd,139.542
2008,oil,312.777
2008,hos,693.3670000000001
2008,rnt,366.66600000000005
2008,pla,197.759
2008,fof,51.071999999999996
2008,fin,138.746
2008,tsv,1533.535
2008,nrs,180.31300000000002
2008,sec,479.73199999999997
2008,art,117.018
2008,mov,127.71900000000001
2008,fpd,74.391
2008,slg,1473.499
2008,pri,75.97200000000001
2008,grd,57.49100000000001
2008,pip,32.118
2008,sle,71.747
2008,osv,667.9480000000001
2008,trn,67.97200000000001
2008,smn,137.021
2008,fmt,347.67499999999995
2008,pet,714.1510000000001
2008,mvt,91.161
2008,cep,376.25699999999995
2008,wst,90.34899999999999
2008,mot,410.079
2008,adm,593.7600000000001
2008,soc,146.043
2008,alt,26.068000000000005
2008,pmt,271.166
2008,trk,277.193
2008,fdd,583.2
2008,gmt,159.632
2008,wtt,52.737
2008,wpd,89.29799999999999
2008,wht,1153.4909999999998
2008,oth,1.98
2008,wrh,80.11999999999999
2008,ott,600.6080000000001
2008,che,714.4210000000002
2008,air,155.905
2008,mmf,159.579
2008,otr,192.018
2008,min,93.88799999999999
2009,ppd,159.62599999999998
2009,res,592.4000000000001
2009,com,321.77299999999985
2009,amb,790.591
2009,fbp,763.1480000000001
2009,rec,150.08800000000002
2009,con,1183.7400000000002
2009,agr,304.08799999999997
2009,eec,99.99000000000001
2009,use,8.495999999999999
2009,fnd,321.258
2009,pub,199.534
2009,hou,1620.907
2009,fbt,156.919
2009,ins,637.6200000000001
2009,tex,43.958999999999996
2009,leg,272.376
2009,fen,75.876
2009,uti,516.207
2009,nmp,87.292
2009,brd,543.557
2009,bnk,615.0140000000001
2009,ore,780.2310000000001
2009,edu,300.65400000000005
2009,ote,223.17400000000004
2009,man,387.413
2009,mch,273.81200000000007
2009,dat,125.872
2009,amd,132.352
2009,oil,178.86200000000002
2009,hos,743.131
2009,rnt,319.65199999999993
2009,pla,165.926
2009,fof,48.853
2009,fin,118.114
2009,tsv,1449.4059999999997
2009,nrs,185.76100000000002
2009,sec,454.82900000000006
2009,art,119.13000000000002
2009,mov,119.58800000000001
2009,fpd,56.747000000000014
2009,slg,1495.035
2009,pri,65.465
2009,grd,57.59
2009,pip,28.625000000000004
2009,sle,74.726
2009,osv,631.7829999999999
2009,trn,54.965
2009,smn,91.57200000000002
2009,fmt,270.5100000000001
2009,pet,470.622
2009,mvt,65.948
2009,cep,310.804
2009,wst,85.895
2009,mot,318.447
2009,adm,551.4850000000001
2009,soc,154.64000000000001
2009,alt,24.059
2009,pmt,155.46499999999997
2009,trk,226.32399999999998
2009,fdd,614.3100000000001
2009,gmt,166.263
2009,wtt,43.58500000000001
2009,wpd,66.64
2009,wht,994.975
2009,oth,2.072
2009,wrh,81.064
2009,ott,572.4630000000001
2009,che,594.541
2009,air,131.453
2009,mmf,145.732
