yr,i,value
2008,agr,10.346
2008,eec,0.12
2008,hou,33.458
2008,ins,4.37
2008,tex,0.005
2008,bnk,0.084
2008,ore,1.8960000000000001
2008,grd,0.044
2008,trn,1.799
2008,trk,0.014
2008,wtt,0.28
2008,air,0.14100000000000001
2009,agr,10.361
2009,eec,0.327
2009,hou,34.841
2009,ins,4.847
2009,tex,0.006
2009,brd,0.041
2009,bnk,0.221
2009,ore,1.816
2009,grd,0.052000000000000005
2009,trn,2.2680000000000002
2009,pet,0.025
2009,trk,0.006
2009,wtt,0.449
2009,che,0.014
2009,air,0.171
2005,agr,20.914
2005,hou,31.779
2005,ins,2.319
2005,bnk,0.058
2005,ore,3.482
2005,grd,0.043000000000000003
2005,trn,1.7530000000000001
2005,trk,0.019
2005,wtt,0.482
2005,air,0.061
2006,agr,13.489
2006,hou,30.741
2006,ins,2.4010000000000002
2006,tex,0.011
2006,bnk,0.037
2006,ore,2.299
2006,grd,0.044
2006,trn,1.6540000000000001
2006,trk,0.051000000000000004
2006,wtt,0.646
2006,air,0.093
2012,agr,8.759
2012,eec,0.842
2012,hou,34.148
2012,ins,5.124
2012,tex,0.005
2012,brd,0.746
2012,bnk,0.877
2012,ore,1.8760000000000001
2012,hos,2.722
2012,grd,0.053
2012,trn,1.849
2012,pet,0.234
2012,wtt,0.505
2012,che,0.04
2012,air,0.259
2014,agr,7.463
2014,eec,0.293
2014,hou,34.410000000000004
2014,ins,7.268
2014,tex,0.005
2014,brd,0.094
2014,bnk,0.8140000000000001
2014,ore,2.3040000000000003
2014,hos,3.128
2014,grd,0.057
2014,trn,1.778
2014,pet,0.138
2014,wtt,0.07
2014,che,0.048
2014,air,0.219
2013,agr,8.913
2013,eec,0.394
2013,hou,34.359
2013,ins,7.152
2013,tex,0.005
2013,brd,0.395
2013,bnk,0.655
2013,ore,2.09
2013,hos,3.376
2013,grd,0.054
2013,trn,1.865
2013,pet,0.038
2013,wtt,0.14100000000000001
2013,che,0.047
2013,air,0.234
1999,agr,18.577
1999,hou,21.568
1999,ins,0.969
1999,bnk,0.074
1999,ore,2.936
1999,grd,0.033
1999,trn,1.027
1999,wtt,0.025
2002,com,0.002
2002,con,0.001
2002,agr,10.763
2002,hou,24.53
2002,ins,1.803
2002,uti,0.382
2002,bnk,0.121
2002,ore,1.651
2002,grd,0.039
2002,trn,1.5070000000000001
2002,wtt,0.437
2002,air,0.16
2017,agr,9.759
2017,eec,0.264
2017,hou,38.158
2017,ins,6.34
2017,brd,0.011
2017,bnk,0.546
2017,ore,1.7730000000000001
2017,hos,0.375
2017,grd,0.062
2017,trn,2.263
2017,pet,1.287
2017,wtt,0.047
2017,che,0.014
2017,air,0.23800000000000002
2016,agr,11.157
2016,eec,0.261
2016,hou,38.38
2016,ins,6.0040000000000004
2016,brd,-0.005
2016,bnk,0.616
2016,ore,1.823
2016,hos,1.084
2016,grd,0.068
2016,trn,1.928
2016,pet,0.088
2016,wtt,0.14400000000000002
2016,che,0.015
2016,air,0.245
2015,agr,8.926
2015,eec,0.278
2015,hou,35.374
2015,ins,6.001
2015,tex,0.011
2015,brd,0.094
2015,bnk,0.546
2015,ore,1.879
2015,hos,1.847
2015,grd,0.06
2015,trn,1.863
2015,pet,0.079
2015,wtt,0.04
2015,che,0.015
2015,air,0.24
1998,agr,10.53
1998,hou,22.049
1998,ins,0.9400000000000001
1998,bnk,0.047
1998,ore,1.85
1998,grd,0.033
1998,trn,0.868
1998,wtt,0.052000000000000005
1998,air,-0.001
2004,agr,11.068
2004,hou,28.69
2004,ins,2.115
2004,bnk,0.037
2004,ore,1.9020000000000001
2004,grd,0.042
2004,trn,1.606
2004,trk,0.02
2004,wtt,0.889
2004,air,0.017
2000,agr,19.96
2000,hou,20.155
2000,ins,1.209
2000,bnk,0.079
2000,ore,3.262
2000,grd,0.029
2000,trn,1.088
2000,wtt,0.057
2000,air,0.001
1997,agr,6.357
1997,hou,24.049
1997,ins,0.927
1997,bnk,0.037
1997,ore,1.139
1997,grd,0.045
1997,trn,1.118
1997,wtt,0.117
1997,air,0.02
2007,agr,10.620000000000001
2007,hou,37.464
2007,ins,3.044
2007,tex,0.005
2007,bnk,0.045
2007,ore,1.283
2007,grd,0.044
2007,trn,1.498
2007,trk,0.013000000000000001
2007,wtt,0.47400000000000003
2007,air,0.094
2010,agr,10.516
2010,eec,0.9410000000000001
2010,hou,34.148
2010,ins,3.323
2010,tex,0.005
2010,brd,0.116
2010,bnk,0.605
2010,ore,1.875
2010,hos,0.578
2010,grd,0.05
2010,trn,2.781
2010,pet,0.132
2010,wtt,0.202
2010,che,0.016
2010,air,0.20500000000000002
2003,com,-0.001
2003,agr,14.167
2003,hou,26.603
2003,ins,1.9060000000000001
2003,uti,-0.317
2003,bnk,0.051000000000000004
2003,ore,2.356
2003,grd,0.042
2003,trn,1.3960000000000001
2003,trk,0.003
2003,wtt,0.337
2003,air,2.515
2011,agr,8.825000000000001
2011,eec,1.16
2011,hou,35.095
2011,ins,4.578
2011,tex,0.005
2011,brd,0.51
2011,bnk,0.652
2011,ore,1.596
2011,hos,4.648
2011,grd,0.055
2011,trn,2.236
2011,pet,0.049
2011,wtt,0.23700000000000002
2011,che,0.125
2011,air,0.23600000000000002
2001,com,0.018000000000000002
2001,con,0.011
2001,agr,19.987000000000002
2001,hou,21.183
2001,ins,1.697
2001,uti,6.992
2001,bnk,0.1
2001,ore,2.444
2001,tsv,0.003
2001,grd,0.03
2001,trn,1.0190000000000001
2001,wtt,0.198
2001,air,5.0280000000000005
