yr,i,value
2008,ppd,2.7
2008,res,41.050000000000004
2008,com,2.075
2008,amb,0.643
2008,fbp,67.042
2008,rec,5.474
2008,con,1.469
2008,agr,3.979
2008,eec,5.66
2008,use,9.272
2008,pub,5.13
2008,hou,0.014
2008,ins,16.773
2008,tex,5.037
2008,leg,14.944
2008,uti,29.448
2008,nmp,3.335
2008,brd,27.711000000000002
2008,bnk,0.038
2008,ore,0.868
2008,edu,0.10400000000000001
2008,ote,1.7670000000000001
2008,man,0.931
2008,mch,6.8580000000000005
2008,dat,0.613
2008,amd,10.622
2008,oil,21.938
2008,hos,1.098
2008,rnt,10.442
2008,pla,6.553
2008,fof,0.997
2008,tsv,3.86
2008,nrs,1.465
2008,sec,1.324
2008,art,4.96
2008,mov,3.341
2008,fpd,6.847
2008,pri,0.873
2008,grd,0.187
2008,pip,0.042
2008,osv,14.76
2008,trn,0.6940000000000001
2008,fmt,6.041
2008,pet,93.473
2008,cep,11.518
2008,wst,1.035
2008,mot,17.536
2008,adm,3.959
2008,soc,0.526
2008,alt,19.127
2008,pmt,0.897
2008,trk,0.425
2008,wtt,0.14100000000000001
2008,wpd,2.388
2008,wht,0.096
2008,wrh,0.088
2008,che,16.448
2008,air,13.656
2008,mmf,11.369
2008,otr,0.323
2008,min,3.291
2009,ppd,2.7560000000000002
2009,res,40.249
2009,com,1.933
2009,amb,0.5710000000000001
2009,fbp,75.486
2009,rec,5.282
2009,con,1.196
2009,agr,3.8360000000000003
2009,eec,5.232
2009,use,8.309000000000001
2009,pub,5.106
2009,hou,0.012
2009,ins,16.261
2009,tex,4.623
2009,leg,7.171
2009,uti,29.394000000000002
2009,nmp,2.902
2009,brd,27.077
2009,bnk,0.038
2009,ore,0.8270000000000001
2009,edu,0.11800000000000001
2009,ote,1.401
2009,man,0.867
2009,mch,7.051
2009,dat,0.545
2009,amd,10.13
2009,oil,9.492
2009,hos,0.979
2009,rnt,9.621
2009,pla,5.988
2009,fof,0.5750000000000001
2009,tsv,3.509
2009,nrs,1.339
2009,sec,1.0110000000000001
2009,art,4.743
2009,mov,3.2760000000000002
2009,fpd,6.061
2009,pri,0.918
2009,grd,0.5730000000000001
2009,pip,0.044
2009,osv,13.806000000000001
2009,trn,0.6920000000000001
2009,fmt,5.633
2009,pet,84.745
2009,cep,10.983
2009,wst,1.0050000000000001
2009,mot,13.656
2009,adm,3.646
2009,soc,0.521
2009,alt,18.654
2009,pmt,0.732
2009,trk,0.41600000000000004
2009,wtt,0.05
2009,wpd,2.1670000000000003
2009,wht,0.128
2009,wrh,0.085
2009,che,15.913
2009,air,13.781
2009,mmf,10.874
2009,otr,0.279
2009,min,2.539
2005,ppd,2.463
2005,res,34.195
2005,com,1.408
2005,amb,0.503
2005,fbp,60.687000000000005
2005,rec,4.513
2005,con,1.222
2005,agr,3.4210000000000003
2005,eec,5.901
2005,use,9.738
2005,pub,4.433
2005,hou,0.006
2005,ins,15.261000000000001
2005,tex,5.236
2005,leg,25.0
2005,uti,24.501
2005,nmp,3.7
2005,brd,31.731
2005,bnk,0.105
2005,ore,0.6920000000000001
2005,edu,0.092
2005,ote,1.7910000000000001
2005,man,0.753
2005,mch,7.232
2005,dat,0.609
2005,amd,8.89
2005,oil,9.688
2005,hos,0.963
2005,rnt,8.453
2005,pla,5.889
2005,fof,0.535
2005,tsv,3.461
2005,nrs,1.121
2005,sec,1.756
2005,art,4.041
2005,mov,2.827
2005,fpd,6.791
2005,pri,0.729
2005,grd,0.146
2005,pip,0.028
2005,osv,13.530000000000001
2005,trn,0.387
2005,fmt,5.16
2005,pet,91.595
2005,cep,10.443
2005,wst,0.741
2005,mot,18.192
2005,adm,3.3080000000000003
2005,soc,0.41100000000000003
