yr,i,value
2008,ppd,11.004
2008,fbp,22.084
2008,agr,36.916000000000004
2008,eec,6.627
2008,use,32.156
2008,pub,4.546
2008,tex,3.584
2008,nmp,16.839
2008,ote,3.5740000000000003
2008,mch,9.758000000000001
2008,oil,32.278
2008,pla,4.5760000000000005
2008,fof,2.714
2008,mov,0.251
2008,fpd,14.279
2008,pri,3.267
2008,pip,-31.481
2008,trn,-59.831
2008,fmt,8.131
2008,pet,17.489
2008,cep,8.983
2008,mot,11.113
2008,alt,6.628
2008,pmt,10.766
2008,trk,-240.45100000000002
2008,wtt,-28.129
2008,wpd,6.174
2008,che,26.94
2008,air,-4.572
2008,mmf,16.54
2008,otr,-2.593
2008,min,28.677
2009,ppd,8.655
2009,fbp,19.623
2009,agr,36.016
2009,eec,4.743
2009,use,27.819
2009,pub,3.535
2009,tex,2.636
2009,nmp,13.711
2009,ote,2.113
2009,mch,7.79
2009,oil,27.084
2009,pla,3.719
2009,fof,2.47
2009,mov,0.178
2009,fpd,10.612
2009,pri,2.533
2009,pip,-28.031000000000002
2009,trn,-46.834
2009,fmt,6.424
2009,pet,16.122
2009,cep,6.407
2009,mot,6.376
2009,alt,5.2010000000000005
2009,pmt,6.075
2009,trk,-197.215
2009,wtt,-21.141
2009,wpd,4.0440000000000005
2009,che,23.044
2009,air,-3.2039999999999997
2009,mmf,12.879
2009,otr,-2.0020000000000002
2009,min,24.048000000000002
2005,ppd,8.434000000000001
2005,fbp,14.674
2005,agr,29.706
2005,eec,5.937
2005,use,28.793
2005,pub,3.75
2005,tex,3.375
2005,nmp,15.694
2005,ote,2.435
2005,mch,8.113
2005,oil,21.876
2005,pla,4.289
2005,fof,3.029
2005,mov,0.301
2005,fpd,14.639000000000001
2005,pri,2.657
2005,pip,-22.418
2005,trn,-44.894999999999996
2005,fmt,6.297
2005,pet,13.014000000000001
2005,cep,8.804
2005,mot,12.205
2005,alt,5.452
2005,pmt,7.37
2005,trk,-209.602
2005,wtt,-17.688
2005,wpd,7.339
2005,che,20.568
2005,air,-3.35
2005,mmf,15.724
2005,otr,-2.166
2005,min,19.934
2006,ppd,9.072000000000001
2006,fbp,18.371
2006,agr,31.673000000000002
2006,eec,6.388
2006,use,30.532
2006,pub,3.942
2006,tex,3.3080000000000003
2006,nmp,17.841
2006,ote,2.8120000000000003
2006,mch,9.026
2006,oil,23.543
2006,pla,4.572
2006,fof,3.1550000000000002
2006,mov,0.29
2006,fpd,14.758000000000001
2006,pri,2.755
2006,pip,-23.678
2006,trn,-50.929
2006,fmt,7.121
2006,pet,14.361
2006,cep,9.628
2006,mot,13.093
2006,alt,5.6290000000000004
2006,pmt,9.174
2006,trk,-226.133
2006,wtt,-21.303
2006,wpd,7.275
2006,che,22.472
2006,air,-3.7090000000000005
2006,mmf,16.197
2006,otr,-2.211
2006,min,23.0
2012,ppd,11.405
2012,fbp,24.392
2012,agr,45.703
2012,eec,6.4030000000000005
2012,use,27.495
2012,pub,4.002
2012,tex,3.8850000000000002
2012,nmp,16.209
2012,ote,3.494
2012,mch,14.279
2012,oil,41.708
2012,pla,4.752
2012,fof,2.998
2012,mov,0.132
2012,fpd,12.609
2012,pri,3.137
2012,pip,-39.213
2012,trn,-69.1
2012,fmt,10.308
2012,pet,23.456
2012,cep,9.306000000000001
2012,mot,13.426
2012,alt,7.243
2012,pmt,12.59
2012,trk,-260.675
2012,wtt,-20.573
2012,wpd,5.803
2012,che,29.579
2012,air,-4.639
2012,mmf,14.325000000000001
2012,otr,-2.8930000000000002
2012,min,31.115000000000002
2014,ppd,12.054
2014,fbp,26.957
2014,agr,47.135
2014,eec,7.74
2014,use,30.813000000000002
2014,pub,4.116
2014,tex,4.259
2014,nmp,19.344
2014,ote,4.179
2014,mch,16.105
2014,oil,50.165
2014,pla,5.425
2014,fof,3.323
2014,mov,0.131
2014,fpd,14.332
2014,pri,3.176
2014,pip,-45.39
2014,trn,-76.879
2014,fmt,11.977
2014,pet,26.525000000000002
2014,cep,9.974
2014,mot,15.485000000000001
2014,alt,7.644
2014,pmt,13.762
2014,trk,-291.721
2014,wtt,-20.387
2014,wpd,7.168
2014,che,32.79
2014,air,-3.624
2014,mmf,15.881
2014,otr,-3.008
2014,min,33.849000000000004
2013,ppd,11.845
2013,fbp,25.135
2013,agr,45.775
2013,eec,6.924
2013,use,28.228
2013,pub,3.938
2013,tex,3.994
2013,nmp,16.808
2013,ote,3.779
2013,mch,14.074
2013,oil,45.379
2013,pla,5.026
2013,fof,3.077
2013,mov,0.131
2013,fpd,13.115
2013,pri,3.122
2013,pip,-41.937
2013,trn,-72.09
2013,fmt,10.622
2013,pet,25.19
2013,cep,9.221
2013,mot,14.301
2013,alt,7.204
2013,pmt,12.625
2013,trk,-268.94
2013,wtt,-17.471
2013,wpd,6.565
2013,che,31.501
2013,air,-3.6710000000000003
2013,mmf,14.571
2013,otr,-2.5580000000000003
2013,min,31.047
1999,ppd,5.4830000000000005
1999,fbp,10.785
1999,agr,19.358
1999,eec,3.902
1999,use,24.793
1999,pub,2.713
1999,tex,2.315
1999,nmp,10.620000000000001
1999,ote,1.561
1999,mch,5.2540000000000004
1999,oil,22.579
1999,pla,3.7840000000000003
1999,fof,2.335
1999,mov,0.168
1999,fpd,9.52
1999,pri,1.721
1999,pip,-23.541
1999,trn,-33.143
1999,fmt,3.904
1999,pet,8.945
1999,cep,6.433
1999,mot,8.873
1999,alt,4.672
1999,pmt,4.609
1999,trk,-146.98399999999998
1999,wtt,-9.896
1999,wpd,3.967
1999,che,16.01
1999,air,-3.019
1999,mmf,9.854000000000001
1999,otr,-1.1340000000000001
1999,min,14.193
2002,ppd,7.347
2002,fbp,13.972
2002,agr,15.939
2002,eec,3.915
2002,use,24.518
2002,pub,3.1950000000000003
2002,tex,3.007
2002,nmp,12.692
2002,ote,1.542
2002,mch,6.518
2002,oil,20.582
2002,pla,3.257
2002,fof,1.8860000000000001
2002,mov,0.246
2002,fpd,10.4
2002,pri,2.624
2002,pip,-21.602
2002,trn,-34.234
2002,fmt,5.404
2002,pet,9.748
2002,cep,6.7940000000000005
2002,mot,8.616
2002,alt,4.9590000000000005
2002,pmt,4.987
