yr,ts,j,value
2008,taxes,ppd,0.111
2008,taxes,res,35.198
2008,taxes,com,2.345
2008,taxes,amb,0.971
2008,taxes,fbp,15.965
2008,taxes,rec,5.423
2008,taxes,con,1.42
2008,taxes,eec,0.088
2008,taxes,pub,1.0190000000000001
2008,taxes,fbt,16.65
2008,taxes,ins,16.993000000000002
2008,taxes,tex,0.035
2008,taxes,leg,14.862
2008,taxes,uti,29.266000000000002
2008,taxes,nmp,0.105
2008,taxes,brd,29.148
2008,taxes,bnk,1.341
2008,taxes,ore,0.882
2008,taxes,edu,0.584
2008,taxes,ote,0.076
2008,taxes,man,0.931
2008,taxes,mch,0.181
2008,taxes,dat,0.685
2008,taxes,amd,15.519
2008,taxes,oil,18.666
2008,taxes,hos,1.448
2008,taxes,rnt,8.43
2008,taxes,pla,0.309
2008,taxes,fof,0.783
2008,taxes,tsv,3.611
2008,taxes,nrs,1.5150000000000001
2008,taxes,sec,0.9440000000000001
2008,taxes,art,5.045
2008,taxes,mov,2.548
2008,taxes,fpd,0.036000000000000004
2008,taxes,pri,0.059000000000000004
2008,taxes,grd,0.23700000000000002
2008,taxes,pip,0.042
2008,taxes,sle,0.467
2008,taxes,osv,8.949
2008,taxes,trn,0.6980000000000001
2008,taxes,smn,0.183
2008,taxes,fmt,0.366
2008,taxes,pet,0.355
2008,taxes,mvt,29.076
2008,taxes,cep,0.263
2008,taxes,wst,1.068
2008,taxes,mot,0.221
2008,taxes,adm,4.1290000000000004
2008,taxes,soc,0.586
2008,taxes,alt,0.014
2008,taxes,pmt,0.131
2008,taxes,trk,0.487
2008,taxes,gmt,34.527
2008,taxes,wtt,0.189
2008,taxes,wpd,0.10200000000000001
2008,taxes,wht,161.762
2008,taxes,wrh,0.067
2008,taxes,ott,79.62
2008,taxes,che,0.781
2008,taxes,air,13.671000000000001
2008,taxes,mmf,0.15
2008,taxes,otr,0.182
2008,taxes,min,3.001
2008,subsidies,agr,10.346
2008,subsidies,eec,0.12
2008,subsidies,hou,17.02
2008,subsidies,tex,0.005
2008,subsidies,fen,4.37
2008,subsidies,bnk,0.084
