yr,va,j,value
2008,othtax,ppd,1.713
2008,othtax,res,3.539
2008,othtax,com,1.3940000000000001
2008,othtax,amb,6.337
2008,othtax,fbp,5.1160000000000005
2008,othtax,rec,3.051
2008,othtax,con,6.417
2008,othtax,agr,7.15
2008,othtax,eec,1.04
2008,othtax,pub,2.547
2008,othtax,hou,195.681
2008,othtax,fbt,2.802
2008,othtax,ins,5.122
2008,othtax,tex,0.647
2008,othtax,leg,1.031
2008,othtax,uti,24.212
2008,othtax,nmp,1.234
2008,othtax,brd,4.083
2008,othtax,bnk,13.903
2008,othtax,ore,21.463
2008,othtax,edu,6.336
2008,othtax,ote,2.176
2008,othtax,man,8.282
2008,othtax,mch,2.996
2008,othtax,dat,1.233
2008,othtax,amd,4.581
2008,othtax,oil,17.228
2008,othtax,hos,9.081
2008,othtax,rnt,6.2250000000000005
2008,othtax,pla,1.4000000000000001
2008,othtax,fof,0.836
2008,othtax,fin,0.912
2008,othtax,tsv,6.9430000000000005
2008,othtax,nrs,2.697
2008,othtax,sec,4.534
2008,othtax,art,1.928
2008,othtax,mov,3.4330000000000003
2008,othtax,fpd,0.379
2008,othtax,pri,0.8230000000000001
2008,othtax,grd,0.797
2008,othtax,pip,2.0
2008,othtax,osv,8.714
2008,othtax,trn,0.769
2008,othtax,smn,1.434
2008,othtax,fmt,2.52
2008,othtax,pet,2.475
2008,othtax,mvt,2.96
2008,othtax,cep,6.768
2008,othtax,wst,1.622
2008,othtax,mot,2.774
2008,othtax,adm,2.673
2008,othtax,soc,0.862
2008,othtax,alt,0.305
2008,othtax,pmt,2.194
2008,othtax,trk,3.032
2008,othtax,gmt,2.832
2008,othtax,wtt,0.589
2008,othtax,wpd,0.62
2008,othtax,wht,10.135
2008,othtax,wrh,0.561
2008,othtax,ott,10.104000000000001
2008,othtax,che,9.565
2008,othtax,air,3.087
2008,othtax,mmf,1.477
2008,othtax,otr,1.926
2008,othtax,min,1.923
2008,surplus,ppd,18.341
2008,surplus,res,50.341
2008,surplus,com,27.989
2008,surplus,amb,106.675
2008,surplus,fbp,91.985
2008,surplus,rec,13.394
2008,surplus,con,207.095
2008,surplus,agr,96.992
2008,surplus,eec,23.594
2008,surplus,fnd,81.214
2008,surplus,pub,99.325
2008,surplus,hou,1218.721
2008,surplus,fbt,27.974
2008,surplus,ins,132.465
2008,surplus,tex,3.682
2008,surplus,leg,111.416
2008,surplus,fen,7.466
2008,surplus,uti,121.924
2008,surplus,nmp,15.628
2008,surplus,brd,244.22400000000002
2008,surplus,bnk,194.32500000000002
