yr,j,i,value
2008,ppd,ppd,172.163
2008,ppd,com,0.077
2008,ppd,con,0.068
2008,ppd,use,0.363
2008,ppd,tex,0.20800000000000002
2008,ppd,nmp,0.183
2008,ppd,pla,1.326
2008,ppd,tsv,0.5680000000000001
2008,ppd,fpd,0.003
2008,ppd,pri,0.51
2008,ppd,fmt,0.068
2008,ppd,cep,0.229
2008,ppd,pmt,0.003
2008,ppd,wpd,0.10300000000000001
2008,ppd,wht,0.8130000000000001
2008,ppd,che,0.375
2008,ppd,mmf,0.2
2008,res,res,494.29
2008,res,com,0.008
2008,res,rec,0.86
2008,res,con,0.47700000000000004
2008,res,use,0.10400000000000001
2008,res,fbt,0.47800000000000004
2008,res,amd,0.133
2008,res,tsv,0.003
2008,res,ott,1.342
2008,com,com,238.889
2008,com,con,0.002
2008,com,pub,1.289
2008,com,brd,0.121
2008,com,edu,1.063
2008,com,dat,18.448
2008,com,rnt,0.051000000000000004
2008,com,tsv,11.872
2008,com,osv,0.37
2008,com,adm,2.583
2008,com,wht,3.843
2008,com,ott,1.058
2008,amb,res,0.17200000000000001
2008,amb,com,0.495
2008,amb,amb,732.673
2008,amb,con,0.59
2008,amb,rnt,3.446
2008,amb,tsv,0.244
2008,amb,ott,6.923
2008,fbp,ppd,0.5740000000000001
2008,fbp,com,0.098
2008,fbp,fbp,750.37
2008,fbp,con,0.06
2008,fbp,use,0.001
2008,fbp,pla,0.002
2008,fbp,tsv,1.774
2008,fbp,wht,7.168
2008,fbp,che,2.623
2008,rec,res,12.542
2008,rec,com,0.029
2008,rec,rec,92.086
2008,rec,con,0.337
2008,rec,ore,0.028
2008,rec,edu,1.264
2008,rec,amd,0.388
2008,rec,rnt,0.277
2008,rec,tsv,0.148
2008,rec,art,0.179
2008,rec,osv,0.852
2008,rec,mvt,0.343
2008,rec,soc,0.162
2008,rec,ott,1.704
2008,con,com,0.201
2008,con,con,1273.8790000000001
2008,con,tsv,0.277
2008,agr,rec,2.052
2008,agr,agr,334.44100000000003
2008,agr,use,0.045
2008,agr,fof,3.794
2008,agr,wpd,0.011
2008,eec,ppd,0.014
2008,eec,com,0.294
2008,eec,con,0.022
2008,eec,eec,118.85600000000001
2008,eec,tex,0.006
2008,eec,nmp,0.34500000000000003
2008,eec,ote,0.123
2008,eec,mch,0.734
2008,eec,pla,0.046
2008,eec,tsv,1.842
2008,eec,fpd,0.004
2008,eec,fmt,0.537
2008,eec,pet,0.001
2008,eec,cep,1.827
2008,eec,mot,0.073
2008,eec,pmt,0.41200000000000003
2008,eec,wht,1.714
2008,eec,che,0.025
2008,eec,mmf,0.09
2008,fnd,com,2.517
2008,fnd,con,0.382
2008,fnd,agr,0.5690000000000001
2008,fnd,fnd,295.695
2008,fnd,pub,0.24
2008,fnd,fen,0.596
2008,fnd,uti,0.07
2008,fnd,hos,1.782
