yr,r,s,value
2008,IA,ppd,0.0
2009,IA,ppd,0.0
2005,IA,ppd,0.0
2006,IA,ppd,0.0
2012,IA,ppd,0.0
2014,IA,ppd,0.0
2013,IA,ppd,0.0
1999,IA,ppd,0.0
2002,IA,ppd,0.0
2017,IA,ppd,0.0
2016,IA,ppd,0.0
2015,IA,ppd,0.0
1998,IA,ppd,0.0
2004,IA,ppd,0.0
2000,IA,ppd,0.0
1997,IA,ppd,0.0
2007,IA,ppd,0.0
2010,IA,ppd,0.0
2003,IA,ppd,0.0
2011,IA,ppd,0.0
2001,IA,ppd,0.0
2008,FL,ppd,0.0
2009,FL,ppd,0.0
2005,FL,ppd,0.0
2006,FL,ppd,0.0
2012,FL,ppd,0.0
2014,FL,ppd,0.0
2013,FL,ppd,0.0
1999,FL,ppd,0.0
2002,FL,ppd,0.0
2017,FL,ppd,0.0
2016,FL,ppd,0.0
2015,FL,ppd,0.0
1998,FL,ppd,0.0
2004,FL,ppd,0.0
2000,FL,ppd,0.0
1997,FL,ppd,0.0
2007,FL,ppd,0.0
2010,FL,ppd,0.0
2003,FL,ppd,0.0
2011,FL,ppd,0.0
2001,FL,ppd,0.0
2008,MD,ppd,0.0
2009,MD,ppd,0.0
2005,MD,ppd,0.0
2006,MD,ppd,0.0
2012,MD,ppd,0.0
2014,MD,ppd,0.0
2013,MD,ppd,0.0
1999,MD,ppd,0.0
2002,MD,ppd,0.0
2017,MD,ppd,0.0
2016,MD,ppd,0.0
2015,MD,ppd,0.0
1998,MD,ppd,0.0
2004,MD,ppd,0.0
2000,MD,ppd,0.0
1997,MD,ppd,0.0
2007,MD,ppd,0.0
2010,MD,ppd,0.0
2003,MD,ppd,0.0
2011,MD,ppd,0.0
2001,MD,ppd,0.0
2008,OH,ppd,0.0
2009,OH,ppd,0.0
2005,OH,ppd,0.0
2006,OH,ppd,0.0
2012,OH,ppd,0.0
2014,OH,ppd,0.0
2013,OH,ppd,0.0
1999,OH,ppd,0.0
2002,OH,ppd,0.0
2017,OH,ppd,0.0
2016,OH,ppd,0.0
2015,OH,ppd,0.0
1998,OH,ppd,0.0
2004,OH,ppd,0.0
2000,OH,ppd,0.0
1997,OH,ppd,0.0
2007,OH,ppd,0.0
2010,OH,ppd,0.0
2003,OH,ppd,0.0
2011,OH,ppd,0.0
2001,OH,ppd,0.0
2008,TN,ppd,0.0
2009,TN,ppd,0.0
2005,TN,ppd,0.0
2006,TN,ppd,0.0
2012,TN,ppd,0.0
2014,TN,ppd,0.0
2013,TN,ppd,0.0
1999,TN,ppd,0.0
2002,TN,ppd,0.0
2017,TN,ppd,0.0
2016,TN,ppd,0.0
2015,TN,ppd,0.0
1998,TN,ppd,0.0
2004,TN,ppd,0.0
2000,TN,ppd,0.0
1997,TN,ppd,0.0
2007,TN,ppd,0.0
2010,TN,ppd,0.0
2003,TN,ppd,0.0
2011,TN,ppd,0.0
2001,TN,ppd,0.0
2008,WI,ppd,0.0
2009,WI,ppd,0.0
2005,WI,ppd,0.0
2006,WI,ppd,0.0
2012,WI,ppd,0.0
2014,WI,ppd,0.0
2013,WI,ppd,0.0
1999,WI,ppd,0.0
2002,WI,ppd,0.0
2017,WI,ppd,0.0
2016,WI,ppd,0.0
2015,WI,ppd,0.0
1998,WI,ppd,0.0
2004,WI,ppd,0.0
2000,WI,ppd,0.0
1997,WI,ppd,0.0
2007,WI,ppd,0.0
2010,WI,ppd,0.0
2003,WI,ppd,0.0
2011,WI,ppd,0.0
2001,WI,ppd,0.0
2008,RI,ppd,0.0
2009,RI,ppd,0.0
2005,RI,ppd,0.0
2006,RI,ppd,0.0
2012,RI,ppd,0.0
2014,RI,ppd,0.0
2013,RI,ppd,0.5380652966892646
1999,RI,ppd,0.0
2002,RI,ppd,0.6091386994616635
2017,RI,ppd,0.0
2016,RI,ppd,0.0
2015,RI,ppd,0.0
1998,RI,ppd,0.0
2004,RI,ppd,0.0
2000,RI,ppd,0.0
1997,RI,ppd,0.0
2007,RI,ppd,0.0
2010,RI,ppd,0.0
2003,RI,ppd,0.0
2011,RI,ppd,0.0
2001,RI,ppd,0.0
2008,AK,ppd,0.6299009221127914
2009,AK,ppd,0.4960797295899341
2005,AK,ppd,0.6265306121892648
2006,AK,ppd,0.5527967985564606
2012,AK,ppd,0.568508794179855
2014,AK,ppd,0.5409749718419531
2013,AK,ppd,0.5380652966892646
1999,AK,ppd,0.5671036204493723
2002,AK,ppd,0.6091386994616635
2017,AK,ppd,0.5692534748067849
2016,AK,ppd,0.5307029976494739
2015,AK,ppd,0.5222968528114547
1998,AK,ppd,0.5891056189383417
2004,AK,ppd,0.6132696223864605
2000,AK,ppd,0.5498560889206513
1997,AK,ppd,0.0
2007,AK,ppd,0.5822770715075902
2010,AK,ppd,0.530590891556423
2003,AK,ppd,0.6444583949061901
2011,AK,ppd,0.5623422902556381
2001,AK,ppd,0.6277914677152698
2008,WV,ppd,0.0
2009,WV,ppd,0.0
2005,WV,ppd,0.0
2006,WV,ppd,0.0
2012,WV,ppd,0.0
2014,WV,ppd,0.0
2013,WV,ppd,0.0
1999,WV,ppd,0.0
2002,WV,ppd,0.0
2017,WV,ppd,0.0
2016,WV,ppd,0.0
2015,WV,ppd,0.0
1998,WV,ppd,0.0
2004,WV,ppd,0.0
2000,WV,ppd,0.0
1997,WV,ppd,0.0
2007,WV,ppd,0.0
2010,WV,ppd,0.0
2003,WV,ppd,0.0
2011,WV,ppd,0.0
2001,WV,ppd,0.0
2008,AZ,ppd,0.0
2009,AZ,ppd,0.0
2005,AZ,ppd,0.0
2006,AZ,ppd,0.0
2012,AZ,ppd,0.0
2014,AZ,ppd,0.0
2013,AZ,ppd,0.0
1999,AZ,ppd,0.0
2002,AZ,ppd,0.0
2017,AZ,ppd,0.0
2016,AZ,ppd,0.0
2015,AZ,ppd,0.0
1998,AZ,ppd,0.0
2004,AZ,ppd,0.0
2000,AZ,ppd,0.0
1997,AZ,ppd,0.0
2007,AZ,ppd,0.0
2010,AZ,ppd,0.0
2003,AZ,ppd,0.0
2011,AZ,ppd,0.0
2001,AZ,ppd,0.0
2008,NH,ppd,0.0
2009,NH,ppd,0.0
2005,NH,ppd,0.0
2006,NH,ppd,0.0
2012,NH,ppd,0.0
2014,NH,ppd,0.0
2013,NH,ppd,0.0
1999,NH,ppd,0.0
2002,NH,ppd,0.0
2017,NH,ppd,0.0
2016,NH,ppd,0.0
2015,NH,ppd,0.0
1998,NH,ppd,0.0
2004,NH,ppd,0.0
2000,NH,ppd,0.0
1997,NH,ppd,0.0
2007,NH,ppd,0.0
2010,NH,ppd,0.0
2003,NH,ppd,0.0
2011,NH,ppd,0.0
2001,NH,ppd,0.0
2008,OK,ppd,0.0
2009,OK,ppd,0.0
2005,OK,ppd,0.0
2006,OK,ppd,0.0
2012,OK,ppd,0.0
2014,OK,ppd,0.0
2013,OK,ppd,0.0
1999,OK,ppd,0.0
2002,OK,ppd,0.0
2017,OK,ppd,0.0
2016,OK,ppd,0.0
2015,OK,ppd,0.0
1998,OK,ppd,0.0
2004,OK,ppd,0.0
2000,OK,ppd,0.0
1997,OK,ppd,0.0
2007,OK,ppd,0.0
2010,OK,ppd,0.0
2003,OK,ppd,0.0
2011,OK,ppd,0.0
2001,OK,ppd,0.0
2008,NE,ppd,0.0
2009,NE,ppd,0.0
2005,NE,ppd,0.0
2006,NE,ppd,0.0
2012,NE,ppd,0.0
2014,NE,ppd,0.0
2013,NE,ppd,0.0
1999,NE,ppd,0.0
2002,NE,ppd,0.0
2017,NE,ppd,0.0
2016,NE,ppd,0.0
2015,NE,ppd,0.0
1998,NE,ppd,0.0
2004,NE,ppd,0.0
2000,NE,ppd,0.0
1997,NE,ppd,0.0
2007,NE,ppd,0.0
2010,NE,ppd,0.0
2003,NE,ppd,0.0
2011,NE,ppd,0.0
2001,NE,ppd,0.0
2008,KY,ppd,0.0
2009,KY,ppd,0.0
2005,KY,ppd,0.0
2006,KY,ppd,0.0
2012,KY,ppd,0.0
2014,KY,ppd,0.0
2013,KY,ppd,0.0
1999,KY,ppd,0.0
2002,KY,ppd,0.0
2017,KY,ppd,0.0
2016,KY,ppd,0.0
2015,KY,ppd,0.0
1998,KY,ppd,0.0
2004,KY,ppd,0.0
2000,KY,ppd,0.0
1997,KY,ppd,0.0
2007,KY,ppd,0.0
2010,KY,ppd,0.0
2003,KY,ppd,0.0
2011,KY,ppd,0.0
2001,KY,ppd,0.0
2008,NM,ppd,0.0
2009,NM,ppd,0.0
2005,NM,ppd,0.0
2006,NM,ppd,0.0
2012,NM,ppd,0.0
2014,NM,ppd,0.0
2013,NM,ppd,0.0
1999,NM,ppd,0.0
2002,NM,ppd,0.0
2017,NM,ppd,0.0
2016,NM,ppd,0.0
2015,NM,ppd,0.0
1998,NM,ppd,0.0
2004,NM,ppd,0.0
2000,NM,ppd,0.0
1997,NM,ppd,0.0
2007,NM,ppd,0.0
2010,NM,ppd,0.0
2003,NM,ppd,0.0
2011,NM,ppd,0.0
2001,NM,ppd,0.0
2008,IL,ppd,0.0
2009,IL,ppd,0.0
2005,IL,ppd,0.0
2006,IL,ppd,0.0
2012,IL,ppd,0.0
2014,IL,ppd,0.0
2013,IL,ppd,0.0
1999,IL,ppd,0.0
2002,IL,ppd,0.0
2017,IL,ppd,0.0
2016,IL,ppd,0.0
2015,IL,ppd,0.0
1998,IL,ppd,0.0
2004,IL,ppd,0.0
2000,IL,ppd,0.0
1997,IL,ppd,0.0
2007,IL,ppd,0.0
2010,IL,ppd,0.0
2003,IL,ppd,0.0
2011,IL,ppd,0.0
2001,IL,ppd,0.0
2008,NC,ppd,0.0
2009,NC,ppd,0.0
2005,NC,ppd,0.0
2006,NC,ppd,0.0
2012,NC,ppd,0.0
2014,NC,ppd,0.0
2013,NC,ppd,0.0
1999,NC,ppd,0.0
2002,NC,ppd,0.0
2017,NC,ppd,0.0
2016,NC,ppd,0.0
2015,NC,ppd,0.0
1998,NC,ppd,0.0
2004,NC,ppd,0.0
2000,NC,ppd,0.0
1997,NC,ppd,0.0
2007,NC,ppd,0.0
2010,NC,ppd,0.0
2003,NC,ppd,0.0
2011,NC,ppd,0.0
2001,NC,ppd,0.0
2008,VA,ppd,0.0
2009,VA,ppd,0.0
2005,VA,ppd,0.0
2006,VA,ppd,0.0
2012,VA,ppd,0.0
2014,VA,ppd,0.0
2013,VA,ppd,0.0
1999,VA,ppd,0.0
2002,VA,ppd,0.0
2017,VA,ppd,0.0
2016,VA,ppd,0.0
2015,VA,ppd,0.0
1998,VA,ppd,0.0
2004,VA,ppd,0.0
2000,VA,ppd,0.0
1997,VA,ppd,0.0
2007,VA,ppd,0.0
2010,VA,ppd,0.0
2003,VA,ppd,0.0
2011,VA,ppd,0.0
2001,VA,ppd,0.0
2008,CT,ppd,0.0
2009,CT,ppd,0.0
2005,CT,ppd,0.0
2006,CT,ppd,0.0
2012,CT,ppd,0.0
2014,CT,ppd,0.0
