yr,r,s,value
2008,IA,ppd,0.009824643350654914
2009,IA,ppd,0.010729812852493754
2005,IA,ppd,0.011479557297207383
2006,IA,ppd,0.011662335467605678
2012,IA,ppd,0.011064552661381654
2014,IA,ppd,0.014104195826384947
2013,IA,ppd,0.01355917757089003
1999,IA,ppd,0.009773923293899717
2002,IA,ppd,0.009521504223978005
2017,IA,ppd,0.013782650012104308
2016,IA,ppd,0.013365616101975973
2015,IA,ppd,0.01432386256625501
1998,IA,ppd,0.008541438778597529
2004,IA,ppd,0.011500790608256454
2000,IA,ppd,0.009700978941816638
1997,IA,ppd,0.007408491048223822
2007,IA,ppd,0.010482357121578115
2010,IA,ppd,0.012430291620786417
2003,IA,ppd,0.011362389276475659
2011,IA,ppd,0.011945468767460051
2001,IA,ppd,0.011838743381125671
2008,FL,ppd,0.025478289640139352
2009,FL,ppd,0.02281266185399694
2005,FL,ppd,0.021171901293215164
2006,FL,ppd,0.022196892228156184
2012,FL,ppd,0.02838995847489618
2014,FL,ppd,0.02751737243467929
2013,FL,ppd,0.027857042657428336
1999,FL,ppd,0.017444533322106683
2002,FL,ppd,0.020269920694166256
2017,FL,ppd,0.027787513414100976
2016,FL,ppd,0.02858709044387661
2015,FL,ppd,0.029850068609250137
1998,FL,ppd,0.017548351060115906
2004,FL,ppd,0.02173509125173953
2000,FL,ppd,0.01960295612128073
1997,FL,ppd,0.021582512926931904
2007,FL,ppd,0.02239322926948326
2010,FL,ppd,0.02677512165666181
2003,FL,ppd,0.02005957513521988
2011,FL,ppd,0.027135247886169778
2001,FL,ppd,0.020201000704642605
2008,MD,ppd,0.00397228547517565
2009,MD,ppd,0.005511682168097027
2005,MD,ppd,0.007193340115975443
2006,MD,ppd,0.006394194871193531
2012,MD,ppd,0.00444318610796527
2014,MD,ppd,0.003883457493504067
2013,MD,ppd,0.004208388009823124
1999,MD,ppd,0.0072209826127226035
2002,MD,ppd,0.007620159794233512
2017,MD,ppd,0.00454363150877472
2016,MD,ppd,0.004512484942631642
2015,MD,ppd,0.0044747356525950445
1998,MD,ppd,0.005542715250165154
2004,MD,ppd,0.0056840372969918975
2000,MD,ppd,0.007118553584522171
1997,MD,ppd,0.006431408245422972
2007,MD,ppd,0.005863013305289454
2010,MD,ppd,0.005846623805633502
2003,MD,ppd,0.0071784118523163755
2011,MD,ppd,0.00528178194956606
2001,MD,ppd,0.007124927339572318
2008,OH,ppd,0.04101905373581675
2009,OH,ppd,0.037048221735969
2005,OH,ppd,0.04431283195939699
2006,OH,ppd,0.04438343786266966
2012,OH,ppd,0.035471876179690456
2014,OH,ppd,0.037722245530410134
2013,OH,ppd,0.0339316820589494
1999,OH,ppd,0.04595461625899887
2002,OH,ppd,0.04779229706058434
2017,OH,ppd,0.03742398676114048
2016,OH,ppd,0.03685425154783732
2015,OH,ppd,0.03650752011192725
1998,OH,ppd,0.04524939533201688
2004,OH,ppd,0.04460964428316289
2000,OH,ppd,0.041720802192006384
1997,OH,ppd,0.04760614713313792
2007,OH,ppd,0.04543252061117472
2010,OH,ppd,0.038130927432245235
2003,OH,ppd,0.044179666065689426
2011,OH,ppd,0.039641300703989274
