agr,4,"""Farms (111-112)"""
fof,5,"""Forestry, fishing, and related activities (113-115)"""
oil,7,"""Oil and gas extraction (211)"""
min,8,"""Mining, except oil and gas (212)"""
smn,9,"""Support activities for mining (213)"""
uti,10,"""Utilities (22)"""
con,11,"""Construction (23)"""
wpd,14,"""Wood products manufacturing (321)"""
nmp,15,"""Nonmetallic mineral products manufacturing (327)"""
pmt,16,"""Primary metals manufacturing (331)"""
fmt,17,"""Fabricated metal products (332)"""
mch,18,"""Machinery manufacturing (333)"""
cep,19,"""Computer and electronic products manufacturing (334)"""
eec,20,"""Electrical equipment, appliance, and components manufacturing (335)"""
mot,21,"""Motor vehicles, bodies and trailers, and parts manufacturing (3361-3363)"""
ote,22,"""Other transportation equipment manufacturing (3364-3366, 3369)"""
fpd,23,"""Furniture and related products manufacturing (337)"""
mmf,24,"""Miscellaneous manufacturing (339)"""
fbp,26,"""Food and beverage and tobacco products manufacturing (311-312)"""
tex,27,"""Textile mills and textile product mills (313-314)"""
alt,28,"""Apparel and leather and allied products manufacturing (315-316)"""
ppd,29,"""Paper products manufacturing (322)"""
pri,30,"""Printing and related support activities (323)"""
pet,31,"""Petroleum and coal products manufacturing (324)"""
che,32,"""Chemical products manufacturing (325)"""
pla,33,"""Plastics and rubber products manufacturing (326)"""
wht,34,"""Wholesale trade (42)"""
mvt,35,"""Retail trade (44-45)"""
fbt,35,"""Retail trade (44-45)"""
gmt,35,"""Retail trade (44-45)"""
ott,35,"""Retail trade (44-45)"""
air,37,"""Air transportation (481)"""
trn,38,"""Rail transportation (482)"""
wtt,39,"""Water transportation (483)"""
trk,40,"""Truck transportation (484)"""
grd,41,"""Transit and ground passenger transportation (485)"""
pip,42,"""Pipeline transportation (486)"""
otr,43,"""Other transportation and support activities (487-488, 492)"""
wrh,44,"""Warehousing and storage (493)"""
pub,46,"""Publishing industries, except Internet (includes software) (511)"""
mov,47,"""Motion picture and sound recording industries (512)"""
brd,48,"""Broadcasting and telecommunications (515, 517)"""
dat,49,"""Data processing, internet publishing, and other information services (518, 519)"""
bnk,52,"""Federal Reserve banks, credit intermediation, and related services (521-522)"""
sec,53,"""Securities, commodity contracts, and investments (523)"""
ins,54,"""Insurance carriers and related activities (524)"""
fin,55,"""Funds, trusts, and other financial vehicles (525)"""
hou,57,"""Real estate (531)"""
ore,57,"""Real estate (531)"""
rnt,58,"""Rental and leasing services and lessors of intangible assets (532-533)"""
leg,61,"""Legal services (5411)"""
com,62,"""Computer systems design and related services (5415)"""
tsv,63,"""Miscellaneous professional, scientific, and technical services (5412-5414, 5416-5419)"""
man,64,"""Management of companies and enterprises (55)"""
adm,66,"""Administrative and support services (561)"""
wst,67,"""Waste management and remediation services (562)"""
edu,69,"""Educational services (61)"""
amb,71,"""Ambulatory health care services (621)"""
hos,72,"""Hospitals and nursing and residential care facilities (622-623)"""
nrs,72,"""Hospitals and nursing and residential care facilities (622-623)"""
soc,73,"""Social assistance (624)"""
art,76,"""Performing arts, spectator sports, museums, and related activities (711-712)"""
rec,77,"""Amusements, gambling, and recreation industries (713)"""
amd,79,"""Accommodation (721)"""
res,80,"""Food services and drinking places (722)"""
osv,81,"""Other services, except government (81)"""
fnd,83,"""Federal civilian (...)"""
fen,83,"""Federal civilian (...)"""
fdd,84,"""Federal military (...)"""
slg,85,"""State and local (...)"""
sle,85,"""State and local (...)"""
